,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-200573680.0,-82006690.0,-189155580.0,75872814.77300319,400679700.0,168297530.0,189544680.0,428283715.31837505,100,100,108,60,78989751.2244898,6473911.265306123,-6121382.551020408,227734535.02178457,-5869847.05,-7764788.416666667,68809365.91666667,261131245.8536623,188746558.27853447,83886189.37020272,115190898.33719705,97149398.63739936,246968696.89378503,58119920.052909374,84685786.05484137,84316035.5531465,-136956680.0,-71058753.0,-69703104.0,-104589108.9591043,76252460.0,62543867.0,111618996.0,92747270.513812,20,144,92,40,-3703601.6666666665,-3440608.6041666665,2204120.1666666665,-423358.342937906,-3263443.220338983,294459.0677966102,-2706236.661016949,3849134.365740482,40264987.34220795,23461005.254269164,33454145.890366666,36906447.35744873,48230190.96226956,19563797.561289772,35641711.45016759,36263218.0175431,-68176930.0,-29827405.0,-36218988.0,20929130.956136543,9587380.0,60720070.0,66046398.0,85147882.7807509,104,144,112,44,-34566745.73469388,16587689.102040816,3152312.836734694,62004220.95964916,6099497.822580645,13762529.548387097,-2027439.2741935484,54482206.89940375,25585815.223047204,28188441.422128852,36497266.275225386,19168610.713142637,27309414.545506608,44151070.96318523,26333915.75823889,24619677.72471168,-9587385.0,-15978967.0,-19174758.0,-18730125.849381275,6391590.0,8522116.0,6391587.0,12737979.423322715,92,128,112,28,-510439.2708333333,-1176229.4375,-1020878.4583333334,-1115810.1791384432,1309751.475409836,-104780.13114754099,1012874.393442623,-449670.32153592806,4015340.506271753,5068127.064534326,4808257.5532895615,5667913.492387129,3370834.199542102,10617143.37631374,5700600.899657768,7099042.185704839,500000000000,2012000000000,108,388,49,60,49,62,Bot,Alex-Handheld
1,-58307886.0,-79838990.0,-91135025.0,50468356.73620801,197064400.0,91739655.0,115295410.0,218743317.9705556,60,108,80,72,75172830.6904762,23729477.54761905,-4593576.714285715,136331891.84776255,125727815.19672132,-9420484.49180328,36950283.59016393,204707696.62802088,96368213.66113882,52719566.922632836,65640694.50447873,61011434.34745926,167789067.94820082,39853275.78723905,101664898.95665704,122567491.17102504,-107980370.0,-38823127.0,-51301955.0,-86733955.68489254,56124570.0,35119296.0,60167312.0,43167704.69613668,72,60,72,72,-1240401.731707317,-2565407.1463414636,-2606624.512195122,-1188964.1606552366,2388376.0,-792050.3666666667,4629850.333333333,2592290.728992256,25224481.321137063,13165902.652896352,19008700.67106542,18876693.543703157,41933842.68697227,14589807.81103384,40913155.76825617,33762574.29835645,-34088460.0,-27696876.0,-20240024.0,13176590.398860246,4261060.0,44741100.0,26631612.0,50574817.48210962,124,120,76,56,-12022269.80952381,10652643.595238095,1090627.9523809524,29905375.18853799,-11700444.68852459,-14669215.754098361,995410.655737705,35960663.6130858,12985713.451810807,18841310.20162509,15342709.497556852,10411691.403031629,16492105.12597916,22840250.870311122,16261566.503523242,10116557.95928894,-6391586.0,-17044224.0,-7456852.0,-10418447.841400862,4261050.0,8522110.0,4261058.0,7950926.892324403,120,12,60,12,-467677.1951219512,181874.43902439025,-623569.4390243902,-27633.175042404087,337333.6666666667,-195298.33333333334,-869965.95,294061.77494382014,2078564.256099167,5517257.757096947,2533750.4338247627,3095771.4114258573,3186854.0263485378,7314708.063166708,5245789.105094235,4956280.2235696865,655000000000,1845000000000,71,360,42,61,42,61,Bot,Alex-Handheld
2,-407887100.0,-46751260.0,-210853580.0,138224916.66933453,449779500.0,80092430.0,342670440.0,532230191.6343369,96,148,100,36,37174998.571428575,9343565.775510205,14204161.795918368,342543590.24937814,99579353.3773585,3394594.679245283,17015097.094339624,252712929.0224027,320394953.07328534,31674269.871477723,177628460.70911354,130894217.39811623,199153396.44721803,24523436.98540751,173254432.33430773,124908624.39926556,-237616300.0,-46221733.0,-113667486.0,-181047669.09961006,354102370.0,34575700.0,167325018.0,169353808.75837156,92,24,132,48,-2007608.5416666667,-682940.1041666666,1342872.7083333333,-712104.6106981313,944861.9230769231,-5653.2692307692305,2194606.346153846,993767.7971453712,79033806.15807524,12700282.69055572,44944597.18465811,54662287.30393625,45873994.06686811,13655838.676671874,50919838.18030241,47747405.155667074,-39414780.0,-26631611.0,-40480051.0,7146012.178872493,26631610.0,66046400.0,52197959.0,80341003.62770371,120,104,88,48,-8990831.38,16831179.0,5390238.04,46236104.00018808,2761797.7592592593,4892326.203703703,2603979.5555555555,43520865.40353021,22635722.323298354,27227153.830637895,31162053.733626865,21084694.702487938,31599168.881149348,25249934.19509975,21571615.525887996,14514302.57506711,-9587374.0,-23435814.0,-14913703.0,-24549824.0908319,9587380.0,15978966.0,10652644.0,20161452.45880603,64,92,72,56,-217401.02040816325,282621.20408163266,21740.081632653062,220641.843711798,100496.67924528301,-401986.58490566036,-1004966.4339622641,-435094.69138716906,3819579.349228268,7039158.136765897,5564444.039520056,7160353.876189634,5649234.357585489,7145191.665313733,4629133.370082909,4638891.882022497,1011000000000,516000000000,101,360,49,53,50,54,Bot,Alex-Handheld
3,-74472550.0,-35177230.0,-126984600.0,52100791.35389981,133579850.0,42760850.0,171771050.0,196771619.80124053,92,80,96,84,63555520.87037037,-1732049.0925925926,11930413.018518519,116271210.12847969,72907468.13559322,-619520.5762711865,16724796.915254237,101552205.81607518,57992777.76024706,18743104.667965695,83520267.34157369,34345684.841266185,47583233.76426473,21758272.493901476,60393993.49714267,39830141.48548089,-62499524.0,-40154934.0,-79333310.0,-51122790.69348717,51289085.0,38134099.0,143069270.0,85367527.92195153,88,60,40,92,-1547833.6603773586,-789102.5094339623,3401648.396226415,-906783.0525816518,442578.7931034483,664472.5689655172,-1244084.6206896552,418753.6472777245,21818773.911728498,12389235.28718374,38979518.32671499,19960464.208295345,19200968.597061727,8627394.722195636,19964834.348911013,16973561.70998083,-19174760.0,-18109496.0,-12783174.0,7755241.178863556,15978965.0,39414784.0,14913702.0,44410156.858378805,88,92,52,88,-1104000.6545454545,14177701.472727273,1472001.5636363637,22453763.03132383,-17462.360655737706,7823581.622950819,611217.262295082,19088524.831354637,10815070.019591292,14842900.752054816,8030779.737784476,9820425.643843101,8225084.267930284,17253650.695305556,4567235.688272422,8852353.643112361,-6391586.0,-27696876.0,-8522115.0,-18640971.730412673,11717910.0,15978970.0,7456851.0,16648169.896921108,4,28,84,12,216998.5185185185,138089.8148148148,-138089.8148148148,93777.45893389279,230807.16666666666,266316.0833333333,-159789.66666666666,24127.42921038838,3570826.56825211,7451343.411448784,2673370.3864099747,5971698.387993372,2301987.9322405607,6059301.080804351,2010172.1429991317,4399606.775749917,461000000000,1086000000000,120,404,54,59,55,61,Bot,Alex-Handheld
4,2929330.0,-38028480.0,-227150920.0,48147649.789479755,128702520.0,26922464.0,118230820.0,262462755.79408994,36,48,108,24,75181483.6875,-4231810.65625,-2850621.9375,137803193.13118756,44735216.344262294,11978008.786885247,-19449030.524590164,100598299.87475304,41103596.506905034,19125842.98516122,120682006.4696684,53652762.6837869,59582590.80504426,24363574.36782146,81879811.86549033,55895565.59134957,-62602400.0,-39829971.0,-127884867.0,-57461917.54779001,37914160.0,37463903.0,121068000.0,106111939.45288107,44,48,28,16,1504002.1290322582,657858.3870967742,-9600454.838709677,2522064.782714795,1896844.3333333333,236598.65,-720707.6166666667,429654.2692337391,16834065.66239509,11205373.638195015,41308632.93500932,27769111.386219203,28037854.894821025,21314782.1130338,38769723.66015522,28424331.563418366,-11717905.0,-10652644.0,-7456851.0,4881655.53372634,21305290.0,20240026.0,5326322.0,28742406.94273082,32,96,36,24,6151044.064516129,6563403.774193549,-2027438.935483871,15294364.327583145,-17533203.836065575,23296110.590163935,646143.8524590164,36887403.98430184,8726978.342937868,10203197.412959922,3764820.30388831,6370454.119877157,14749936.707523564,17131089.259431537,14536441.72361842,14272335.952718401,-11717912.0,-12783174.0,-5326322.0,-11842038.929564836,5326319.0,6391586.0,3195793.0,12622422.522999814,36,100,28,20,-177543.83333333334,-426105.8,-284070.5,356101.8024036979,-426105.76666666666,-177544.08333333334,266316.13333333336,-73306.79770176193,3691038.1309670233,4985923.063796448,1962966.2634345968,4647634.823106342,3014278.300049015,7055896.941448841,3181706.687581166,5704587.769404894,1305000000000,481000000000,28,320,32,61,31,61,Bot,Alex-Handheld
5,-176162840.0,-37656784.0,-52824020.0,41815281.26218549,315478620.0,78396800.0,77946660.0,325707939.601282,88,80,48,44,79039808.91176471,35956606.941176474,-1691958.6764705882,172920919.14265448,75690675.21666667,3623843.15,29550663.483333334,167491218.32910252,166378824.2700633,34737566.788068675,38846767.705812916,85799398.48925754,134280094.70781103,43175688.64107362,91655204.03339255,80590017.42737228,-141540770.0,-35952806.0,-88182450.0,-127114019.88367769,94401710.0,33194540.0,58377268.0,75835205.37970573,60,80,68,32,5142118.03030303,-894185.2727272727,-596913.3939393939,-4077477.235086635,-3652115.9322033897,-389450.74576271186,-2006563.1186440678,-2634980.108874916,45082899.94898923,12211590.943882465,24889848.547861375,38014256.01101506,34521035.304458976,14434729.017436968,31706579.111310337,32689794.62951255,-13848436.0,-28762140.0,-25566348.0,17176872.945946883,1065265.0,40480050.0,42610578.0,49840262.6167409,52,112,72,132,-3439282.6285714284,3226230.1714285715,14700649.8,36071481.60862269,-2766250.6129032257,19999481.66129032,-824720.8870967742,33278027.96261163,4392847.997152639,24806344.863625806,23091203.78381309,8590175.345121365,17403315.22784473,19599290.042242683,14898001.421929095,14084797.303349083,-4261055.0,-4261058.0,-14913702.0,-4643167.272934176,2130530.0,12783174.0,7456852.0,11444440.015594423,48,128,80,36,-407306.9411764706,1691890.6176470588,-689288.7941176471,960687.9314939416,261950.24590163934,-69853.4918032787,-646144.0327868853,-38573.008665607784,1126620.7637187294,3978459.29799563,4928485.396283759,3624444.8152862615,2799588.609831737,5636416.804984258,3686546.228007518,4548283.852971343,405000000000,720000000000,38,328,34,60,35,62,Bot,Alex-Handheld
6,-95327140.0,-16129255.0,-104785920.0,42814759.330349915,198200230.0,45243740.0,198554040.0,268451573.4007188,84,68,96,44,40382936.68965517,13349261.75862069,16339269.827586208,139323328.38463503,40571700.01612903,12567585.5,-8055656.161290322,111466002.27653697,104499934.87754948,20463219.670270827,108210279.2225572,71374380.57293487,93834133.34135033,17458519.42334528,70337288.01402724,57690243.12613693,-72471853.0,-16382931.0,-78017236.0,-67675495.19790518,34367680.0,16945839.0,37791250.0,83242327.65124385,28,44,12,56,-8836784.642857144,1147202.0714285714,-9483882.5,-4946428.041467549,2351534.1147540985,-688545.0491803279,1144831.31147541,1499888.202016286,21139983.6712439,6159383.899571049,24848353.00445402,27014861.99769292,26163227.359219782,8863525.340722866,23577107.684782825,27092850.92412481,-6391590.0,4261058.0,-12783174.0,7755245.162320079,17044230.0,28762140.0,18109497.0,34271064.69188293,28,24,60,24,8338448.793103448,18476828.03448276,-1101997.9310344828,23577526.380062588,1268172.746031746,8691205.206349207,6323950.841269841,19766432.09292355,8388234.6039978545,6180605.10245283,9631591.46599486,7241069.806869588,9189395.231383868,12352395.473826205,9606210.150910264,7163747.068927208,-5326320.0,-4261057.0,-4261057.0,-3653486.595597435,5326324.0,6391588.0,5326322.0,7362103.326397402,80,40,44,48,0.0,304361.14285714284,684812.9285714285,546948.439331494,-429542.01612903224,-360815.3870967742,274906.98387096776,-49893.685101386895,2562335.1894222386,2638041.708390237,2096284.7642713718,2747485.932502271,1955468.8045306422,3346549.359455065,2129974.5326891216,3067928.267895584,972000000000,1269000000000,20,312,29,62,29,63,Bot,Alex-Handheld
7,-56680320.0,-25040388.0,-33440590.0,14434213.536850076,200014350.0,39538622.0,60148240.0,206205749.12392208,124,76,156,76,82232976.13333334,5927032.844444444,15435134.111111112,102377962.6223642,42107270.881355934,5636162.745762712,18168595.01694915,92177436.35840493,78827477.53193755,16502199.199360894,29635364.377420582,61971182.59267154,93639669.65828171,11864297.134027615,34595732.74017166,60287101.231200196,-52819010.0,-35021543.0,-51772118.0,-52885973.483196914,63855290.0,22570610.0,35799980.0,41479981.846304834,56,16,156,24,-1629680.3636363635,-692275.4318181818,-1132943.4090909092,-221393.85821820627,-1682322.603448276,233744.74137931035,19155.706896551725,1279041.0443155318,21912323.79193424,10372594.146633852,13425202.192569386,17770996.15788357,21836894.0082435,9653883.75391921,18357436.264687806,15376753.021540921,-9587380.0,-18109496.0,-14913703.0,6737324.261040877,5326330.0,30892670.0,24501082.0,36871079.204312585,92,52,104,40,-1813214.5106382978,10199340.851063829,317312.6808510638,21004053.127609644,1257361.31147541,1065264.8032786886,-4767495.229508197,14632388.751588218,5719031.392323627,13250795.025806798,14643137.19141204,9038890.793160105,3906817.1208954128,10983078.17800464,8981568.420276448,4975277.573708084,-2130534.0,-9587383.0,-8522116.0,-11615882.215649249,3195790.0,11717907.0,4261058.0,10314740.102497397,92,40,96,32,92631.52173913043,254737.1739130435,-370526.8043478261,-348227.25732055533,53263.166666666664,35508.833333333336,355088.1666666667,-49082.82870694147,1084227.1117660112,4262127.47846964,2505340.5487075755,3458142.265049613,1189811.0761700806,2397568.321173533,1961038.4063465304,1440522.168638073,931000000000,1019000000000,88,368,45,59,47,61,Bot,Alex-Handheld
8,37558080.0,-41719675.0,-77226640.0,47002143.0447469,76945070.0,46795845.0,50815582.0,109097920.94455796,64,20,76,24,51729181.89655172,7641389.517241379,-6390637.655172414,67356749.14264555,57080374.21666667,3391186.45,22645616.4,97187747.3372549,10433850.413142992,26863392.264844287,37458023.15215498,20221204.486919817,36525300.61554675,26904537.079743043,71033150.22246706,36670323.818075515,-23310064.0,-25559425.0,-40574073.0,-48842478.03969569,35431150.0,46675444.0,60837747.0,27909343.08701007,64,68,24,24,-58616.892857142855,660317.2857142857,607558.6428571428,180970.82936462175,1045317.966101695,-623424.186440678,368360.74576271186,1156505.9454108668,9378545.488692963,14779329.539773967,19496147.75590529,13634897.303480754,14403001.051720118,10353559.470405288,24484062.76866974,16931851.22369935,-10652640.0,-9587380.0,-5326322.0,1506510.7963078127,4261060.0,22370553.0,6391587.0,23484189.106247507,84,32,88,24,-3515372.2333333334,8912712.433333334,-1029755.9333333333,14211342.304789238,-2769687.033333333,8912712.9,-1367089.5666666667,12952549.984991217,4657264.165499087,10424224.511746753,3652703.3935109028,5552198.696576294,7461234.680657307,6409516.566884386,2595249.7078985814,4833196.589716658,-3195790.0,-8522115.0,-3195793.0,-6675941.413694884,3195790.0,10652645.0,2130529.0,6321552.329829968,60,24,72,4,-293866.2068965517,-36733.137931034486,-183666.27586206896,-28925.688781579924,0.0,-216663.94915254237,54166.0,-143719.34813126113,1247848.7843466748,3684695.5427271454,1155784.9231897267,2776386.5707790805,1839872.8378565935,2110389.344134936,1081814.0310222658,1733683.6942429135,1130000000000,746000000000,25,304,29,60,30,60,Bot,Alex-Handheld
9,-123576400.0,-85420130.0,-93156815.0,74773552.6083899,128129480.0,104670525.0,86838720.0,174465434.12017158,52,96,56,72,14535735.341463415,-5525286.707317073,-25549888.609756097,125046726.42572787,48384276.61016949,14759936.61016949,6670612.491525424,166070032.50435117,81572104.34624559,71436213.36903192,64226034.43421137,27775923.67055972,153572258.29905236,51530165.927535534,69277271.81322843,75051008.52008468,-59016228.0,-40403840.0,-69214821.0,-25134416.414335296,65082670.0,48905370.0,90935706.0,77605104.76615979,72,108,68,32,532916.125,2907347.675,744795.875,849591.7182955764,4003430.172413793,-788002.1896551724,3450854.0344827585,1055075.2106964793,24473500.018082947,14424113.051949749,26171555.15567921,15130618.557585213,37363490.3875017,12868143.268321304,23389622.436197232,31963259.610647645,-18109500.0,-23435818.0,-20240024.0,8848752.2985278,19174760.0,26631610.0,35153728.0,43323665.73700231,168,92,116,48,1864213.2045454546,4842111.363636363,1428422.7954545454,26321002.573328435,-14372338.62295082,9866793.852459017,8836456.032786885,37007456.73165357,8482153.201385146,16125212.633877337,21005831.30852623,9692415.369038299,7364007.489325107,22721952.98769688,22814526.446506467,9327809.21483542,-8522120.0,-8522115.0,-3195794.0,-6316828.814142134,4261060.0,4261058.0,8522116.0,8525844.615457801,116,64,100,52,-867075.8139534884,-767981.3255813953,1015717.3023255814,349760.5209610187,-124280.73333333334,-177544.08333333334,0.0,108282.27997251917,2508869.1768288314,2760005.052101289,2505686.9561394854,2940498.5120521695,2260533.9008355807,5539261.344926548,4028333.878996175,3824387.584699085,1309000000000,1018000000000,80,356,41,59,44,61,Bot,Alex-Handheld
