,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-24478376.0,-18289924.0,-45561790.0,9253889.674377473,15025973.0,17623067.0,5912781.0,47718588.681079045,36,52,96,32,-2670307.5,-853906.5434782609,-16077020.739130436,23894837.940600716,-1588966.1724137932,-1757563.2413793104,-18668766.603448275,28278554.56996915,10620336.169949174,10118941.899549419,15453113.53263379,11940713.364062395,10371024.356175672,11838919.443028219,18421882.21626065,11564058.699682238,-16759426.0,-16759395.0,-31124113.0,-35981908.80561384,31124621.0,14365196.0,47883988.0,31033071.564018004,36,128,68,12,106408.86666666667,106408.86666666667,53193.84444444445,-53523.26491478052,-126011.01754385965,504043.01754385966,189011.56140350876,198645.89482898248,8456586.644822678,6348628.487680365,13446763.593571283,10180409.277457116,9714131.28115757,10634023.125866711,18296702.722055353,11788162.959659444,-4261060.0,-2130529.0,0.0,1065265.0,1065265.0,3195793.0,3195793.0,4519536.395861969,152,112,44,152,-995791.6086956522,416842.73913043475,1343159.3260869565,2361289.0550156697,-1138732.051724138,661198.8448275862,1304030.4310344828,2384282.5092312773,1086411.8929763953,1064749.9784003845,1039742.29247414,854915.4646751466,1126347.4859140925,1089793.2350429904,870770.9094368896,961590.2860429886,-2130531.0,-2130530.0,-2130529.0,-3013023.478233647,3195794.0,2130530.0,2130529.0,2334354.411941958,140,72,72,116,23672.533333333333,-23672.555555555555,23672.555555555555,-5052.239461326568,18688.842105263157,-18688.859649122805,37377.70175438596,-0.007845845923089144,1155841.484757771,1016542.3430810402,965654.0669102886,1027617.6619508307,1154784.5196651511,1154783.6130845214,891597.3068475017,952588.3535839521,740000000000,340000000000,97,364,46,58,46,58,Bot,Alex
1,-14123678.0,-28385818.0,-49103737.0,10534349.967508532,20622880.0,9921372.0,25115967.0,50088983.146767095,40,48,68,12,500896.3548387097,-4859395.612903226,-10525518.870967742,27121046.921696816,-4642359.211538462,-4875490.326923077,-13839428.288461538,28011130.958203547,10818825.168408519,12333898.285524761,22147623.915873908,11779611.784419542,11869397.893573869,17174628.283983838,14663745.454113834,9610592.774632955,-19153626.0,-19153595.0,-43095589.0,-39554633.17925856,27533323.0,24037123.0,56262970.0,31847464.305440422,36,32,36,12,-1021.2333333333333,-316055.6,-1117038.7333333334,237975.77956987757,-580353.4705882353,-377677.23529411765,-117750.72549019608,212308.3243746794,8710249.060784461,7152921.261909372,20147239.4518061,11181664.760163205,8374745.5797488075,11561139.931925636,13226876.834401136,8952924.82443455,-1065266.0,-1065265.0,-2130529.0,0.0,1065265.0,3195793.0,2130529.0,3368662.1305208094,16,64,44,88,-193684.9090909091,1129826.0303030303,-161403.66666666666,1893085.2382606242,-553118.9230769231,655547.4615384615,40971.63461538462,1634391.9152548271,774360.2213704131,1218651.358530981,1000767.8199935934,878900.2341838311,715080.7687042498,1119325.1353945283,894044.2121846896,769252.8550902962,-2130531.0,-2130529.0,-2130529.0,-1544088.874349405,1065266.0,1065265.0,2130529.0,1544089.874349405,100,20,44,8,-66579.09375,0.0,-33289.5,-13788.921981711246,-20887.56862745098,-41775.05882352941,-41775.05882352941,-29873.89008901018,701454.3263866757,798948.2916667308,940980.830539536,788334.8711426097,830264.0795261364,788210.763462473,965808.4541849862,747967.1023635902,456000000000,1518000000000,33,280,31,52,33,52,Bot,Alex
2,-21425873.0,-17027974.0,-51305770.0,4116290.1442723884,19275576.0,14096618.0,13338089.0,58148963.59910213,32,32,60,140,-154301.92307692306,-5179756.769230769,-19014529.564102564,25552637.357897416,94786.98360655738,-3173552.5573770492,-13366417.803278688,27946248.28313079,10620419.497883303,9028698.531872896,19252850.502395403,17131560.322679523,11676948.420282973,10440588.872638293,23203570.202896323,13477410.309261613,-20350724.0,-28730393.0,-43095588.0,-24636366.136758257,23942024.0,20350694.0,34715652.0,40283365.219836995,32,68,60,68,-441037.5,-504041.9736842105,-1386115.394736842,1390584.4628514738,119484.46666666666,-157868.85,658559.8,-504363.42983051937,7617913.966827722,7336527.463916056,13653315.574420244,11486306.94768322,10218255.431302276,8468599.403131664,17240844.270887706,11288051.233983574,-2130530.0,0.0,-1065265.0,0.0,2130530.0,2130529.0,2130529.0,3195794.000000313,64,8,20,48,-467677.756097561,1325085.2926829269,727497.4634146341,2005360.4805683217,-377997.67741935485,1202718.1290322582,996537.4677419355,1990980.4430280458,826826.4807574736,817568.3337227,905130.8744337776,784688.6093163223,724215.561895308,954437.6389831626,692011.190107447,714260.6142375775,-2130531.0,-1065265.0,-2130529.0,-1689282.496585553,2130531.0,2130529.0,3195794.0,3195794.000000313,128,48,64,4,-53263.25,53263.225,-53263.225,-22062.367848401296,17463.360655737706,-34926.70491803279,17463.360655737706,0.007331370421853222,889672.0946747388,857190.4521887912,1063932.111126539,970546.9783081299,873168.5327869862,963812.4412607779,873167.6127869344,923714.9498267509,844000000000,1412000000000,71,352,39,61,41,62,Bot,Alex
3,-31110018.0,-27919412.0,-36835670.0,5967205.755515558,7462263.0,21158576.0,38503647.0,47835932.56362813,28,148,148,80,-5493611.923076923,-8167995.871794872,-2708703.9743589745,28658023.60952669,-2128467.4032258065,-2359639.2258064514,-9321889.58064516,27713045.101376075,9914124.862212993,11826639.724608837,25520270.681618266,12390498.958444629,14465399.980752008,10780276.479965633,22036803.412011568,11360704.700506609,-28730422.0,-14365196.0,-63446045.0,-23043820.59227823,20405650.0,32369375.0,44295311.0,25714256.297200892,56,40,116,8,331208.8947368421,1291526.0,-1982613.605263158,-123828.0081577051,-93777.65573770492,22407.426229508197,785077.2131147541,-336810.07552550855,8770698.004340623,9024005.665256634,20569418.531563774,9535617.228808813,12436049.297642704,8366698.878870072,18691742.74886479,11470379.466960406,-2130530.0,0.0,0.0,1065264.0,1065265.0,2130529.0,3195793.0,3840865.915356718,108,8,152,88,-409717.6153846154,518975.2051282051,928691.8461538461,1654318.8442500508,-87317.03278688525,1082728.0655737706,1030337.5409836066,2048962.8006486672,901770.2952335833,640642.6700275354,779728.7639449253,597220.8588059733,978171.8939073024,922377.9619105875,890568.1663725985,781902.8643981006,-2130531.0,-2130529.0,-1065265.0,-1544088.8743497883,2130531.0,1065265.0,1065265.0,1458861.4085186222,4,24,8,116,-56066.57894736842,-56066.55263157895,84099.81578947368,45008.866193597845,0.0,17754.416666666668,0.0,7354.125056912665,879370.2486905236,688957.495923167,663980.3400601659,615711.961044916,952802.261129139,880410.8452422518,869784.7403840792,916879.7037170399,682000000000,895000000000,66,348,39,62,39,61,Bot,Alex
4,-30577093.0,-37954510.0,-42813300.0,6981085.758843534,24678618.0,19506335.0,37394524.0,50384534.964450926,36,68,68,136,1321504.564102564,-3534245.128205128,-1681523.2307692308,30437302.66746729,-4618503.491803279,-8729413.836065574,-2791936.2459016396,32568717.900780633,15640849.360386789,17263112.967236873,22686190.82728175,11136392.337223694,16322708.536939805,19821048.25245403,20902772.636509493,11176502.753814004,-21547825.0,-49081147.0,-45490265.0,-18407382.723015793,31124622.0,33575892.0,64645766.0,22556686.339504007,76,56,48,104,36478.02631578947,-847811.7894736842,-157456.63157894736,825323.2610306883,-477214.1666666667,84948.55,320625.3,-28896.876450094704,9467121.689994503,11238889.429770818,21667084.29832066,7333348.794816678,11976128.663299702,11232799.820482196,22887208.574666303,9625370.807591906,-2130530.0,-2130530.0,-1065265.0,0.0,2130530.0,4261058.0,3195793.0,4643379.730102095,84,80,24,36,-372843.125,372842.125,905474.525,2230344.446977157,-292089.0806451613,274906.43548387097,687267.1451612903,2517669.9070260567,1219371.0574715734,1554983.049753708,951273.3891510757,913143.9929032358,1406496.1172487396,2022443.4939919454,946862.6375181172,1079856.507765004,-4261060.0,-4261058.0,-2130529.0,-2140761.9490290685,3195795.0,4261058.0,1065265.0,2034024.4475041116,12,24,8,44,-54629.0,0.0,-54628.94871794872,0.029607715371709604,0.0,-69853.40983606558,-34926.70491803279,-45873.56072012007,1426119.9407848034,1772707.3123620541,833874.7117287555,1065430.866465958,1819712.7885632184,2369230.034844733,840058.0684585674,1393197.148338417,622000000000,2092000000000,68,352,39,61,40,62,Bot,Alex
5,-35083026.0,-20370483.0,-131197930.0,7730994.098052397,41607827.0,17936707.0,127361300.0,136041456.4332181,8,40,8,60,7847933.423728813,-1251183.2881355933,11251562.644067796,50347558.99306154,3557920.525423729,-5064759.169491526,992661.9152542372,29276002.404203378,17187226.29524838,11803199.443006217,59688540.800653666,40148243.89279623,18639934.177420996,8320259.901485426,25084335.7253161,14629067.480095534,-66951722.0,-24095893.0,-253800390.0,-93825908.83245179,76690853.0,27533293.0,258559230.0,95596020.73553145,8,120,8,32,465685.4482758621,-81308.94827586207,-1956.6724137931035,-38237.219913689994,436789.5172413793,-162094.8275862069,-123698.13793103448,326155.5719975334,18135471.709498294,8859406.759680806,61607674.50803291,24299800.599395163,10368604.919055725,7126255.618065988,23939409.456666023,14484264.07782012,-4261060.0,-6391588.0,-1065265.0,0.0,4261060.0,4261058.0,3195793.0,8319983.316341025,36,4,48,72,-385699.8275862069,128566.03448275862,918331.1724137932,2765189.222791605,52389.7868852459,227023.16393442624,558826.9344262296,1977287.6398634058,1972326.4120943006,2064830.0807256193,1082841.6487587166,1603759.6877995688,1173827.5608406048,1135972.7964610213,1269506.8801844658,823290.2384036524,-5326330.0,-8522116.0,-3195793.0,-3354621.0387861263,7456860.0,10652646.0,2130529.0,4479118.5103848195,8,4,88,24,-18688.859649122805,0.0,0.0,-13408.118533737206,88772.08333333333,0.0,35508.816666666666,-48094.81018098062,2695605.7264899644,2800709.9970019194,914417.7802315602,1288519.1781410428,1419799.0121454431,1275354.8852251805,1028530.5125445963,935100.9567400937,408000000000,695000000000,140,428,59,59,58,61,Bot,Alex
6,-30249923.0,-17167628.0,-28420448.0,5671118.74566183,10558128.0,35474600.0,32631874.0,35692599.50465096,100,140,80,104,-6182095.957446809,844062.6808510638,4998328.808510638,20599551.08866422,437516.2295081967,6234354.672131147,-6738537.5245901635,23364957.725785468,10792545.635573918,13131671.310765116,13082270.367587844,9581377.204398852,9201604.878897952,12143091.782694727,17556475.53467591,8438505.077682968,-19153625.0,-49081088.0,-26336670.0,-23710480.46513698,30034155.0,33518792.0,26336670.0,27783455.944136683,8,8,52,32,548820.7608695652,-52704.760869565216,-208315.65217391305,-497558.1657450591,457940.5,197866.56666666668,638357.8,64876.76159213397,8202722.394079669,13695032.550548164,9941887.99556803,8530105.014554527,6155304.556398591,9907397.68177813,16913102.35364539,9097393.809040908,-2130530.0,-1065265.0,-1065265.0,1065264.0,1065265.0,1065264.0,3195793.0,3368661.4980649212,128,100,84,108,-475969.93617021275,22664.936170212764,566629.8510638297,1600522.5092531277,69853.13114754099,-331803.95081967214,838240.606557377,1709524.1961195986,794956.2910198928,784989.1503011337,1107301.8071955454,645729.2616208931,1044989.6541879012,766718.917385405,955076.6710474484,672383.4545411456,-2130531.0,-2130529.0,-2130529.0,-1316739.5068380958,2130530.0,2130529.0,3195793.0,1065264.0,116,36,84,8,-46315.891304347824,-46315.84782608696,23157.91304347826,7360.469567622656,-17754.433333333334,-17754.4,-35508.816666666666,-31035.82145904804,626549.7642477943,664757.4734660743,845502.072439489,383475.3455680585,942657.9919667819,765501.4379488823,726847.2762971942,598558.7487484098,57000000000,1746000000000,97,380,47,61,47,61,Bot,Alex
7,-4779726.0,-19618154.0,-22506714.0,6097863.02156198,26449502.0,15097737.0,48120500.0,54636449.505142555,16,24,80,40,9798439.088235294,-1811171.3823529412,11856724.294117646,26117149.817634005,4584685.483870967,-1578529.177419355,9062320.951612903,25246576.402071606,9229400.345601598,9783381.095391605,20716513.454164013,12427205.114952559,11694087.743812338,11785676.897426626,20866844.909063227,13061736.517172437,-31229228.0,-16759396.0,-52672386.0,-31072935.61041268,23942023.0,23941994.0,33518793.0,37504228.80982728,80,12,24,40,432140.0,-36682.15151515151,181429.33333333334,418859.7800712377,58873.75409836065,235495.0163934426,-549488.3770491803,-18205.019140545737,8915158.427557426,6852120.669108179,16501321.079876522,11496385.224430077,10936063.292960256,8227828.17662345,21692971.26942824,12711441.543090435,-2130530.0,-2130530.0,-1065265.0,0.0,2130530.0,1065264.0,2130529.0,3013023.713936052,100,12,88,48,-426106.34285714285,-121744.77142857143,882647.4857142858,1782664.688857744,-292089.0967741936,-377997.5,738812.2096774194,1739640.0130340704,1244449.4303324744,807629.2987510925,836627.2283423052,796020.4669924026,1076890.9699213996,1092793.970778944,711044.1765010596,755147.5725396579,-3195796.0,-1065265.0,-2130529.0,-2382004.506838096,2130531.0,2130529.0,2130529.0,2609354.874349597,72,20,32,4,-31331.352941176472,62662.64705882353,0.0,-18559.388444057542,0.0,52390.04918032787,17463.360655737706,8801.802156326048,1402929.9883328816,728073.8642323109,1033458.3350291561,999755.2456437774,1322381.5601337252,1300052.609398942,934901.0867145256,977315.0269229591,961000000000,928000000000,45,328,34,62,35,62,Bot,Alex
8,-22883087.0,-17094970.0,-23686409.0,9697427.55599721,25000960.0,27197719.0,49337387.0,56353141.900606565,52,40,40,80,2106402.05,2357900.2,15937685.85,29056491.23805667,607567.524590164,3353847.9344262294,8046681.672131147,26233280.02721998,13796824.630769124,11458952.302035794,20737703.560513474,12512404.888187326,10758741.781410364,11342575.041795861,23582822.817398433,13361834.836519012,-27533323.0,-28730393.0,-52672386.0,-37790620.324056655,40701449.0,26336193.0,32321930.0,30442805.708313018,52,12,12,72,644592.8974358974,552507.5641025641,-1473353.4615384615,-93293.89413538136,259371.6,-578598.1833333333,-59858.95,-130994.95479463301,12636535.981732912,8541890.375857564,16293571.9299822,11230687.5769127,10020650.124213047,9904126.16296595,19706015.568775337,10279476.712288402,-2130530.0,-1065265.0,-1065265.0,0.0,2130530.0,3195793.0,2130529.0,3533082.4982302636,24,56,24,12,-675534.2926829269,1091246.756097561,831425.731707317,2068212.789838706,-584178.0483870967,1030901.3064516129,910629.0483870967,1908260.4738313481,975055.1304353318,937426.8778335935,842576.2140993248,742893.174339478,738980.1483471624,1001681.9589255878,743230.5243705652,818885.6083688055,-3195795.0,-3195794.0,-1065265.0,-2382004.506838096,2130531.0,2130530.0,1065265.0,1350700.8964747544,24,4,4,76,-26631.6,53263.25,-53263.225,-5683.758213666757,17463.377049180326,0.0,34926.70491803279,14352.313803210522,1078169.9505266042,1009194.052530923,751370.1461684344,827777.5765952358,653885.951963354,1020672.8211491143,770765.0824139619,878818.5869490961,1025000000000,2303000000000,66,356,40,61,41,62,Bot,Alex
9,-17972678.0,-8844376.0,-33240320.0,15149578.285015693,29911370.0,19886017.0,25417328.0,37752838.43289536,112,112,52,48,3922692.2258064514,7606090.806451613,3985528.0322580645,24799856.196867075,1078618.6,3341288.25,-2800480.6333333333,20666244.352145128,12650787.309829168,8379513.914984821,18651562.16708195,5890744.054277106,12890669.500257323,10361007.30083422,15679733.596585874,10273924.945357336,-25139123.0,-22744894.0,-58657648.0,-12213496.522459947,32321722.0,13168097.0,28730393.0,15135255.138921887,112,112,20,60,758164.1666666666,-518743.2,-1556205.7666666666,350115.1371546497,93058.0,380072.5593220339,-832056.593220339,543757.5827995824,12549524.72925291,6619743.564275752,13359426.39363624,4519957.714859554,8349745.280959657,8817070.057337048,15726751.691612426,10305553.235555857,-2130530.0,-1065265.0,0.0,0.0,2130530.0,3195793.0,3195793.0,3840865.360656372,20,16,108,64,-426106.4666666667,319579.4,1278317.1333333333,1992816.5125315443,-687268.1129032258,584177.4516129033,1082445.9677419355,2066172.2396343478,1139797.7734718386,934137.8317826329,810798.8253749267,839530.0635737542,985374.2662589084,977424.7174724948,973887.8367040515,744017.718880192,-2130531.0,-2130530.0,-1065265.0,-1995772.8344816002,2130530.0,2130530.0,1065265.0,1689282.1228113812,12,8,40,16,-73466.58620689655,-36733.275862068964,36733.24137931035,39692.37034887737,0.0,34926.72131147541,-17463.344262295082,-5550.494850771804,1080982.6618622174,988391.1439432823,712284.3898969517,924974.964238523,883929.0662240594,1055919.5440123817,873167.6731148019,824121.7501619912,617000000000,1173000000000,25,320,31,60,30,62,Bot,Alex
