,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-21456629.0,-14994204.0,-49816130.0,8661818.932275888,6117076.0,12026787.0,25360107.0,52959999.282091506,4,4,4,60,-5376279.380952381,233604.80952380953,8867581.714285715,21096200.58255824,880348.6612903225,-2895625.2580645164,5327932.451612903,19173476.906895805,12106815.712203318,6726507.883616101,16362438.451410556,10257715.56363043,14288273.09906889,8635735.497476308,14508632.207922805,12399367.494154107,-18991024.0,-21733046.0,-44185637.0,-26988853.796182822,27573705.0,27020991.0,75176237.0,34754048.19695272,28,28,4,4,738658.75,534281.15,499725.35,-477206.6076431448,-339040.01639344264,-1042.5901639344263,-116098.11475409837,299990.28306601045,8874907.34531792,9477602.183021547,21048216.73941063,11668643.304998325,15284113.982755631,10897405.805799361,21707569.890930243,12010361.678497555,-766490.0,-2525840.0,-1677790.0,1255912.2158901074,2429300.0,2267846.0,2583264.0,3450455.575564044,4,8,4,24,1338673.0952380951,593860.5238095238,1010732.2857142857,2825839.9201166215,1089129.9516129033,652769.2096774194,-36940.48387096774,2403207.595246772,1208454.3373015756,1669829.8144621092,1097740.8234293805,627454.4690994349,1572197.6737155973,1234969.6408258036,911378.7682969958,773053.2032095605,-2130527.0,-1597895.0,-3195790.0,-1595503.889305612,3195790.0,4793686.0,4261054.0,1700252.1804399344,24,24,20,36,79894.75,213052.7,-26631.6,9182.891308134258,-8731.672131147541,-17463.344262295082,0.0,2321.4271122892615,1028337.9251178027,1242299.9804549662,1383561.5492339833,723373.6827762112,1084696.6486606882,1107924.5475967242,740803.6727246263,837408.9476795424,514000000000,1763000000000,75,280,21,62,21,62,Bot,Inigo
1,-28589666.0,-27744114.0,-52433968.0,8232821.801057339,38753897.0,42675853.0,50911903.0,65641201.45895352,112,40,40,32,1978037.3720930233,-1305347.1860465116,-800487.7441860465,26002397.090117432,2098672.5483870967,-2270545.693548387,-772153.2096774194,28849745.874417104,13641876.745319335,13872831.856334183,21898944.78433994,13126443.354969753,12312397.39068827,15421600.159095282,24511984.633082755,12434973.2945925,-47900766.0,-40752411.0,-59803008.0,-42062085.697075196,41623160.0,51429808.0,74082375.0,43479845.91360308,4,44,16,28,149836.5,-424803.7380952381,-178723.09523809524,57929.9073575657,-86008.27868852459,109691.09836065574,620544.9344262296,-418227.67242489936,18197301.14759476,16673354.898306752,26501397.333392628,16641780.351356136,17375466.75374854,19370352.184137847,28884215.427653525,15201621.435872855,-2364386.0,-3591102.0,-2210422.0,338385.9103375907,3494564.0,1735214.0,1518000.0,4484294.694750558,44,96,76,16,732310.6279069767,-234284.2558139535,-426724.6511627907,2125516.901305198,264409.8064516129,300545.0806451613,-45531.45161290323,2177562.1083140303,1366655.6423758732,1232994.0078044077,1070852.362246562,837275.4940979956,1560704.914513561,1241059.1197558073,1192448.4293359027,862220.3421332613,-2663158.0,-2663160.0,-2130527.0,-1601890.6627624296,3195790.0,3728421.0,2663159.0,2239186.402307866,128,116,8,8,0.0,0.0,-12681.714285714286,8464.933666772231,-43658.34426229508,8731.639344262296,-34926.67213114754,-30082.310405653592,1399591.7364372981,1240994.3194684463,1029720.2858966879,875336.7978031164,1585609.287424537,1313528.4899110117,1311320.7868187234,1059237.9138934768,189000000000,1923000000000,72,364,43,62,43,62,Bot,Inigo
2,-25963530.0,-34144342.0,-104995730.0,7510498.185194176,33421114.0,23214579.0,100120544.0,105269364.18212317,64,4,4,92,3483426.1764705884,-4765375.5,5082691.323529412,34179268.352813356,-1472130.4516129033,-1518695.6129032257,6131664.370967742,42938833.537865125,14191066.044818899,12654565.407282656,35552839.64037717,22009571.284450304,18230572.671587694,16183128.360337047,42987465.65129663,24717635.37252246,-39420679.0,-38058937.0,-205116274.0,-45016575.93449205,48701614.0,57358921.0,75161935.0,43760168.55388947,28,4,44,88,-358877.75757575757,266853.6060606061,-3546281.3636363638,2716660.6103468356,-477019.39344262297,14433.131147540984,982831.7213114754,-353625.3695488307,21612626.508014154,16054488.164472425,47522442.86334762,16062177.945911806,24620341.9801982,17851301.799284372,58453426.97674251,25343644.81284968,-2364386.0,-3058471.0,-3275685.0,644928.8263203932,5625091.0,2800478.0,3115896.0,5843810.324671139,76,108,32,36,1489361.7647058824,-160328.20588235295,-48563.26470588235,3054502.2445949814,438479.81967213115,128587.4262295082,24885.29508196721,2608158.26799134,1904964.4002633726,1760158.6486724287,1330392.037640815,1094810.7577240397,1790207.1271952165,1879346.8781724186,1095114.8985078286,1110453.6805193366,-3728423.0,-2663158.0,-3195790.0,-2310209.188893503,4261054.0,3195791.0,3195791.0,2588901.302897412,80,68,48,8,80701.78787878787,129122.81818181818,48421.09090909091,-30359.118329422916,-53263.183333333334,-26631.6,0.0,-46365.69313674402,1864193.728101675,1362880.8174221842,1313630.6401251678,1028587.6725399153,1839187.089382793,1767676.7954908707,1350967.908603297,1212534.2967119454,860000000000,483000000000,35,324,34,62,34,61,Bot,Inigo
3,-31733125.0,-21468103.0,-42671204.0,9458621.129559265,29163420.0,25316834.0,35514830.0,46432102.50865102,16,84,136,84,-1673490.923076923,-2401926.5897435895,-1698420.641025641,28840054.29077216,-5730254.278688525,-1908434.2459016393,-737909.4426229508,30890333.027242023,15579921.92437696,13088660.61398677,22927204.00367672,9890536.901096337,17766458.694687203,16507427.311447185,21898104.43532013,11627229.086081792,-49982100.0,-34553230.0,-72742463.0,-27390185.228923287,47654897.0,35710871.0,72760580.0,21803549.767609514,72,44,72,64,-999264.052631579,833210.1842105263,1808091.2368421052,-148518.55176281105,235354.65,276222.8333333333,1172510.7833333334,128508.46691898834,20646659.885151166,14668678.757842423,34703178.01290503,12966977.057832632,21880731.454986818,19022399.62367198,30443415.894867726,14511715.229145342,-2897017.0,-2525840.0,-2210422.0,644928.8263203932,1896668.0,2267846.0,3115896.0,3249048.249073873,64,16,136,36,-165572.58974358975,-176797.15384615384,111306.51282051283,1942463.9631846054,412284.8524590164,-316727.62295081967,7421.983606557377,2131154.5864128084,1185846.3086773828,1279938.3693114521,1142937.348598865,742462.158019395,1416288.9148640053,1300450.9145570134,1105260.3396434928,758937.7651098139,-3195791.0,-2663159.0,-4261054.0,-2333936.1079973746,2663158.0,2663158.0,3195791.0,2288760.1100020627,148,32,136,36,28033.236842105263,-28033.28947368421,-84099.76315789473,-6174.626248597253,53263.183333333334,17754.366666666665,0.0,55252.03309609121,1298638.5883782785,1158896.0217064552,1278820.1297406184,960402.0957872752,1530486.1557647455,1354347.0777328087,1166937.605986784,908334.6878067317,395000000000,679000000000,58,348,39,61,39,61,Bot,Inigo
4,-21845564.0,-33761680.0,-21955490.0,8718274.714856949,21649241.0,33091366.0,49746513.0,50651839.79811897,60,20,12,44,2140977.933333333,2921249.5,10590934.733333332,29353241.214528047,680840.655737705,1797132.786885246,-249503.16393442624,30621611.997568086,13327932.333801923,19476170.728328675,18102396.42057799,11087550.543718152,11239771.199353363,21144726.69048581,23257424.570621867,12839260.928285146,-34577102.0,-45245409.0,-66907883.0,-35183650.664829925,27417689.0,62048972.0,52438736.0,29893472.28486259,24,72,36,28,-432511.3448275862,1576224.2758620689,120787.79310344828,-59998.578623966794,-278353.93333333335,547225.2833333333,-274515.15,394504.4314797249,14802098.913658213,25484686.41401381,26444500.43212991,14531003.167979913,13922939.523864036,25782914.545621965,32073623.671862226,14985105.772211256,-2364386.0,-1993208.0,-1145158.0,559546.7848705772,3494564.0,1735214.0,2050632.0,4069403.3692957987,20,24,8,12,156737.9,-324294.93333333335,239684.46666666667,1912562.2197477142,45554.737704918036,-11119.147540983606,86007.01639344262,2141472.0529671703,1333842.7395446417,1272281.8113678175,975126.8087021486,870814.7996892671,1470316.284087179,1351426.8086726442,1123760.3541495325,773591.2849743065,-3728423.0,-3195790.0,-3195790.0,-2468416.0538141923,3728423.0,2663160.0,2130527.0,2930039.5712069003,104,24,64,104,-128566.31034482758,18366.620689655174,18366.58620689655,-89243.71228521493,26631.583333333332,0.0,26631.583333333332,11570.68810243252,1688130.6547450665,1359625.5601432535,1022939.3726300666,1140170.7802704875,1871615.2933250759,1368355.5922941717,1284312.731476272,993931.1625734629,689000000000,979000000000,21,312,30,61,30,61,Bot,Inigo
5,-25545537.0,-25160610.0,-37933350.0,11822618.492915265,24736926.0,34555614.0,48848152.0,51835262.4560849,28,160,64,68,-2098544.3260869565,5384608.478260869,2692595.804347826,25274263.097291842,1984524.9193548388,6059945.596774193,-1957631.9193548388,28799272.413307216,14160553.935458567,15372042.42411855,16255165.813925011,9466729.977494556,16220225.227869863,16053761.709538527,21130562.056678314,13021054.050370833,-38155376.0,-56021153.0,-50282478.0,-36190263.61888334,29744297.0,34678102.0,49898147.0,33880215.2811802,12,60,4,4,-395363.22222222225,395956.31111111114,-164328.6888888889,-240179.04947049991,-498299.47540983604,-77843.67213114754,1265056.737704918,732992.907593294,14478507.53046577,16627612.16575181,19613469.31007573,13406329.643458579,17555838.197029434,18127043.270930793,26090268.166176982,14884390.96820295,-3962281.0,-3058471.0,-2743054.0,501917.20883328957,2429300.0,2267846.0,3115896.0,4587784.540913621,52,112,124,116,-569648.2608695652,264687.52173913043,279052.6956521739,2115165.613560313,-216676.90322580645,541088.2096774194,203602.83870967742,2120787.234180564,1512185.1983945093,1231006.838574483,1209668.775035287,1083956.535221338,1722465.429137394,1127556.4417166119,986932.0004828209,1014032.4635821359,-3195791.0,-2663158.0,-4261054.0,-4028237.756043044,4793685.0,3195790.0,2663159.0,2598712.675704851,64,16,32,120,-59181.311111111114,35508.77777777778,11836.266666666666,45008.78500326297,43658.34426229508,0.0,26195.0,-8396.340476763638,1740373.1410016625,1237214.7649847826,1302203.9114090372,1271492.8698414722,1679615.2624605207,1297526.967473692,1027149.9759550975,1098299.1812288894,1017000000000,995000000000,83,376,46,62,46,62,Bot,Inigo
6,-28798848.0,-23824394.0,-42858124.0,6563640.874914014,21034047.0,32367945.0,40920258.0,46034840.74065656,132,160,68,4,-706367.4772727273,5307891.204545454,-931761.5,25527571.51797484,3129366.4516129033,2446945.580645161,1728627.0483870967,30657241.335318055,10159709.03912063,13835706.655722037,21564039.532036833,11093709.382283695,13696801.726201264,18255461.5109246,24765864.76733779,14071763.506962042,-29848575.0,-56057514.0,-54818153.0,-29733085.806283824,31051710.0,42968512.0,79909325.0,39471199.86574255,16,4,36,4,-110464.04651162791,3135.4651162790697,274746.9069767442,160757.5649317536,-23644.22950819672,503704.1967213115,478400.5573770492,486463.868248403,13791893.690640783,18011780.279410034,31381610.52203706,12911348.510681568,18480006.06865507,20743152.7011121,28449797.516131148,16347134.483607167,-3429649.0,-1993208.0,-2743054.0,937397.3623074689,2961932.0,2800478.0,2583264.0,3607346.7001673128,64,36,12,36,92983.56818181818,343108.8409090909,-418842.1818181818,2159191.39842191,141603.1475409836,23807.491803278688,7421.934426229508,1982184.3988379724,1494267.7114259228,1041563.5798455138,1335121.855279349,799080.3554045792,1538633.7362493372,1167402.504895471,992565.6924941855,861329.0222404096,-4793686.0,-2130526.0,-3728423.0,-2348511.8339753733,3728422.0,2130527.0,4793686.0,2454021.74494683,64,32,92,4,0.0,-12386.790697674418,-49547.13953488372,4131.926678404109,0.0,-71017.56666666667,35508.78333333333,-27381.592759787247,1656683.202852068,929586.6798058146,1415349.534585889,1029206.5294369771,1875589.9543230745,1164774.5673388387,1145949.3090661136,1048675.805100859,381000000000,394000000000,73,364,44,62,44,61,Bot,Inigo
7,-26078240.0,-33109725.0,-31178474.0,12300230.225560008,21510467.0,42896270.0,35647392.0,52759831.90581211,52,12,60,32,264999.0,4672743.62962963,-4097.222222222223,27902908.799934097,1448362.5,2738677.709677419,3087459.064516129,28800094.37026087,13990284.887655439,17262567.024131477,20327428.104788374,11007201.358701486,14593042.494655248,14777602.422963863,22807914.901232596,11310907.604589615,-44064300.0,-56070744.0,-53743364.0,-28469877.996395137,38350002.0,34358858.0,57196617.0,31766256.444297917,4,4,24,8,-25209.30769230769,-247609.15384615384,-172945.1923076923,-207528.1531704968,132305.9344262295,-595764.0655737704,-658488.6885245901,-191006.26999064363,18607981.946886785,18382554.33607296,26473058.44911242,15234611.570169859,17402347.560107823,17783239.583294455,33415490.910956483,15747892.994102955,-3962281.0,-3058471.0,-3275685.0,669876.5858857883,2429300.0,2267846.0,2050632.0,4670519.057753432,16,24,92,8,-569219.3703703703,729132.3703703703,-20713.296296296296,2313573.035049135,-199495.2258064516,180273.38709677418,-526617.9838709678,2206912.1872809688,1698188.721998375,1265045.1775915462,1175632.378682535,1093985.9185516092,1670107.1664264628,1351249.2766603285,1016990.5730324166,1026865.2389979085,-3728423.0,-3728423.0,-3195790.0,-3206641.71855694,3195791.0,1597895.0,3195791.0,2997935.6822295063,20,56,12,24,-61457.5,-40971.61538461538,-81943.34615384616,15660.849836582067,52390.016393442624,-8731.639344262296,8731.655737704918,-27077.38621219932,1712130.8817456604,1369336.6248666956,1293693.1082405413,1519400.5267355873,1874361.8166571993,1306427.7889720984,1183132.9579266063,1342446.8736259334,391000000000,1641000000000,7,300,27,62,27,62,Bot,Inigo
8,-31848088.0,-30723631.0,-48315050.0,12248021.952425502,24018735.0,28949916.0,42774200.0,52066094.849931665,44,40,88,108,-1784713.65,-1911400.225,1576518.925,26611821.23563329,1176296.6451612904,-806288.4193548387,1955693.6935483871,28690475.343310293,14939412.160098786,15541409.02672561,19189332.724341836,10778095.483313106,13698878.858785555,18388156.869671494,22361647.413262494,13969391.353675522,-28638556.0,-58420181.0,-53813934.0,-26217161.145017527,37051663.0,40624261.0,70302963.0,28608585.19734632,60,4,4,20,413133.9487179487,105981.64102564103,-405311.5641025641,420885.9717599033,-56821.311475409835,-1077901.1311475409,-1070350.8852459015,-144435.27873662292,17187931.211014844,19648058.977475878,25465436.234019008,13281080.35778851,16099747.762416534,19483334.257372174,27536337.847745515,16655180.048885234,-2364386.0,-1460576.0,-3275685.0,644928.8263203932,2429300.0,2267846.0,2050632.0,3286891.96032772,24,76,104,68,-167279.725,17477.0,-319579.0,2028381.7631706554,-147950.25806451612,257590.9193548387,-148621.35483870967,1929601.1112972307,1322328.6638134702,1108679.2202790277,1258993.0248132066,690449.5774483042,1381525.8013326903,994918.3329228469,1130844.63924639,710651.7076783977,-4261054.0,-2663159.0,-3195790.0,-2192485.0534238005,3728422.0,2130528.0,2663158.0,1858573.50919401,4,64,72,68,-13657.23076923077,-95600.56410256411,-27314.46153846154,-11513.598120546172,17463.32786885246,34926.65573770492,-8731.672131147541,-540.675638453844,1449854.5619089443,1098027.010226975,1374977.8167540692,862418.5314510214,1436883.509983778,1010914.353089173,1229398.8596501835,842601.7968098456,738000000000,227000000000,59,352,40,62,40,62,Bot,Inigo
9,-25201634.0,-32974720.0,-37858010.0,10937846.054462826,39353818.0,38362682.0,61182976.0,67215731.19864215,24,36,28,8,2132519.3095238097,-730460.6666666666,1896563.0714285714,27046812.462512504,2749345.9516129033,580374.2741935484,-13474.5,27506038.126857493,15715732.248350328,15377174.133086096,21088600.78873938,13699940.582258996,13480722.847778138,17524274.48754384,21931876.38259596,14452595.876245646,-42965218.0,-40614723.0,-62282562.0,-56277885.14417932,34580230.0,38232564.0,78519821.0,37199987.562993646,56,20,8,8,4623.0,644907.7073170731,-25283.975609756097,-332318.5854510283,152626.24590163934,-777284.6393442623,-466831.39344262297,556193.7918078221,18384322.67470474,16978916.757058714,26775900.794284634,17042147.17437872,14723699.937136404,15953898.684592435,25067897.0260842,15480191.175255314,-3429649.0,-3058471.0,-1677790.0,695204.9438590034,2961932.0,2800478.0,2050632.0,3590225.159698344,128,24,20,28,-259221.97619047618,276818.04761904763,300556.59523809527,2445322.0920372047,393272.4032258064,-77451.75806451614,40377.032258064515,2246229.484750884,1675896.4713306755,1565343.8832181836,1027475.8625455918,655028.8383071205,1580406.6553151153,1492427.76269074,1150963.6333926138,1042321.9839680144,-3195791.0,-3195790.0,-2663158.0,-1443751.6015580164,4261054.0,3728422.0,2663159.0,2312537.3941350607,84,68,24,48,-12991.024390243903,-77946.09756097561,12991.024390243903,-23017.405216131057,-34926.67213114754,8731.672131147541,-17463.32786885246,1957.913942427634,1880334.8546349783,1297021.541462006,1161515.9149517787,806734.7968518147,1716788.983563866,1362196.0479573226,1264736.15606222,1142073.3503713533,834000000000,370000000000,68,360,42,62,42,62,Bot,Inigo
