,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-377392080.0,-16171455.0,-187773700.0,21444691.537679855,240594150.0,300866600.0,259475230.0,444149910.2752404,112,52,72,60,-107391891.55555555,102895988.02777778,37307289.44444445,300637379.68681306,64450530.31147541,-38553378.81967213,-197404072.93442622,247123149.6515912,216121829.85132524,101912037.13090213,171634714.83361322,133312428.92441204,104937239.24215981,66108987.83670394,107301883.58374381,100798379.51551516,-149241240.0,-115502830.0,-156475070.0,-200464580.55156085,143564230.0,132823940.0,239611150.0,174980352.53943986,64,24,92,28,12231625.714285715,-1397350.857142857,-316279.14285714284,-570518.9932780905,3163296.95,311573.3333333333,-4506031.5,5104797.315388066,48356826.18471765,43448890.25654885,67027650.334513284,60079899.18865533,43473464.95227845,24481177.74856061,42589885.321377836,42471155.196400985,-16831863.0,-101944564.0,-51469127.0,25650691.408016317,53475280.0,64236076.0,12446452.0,115037534.26027317,80,68,72,104,16023045.868421054,-21433334.92105263,-25762676.02631579,69831468.49754202,-2587845.435483871,-1587762.3870967743,-21383557.69354839,40714893.81548751,23212857.794780817,59611124.432149485,16606982.503397914,27875071.561262846,12497955.543869056,32340567.772620074,14090996.4197043,13780818.617137877,-10652620.0,-15978987.0,-14913673.0,-22681320.747948945,12783194.0,25566291.0,9587389.0,11045053.919179566,52,72,24,12,-921296.6486486486,1554681.2162162163,-172732.24324324325,-1687218.0891637225,436595.868852459,-1292314.8852459015,384206.737704918,-847265.8657590278,4765047.908125438,9676827.873795072,5699144.797254543,7578312.584637152,4442215.091859202,7131973.005593272,4724921.47141119,5362392.018323534,762000000000,1510000000000,51,340,36,61,38,62,Bot,Stan-Handheld-Train
1,-404149530.0,-168094640.0,-540780540.0,170126018.17825624,347073320.0,214446540.0,43960570.0,620594495.2757399,108,96,60,132,-17555276.01694915,38847081.72881356,-280208603.0169492,396312825.04780203,414400554.75409836,-78927799.16393442,-543844865.2459016,708059054.2503546,230240170.3597978,114954279.98851264,164282326.883616,123130291.96084969,198690344.01917294,87703741.0723702,145771587.97930178,200837751.55543664,-237391360.0,-229861740.0,-186413280.0,-210012949.97605217,261838190.0,104141236.0,201987260.0,214334768.8059737,148,76,140,64,437130.1724137931,-1851599.8793103448,-3876727.2413793104,3476838.615433392,-937013.8333333334,1149654.3833333333,-2234069.5,1707237.113793844,70957979.32875268,43235764.34185782,61665698.19464365,59168499.26817091,47515022.45697838,33441886.18298322,46301198.927794896,49307758.85268747,-38145382.0,-84914551.0,-105791310.0,46850366.0030469,49206605.0,113222495.0,46540016.0,130474465.51010884,60,140,204,160,8112941.915254237,-705650.3728813559,-24958378.15254237,86533504.45412725,-26236675.80645161,3618814.0161290322,-35930071.241935484,102391304.348152,21335823.88733465,73077874.78157724,42736739.69746211,26570514.763919257,29232341.03344892,77289990.38895291,45578779.95435929,16581363.126088856,-11717867.0,-57524543.0,-44740923.0,-16784562.589581817,13848473.0,34088362.0,22370567.0,22767284.204141676,40,80,208,20,202056.25862068965,899911.1896551724,-1928469.1724137932,1020316.3288816258,279439.08196721313,-3614968.3606557376,1536801.0163934426,68524.19097402814,5724523.6649198355,13430741.517063312,9262388.600600827,6947174.875390379,6226156.501390473,12376931.48331063,7886113.279225209,5283534.340859432,658000000000,204000000000,137,428,59,61,59,62,Bot,Stan-Handheld-Train
2,39308070.0,-424750330.0,-874993800.0,298726225.84271336,264395420.0,-71626660.0,-206962110.0,954358679.4647381,24,88,64,64,168477129.7222222,-216291506.1111111,-547920305.0,630199938.5606067,155830985.4516129,56773378.0,-132856622.41935484,353004613.70300746,54032511.32608846,136626410.8916356,276957339.0839547,275501268.4956024,83183314.53216712,152974558.6638965,264398611.48662782,139534596.9273778,-94173850.0,-181280610.0,-49654010.0,-190080413.28041136,140850130.0,132211210.0,207829000.0,109745277.40293026,12,64,64,64,1358634.857142857,4909801.714285715,16289670.0,-15153011.048392681,-835605.2459016393,9367200.163934426,12528708.852459017,3915773.8673463985,35733905.73069779,44967841.53662573,51803986.868715696,53121836.759287566,32036661.266721934,38005799.33641979,61750847.968872376,59719730.25190957,-28567074.0,-93454238.0,-35478690.0,6134332.922220231,44936706.0,34378602.0,1805342.0,107991410.31474198,84,76,24,40,9322246.486486487,-41831896.54054054,-14115837.054054054,60524394.86670821,24748347.396825396,-48681417.85714286,-932617.5873015873,59881206.83424561,21700579.291965034,44550703.468209535,10843079.476845646,30015343.836692475,20946400.471604057,25455034.809577707,15943578.83334632,26993739.815489672,-12783128.0,-21305353.0,-11717860.0,-13188860.044765666,11717934.0,8522030.0,10652672.0,26648830.61373228,32,28,28,28,1094876.8055555555,-2811162.722222222,295930.52777777775,654023.4103149796,-257696.1935483871,532566.9354838709,721660.8548387097,-304771.90204847907,4578338.002857592,6287934.811565534,4667827.090945609,8112426.2021018425,5855624.670682622,10831084.977414602,5441162.056231651,11206987.124051286,162000000000,289000000000,45,340,36,62,37,63,Bot,Stan-Handheld-Train
3,-308238420.0,162499900.0,-154096130.0,208714196.9775979,150346220.0,432949070.0,245139120.0,530428601.1888545,140,100,124,112,-95381557.10526316,304394571.9298246,93381203.91228071,372065878.84265774,-35748110.09677419,147940197.67741936,-111386458.77419356,398267028.6801042,124268627.81734028,86482330.38339359,124404822.86259085,99699049.46831302,141331961.2774281,121233049.22619551,332288594.31924725,141510753.5322832,-175471730.0,-86414800.0,-150610927.0,-86668593.05262107,184853620.0,83510880.0,145507332.0,94364278.40536177,40,36,36,24,-4846948.571428572,2823037.8571428573,4140538.785714286,3563677.641467679,5210003.934426229,-3825383.1147540985,-5279470.655737705,-3160851.714475188,47073489.00171539,25521803.483759493,44072107.46778,27121688.66163813,61519064.30410916,55344573.793415494,97523658.22573468,73103693.21275225,-11539551.0,-54067626.0,-61034226.0,22048871.139058482,66226442.0,21569865.0,16728238.0,86544497.83785805,140,144,132,84,32697327.627118643,-18425515.542372882,-20356387.66101695,55556515.42092534,-1141400.3709677418,-8196959.161290322,-23593683.725806452,74588579.57158363,24534876.752813704,20158708.791800704,27798177.072470363,22265631.644975964,52611230.86242888,31651722.844705,40144203.93596627,19028220.230857518,-12783100.0,-20240146.0,-12783062.0,-12268136.321626417,10652728.0,13848213.0,9587438.0,10080992.672970373,128,144,116,16,275044.7413793103,-330683.5862068966,-330611.9482758621,356678.12455776555,-436531.8524590164,-227138.8524590164,-226968.73770491802,-82774.88788865604,4927796.373917816,6249828.315614699,5016848.840402902,4123187.745665394,13239721.68531265,7183898.52888562,12385723.672361802,9153131.647440512,84000000000,206000000000,136,424,57,62,59,62,Bot,Stan-Handheld-Train
4,-282669800.0,-161249160.0,-406173230.0,147044175.49537963,246264460.0,231397150.0,70973870.0,469391610.05558926,72,148,52,112,-55939536.2745098,51219126.90196078,-150899112.01960784,280600249.3351633,-927043.0483870967,-30954637.548387095,-222339161.41935483,305411767.88305634,163821186.534828,115825891.49382871,141046097.7199967,94495641.14722842,162077171.1725465,123683392.39956458,81898490.41905423,68471629.57049902,-236313820.0,-204719540.0,-223850740.0,-237095140.57970634,255274834.0,161801336.0,203814030.0,114432544.21152651,148,136,36,24,535014.8,-5508480.0,-6226883.0,3807917.6394421654,-46655.83606557377,3366915.901639344,2242416.5573770492,-1033322.6620502516,66783138.57367963,46422084.96094997,66608984.36954613,52166011.76191221,63293397.38867909,57086234.05223578,34537834.570779994,46588556.24000482,-48811856.0,-62612909.0,-62096469.0,13638695.41492272,25736302.0,49252762.0,34849114.0,73572746.25328484,44,56,148,36,-15696587.358490566,-13464629.924528303,-12728186.188679244,49209627.69198756,-1993554.5555555555,-18790835.0,-13854432.825396825,35742517.53366571,22517707.383502346,31041932.716267306,26521532.666702278,17518844.9969215,14224230.178943086,15652838.883806007,22023931.4838974,13861130.349137578,-15978892.0,-26631726.0,-12783130.0,-12167526.318288855,14913753.0,18109410.0,10652667.0,17000569.31437899,36,52,28,32,327416.67307692306,450873.3653846154,-1311211.0,-124457.17051928892,240568.43548387097,-824776.4516129033,532658.5,-182340.73125549994,6917559.873402211,8845112.291328598,5627473.236369287,6938060.263117258,4431272.242696322,5085194.3318988085,7188778.638084527,5778541.612867225,368000000000,1333000000000,111,400,51,62,53,63,Bot,Stan-Handheld-Train
5,-121086600.0,97512720.0,36169530.0,171692971.1601171,107518790.0,321629050.0,149380200.0,339223256.08701646,24,28,56,28,-17224014.666666668,191953182.2222222,95678187.77777778,233427518.31049573,30193268.274193548,121631283.9516129,39704514.90322581,179758710.12111685,73562859.43100816,60983879.62423288,38534237.50130246,45923432.36028172,81241215.10123241,55639233.62501185,89793250.08032057,49813005.70385208,-54058430.0,-147812370.0,-75993535.0,-91479723.78154668,121249678.0,149697310.0,75595370.0,123045496.16284758,28,28,20,28,1896028.3846153845,604464.6153846154,-1705077.8846153845,-560985.6570661343,356708.39344262297,-1266542.0327868853,-2715048.2622950817,-1923605.6518827896,36095417.80936015,45680749.9769878,30205833.677781392,34857934.93944517,46148093.290033214,41216209.94410994,40140934.07397767,34430151.88016908,-5151082.0,-62610485.0,-37590223.0,10853234.944612274,26806493.0,6630695.0,11411731.0,63393192.43346863,52,68,24,80,11305072.931034483,-16804822.20689655,-10885151.72413793,32420726.199389197,-5739264.258064516,-13457686.112903226,-10235981.709677419,28897838.0849561,9254251.351809429,22724361.36859434,14039924.479187282,16065164.26289836,12645535.198995577,18782737.465940133,10856559.490418121,10287911.217012977,-8522077.0,-12783339.0,-12783129.0,-12966007.349245038,4261086.0,13848353.0,9587407.0,10169207.398929045,20,68,20,16,-418471.1785714286,1483703.3214285714,-836965.8928571428,-1229508.8165796006,-366989.131147541,-87468.24590163934,279450.131147541,-350190.4156829013,3149023.344937681,6513060.716189274,5205929.736569879,6098900.538649247,3808743.3500326048,6097472.15920782,4955018.609864321,4961424.034880884,694000000000,572000000000,15,300,27,62,29,62,Bot,Stan-Handheld-Train
6,-135658980.0,-63533306.0,-150585170.0,103451333.87279882,182827830.0,167415140.0,234187130.0,290616348.93069404,60,24,64,12,46891064.26470588,33793786.47058824,67278202.70588236,178370950.09241644,-26852222.355932202,81887576.50847457,-189545842.15254238,290234924.8611631,91659677.58920044,83566776.35574995,111826459.94219263,56703471.461279884,150299711.22864252,81382604.38599634,164662225.29020303,121407777.27586752,-127210558.0,-192265036.0,-190264700.0,-93886274.49593902,201154230.0,87039470.0,160184864.0,187165015.05789524,48,24,24,24,2682685.8181818184,-5478151.060606061,-4917852.666666667,121976.16092700217,-3053391.724137931,-1192709.4827586208,-3058770.5344827585,-1010775.5460876961,53396203.87956699,45459490.571767546,61122800.66518364,41448793.40183848,50393556.67896557,37378022.18602883,59146099.801900946,57846300.950159736,-72273674.0,-73282639.0,-40778875.0,17548456.64758921,16142640.0,24719391.0,34854252.0,81070519.94584145,64,112,60,48,-19984936.714285713,-25194458.57142857,-6659925.628571428,52266167.7357937,-10195497.14516129,-23167459.33870968,-452043.2580645161,60639881.80587169,31293107.418650974,25667660.52401122,20912465.019276615,19327561.565083597,42497546.76636291,26291183.580887582,29081583.955955658,16028697.787117776,-10652591.0,-8522255.0,-19174697.0,-19262544.612333916,5326384.0,18109380.0,12783208.0,11044441.792343423,20,56,68,24,-2067828.2352941176,2036452.1176470588,-407268.23529411765,551930.6542408982,1746369.1803278688,-192176.5737704918,-1327175.7049180327,934044.4072975508,4496882.97135181,8143060.943929791,8243457.8441644795,7550971.358163861,4955527.528954887,8118553.742124843,6755669.374125547,6139303.123614956,942000000000,1448000000000,43,332,34,59,35,62,Bot,Stan-Handheld-Train
7,36636770.0,-58400630.0,-289608000.0,87187364.35332495,283159320.0,273015980.0,404861930.0,498591554.9762974,60,76,112,36,142401758.2352941,67889157.14705883,-42994793.5882353,251826496.2711956,86978109.7,55302969.983333334,-6481806.9,345730210.7111801,70886099.2689654,95484414.56940982,188371946.87695327,108782944.03625785,80508112.80704486,138432941.79401615,339100091.2516268,172989029.6565052,-149894960.0,-144583700.0,-18089770.0,-141255837.71351433,118822570.0,152242177.0,259143830.0,206739393.49602598,60,64,112,52,1941632.121212121,9682120.818181818,20496368.484848484,6687749.105733245,795736.1016949152,2296884.1694915253,4810971.711864407,4666372.250674743,43240563.110192746,47369420.18288407,53364693.83153313,59097288.59363437,48209260.39324562,48130371.40735841,97847081.060749,81928990.56660934,-9435225.0,-76489886.0,-34384257.0,9585604.856375158,42763495.0,1275433.0,11422259.0,89917351.36980407,116,68,24,76,14488023.628571428,-39052923.62857143,-14965903.342857143,48838918.47194535,11225370.50819672,-21586832.655737706,-21896789.37704918,72031134.98905599,16009136.906430816,22679437.69469451,12633814.793626597,22169765.32442819,43138411.27073943,51689283.954027,19703874.158309907,27116703.55323032,-5326303.0,-19174824.0,-9587336.0,-14295122.80027361,9587406.0,9587296.0,17044252.0,17377571.905521818,36,32,32,72,1065291.294117647,-752013.0,595323.8823529412,623703.3781169909,71045.3,-284132.5333333333,-994216.3333333334,700387.2907847861,3388418.378894526,6299693.497174605,6158569.407285255,6897462.414081211,7395381.121072808,9068029.018258724,6551923.518210605,6595965.7187235365,232000000000,1061000000000,41,328,34,60,35,61,Bot,Stan-Handheld-Train
8,-153148350.0,-121002674.0,-214285850.0,95916785.79321925,299910130.0,182281500.0,127252580.0,326414933.18564576,64,48,48,60,19929244.615384616,59077015.461538464,-14566558.307692308,192666335.44861853,893698.0327868853,20825665.95081967,-20063518.098360654,245474882.9169718,141590223.50378498,98039675.12195832,90229975.81207322,64285972.5194863,212390327.64715526,123723527.56070769,126647619.98693167,126671102.07239094,-152661390.0,-208505630.0,-113029480.0,-143287045.3124578,232926126.0,140468118.0,151372905.0,136619798.22768563,96,48,24,96,-1908332.6274509805,1710872.9411764706,-2019274.5098039217,2003060.979673608,5243927.166666667,-5598394.0,-4373423.166666667,3194362.274548556,56585938.59310643,47201879.24186179,39381760.79759163,38200562.794323936,72952874.17345637,44785444.53071006,49594346.37424436,55545810.25765689,-20093874.0,-104189304.0,-24796398.0,7853592.4387137,23582121.0,14055772.0,41250153.0,104624663.85009675,56,108,60,116,-2291461.6923076925,-25482444.615384616,1896820.8076923077,36458253.955204874,-13976504.048387097,-15567047.193548387,-2545455.3225806453,33320056.772411745,9672492.111464033,32077356.451016832,16631253.468153205,26738643.317685418,16499328.984611638,19633895.16345644,19092056.99638708,18580471.456170425,-9587355.0,-22370573.0,-18109462.0,-16774615.04909113,7456853.0,18109440.0,15978968.0,15640703.5289478,32,36,20,28,-271527.3725490196,167076.76470588235,522199.07843137253,-236410.86535265058,-244473.39344262294,-1082756.6721311475,-17449.147540983606,1068341.6712248165,3695260.980494988,8780264.204249598,6797725.050627164,7960911.309236899,10710795.963181134,13090148.45211309,8081772.107258554,7492540.782801656,406000000000,1793000000000,109,404,52,61,52,62,Bot,Stan-Handheld-Train
9,-397860470.0,-123834130.0,-185849670.0,103255502.50678101,12048185.0,223042960.0,218525890.0,442578212.11170053,112,56,48,112,-214629847.83870968,73882302.16129032,79275900.90322581,292775609.1151419,84653172.32258065,-181934504.11290324,-165550686.08064517,374602219.87692916,102863523.67513695,114906173.20575535,111445495.06852281,85824422.04578711,168230101.18449873,115002454.34497544,242943148.02994904,163412955.5061167,-34282080.0,-234004494.0,-114126204.0,-150211128.12702048,161524712.0,106275555.0,161990646.0,47988485.355614245,48,16,100,12,13663621.833333334,-4866568.333333333,7781330.866666666,-11310756.986830652,8358218.68852459,-6853596.131147541,-8186184.262295082,4038595.365835953,40688922.52195309,56916628.848480105,49455466.77820276,34450833.33820898,52288078.67242044,46282040.36799472,56957049.395560436,44734719.98952899,-21161216.0,-32822066.0,-47166362.0,19795568.915828258,27840798.0,65186379.0,11422996.0,74440338.8118966,84,116,100,104,9898268.3125,5864256.21875,-23430813.875,41318769.98599289,-19267306.73015873,11195879.857142856,-27670243.793650795,51810090.40927183,13547967.232755108,26355647.22254687,19661817.43816169,14345363.804682827,23536637.432757903,26033000.666351076,19116104.298967205,12333412.926007563,-14913676.0,-11717916.0,-18109470.0,-6181496.843310893,9587388.0,29827352.0,9587383.0,18530667.053154893,108,12,12,40,-653059.0,2783565.4516129033,-1718241.2580645161,1312665.9651605578,-274901.4516129032,-532643.5322580645,-51539.45161290323,290180.9933417078,4206198.163171599,8816483.601549843,5788496.276991778,5320904.101474523,5438316.949490926,10992150.639566246,6827523.242881953,5481975.890921776,203000000000,76000000000,25,320,31,62,32,63,Bot,Stan-Handheld-Train
