,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-8533955.0,-127484800.0,-176461700.0,83393408.97845064,170513150.0,95865250.0,151940350.0,261691463.12452093,24,72,24,112,51122237.28205128,-36444443.461538464,21805947.974358976,136671962.12639666,103894885.71666667,40089034.88333333,-15410265.1,154471744.87390932,39592219.223208815,69338230.6305071,100460583.90895665,42782014.07487267,61050017.62562639,67236110.01876798,78025478.47602977,54062855.71642181,-86397645.0,-82203390.0,-76265815.0,-58230999.788728,45871258.0,96290589.0,298054220.0,39827733.158762515,108,72,80,4,-2955311.1315789474,3898783.736842105,2460404.4736842103,-3823783.225019692,199471.49152542374,-232349.0,3581386.5084745763,636948.7360084855,22084494.487663142,27501686.408486687,53427069.883706965,17915321.155189417,32518731.58791362,28413081.135042164,43536834.388055794,32067375.863013703,-2651444.0,-7353348.0,-46058603.0,5236299.077964512,35698239.0,9691606.0,-4514130.0,46130388.84748536,4,44,92,92,14557388.076923076,-1807333.5384615385,-29833846.589743588,35971009.12788635,5540803.967213115,-4525832.967213115,13876834.967213115,32259841.42310516,9901548.148544006,4624941.08417944,11484726.167613205,7595626.96227597,14684105.93432243,7072097.743603964,25021485.79068882,9026776.003531637,-9587295.0,-10652765.0,-8522046.0,-6562627.769192979,38349683.0,10652288.0,8522272.0,31686766.267465804,44,84,84,92,504634.5789473684,27952.184210526317,-420460.2894736842,555630.7691245506,-106495.11666666667,-390666.75,727963.35,-180364.1332359278,7293842.410806168,3237407.547005327,3153832.818457667,5588222.495627516,4416675.192431335,3111621.828630468,3661842.6884626583,2870333.5677709137,587000000000,770000000000,96,348,39,60,39,61,Bot,Stan-Handheld
1,-107081890.0,-112885000.0,-243384840.0,47704896.038778126,106372360.0,47105790.0,236881260.0,274356218.72589016,52,152,60,172,30751900.431818184,-65017916.93181818,-102161170.25,213037974.1400531,82729897.7457627,6504301.288135593,-31646598.762711864,176759869.4027585,61865496.27714598,31866169.608828925,173742407.9263858,67538906.35551244,93390470.64005177,53369299.42145096,133134389.8861538,74405214.20469363,-69798470.0,-38730145.0,-223927023.0,-171638206.39589673,107847216.0,105336667.0,227510925.0,88367327.82227165,48,56,36,24,-1712089.441860465,2762727.9534883723,6068362.860465116,-5270960.992723534,-2114082.206896552,347589.6034482759,6208650.0,-2048845.7665507104,26181738.551858775,22275837.279588375,65771036.23194822,47434676.079350494,36188653.178402886,24894236.225999564,52496110.0080114,51064088.20181648,-23960139.0,-19082537.0,-34336365.0,15521615.134064142,39956339.0,23527449.0,8273807.0,50770505.052532755,172,64,76,168,17088384.266666666,-9210786.066666666,-18026092.68888889,36356050.060686745,4562547.241935484,-785424.4193548387,10285129.64516129,38678757.138889596,21189569.77984553,8928205.156447645,15361282.610811437,11428848.09948546,24891645.452422753,11358471.770262467,27744091.843197476,11272758.300111381,-12783117.0,-10652686.0,-10652588.0,-11103382.311613608,13848448.0,22370333.0,6391600.0,9167685.942722125,32,88,44,32,1428438.6590909092,798909.2045454546,-653666.2045454546,532727.0767027776,-1292268.1967213114,174591.54098360657,192116.50819672132,-85670.68936743673,5402964.889294762,5119510.438611194,3107542.4519553487,3824396.6511033694,4278971.856567056,4445558.56068108,5097930.838847538,3923018.9324584254,591000000000,157000000000,82,372,44,59,45,62,Bot,Stan-Handheld
2,-97050670.0,-67276480.0,-172224040.0,47546147.76820676,159150600.0,63490870.0,185706140.0,204434490.552448,88,48,60,160,22439272.239130434,-17876635.54347826,-26321503.760869566,124080782.52860413,51068671.18333333,8201853.566666666,10316730.816666666,157998523.75873,66587925.17185771,41920374.08344353,102891299.96216178,50885341.25155033,52242709.97020854,61060463.1106927,134246270.20527205,43840163.47679293,-80260757.0,-58374881.0,-86005686.0,-48354603.42659407,108641624.0,65564155.0,117322440.0,83168654.84225987,88,96,48,120,847774.088888889,2698421.5555555555,3819243.1333333333,3152982.6736648274,-841674.0677966102,-450813.22033898305,-2692020.5423728814,62956.57364233242,33993354.52534202,19681622.496762432,34518412.23115367,20166414.44108069,27740606.20385756,31564551.8495794,47656752.999633215,32348400.273940623,-8138329.0,-11808800.0,-26790591.0,9783599.936996913,38734519.0,13754600.0,12624921.0,44609377.41413926,128,132,72,112,13237216.217391305,-1875141.4782608696,-9306565.673913043,23930664.42884111,-5283711.016129033,-4288037.903225807,2969638.370967742,23571180.76468496,16031170.654080022,7625407.020839952,11478943.257632237,11522043.37070098,22740625.617399942,6321099.607737662,8132943.195529437,10703066.818774212,-8522059.0,-8522219.0,-5326266.0,-5768472.0379907,6391631.0,6391416.0,5326371.0,5547337.396601003,84,52,112,76,23711.82222222222,283982.0444444445,47386.933333333334,14242.589799695834,-855664.0327868853,34838.065573770495,471552.11475409835,-347171.79202061193,3171941.1570380144,3187098.3892169306,2608923.0954983137,2673330.5868169335,4489877.347194599,3012816.023757491,2934986.4619518816,3692979.4485950186,984000000000,490000000000,85,380,46,60,46,62,Bot,Stan-Handheld
3,-23579120.0,-81541060.0,-126616950.0,35539036.623537965,118230340.0,59094906.0,25545597.0,173314216.2843909,52,100,64,136,34126414.34883721,-23360052.69767442,-39203909.65116279,80538274.7909945,34325982.63934426,737854.7868852459,855047.344262295,108380776.88006052,36967150.741445355,32338285.92359341,50026669.60620755,39983956.26691379,60318105.11554119,50578990.79911643,78668768.55554444,40525609.361105636,-71574210.0,-67559242.0,-119021417.0,-110831998.22189872,47328946.0,95813751.0,142620082.0,80018998.39378484,12,48,64,12,-1271565.738095238,1133067.238095238,2539907.1666666665,-2393320.590533968,-446613.61666666664,232330.96666666667,3448295.6,323279.5109531278,21032622.8572397,24267929.553055063,35324680.245050505,26968171.346478853,30353254.52339962,25447071.895387992,33098007.9238153,29656360.956861887,-7080693.0,-7561505.0,-19329480.0,3732862.6028672685,12095212.0,12677905.0,8366381.0,23216236.84801415,172,40,140,144,2410422.7954545454,2098337.1818181816,-4585842.5227272725,11142109.222628148,4943229.46031746,-225601.7142857143,4039250.777777778,18722121.019914776,5043151.099471084,5225604.386056755,8974107.880251283,6181495.845739607,13636923.694736458,3755314.5905522215,13524988.139642224,8263298.83784745,-6391548.0,-6391656.0,-4261036.0,-3367286.0780513864,6391598.0,8522033.0,6391616.0,7719335.5383194955,4,148,80,96,445951.27906976745,-99154.93023255814,-371574.81395348837,298517.8471456056,-532605.5645161291,-206238.9193548387,378024.6935483871,253341.37591797466,2671641.6395380916,3173534.382569029,2091573.0767004641,2322499.3757111463,2968650.8820379227,2608218.7871947936,2939824.1667885985,3277918.0112192146,699000000000,300000000000,75,368,43,61,44,63,Bot,Stan-Handheld
4,3076077.0,-121584890.0,-163414480.0,58363465.14034202,114310740.0,62894820.0,111864090.0,189391226.92896864,60,36,48,60,57147598.525,-13410318.3,-27281594.35,112796686.96682934,26520609.866666667,-8159613.516666667,-18303131.4,146824712.10112518,34991430.55230227,58834639.88873881,78844919.33180451,46373654.2341807,88858930.73694104,65358233.79670398,107204900.34224196,53490894.654916786,-71709157.0,-87977408.0,-146152496.0,-53226222.032876536,38571834.0,56131360.0,86047649.0,61535544.441687554,64,36,36,40,-1451577.9487179487,-1022876.8461538461,-2772184.512820513,1697196.235597921,-1682257.220338983,1658447.6779661018,910403.3898305085,-2438064.532611947,19158905.65670616,22657024.830193006,32415196.575709175,17859783.57314494,42351908.57051076,26715403.843734954,47191745.153190754,42427737.715105906,-27326139.0,-12911238.0,-6538721.0,5030863.27416697,13154410.0,8395547.0,11571287.0,29704626.425209675,68,84,64,36,-5449371.195121951,-2881575.048780488,4217770.756097561,15076706.500038743,2291387.4590163934,-357243.47540983604,-41360.262295081964,16714930.51081462,12166993.020112291,6821566.204323891,5503432.409605645,7003636.63937242,13195566.262769537,5889609.984241731,9363375.469743434,4231707.042669352,-10652596.0,-4261143.0,-6391539.0,-6386352.9650685415,8522147.0,5326229.0,5326360.0,9744182.650958594,44,24,76,32,26663.325,-71.275,186454.925,98551.86513699661,106315.83333333333,159727.6,-177553.38333333333,-81274.90388604371,3545001.7805976165,2509596.4153251513,2245754.351034485,2954511.627597073,3605466.089297001,2707711.879842882,3255457.092113759,3118637.6290263254,168000000000,1657000000000,63,352,40,60,41,61,Bot,Stan-Handheld
5,-59905530.0,-62191963.0,-153670310.0,39416115.733742714,101769924.0,65991880.0,156360150.0,194523833.67663524,48,76,60,88,37960253.368421055,10868335.894736841,-4036752.4736842103,116050664.24942148,26646113.22033898,-14763678.338983051,-44100131.10169491,185231660.3115033,47409871.35203894,42568030.54186471,102545846.48090267,48596387.590946354,79182603.72452188,56438621.1682008,165950833.03320807,70815838.1195567,-79600813.0,-56439400.0,-103362082.0,-57642775.098664545,41972161.0,72497845.0,161714075.0,109770987.02121672,100,12,48,28,-1306701.3513513512,364110.2702702703,3729047.027027027,3560036.673012097,65425.34482758621,313372.4482758621,479961.2931034483,-404655.09910610755,20668282.489067722,23619309.75228488,44399166.94299204,33573950.4514311,39774569.52474866,32635973.884246703,71400271.52920435,46368049.12512304,-17745929.0,-15057564.0,-7599073.0,5766073.18421003,31255668.0,9444321.0,17967903.0,31646083.783327267,72,52,88,148,2084350.2307692308,-1782560.923076923,4720123.102564103,17087985.529518683,-2954815.2459016396,-422385.9016393443,2093115.950819672,21660967.378585253,14378630.172698906,6570857.338493345,7653894.405295749,6277394.781507048,19881558.915640548,8791350.398642799,8872183.062831592,9368798.115884578,-9587337.0,-7456924.0,-7456807.0,-10042830.754523344,6391616.0,8522030.0,7456882.0,5988128.969687708,96,32,72,44,-672770.052631579,56003.55263157895,-56036.63157894737,-673053.3232228848,443767.73333333334,-301617.9166666667,-177642.0,217227.79902238274,3553483.526026612,3832670.43183104,2911682.471097834,3423891.1385855647,5359147.953750888,3213881.762389003,2653710.153761164,4487170.989673718,264000000000,1322000000000,54,344,38,59,39,61,Bot,Stan-Handheld
6,-82112790.0,-123511790.0,-240299700.0,50738083.811516136,133972170.0,97964760.0,234550480.0,244508478.8344194,28,44,60,172,26454850.05263158,-17762242.92982456,-30198557.10526316,153945810.4134685,19837795.177419353,-2885733.580645161,-26482781.903225806,102559637.01566078,55627696.75389995,57938188.36136938,136574317.65612742,54249695.472508565,48005619.87215477,59168800.37853261,85574232.36835346,59655771.78447558,-124753000.0,-97800252.0,-133138656.0,-95373034.29707274,90141774.0,84454536.0,112414830.0,87372256.1266277,36,124,36,24,1915684.767857143,-2258769.1071428573,-6014296.071428572,-1431074.1791445694,726004.1147540984,-1053090.950819672,878568.5573770492,616069.1756599651,28773348.560119025,27455870.82692918,44915084.61739378,32424270.55446843,23921084.23788909,29946209.74652462,40081813.35642084,38966443.04569509,-22012210.0,-19306775.0,-17191616.0,4191737.3746519475,34446767.0,13716417.0,9439989.0,35676522.4756221,76,84,128,48,2892926.0344827585,437363.8965517241,-4610483.448275862,19449431.8766756,1147695.5161290322,-2831963.0,1691860.0322580645,14812200.831190877,16329361.378508748,9648888.216749074,7300238.366555361,7646282.576285498,10219540.670669187,7965347.408514042,9274986.425393172,6581239.3569010785,-11717898.0,-10652637.0,-5326318.0,-6872624.026683023,6391582.0,6391580.0,5326318.0,5930975.577843549,80,140,20,120,-18688.35087719298,-411155.4035087719,317710.6666666667,159138.23038725124,-52413.524590163935,-157233.0819672131,-104758.52459016393,148064.71756021466,4047761.5053897337,3454756.261345331,2699097.283926202,3284416.0442250916,3094822.22584336,3417043.9265087405,2753037.0801330176,3007499.4823984085,539000000000,1276000000000,130,420,57,62,58,62,Bot,Stan-Handheld
7,-106411460.0,-68727490.0,-186763760.0,52344704.95503999,159103870.0,26235580.0,50102710.0,199448495.9756719,60,60,24,24,-13273910.375,-32463997.25,-52291378.15625,112893601.23485734,11400535.50819672,-20692301.295081966,-34877119.72131147,105474169.56835963,73249767.27320406,30485887.742843088,72438522.84741095,49785010.320742816,52156768.521364816,33195263.978788946,90543620.60643046,50143000.22959319,-137295246.0,-77344894.0,-166299342.0,-110422457.64391738,76757910.0,62142849.0,132645130.0,130611023.15468045,60,24,36,72,-7554223.548387097,-485435.5483870968,174076.29032258064,-2175669.776892479,-171152.73333333334,229056.66666666666,-480850.5333333333,94716.01915594371,37027104.79858757,25086671.612746615,47657128.37130157,40181296.30571667,27345351.37967997,20975491.00016837,49552648.200187534,35939981.662796885,-26273666.0,-15051820.0,-8666989.0,9548611.566222703,20598099.0,11579475.0,20095043.0,32502402.813161384,120,92,56,52,-7944844.147058823,-670828.6470588235,3207476.882352941,19405126.22665769,3345988.870967742,2098939.0483870967,-490273.20967741933,13503247.555842657,13415194.567629239,7510782.033734517,10640156.709176753,6141581.996010609,11080413.584090952,4237101.615171101,7096723.484543236,4676162.369694243,-6393599.0,-8522124.0,-6391574.0,-5767488.167406809,12783170.0,8522094.0,10652644.0,7327557.919162609,20,48,28,20,1032927.1515151515,452055.0606060606,-161462.87878787878,-282686.2329964042,349232.62295081967,-104703.45901639345,209523.68852459016,-112923.22811208232,3542780.8303623633,3479333.6258607702,2933482.8940165653,2860160.5015659607,3846832.0954323225,2520113.1247206344,2120216.7995218495,2774381.874400228,775000000000,511000000000,35,324,32,61,34,62,Bot,Stan-Handheld
8,-85096360.0,-85169315.0,-156624800.0,28769148.088785633,120916840.0,61671257.0,62136650.0,199610649.8486568,60,36,84,36,30962277.860465117,-18985958.93023256,-28712217.790697675,106906350.81465745,51838788.42622951,-14124127.737704918,-34673152.03278688,117247685.3592376,70871552.87594217,41239548.60495851,75115178.68859367,53471845.53004221,49371219.6466948,32316385.477498837,98137982.53384274,57392691.873730876,-113488672.0,-92764854.0,-75881478.0,-97862184.88139872,84299560.0,67779064.0,109737875.0,68721379.47801083,88,36,96,88,-1499482.5476190476,-784453.9047619047,4061744.3571428573,-2633380.690162159,-1853148.0833333333,526078.5166666667,3138152.6666666665,-1342847.4387843718,28017048.254464302,24213875.29023189,31714839.556317728,29232935.113773186,24576530.372345846,18768966.837722074,46623125.494357385,34392348.4560241,-12427330.0,-9720802.0,-20387226.0,4280282.5385271,14204250.0,9454702.0,16896647.0,24461550.279899288,32,68,48,28,597752.0681818182,-229876.8409090909,167317.4090909091,12474064.568618942,2228603.2258064514,-786285.4838709678,763373.6451612903,12445906.066763856,7468752.627239723,5870037.785380238,9437702.294842528,4531801.493140125,10756358.966016786,5697092.718641675,4563957.546994031,4220742.378957854,-5326318.0,-4261051.0,-7456846.0,-5572572.376924648,8522106.0,5326319.0,6391580.0,6692185.407234056,44,32,20,32,49553.67441860465,198173.86046511628,198195.51162790696,-114206.33803563207,244485.73770491802,-157167.88524590165,227022.34426229508,3098.6646694849687,2756432.677109013,2390337.5825303136,2997704.0741992234,3269911.775070805,3527248.136602694,2593878.813842319,2233805.7475907067,3065578.396865696,755000000000,539000000000,73,364,43,61,44,62,Bot,Stan-Handheld
9,-60443400.0,-67851540.0,-101310250.0,40638901.541989915,115599630.0,89410305.0,93243120.0,138693467.44627124,160,148,196,60,24668342.75471698,2316835.0754716983,12826829.867924528,79675505.33348782,-4356984.064516129,-17125483.403225806,-30975203.548387095,128018143.80997561,43167479.50677627,42551289.50559219,54050068.20219434,30308065.439194396,94383152.2765963,54398461.029300354,89843213.52580865,67634608.69245966,-74533940.0,-67083836.0,-152296540.0,-44534715.185523994,70964813.0,76373100.0,85480213.0,72443429.22992855,136,12,96,112,490757.1346153846,407338.1346153846,-3481048.75,536356.7189126703,41985.13114754098,-81945.6393442623,-1374870.0819672132,-550252.2080161736,21416416.542558745,21181763.38143651,35076163.61427002,17567531.38392983,38681124.90528141,24226582.958721705,59438038.305172995,39028982.979968734,-14553638.0,-9711688.0,-12930628.0,2672410.818698727,17399822.0,17986187.0,22220127.0,24942937.965433925,204,132,152,180,1681446.2777777778,-2097878.925925926,5215857.944444444,13254652.262119314,-2784488.290322581,1904744.9838709678,-752262.9677419355,21073498.92348021,6890266.346697657,5714012.040757405,9747256.965850668,5587245.305680678,12439960.755289685,10476216.782469409,15174268.62992785,7452033.049595113,-7456846.0,-6391562.0,-6391601.0,-6934408.224125354,4261045.0,8522147.0,7454374.0,7198668.439575903,44,116,132,176,-582796.641509434,442366.88679245283,20039.77358490566,60121.979814907434,139692.90163934426,69884.34426229508,-716011.475409836,256397.64875622198,2462043.2187222834,2892711.7819273444,2779983.1000248133,2981259.684930388,3338010.4198968466,4251738.8685221365,3555237.0745256487,2757584.0155681567,626000000000,1574000000000,116,408,53,62,54,62,Bot,Stan-Handheld
