,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-92946350.0,-89277744.0,-242077830.0,41940297.18758976,236043300.0,65187454.0,64064026.0,252566190.32384405,200,108,60,84,55969102.8,7880063.527272727,-61798486.0,144626482.5841183,59969539.86885246,-1995203.9180327868,-63841593.475409836,157841374.14890304,92487316.9439502,40638487.08088805,86598472.106903,59532257.57408841,98792881.98139304,38009675.56594374,105634350.49287103,69557631.66473848,-88806150.0,-76101303.0,-135148527.0,-102306816.45276657,119468120.0,87987900.0,122656825.0,92621973.69860193,40,108,36,36,4833279.851851852,-1246231.5740740742,1402095.5,2709043.5725094886,-406898.06666666665,661214.2,-4959376.633333334,3863225.0950476807,30885182.9471453,22742679.051872548,31989586.02300455,29884497.83281754,33329072.488837536,21402617.096920203,35637159.62060169,30040232.10777857,-22799827.0,-48187796.0,-46582364.0,14603846.474343669,55834673.0,55290055.0,1998980.0,73107246.87628978,60,144,104,108,15308282.018867925,13047629.981132075,-26647217.396226414,46454481.98769249,-11880508.677419355,-1941339.1451612904,5620620.145161291,40957285.485379934,23643313.894666817,25824629.730400227,12704559.866131097,17997179.019877132,24980198.492855974,19121782.919152495,27058493.354967527,14007710.243241606,-7459080.0,-16086150.0,-6745148.0,-12339212.715992294,14088925.0,16310814.0,9638734.0,9774569.880265087,60,40,84,104,206556.5576923077,524454.8653846154,182509.13461538462,-533051.6827118639,695257.6721311476,-663217.9344262296,-111332.0655737705,326414.2899121494,4214957.535390598,6169675.382655127,3532839.829160437,4234056.770337431,5883757.227315933,5903902.360787159,4092210.037636587,5468136.254873712,706000000000,426000000000,117,416,55,61,53,62,Bot,Stan-Hybrid
1,-142183070.0,-83655360.0,-206824300.0,48103258.79884765,161940930.0,117257120.0,103594780.0,238859624.79159072,84,104,72,176,45536669.27118644,555313.3898305085,-44814036.576271184,134231112.00138858,44335894.85,-6043553.25,-39571070.46666667,101023134.32200924,83135647.85817692,39254427.5994174,94452265.09128803,56547388.24483389,49501728.48188963,30067440.860539448,73671898.5704758,45076723.3693317,-99609410.0,-86506845.0,-107988357.0,-94668411.65024379,102628530.0,81130506.0,128166196.0,48581717.377111554,108,12,120,4,3635098.275862069,-918240.3965517242,1878524.6551724137,-2282699.6385443527,1222019.2711864407,-1684883.8983050848,-1958483.3559322034,1258071.177177259,30241585.001819864,22760845.7097255,35216868.09843415,20339438.541977443,26799011.97487713,25087744.339326028,35960037.24234942,32844495.214043774,-23281343.0,-30452155.0,-37874587.0,12640489.971120147,52107353.0,35526708.0,15708545.0,62879655.93226998,128,60,64,108,8174786.166666667,5763747.633333334,-13349844.033333333,34391959.05658796,1153897.2419354839,6332752.096774193,-5208624.419354838,23394549.86068094,24172069.146385103,17422062.540283944,15636534.60152112,14575548.407749636,15137224.718510877,13746869.589099282,9948707.272711867,5522735.646429322,-15423033.0,-16885725.0,-13561672.0,-12883119.858803593,10324799.0,20227633.0,7177489.0,11528413.733399367,60,60,84,76,-126606.08474576271,-188949.30508474575,-99924.47457627118,-61029.43131831901,296867.3606557377,-94295.0,49017.24590163935,-276725.7197089232,4455761.642525883,5753965.975748996,3457532.307826172,4292004.784751505,3194592.884012302,4864597.311602378,2231420.9552370594,3058190.2222204125,312000000000,1073000000000,139,428,59,60,60,62,Bot,Stan-Hybrid
2,-28808728.0,-63362600.0,-140384200.0,56486056.21020002,92154920.0,52721024.0,74683666.0,159270304.2933771,128,160,64,52,35926502.32653061,-15698180.102040816,-28813051.163265307,94649063.47968177,16702515.55,-24880179.016666666,-20397838.333333332,156738388.41562966,38318654.93952331,39575361.39910848,68258265.89257117,31069242.187237687,73435220.17145586,55122286.490081705,142537622.52453372,71422702.59974079,-44090063.0,-106352807.0,-75619222.0,-54554297.16199028,103955493.0,100662709.0,116058825.0,53328285.79448426,16,12,44,24,1482244.2708333333,-1933485.3125,1907169.875,334950.2205317449,2034482.847457627,-947451.186440678,763594.1016949152,2272273.0984634873,19832826.050995436,26761769.116234723,28452327.87460369,18954645.471571855,32472025.4943053,21915513.07739137,57668594.520964175,38958338.94604696,-32385850.0,-15666572.0,-20720433.0,5047480.694571005,26912894.0,10341615.0,11495071.0,37767994.595275044,104,188,116,168,683965.9387755102,-3179111.1224489794,-6677725.040816327,19236663.97711596,3405518.1166666667,-7975940.2,-15457242.65,37049588.812362306,15611052.244557915,8514462.917549048,9406974.920188017,9124115.306101888,30503715.940850552,15345847.69783987,23331916.689467754,25176900.725909773,-7560158.0,-12220372.0,-5569778.0,-8100487.545374753,8334827.0,8935662.0,5176638.0,8692813.674998589,56,20,100,32,-650049.4791666666,-541837.2291666666,67304.8125,509937.46468017594,-159249.6779661017,626770.2711864407,136149.45762711865,245134.29940752004,3376782.4805316464,4331689.93999765,2215496.743236554,3255366.454588192,7484172.654325605,5266167.003095109,4508618.178298014,6472408.48059201,245000000000,1869000000000,99,384,49,60,49,60,Bot,Stan-Hybrid
3,-21346867.0,-87266920.0,-94450950.0,21299321.568670187,56502342.0,22271633.0,36832810.0,102287685.30673805,72,116,76,64,8647379.714285715,-16106646.2,-21002224.22857143,58290821.36592965,3221046.813559322,-16058671.491525425,-39531554.74576271,78029701.01346529,22370521.1753323,31849035.948511254,46912396.27551066,31873436.170454547,47364276.675352044,30085395.53165023,56430534.26429637,44742251.74152787,-53142592.0,-47292709.0,-76387884.0,-72564243.33928393,42974800.0,71589945.0,77102184.0,74995379.79764497,48,108,12,12,-852168.0294117647,2708645.382352941,-557773.2647058824,-2091561.3150184085,468201.1551724138,-248317.06896551725,-424582.3965517241,467015.1975383121,17299392.48010346,21238363.243902996,27418461.4660065,24516793.30451573,22879339.20094478,22269850.816030975,29273175.948534165,26234841.405862268,-16052797.0,-21689212.0,-15703687.0,4045539.1831455543,16933292.0,11340854.0,-718482.0,28738556.44599932,68,52,52,44,-3213052.1714285715,-5152851.657142857,-4376353.914285715,15452301.527443603,5286855.836065574,-5715457.557377049,-7069465.606557377,19600093.82399189,11180930.697284019,9606938.731027966,3370319.051202836,6367503.399935207,11480205.309551341,7711365.381845382,13866479.943113387,10266986.796782868,-6858730.0,-5128931.0,-4196594.0,-8011002.619928533,7241231.0,7044496.0,4034724.0,7301879.269454846,28,44,4,24,386382.4117647059,-489810.20588235295,-391292.70588235295,576928.1864894474,498974.61666666664,-27834.916666666668,-493891.86666666664,699604.8413409415,3099729.309887512,2842879.109709916,1675015.3047944251,2790782.449501499,3501233.408777394,2644543.3354394305,2983982.268998475,3116455.305631397,293000000000,1797000000000,42,332,35,59,35,61,Bot,Stan-Hybrid
4,-134855240.0,-70200920.0,-125414850.0,33978393.32640054,91670720.0,54816246.0,145242690.0,178327248.66293484,116,164,172,188,2138074.229508197,-3441325.9344262294,-5578244.573770491,89561453.28492616,19523916.704918034,-19383250.901639346,-22131107.01639344,100500197.9779874,58290384.81387112,34300679.65978785,71155361.46979131,39125089.81174912,72316106.01861615,33484729.905990172,73471369.47354181,52418681.14310929,-98217725.0,-98690986.0,-94438551.0,-94833822.39461017,114880290.0,80385685.0,156499388.0,135086524.06699565,24,24,24,188,-1015981.8,-1368331.9,591333.7,752581.3328356774,-1329888.3666666667,-15616.4,1548075.7,-565838.88317211,27845050.672901563,30760555.68378342,37132873.90918576,28030556.647565223,27492558.828493465,23852792.989224046,38794640.261669524,26271076.533546716,-31686753.0,-14831068.0,-20833127.0,7938002.904758665,17077856.0,30007316.0,18509846.0,36846400.797005735,68,220,128,88,-6300367.950819672,1623917.5409836066,-308903.8360655738,20398999.860730227,-3404375.9672131147,4817730.819672131,-416256.0327868852,21603593.217536077,13555298.7507054,9053966.99561297,12876827.355705777,7184211.55014911,14294017.487298176,10273930.708196407,14128777.07505028,8399855.385622717,-12706132.0,-7152886.0,-8368148.0,-7496462.848338816,10029798.0,10605572.0,10412437.0,8911381.873178005,100,80,112,148,-364906.6,601807.7666666667,-157711.38333333333,257360.50748897597,-34810.916666666664,9969.8,74210.28333333334,-66261.18588204868,3827159.850174496,3480473.9466509703,3164503.068161909,2948894.041980468,4026105.2469632574,4372159.528763388,3187898.2568018124,3596187.063012817,443000000000,1067000000000,146,436,61,61,61,61,Bot,Stan-Hybrid
5,-79722740.0,-60291290.0,-82617760.0,41686449.984203406,76928020.0,36254406.0,55239677.0,96403830.95771778,76,32,60,72,11006508.525,-15420735.025,-27602172.15,71071882.01034836,15828874.483333332,-16174236.95,-10633444.783333333,63730182.09901853,41615024.542185634,29833582.817742437,42059051.53676337,18964369.35482026,42619128.17903476,28198388.16792444,38698334.196106836,24790139.372662976,-93657524.0,-66442490.0,-99518299.0,-38472677.22544476,56354553.0,63174726.0,51302910.0,50075256.302944265,60,12,64,12,-85015.53846153847,-604323.8974358974,-1722103.5128205128,493209.89917228546,1410523.593220339,-42293.016949152545,-1485266.93220339,1531044.7793625398,22740222.205261275,22432296.123004332,25909171.967527285,15546396.664079579,24175264.076270845,24321835.119278632,26455330.469057433,16406555.242250726,-12324310.0,-11536600.0,-12428718.0,3438259.1258655884,21939633.0,18139802.0,8876760.0,23702753.190038685,148,44,48,24,1019552.25,3807963.875,-2376712.375,12416668.640832629,-2241487.7213114756,2622375.7540983604,1963696.5737704919,14390365.969908625,8467119.437209068,7316187.9675330045,6277009.618247782,5312709.071519942,11623570.950430574,6056080.027500918,7714658.326236398,6065088.33716415,-5055019.0,-10893243.0,-5729683.0,-8689073.773037158,8521513.0,12952390.0,7203922.0,8943184.272275254,36,40,60,120,704794.8205128205,-196620.79487179487,409733.1282051282,324727.7497640405,-65895.8,-149699.95,112350.25,20237.747115090584,2939194.6481164536,3998184.4264885783,2709482.3277036934,3491398.210816131,3358249.5814508125,3375928.5729200416,2684279.499707576,2648664.835827816,131000000000,988000000000,58,352,40,60,40,61,Bot,Stan-Hybrid
6,-90884610.0,-73367120.0,-142119880.0,22924377.489194904,121114310.0,25741577.0,92686180.0,167868211.1599091,96,136,36,64,7394005.909090909,-16368051.2,-53930575.90909091,101126728.91228016,7007941.816666666,-18944962.9,-30912407.066666666,67707596.71543685,58288033.43344333,26868002.183759898,68922733.62220098,41769091.39025244,36438913.43762702,33024875.11235172,42131863.331623346,30302200.686723996,-65358651.0,-67800522.0,-84204674.0,-107443786.95452797,56915031.0,48187733.0,136709209.0,83133687.25049615,108,16,56,40,-164540.55555555556,-1474159.7222222222,-1447598.0925925926,1542337.8529767108,-113593.55932203389,1817541.627118644,-160362.7966101695,-136171.79888264937,22489437.64502693,19586984.61080436,31185920.216112148,27543217.982710518,21666924.350452278,23739159.11687984,31757054.91088341,23977185.011611376,-19637695.0,-16595695.0,-8890374.0,4014116.909834341,16615272.0,11938631.0,17136450.0,24840497.064981632,64,164,68,76,-1340874.9473684211,-529872.649122807,2735975.052631579,14057115.543508949,-5110617.816666666,-388867.8333333333,-1343749.8333333333,11004679.20603049,10306669.805471294,7582992.535399464,7816907.317413425,5782491.290689814,8660929.338648846,5088921.562568884,3998604.02029271,4721572.354495207,-12837746.0,-8546686.0,-5950956.0,-9349539.741998047,9860585.0,7248668.0,5322894.0,7446434.590155296,84,164,80,72,440454.48214285716,342484.25,-38029.607142857145,-198192.36346273837,228619.06779661018,32891.254237288136,-51205.57627118644,-24135.704902895315,3639924.3343920284,3159314.4311082927,2366926.829145599,3045076.424506432,2878894.877446181,3087951.938762773,2257533.9512932776,2407388.81875072,139000000000,1751000000000,130,408,55,60,57,60,Bot,Stan-Hybrid
7,-93154654.0,-69972040.0,-201900960.0,46502973.47359414,72225470.0,58760166.0,105988026.0,223153090.54153907,84,88,60,52,2892118.0754716983,-14578657.547169812,-39003759.283018865,93772750.05213928,397437.4426229508,-12868498.459016394,-21312839.1147541,74314129.35414697,48876675.281407334,34435721.863489605,74327145.34210742,43732600.23251612,38168485.789442085,35238132.55031237,61566905.27739082,38790935.48000701,-98038480.0,-72388649.0,-136523725.0,-136357735.2822106,98424390.0,89796545.0,115271570.0,157531357.25865507,100,100,16,16,-1019095.2692307692,275868.6346153846,751183.5384615385,-994993.4690987741,284436.35,-40785.46666666667,2975694.3333333335,-336199.11358366534,31798483.208555575,22326630.30610172,36630407.02006228,32502050.38425808,23497466.486558918,28103870.14992165,31928887.27666373,28777839.068017364,-34187485.0,-16641935.0,-16451940.0,1812356.2434113224,20766513.0,10552791.0,16676787.0,37051946.08980525,80,120,104,32,-2959837.8113207547,-600038.1320754717,-1247253.716981132,17983759.42450834,1771923.6065573771,2760910.819672131,-1126959.4426229508,16242571.333332842,16303612.20002648,6811608.359650244,9958461.963067988,9624097.436705615,14960938.963763027,4435376.669596467,9004118.058462389,8281979.2145004375,-10961390.0,-10208781.0,-12478090.0,-22818220.100192096,13607649.0,15854555.0,8180971.0,8839685.388617158,80,32,60,16,-101724.42307692308,-183410.5,-59766.980769230766,-18233.31356275114,-211778.33333333334,60.46666666666667,-78021.76666666666,-85655.76151980532,3998347.5407612715,3935914.280161353,2992934.537471675,4631010.043091276,4400168.04021316,2911548.7243404924,2540329.1164330747,3865854.7008743347,273000000000,1883000000000,112,400,53,61,53,61,Bot,Stan-Hybrid
8,-35922676.0,-79686165.0,-74566840.0,17548823.03068197,46747223.0,24524212.0,87066170.0,103810792.59609154,24,64,100,48,9721095.527777778,-28443813.194444444,2650684.722222222,61260002.979686156,-1297064.9166666667,-18320870.183333334,-13635897.65,59159116.67279136,26814900.328560762,30629881.801381897,44055241.40123602,25974509.791763954,35000949.81831362,25837522.573982235,41403652.441459775,24081739.3873163,-61929704.0,-43018818.0,-99382397.0,-76003432.76950307,55526093.0,63544274.0,75961112.0,44313402.78295133,88,64,96,8,288184.17142857146,1168387.2857142857,469412.1142857143,-303634.6049402468,-350726.1186440678,-1102722.3220338982,-513981.9661016949,247737.42461339623,20124072.313645795,18589903.69731944,28400357.34226679,19803976.717277654,22609295.01285745,21640429.379946284,31648431.970036358,21646661.145965226,-17285550.0,-5711597.0,-15083351.0,3200907.316278464,18076744.0,6907444.0,8011114.0,19095487.73615327,84,72,124,40,1174913.605263158,375457.63157894736,-2245970.1052631577,12267817.652214175,-2036585.7741935484,357118.17741935485,-67714.09677419355,10253041.825938676,10626278.154922064,3580732.86688625,6570917.185328428,4592680.418562367,8584086.570673194,2895825.500473451,6233914.304148833,4293689.65402928,-5525746.0,-5490539.0,-3943964.0,-4966751.539553165,5129012.0,5564487.0,9778146.0,6103202.475463787,28,112,48,28,-307157.1891891892,-147198.1891891892,500170.8108108108,42598.66883504235,-102676.01639344262,27964.426229508197,-23454.213114754097,76879.3558438092,2533017.376099403,2036135.3944854643,2119352.534583883,2351548.547647517,2807251.788506306,2528156.122062276,2020596.7586214019,2351587.295340736,128000000000,1101000000000,54,340,36,60,38,62,Bot,Stan-Hybrid
9,-96287890.0,-83120820.0,-139756200.0,15637136.663542913,72102025.0,43833733.0,115315914.0,143275067.59006816,136,152,76,48,3616292.975609756,-19327721.68292683,-20886967.43902439,89977193.05695656,-735030.9166666666,-26825237.25,-25629258.4,82651715.20345683,47056111.31739992,36135087.245888166,70800777.78627586,32832240.70820417,50614674.13437893,28829742.76629398,58197455.98916545,35116715.13029991,-56222923.0,-77116013.0,-142505170.0,-73982077.4665794,65387650.0,16018868.0,81185340.0,86001105.92453416,48,36,28,24,3737765.9,-3173863.825,-2108550.075,-389535.1963186741,638070.1186440678,59669.30508474576,-56670.8813559322,-14860.355244397611,23687031.064678427,15904652.673197052,39187936.46427162,23640979.71524885,25864751.82206041,19872746.55609044,33284782.910638068,23363458.909243517,-13745885.0,-17397450.0,-14195287.0,5503613.752004132,18638672.0,12559693.0,7483763.0,21183591.914961755,72,124,40,156,3139783.0714285714,434450.09523809527,-4146776.9523809524,14762375.442889106,-330485.23333333334,-2391989.9166666665,-3499401.8833333333,16354743.990044694,10442046.899573972,8150812.13992384,6012110.109109162,4035060.304554297,12140905.157646924,10086618.91208656,6783327.750404254,6444133.587438237,-13265354.0,-10650581.0,-4842333.0,-5191483.120077249,13603104.0,9862563.0,9246223.0,8163257.43315077,40,60,40,4,345642.48780487804,-511334.39024390245,146481.82926829267,368670.98680592905,157057.0338983051,-23828.898305084746,178854.71186440677,-85878.34541010474,3844146.939906657,3391256.437656158,2702241.586939465,2523550.524271976,4171703.772581995,4121973.5261461367,3513356.1737508657,3666214.192461522,881000000000,763000000000,64,348,41,60,42,60,Bot,Stan-Hybrid
