,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-409381840.0,-4666049000.0,-5466220400.0,4462146287.332918,1163372400.0,-2936548500.0,-1739240600.0,6816541266.809196,56,160,76,76,150538898.5357143,-3659979250.0,-4512627866.071428,5897827053.4722395,174690933.61666667,-3583264778.3333335,-1803835464.0333333,4910843459.099066,441186372.9223588,517126570.044296,925037165.9435524,545058887.7661575,356072494.6659233,473060838.58699745,2875063080.98748,699172509.8912524,-787716400.0,-885524000.0,-1613741200.0,-697473274.4463053,569439640.0,948133000.0,867996400.0,1095080837.7385035,12,12,72,60,-17614874.545454547,14418485.454545455,-56882381.81818182,25732233.21666745,10938076.101694915,-21577771.186440676,151162966.1016949,5305928.4773842925,191453775.7848536,224734623.68834078,366511506.56095725,270834547.26997507,148039406.1481941,184888263.26219997,383315349.82314277,273409745.36261946,-3852738100.0,-128957930.0,-50047576.0,2077430.629109911,9784828000.0,610799850.0,103279600.0,9804417479.999523,216,208,36,136,3796440247.5636363,172227334.6727273,5715899.8,4493832132.949243,-6713672093.4754095,-305679413.5081967,-31724506.032786883,6724283793.257994,4164028594.435256,205782736.5468978,27871684.94284821,3394682247.359596,3430789108.443997,163815322.3703309,41492103.7166307,3427814931.1583705,-6475849238.0,-334383958.0,-74525561.0,-6484481386.941388,5529008538.0,218319558.0,36041051.0,5533317603.339972,4,4,8,4,-252547520.37037036,-13687905.555555556,-1357478.3703703703,-110174548.1860013,-149621254.06666666,-6414085.083333333,-2158390.7,148059454.1187678,1348825537.1759458,74153179.98553367,15288981.541064708,1367944992.7659051,1823221014.1456978,86550104.22539665,13840217.623970855,1824393522.0071764,675000000000,575000000000,122,412,56,60,55,61,Bot,Stan-S8-Swing
1,-218611630.0,-4694942500.0,-4877338400.0,3775002931.2082124,782618400.0,-3426153200.0,3981811500.0,6200916636.039426,164,60,164,100,278562204.0,-3902583519.1489363,-728645813.4042553,4919337095.306437,214837551.01639345,-2857278034.4262295,4267214780.327869,5251213199.307588,246764703.41952688,325305433.9579849,2987759174.4533095,741928871.7201046,292262331.0951965,825006985.0780606,720206432.856165,330999303.13631225,-733358260.0,-924190100.0,-555943900.0,-788509700.3758135,390406960.0,723741100.0,1163617470.0,1005621119.6845908,16,8,80,52,2297663.913043478,2098621.7391304346,173778658.6956522,-21129099.687315505,-2413744.6666666665,30306725.0,39477606.666666664,5337762.987992001,200726107.725329,273989278.0771269,389006669.11447406,328649122.27479404,135205291.99723995,165799233.4830448,259389946.00550917,242513050.84530893,-10183135000.0,-546178900.0,-130681800.0,6793567.1321548,-6786102.0,-318261.0,17147599.0,10191683873.643633,96,80,160,96,-7420886708.489362,-345981683.65957445,-39559061.10638298,7429232617.16873,-3083253469.2419353,-148872607.43548387,-21385908.919354837,4384763483.266668,3459778513.87224,171085696.16562238,38703338.89907422,3463828532.3323584,4625720473.024549,233972366.56298032,33976781.29381788,3405457450.519889,-8959023941.0,-450439821.0,-130547410.0,-9648945771.932037,9639880545.0,411932088.0,71938543.0,8971290233.507895,12,12,12,12,-80036608.69565217,-4448692.826086956,-1407645.8695652173,80162057.66823407,244766698.36065573,13168652.459016394,1051489.3770491802,-86600635.22591466,2889299339.3285155,137986427.89044258,27271125.688284315,2892231511.604706,2023119536.277503,105844345.83144532,22152140.844278015,2038167514.8482404,742000000000,846000000000,86,380,47,61,47,62,Bot,Stan-S8-Swing
2,59008062.0,-2630223800.0,3591066400.0,4076581933.150727,538403750.0,-1872701600.0,5091562300.0,5750863145.68432,48,88,144,144,346440720.3684211,-2293139742.105263,4655235968.421053,5204707064.153947,176745722.47540984,-3455216768.852459,710393548.5245901,4801082981.519977,142986631.13776612,204657510.8307874,306675564.9168238,340700030.66058946,298156473.57395154,806599890.7406267,3253953008.00192,758595895.5557779,-194700240.0,-280380400.0,-1064791600.0,-1159783860.0944781,211617450.0,458892800.0,459700700.0,489137655.70698357,24,40,108,108,-11376556.432432432,18964329.72972973,-40553943.24324324,-45250843.58198902,-7804375.35,-24442490.0,-157568486.66666666,17733648.87059606,81417139.91795415,115309641.79355882,240773714.95673776,250354996.277371,155454834.81163326,302786734.0982377,428637373.428607,304969254.8624244,-4277289400.0,-287172020.0,-26834700.0,247648.18869517298,6100089600.0,384779750.0,29975768.0,6112214593.868287,144,136,32,88,949133486.3684211,56807961.39473684,940507.2631578947,2829531958.759656,7145030421.098361,352697561.13114756,34074875.016393445,7154076298.075839,3229978125.5571184,211292950.34396783,16890640.580667533,1784256004.352156,3037529756.771893,143241755.375118,40478291.78320294,3040540944.322823,0.0,-48869200.0,-28099803.0,-816573203.9615198,815897866.0,88575450.0,25045475.0,650187487.194343,52,8,20,28,280469702.7027027,18144348.91891892,214628.32432432432,49333383.5007691,-55616783.6,-3496429.7333333334,406500.3,-55728033.73984173,276134368.1951943,26470194.923493277,11555733.640656339,391149938.0955489,3125780701.6777716,154313658.72688624,27918629.099816006,3129465364.265343,286000000000,1879000000000,58,344,38,61,38,61,Bot,Stan-S8-Swing
3,-270026330.0,-4507768000.0,-4064135000.0,3836504499.5845575,673187850.0,-2392805000.0,3626929300.0,5460157941.125217,64,116,156,40,209550050.46666667,-3571366462.2222223,-1239289462.0444446,4599932894.738107,51851270.93442623,-2523370806.557377,-3222714197.377049,4239749923.9919744,290904183.21067184,676886832.286708,2574109083.7717886,434454725.6012934,182812301.6867428,442493864.15615445,1096243005.5195472,437196731.8169109,-453849014.0,-673261500.0,-2930592480.0,-723345526.4712543,325744000.0,559270400.0,331330500.0,963249801.6957154,40,48,16,44,-9999674.25,37832386.36363637,-165853045.45454547,-24511530.63591554,5428031.666666667,-7018511.666666667,72476585.83333333,-17770715.412219055,133632162.31496213,247627633.6894238,539407319.5709978,281037747.1339122,122058999.12191208,153419019.42298216,275344717.09732145,157547010.0905874,6103155.0,246790.0,-19504316.0,6108143.107882624,10152570000.0,519780930.0,100225270.0,10166230310.3604,108,100,108,108,7745774255.795455,369182003.1818182,37166276.95454545,7754859385.8531685,-2081571945.5245903,-96471446.27868852,-5256465.508196721,4185935717.8225274,2486730783.312487,136824916.44166443,40015804.74682241,2490166761.296816,4697860917.931677,209699527.4598268,15768807.824451614,2952062842.1597214,-6621773645.0,-353378810.0,-44593164.0,-6631201126.442621,5615067845.0,227540590.0,44593164.0,5619681835.036465,4,4,8,4,-149463088.37209302,-8495288.139534883,-2571316.465116279,-149706240.13769457,-268332746.66666666,-14782938.333333334,-885754.6166666667,47499717.24572537,1338078396.064226,80003944.58434436,15455229.95582558,1339658812.643922,1726063655.0249264,82633536.80085452,10513468.874951651,1747579307.8727741,92000000000,305000000000,77,372,45,61,44,61,Bot,Stan-S8-Swing
4,-134505030.0,-4553377000.0,-5056322600.0,3697939792.166677,947222770.0,-3153956400.0,3803005200.0,6060244773.102462,176,132,192,124,248395439.0188679,-3755829550.943396,-1402396004.8679245,4954983337.030341,241286494.13114753,-2947299344.2622952,4268510790.163934,5313163375.91293,281901206.2593481,363456630.091981,2971159350.988185,678452996.2069908,377948415.31029993,748717702.7289083,831860024.3919795,331070090.9649134,-769709110.0,-808255500.0,-479017810.0,-886167155.8988991,531529010.0,643558400.0,1620356600.0,843782695.0876966,16,4,20,72,3021271.2115384615,-3159769.230769231,165880515.3846154,-20279545.658276577,461366.3333333333,18871803.333333332,55730896.666666664,23948454.147937734,184551028.54684874,238464778.06356558,372096867.6805462,267845101.0761158,181207403.40568858,168293944.74548095,261180033.31967583,227139971.4658722,-10172750000.0,-535794200.0,-160614180.0,9402232.016603451,-9386555.0,-541227.0,9206350.0,10180705569.379055,40,52,156,40,-7377405801.037736,-331124554.7169811,-35034332.283018865,7385070520.984258,-4060693894.2622952,-202539570.852459,-28990743.1147541,4837990906.412127,2854611406.422279,136598740.49774516,43144737.21455286,2857797011.7404,4402974053.165844,217064130.05826542,47423557.322757706,3527875234.529635,-10066353255.0,-524208504.0,-65889759.0,-9788563648.358273,9781078255.0,381266044.0,34120487.0,10080152475.816313,4,4,16,4,-116663503.84615384,-4945659.038461538,-3230537.1923076925,116792913.76839879,238990845.0,12767083.833333334,162897.4,-97158130.63187122,2689473675.7312675,123866932.02398965,17191146.85495463,2692170606.7288165,1886838054.761125,105160183.72683959,29609071.53501762,1901272178.5738158,845000000000,484000000000,113,400,53,61,53,61,Bot,Stan-S8-Swing
5,-631766000.0,-3878523800.0,4421353000.0,5317357115.351639,744143600.0,-2265533700.0,5637043000.0,6614107078.470456,80,120,36,120,218962027.55555555,-2931399271.111111,5047350017.777778,5864709772.028294,194173133.73770493,-3355576811.47541,1650266241.9672132,4968864431.315803,385626163.26609766,429065065.33465546,219373794.88894406,310769783.9654202,319967843.0214655,693351005.2692276,3294236227.0423217,767242224.2863977,-232529190.0,-519557700.0,-604392000.0,-673885686.6416979,419254840.0,397449600.0,928979000.0,760178892.1979408,16,96,32,32,7467368.863636363,28522052.272727273,9760340.909090908,-8234896.109566883,3771035.0,-36374205.0,-164374776.66666666,23987477.142532986,149712845.55481538,166252793.83037376,222649774.18490306,233695167.68278864,167994899.5649239,296198084.23532695,460079506.762979,370898181.27123034,-7412861000.0,-338484700.0,-45771524.0,794657.5166774677,5042071000.0,345073500.0,40360477.0,7419276949.707751,176,168,72,100,-1447497298.7333333,-75732327.73333333,-4520213.533333333,3229787376.45353,6806510064.737705,344977351.59016395,43686087.24590164,6815652219.457156,3663682691.15053,215712913.8443015,27901188.55274349,2224866085.4913683,3255245110.7536144,148658480.99577418,41939670.04429437,3258343235.750755,-4873628814.0,-292315498.0,-45753809.0,-5875347437.703394,5866895914.0,314917518.0,35430186.0,4882439641.711118,4,4,36,4,283066636.3636364,14813482.272727273,610865.2727272727,-53759270.21736684,108672921.66666667,5457062.75,-223983.93333333332,108799144.0380521,1391673662.7957435,85782221.08285615,15966488.642889699,1419745699.0642104,2915337878.750131,147236334.70820227,29805836.949689444,2918955166.8523726,970000000000,836000000000,79,368,45,61,45,61,Bot,Stan-S8-Swing
6,-237148280.0,-4716829300.0,-5485842000.0,3688034610.711844,803664570.0,-3230792500.0,2997126600.0,6854428490.932758,72,124,176,84,238225647.8846154,-3924887365.3846154,-2494576240.3846154,5360549003.366476,120099003.06557377,-3483758009.836066,-4364350303.770492,5666077622.994459,326958427.6139924,323484672.3111755,2846207472.652166,1059765017.4279869,195203952.29198477,280019137.1656234,1155931063.729854,729181301.1087492,-985238970.0,-560260400.0,-1699935200.0,-653093813.7127042,1015172490.0,386698300.0,581099500.0,992189609.0491819,4,52,104,76,-2075402.156862745,-5192082.352941177,-157474956.8627451,33120834.446843296,6021800.566666666,-1486251.6666666667,70634889.5,-35910149.13851236,260212188.10600233,178650426.20866576,419019307.22455263,293294367.86970735,112093623.43633115,118093075.48620915,277709886.32183355,190191512.29080898,8332202.0,342695.0,-30499890.0,8339248.608340562,10125080000.0,526500460.0,105112190.0,10139118682.735203,68,40,56,68,7211987665.301887,339238179.4528302,39647055.50943396,7220227930.099788,-2047347080.6229508,-95205642.59016393,-5125279.606557377,4409477271.139703,3103690983.2820053,157310198.26230168,44644328.14534705,3107623339.0442038,4787697602.997323,218179627.1366911,16494665.008903524,2733698456.7137475,-9779774169.0,-488808873.0,-97087251.0,-9792463330.528267,10114981787.0,524253733.0,95857580.0,10129011564.641792,12,12,12,12,-100745767.3076923,-5380313.269230769,-939792.6923076923,-100884743.428651,-261979745.0,-14131350.0,-1007927.6666666666,53805601.02404415,2549688926.0049725,133066360.60760537,25155995.924024846,2553037002.259251,1653836306.067498,79786369.15523529,11802171.097029872,1673328744.3963044,975000000000,1058000000000,113,400,52,61,53,61,Bot,Stan-S8-Swing
7,-136722090.0,-3726527700.0,-4894119300.0,3756228838.5437756,465042260.0,-2477237200.0,-77343940.0,5636160234.42667,100,144,176,176,93807829.57777777,-2880112413.3333335,-3665880747.5555553,4771349086.9139185,155936511.83606556,-3775526201.639344,2849950202.622951,5579951305.035493,156928043.42167154,348163862.8650926,1073066149.3612719,500816225.8839255,374373949.1950298,474412512.84524477,3192962732.1633806,1296120832.5026076,-433020970.0,-537904300.0,-439023500.0,-922391431.3080945,541106070.0,174781700.0,1632895400.0,533649856.20782185,16,12,4,4,7070199.090909091,-21259893.181818184,109472167.27272727,-42725713.54279306,-3032757.8333333335,-975180.0,154335983.33333334,33227591.290663037,113143618.8010331,121248944.49628566,357671207.4423551,200482669.82814458,229704896.86732733,246141069.52698877,516134515.2025115,349423907.6704314,-9288217000.0,-461268600.0,-59210557.0,103649.44478867216,1776996000.0,120885950.0,12871542.0,9299682829.159468,176,176,72,148,-3505734358.7777777,-159982198.62222221,-5933646.177777777,3855919015.738216,-7130911489.393442,-347543262.72131145,-40993434.03278688,7139751078.255434,3639964455.2184205,169209569.6624365,15596343.59148611,3266175255.184295,3008971537.4847965,140877182.11215353,43117300.14972274,3011955154.569274,-8478087968.0,-390643458.0,-59195896.0,-7683365825.4483795,7674798968.0,362543618.0,36041048.0,8487289332.831867,4,4,20,4,-251482113.63636363,-13230785.227272727,-569215.3636363636,170876570.91313013,65780000.0,1975130.6666666667,152716.31666666668,-65787218.25902034,1979925001.1797488,93573127.8578165,12334902.495038321,1990692134.7766538,2968233858.625041,147630899.35949105,25441181.01053036,2971685663.3462577,297000000000,675000000000,81,368,45,61,45,61,Bot,Stan-S8-Swing
8,-518251400.0,-4677651400.0,5050511400.0,6044746235.012548,642964070.0,-3259997000.0,7083095600.0,8489727452.142463,136,192,200,200,203567040.1851852,-3701979564.814815,5947966779.62963,7018383676.965255,237447025.93548387,-3799947158.064516,1789497707.2580645,5234336705.017076,330985781.2543078,383724439.69108045,448085009.2269594,567232376.1498561,351916626.0800882,338073038.4836077,3235996029.8721404,922384633.9968097,-260810280.0,-387872400.0,-596696700.0,-575857013.2483759,391630120.0,470163300.0,1087000900.0,1114055218.6505156,28,32,40,8,1755400.0,18313052.83018868,-17841194.339622643,-25111811.292064127,-8841916.721311476,3232686.8852459015,-146143101.63934427,-31603132.28769163,128991625.0904463,120171886.29862976,250498286.54120374,254958809.5485862,206315278.34304544,236514302.0945484,333894131.89718807,254097183.2296005,-7739673600.0,-346425950.0,-54934500.0,3982591.7374268984,6610772600.0,392110140.0,37306152.0,7747037242.2969885,212,176,76,172,-617087747.6481482,-29221280.85185185,-3295787.5555555555,3675462546.021454,7621203691.0,372496840.5967742,40220549.98387097,7630651482.811814,4367765786.357684,245666939.07078236,25912128.877347786,2400698369.659187,2660301199.1338053,123131961.68966143,40739842.15800933,2662750055.790746,-4182099647.0,-274028674.0,-28641639.0,-5294720068.286859,5285322147.0,314956614.0,28710667.0,4587269302.020961,8,8,40,124,270763135.8490566,12332562.452830188,1233256.3018867925,-21293565.035197213,-56008081.72131147,-3639474.9344262294,390082.5081967213,-56127538.25459513,1230184694.4516056,80942593.8465497,13389303.234625343,1261376840.3420806,1721838819.723572,100001271.42630643,16136672.726720715,1724265464.1066778,184000000000,953000000000,116,408,54,62,54,62,Bot,Stan-S8-Swing
9,-284288260.0,-4415818000.0,-5657144000.0,3602526731.114765,688029800.0,-3162212000.0,4181158000.0,6965927829.870212,132,72,188,124,182909331.21052632,-3865823319.2982454,-1482428365.6140351,5238121871.357828,148614440.75,-3600555750.0,-4752088115.0,6010205330.609672,322633783.3626128,309161885.9675695,3350580094.546846,990214350.1886562,202678338.91786203,255740883.1309147,973344357.3312889,700250142.7448289,-701522500.0,-796098700.0,-1479661700.0,-630053926.5935287,915765050.0,565794000.0,540336600.0,1003203480.0987129,4,40,44,140,5819813.875,-3303919.6428571427,-166469705.35714287,22333788.3024113,-277491.0169491525,14490903.38983051,67681361.01694915,-54313847.22170244,212396369.9120919,222830439.96671423,446900620.9049277,296374239.401388,107875930.01846927,135224341.0511007,259943017.4964923,232306344.81997567,5433036.0,161268.0,-26834700.0,5435429.057434564,10097591000.0,541161240.0,102668730.0,10110655983.045527,116,112,56,116,7309107725.875,345157961.48214287,41135589.625,7317537977.120621,-1184320411.25,-54622115.21666667,-3412405.45,3576841672.2471843,3114992712.335867,158471716.13717702,41366599.79421202,3118890642.799291,4340685939.269404,196235726.94003713,14705305.840393586,2701679613.025637,-8928349206.0,-421657675.0,-70207965.0,-8938576023.265558,9301588206.0,422268535.0,79370950.0,9311506455.23497,8,8,8,8,-73248294.54545455,-3820684.5454545454,-533118.7272727273,-73348266.60782304,-152895933.94915253,-6269485.915254237,-785966.186440678,152791661.03518045,2915779307.743106,136808311.0827493,24312222.799963146,2918794759.2013764,2464039474.950747,114316618.4991412,10121691.359413516,2465645511.017642,523000000000,1662000000000,127,412,57,60,56,60,Bot,Stan-S8-Swing
