,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-197685750.0,-79159066.0,-787730200.0,71740166.56027271,219502270.0,76766870.0,983389850.0,1006181599.1987119,104,48,48,16,12341823.533333333,6558131.25,43550842.333333336,279496943.0858203,-24587391.355932202,-10548345.322033899,228894201.8644068,231540971.03346166,95687587.50587022,26259264.649158604,317083914.39593464,181859152.00724307,18512019.78281275,6227849.849557942,25971711.074858464,23334150.50583482,-327471630.0,-92793643.0,-888296120.0,-893829193.5775793,330471575.0,74136816.0,914444920.0,934441432.6384392,16,4,4,4,-232700.83050847458,-54012.542372881355,-43335.59322033898,-25285.603873908014,-1592477.2413793104,-32996.18965517241,2600390.3448275863,2341908.67655165,93368157.00745021,22675055.280118935,232933061.2143003,220628606.25037935,14790995.119927224,5948668.161073919,21764693.224750012,20218530.23185941,-48748270.0,-180570540.0,-8020050.0,45655.57462128803,49601037.0,218935310.0,6640716.0,219626938.86026135,80,72,140,132,2991717.180327869,-10248967.836065574,314735.8524590164,58820316.00086385,141523.91525423728,185578.91525423728,271979.9152542373,1697115.3803515863,22737791.819328852,82457818.43872777,3686954.6187494313,62676881.839223236,992487.1188192905,1719823.2267627278,981306.084473968,1451406.605929936,-85521137.0,-318871660.0,-12828170.0,-145896702.48110348,84910268.0,377514710.0,8552114.0,142257326.20726573,56,72,56,8,20362.166666666668,-10181.083333333334,20362.183333333334,-15959.177499193776,-33397.48275862069,-110229.56896551725,-19505.568965517243,-115539.40540096875,31174267.98846065,116633842.71296883,4024382.8651900054,43298512.06678628,1201447.2743981024,1698114.7011499314,1380761.6112836637,1421615.8775793666,122000000000,1760000000000,143,420,60,59,61,59,Bot,Stan-S8-Vibrate-Desk
1,-9393051.0,-22947542.0,222519870.0,222721449.83943164,31342150.0,1074702.0,251256000.0,251504916.10706654,80,92,48,48,6802602.176470588,-8573438.74509804,234259718.82352942,234766554.07280025,5682449.516666667,-6987969.516666667,235006968.33333334,235486501.2196956,9886197.811703714,4811703.907966511,8529485.609906062,8564048.738531187,9961476.01192867,6920403.846351759,6898459.211446943,6911405.214893161,-23961961.0,-9577103.0,-11973380.0,-11930734.338617146,28731301.0,11971377.0,14366150.0,14846776.778860688,72,124,60,60,296514.34,99826.32,-191326.2,-188919.9439865887,-107171.16949152542,-67535.84745762713,40232.20338983051,44280.110331048905,8046103.332215493,3735736.3633921677,5109405.747810949,5116451.390122908,8345162.9618502995,6789437.236064143,6545779.198060605,6524930.525441397,-1100779.0,-1587028.0,-1911397.0,41511.88237119584,3175278.0,1467298.0,3586390.0,4339527.916042596,144,188,24,80,446135.1960784314,349450.862745098,25836.0,1816327.5228553526,102136.61666666667,120045.23333333334,193379.65,2116259.8064303054,1177220.1061005713,900308.7002560626,1594374.499173215,1304477.9844024817,1485888.6084485801,1355598.1517861325,1252901.0506519554,1060236.9466497023,-3158174.0,-2443461.0,-3665191.0,-3686700.0081934193,3665192.0,2443461.0,4276057.0,3138210.3402704773,16,24,24,48,0.0,-36651.9,-12217.3,-9732.572837432504,-53549.08474576271,-25532.084745762713,22218.93220338983,-62515.21131776333,999348.7592168011,831475.3169395048,1191569.4790209802,1011923.1135536685,1576853.5065881568,1459936.6924673193,1471392.4170939312,1197711.7171856577,257000000000,1874000000000,130,392,51,60,51,60,Bot,Stan-S8-Vibrate-Desk
2,-223430830.0,-50741866.0,-534715650.0,163532042.20922208,8963540.0,66577600.0,770164500.0,803523135.8336241,52,8,8,16,-36302184.9375,-6888897.25,251462132.5,323199120.4049193,-29796335.704918034,-8324503.163934426,213293716.8852459,251161392.74571836,61655329.58816506,24930161.447543863,269339065.9475899,189265643.57043463,16792070.404535793,16675888.058777591,141813457.7463148,61345093.45192352,-206191379.0,-96383886.0,-1304880150.0,-364960069.9949559,222667563.0,117319466.0,916979790.0,639991093.624402,8,8,8,16,-1256620.1935483871,-10950.41935483871,-405803.87096774194,-320654.3184534023,-221348.06666666668,-1430370.9333333333,13009786.5,-4863699.2274319725,65074030.19293559,30864673.637856603,331697158.9836522,181382853.20155394,20197886.61229781,15209663.273982784,120657044.13269627,33589350.75391546,-44472210.0,-85275570.0,-4965724.0,46017.941642363796,27609888.0,157237930.0,2364659.0,161641395.01154393,4,4,60,44,-5344956.40625,29511089.875,-187688.34375,38388251.922899276,-72823.14754098361,609082.7868852459,103296.31147540984,2491040.835482054,13350980.914922679,63907416.57171691,1745211.5100763594,60603479.40554325,1153899.0397589216,3887610.354823599,1544886.580015197,3593935.2236264125,-72082098.0,-242513500.0,-5497788.0,-87860796.34509216,64751718.0,238237450.0,3144734.0,159963187.89760327,4,4,44,32,39410.645161290326,-98526.64516129032,-59116.0,-116480.22638824965,91629.78333333334,-356338.05,10181.1,-279790.7291158646,19292502.562530775,73324920.97280852,1525568.092953953,38025392.36724304,1117510.818146102,2935165.1522473567,1557573.2634210256,2925620.2848920366,724000000000,1050000000000,38,320,32,61,32,61,Bot,Stan-S8-Vibrate-Desk
3,-37723510.0,-29941417.0,224499700.0,225196698.94154114,2769843.0,1546681.0,262810700.0,263684041.53385606,16,52,4,36,-22713874.9,-14545134.133333333,234967359.33333334,237079678.19723,27020526.62295082,-2773168.344262295,212059646.27868852,250742869.41520408,13208200.387975361,9684304.270133942,10340515.108275576,9810099.580361677,75941038.00430794,15144183.442941004,128165691.50951673,70511394.84749559,-19154204.0,-28666421.0,-33519740.0,-29960130.971316427,29034509.0,19218050.0,38311000.0,37195975.92805424,28,4,8,8,-1355074.103448276,-298602.0344827586,-81555.5172413793,20557.027414677472,116131.7,150712.08333333334,-151221.0,-154913.10397836368,8503926.563480059,9777754.092019789,12296946.90155989,11691570.991108108,68771582.3010281,13959902.416731257,137476746.11688203,86657501.04760286,-2322510.0,-2197893.0,-1300532.0,868513.8934375201,1953547.0,2078164.0,1753794.0,3191936.5410178504,48,28,68,28,-245567.83333333334,-80227.06666666667,84095.86666666667,2069420.1064806618,659434.0163934426,3017824.1639344264,-97477.96721311475,24091881.102221664,1217510.4893627898,1485375.6700625797,1051135.5728299762,663131.955367963,9093706.45095524,47503212.80895453,1895916.058725649,41981706.167741194,-3054327.0,-3054327.0,-3054326.0,-1425400.8985652258,3665192.0,3665192.0,3054326.0,1734191.5278218663,12,56,4,4,-105321.62068965517,105321.62068965517,-63192.96551724138,52420.33940589909,-40724.35,10181.083333333334,0.0,-3850.5271314103697,1168642.8095431873,1636522.775507589,1204171.7433726538,752166.2443371665,6125280.572649936,33449265.56246738,2392061.134144722,24408399.800186396,291000000000,733000000000,29,308,30,61,30,61,Bot,Stan-S8-Vibrate-Desk
4,-184957950.0,-39140917.0,-739233000.0,60360372.45925706,264245750.0,70213560.0,691775300.0,782702495.4165727,16,80,80,68,43430124.196428575,11467900.464285715,86407897.69642857,338980513.64727527,-414064.3559322034,-1897596.5423728814,234163186.44067797,251316386.26794896,115077637.79486214,30129638.959235515,359088105.2943922,189088217.22143343,35222521.59235581,11675785.45246257,109178409.91719268,69495369.29503594,-330409916.0,-84201666.0,-823630320.0,-634328569.1245519,272947330.0,76616787.0,1096211420.0,581866892.6676577,44,12,12,4,300448.05454545456,26626.2,390416.9090909091,399364.86814055225,1973630.2931034483,457062.5344827586,-6194015.689655173,-6434698.116748982,104737095.4675974,27460770.247773696,328769013.7138248,191620988.2538268,36162201.69160349,13102790.698247198,125856438.16647704,46933664.17141074,-49969997.0,-179348810.0,-6187454.0,43491.88747341279,42270653.0,220767920.0,9084177.0,221643157.1302348,48,20,20,68,-1526966.6607142857,15334692.357142856,-492728.26785714284,64610954.78575898,-879925.5593220339,3135695.661016949,372462.2033898305,7460090.4269389445,20624629.5980202,94165179.752203,2878732.2666832516,72748307.08223507,4451304.611835796,24850668.167658914,1809433.1299910094,24391847.81132909,-79412481.0,-373849530.0,-10384709.0,-172489126.2651731,87964594.0,352469240.0,12828170.0,221493875.82274455,4,4,4,4,22213.272727272728,-33319.90909090909,0.0,-21271.25247408712,537140.1379310344,-3033261.9482758623,73725.12068965517,-3004419.3937603324,27809326.169726606,119207791.52276325,3653500.812727501,63369397.176875174,3443713.2001555786,32890730.07789175,2711149.1248288765,15864909.880483609,237000000000,757000000000,126,408,56,59,56,59,Bot,Stan-S8-Vibrate-Desk
5,-204825520.0,-38996040.0,-586826300.0,140112486.46170655,287419380.0,79980620.0,732398030.0,761499218.0736845,44,44,44,16,10160494.403508771,7422767.771929825,186296831.3859649,268167289.2728407,12983268.833333334,8333679.25,174931462.81666666,309587370.96292853,89251646.492685,22668987.225054637,220018713.62340185,138482975.67636865,136150430.54964367,33290215.240813658,297737665.93543524,205391827.74928835,-323227110.0,-91667690.0,-519561770.0,-355254222.44423306,299070930.0,52623648.0,1010084130.0,613045345.4957433,16,36,36,16,-592432.6428571428,16861.071428571428,3329856.0714285714,3328562.387462217,3035088.7966101696,380147.69491525425,-3859342.2033898304,-4417306.343121163,82789414.88665779,19167617.7838428,205364680.8631844,122825467.95576832,168063836.45009044,38173780.749455854,345811100.86560816,257382364.7125578,-46915673.0,-112153640.0,-4965724.0,35006.54677342511,39827190.0,158459680.0,4808120.0,165270094.0800753,12,12,36,28,1099367.6551724137,6870054.086206896,-290466.3275862069,22965711.07877919,2663382.344262295,1662675.3934426229,-580532.2786885246,52355091.41541414,13818847.727660308,49835363.624003686,1955593.313487225,46808255.3087822,19608131.317848153,81391950.5719704,2650976.156531245,65113602.883342,-86742863.0,-194255150.0,-4976720.0,-91178491.58874762,34208454.0,270613320.0,7941248.0,82884745.32912087,8,12,36,36,-171470.94736842104,-889505.5438596491,64301.59649122807,856513.9381370147,2178.75,13744.466666666667,39227.71666666667,41381.221307181724,13803821.75102967,52133041.42033243,1764835.478452718,19019418.432258837,26468403.70069869,121573620.27296439,3644014.795595421,43657467.18280737,198000000000,583000000000,138,420,57,60,58,61,Bot,Stan-S8-Vibrate-Desk
6,-192791670.0,-31716682.0,-423078540.0,56894830.734624006,267521860.0,70387885.0,742039700.0,767331409.70155,44,44,44,68,3943587.1333333333,4314026.311111111,181362152.68888888,264411569.26998523,-57303911.9,-53685.933333333334,259998528.51666668,333014487.4308682,86413174.3702389,23292283.597091995,232291507.2085058,155375065.89969918,167408201.0009206,23323779.94691643,290558298.2628756,268886081.10781324,-246633940.0,-39970391.0,-380520810.0,-422664285.24895036,201119100.0,40702671.0,533923150.0,354723618.1474907,20,68,48,52,-1190425.3181818181,705668.2045454546,-5438457.863636363,-4037266.235876776,1031827.8983050848,-290016.6271186441,1932564.406779661,1632277.999892814,78244184.96815869,15866921.570340738,167442214.3834696,133754388.64300236,111265195.69365783,14387317.367047383,165039341.27620035,163975642.46734703,-47526540.0,-196453050.0,-6798319.0,810277.5609018183,41048920.0,223211380.0,6029851.0,223570256.12809446,16,24,24,80,227188.76086956522,-6327874.9130434785,678140.195652174,65415206.62891237,-1684466.049180328,2608474.131147541,-176059.3606557377,33740546.392541185,20343964.585414734,97083057.1448458,3085886.7560702628,74267979.58140974,13835616.005251013,68993565.92311218,2299882.7892105794,61719214.4086742,-74525558.0,-307876080.0,-8552113.0,-165787455.87684196,86132003.0,385455970.0,9162979.0,139764052.86973333,36,16,24,44,-230771.3111111111,3067901.0444444446,-95023.48888888888,3043180.9176601074,570140.8666666667,-1150462.7833333334,-20362.166666666668,-1230400.3469580305,22379239.48775037,104292706.04107648,3512591.486102727,52259923.74754692,13079771.142365286,58195121.87188109,2455427.8194728387,39531496.978759356,449000000000,539000000000,91,372,45,60,46,61,Bot,Stan-S8-Vibrate-Desk
7,-143377450.0,-13967469.0,-498982430.0,93592974.89047062,79056000.0,37955847.0,246701240.0,501575430.62744117,40,104,136,36,26378601.75,12190578.75,70828418.63461539,263611783.41230983,14875054.41935484,-1503186.2096774194,228895112.2580645,229730687.64430892,30395772.701792445,16124653.799658803,278018054.09625655,116620027.73768558,8098895.429059565,9695963.733054083,8434584.021479936,8272759.381705869,-27563736.0,-33321135.0,-519673348.0,-407982455.73697054,177345094.0,49699311.0,455828667.0,356237492.6934505,56,56,36,36,3180818.745098039,551420.8431372549,3961768.862745098,1545061.9639977461,-99963.83606557376,90743.55737704918,77107.04918032787,65025.96069059753,26368076.266570795,10353879.665776849,107499430.77974792,78057020.86044496,5734653.96568408,6656131.090623372,8052465.24769947,7855306.809725113,-51191732.0,-198896500.0,-4965724.0,810277.5609018183,38605463.0,162124860.0,4197255.0,202640227.19817126,4,4,16,96,-2152824.9444444445,21252545.333333332,-949850.2592592592,36881043.36943404,577198.6935483871,456060.1612903226,-34819.33870967742,2079350.1706502063,13674002.141021185,69883224.2371077,2234564.98547558,64463904.87103634,1240859.4765562543,1718535.7934296827,1243795.073635893,1482160.2641103494,-82466812.0,-350025790.0,-8552114.0,-143184208.3890465,89797195.0,361021360.0,6108652.0,75561903.10710992,4,4,44,40,184412.15094339623,726122.8867924528,-57628.79245283019,-720271.814056085,10014.180327868853,30042.55737704918,40056.737704918036,26694.780326860146,20307172.078143727,79605177.20070826,2208138.1045835735,25151307.27367353,1066964.8027093215,1402014.7124239334,1385029.6991862536,1225006.839133692,368000000000,1904000000000,126,400,52,62,54,62,Bot,Stan-S8-Vibrate-Desk
8,-315339000.0,-46356224.0,-298926350.0,116194910.24467655,230309490.0,48919324.0,902518300.0,917428241.4006927,36,36,36,92,-1362558.488372093,-671850.4651162791,272570234.1395349,381227479.09903145,-27467542.733333334,-7033570.7,249374754.96666667,270436580.6917157,125471699.44299771,26260237.13348047,325047829.17944056,222170920.89432457,65304752.617429845,12677789.02359164,144015427.24930653,121859367.07517307,-359559462.0,-67669317.0,-909824370.0,-471495647.6971436,344775588.0,71828242.0,842531200.0,639838903.3891449,8,16,16,16,-1084928.0,-475595.40476190473,1355716.1904761905,1438895.4220800812,-1597481.5084745763,503096.66101694916,-7721399.661016949,-7762354.20551506,118545602.65402265,22935996.73505564,293544506.79468054,179099457.41352725,78447079.485579,13370931.464398097,154824993.67836794,91369481.42854565,-43250480.0,-202561690.0,-6187454.0,775931.3882792731,38605463.0,204885420.0,7251581.0,205158910.2623769,16,20,52,104,1882516.0697674418,-8363369.860465116,63260.023255813954,66390279.4396349,-1197499.5166666666,2145450.7666666666,261653.9,17113240.41812744,20250550.153884817,99060477.00589773,3408557.1660984256,76140075.62481679,12048822.98306028,46047006.87139857,1831607.2933443624,44466143.230537094,-74525561.0,-347582320.0,-12828170.0,-121071673.6062804,67195176.0,230296193.0,11606439.0,170653104.26545346,68,20,4,8,0.0,58177.642857142855,-58177.642857142855,-46199.482871960434,-662633.5084745763,2816192.254237288,-51768.23728813559,-2884143.7183886343,24378914.224213656,116087115.45514607,4302589.662868647,57280858.61651087,13469750.478238046,50889776.562840655,2006094.176354837,27584813.439339094,585000000000,1588000000000,91,360,43,60,43,60,Bot,Stan-S8-Vibrate-Desk
9,-213513510.0,-58999397.0,-220990180.0,106692653.13618393,112466140.0,29764347.0,1050686800.0,1067183679.4567,16,16,48,28,-49960107.705882356,-11412699.647058824,314370827.35294116,384462912.5230037,-22064450.566666666,-11586577.416666666,243103712.0,270908725.29352915,101257060.20889603,26616374.900750946,344556689.6148386,286215902.95716584,61931263.79247575,15874463.18987533,174066187.05323565,143121525.82989073,-248245807.0,-80407508.0,-641665460.0,-490212213.0913851,323585360.0,52674047.0,874105480.0,724168890.5024812,16,44,44,24,-349754.1818181818,-318720.0303030303,868190.0,909260.26271008,-486334.0,-531561.5423728813,2316313.220338983,2214743.267726363,92137798.01686037,25157844.501690242,308541016.1065909,248818653.94561225,57883733.54864195,17488185.84321628,181457228.56265503,134812482.77789178,-49969997.0,-212335540.0,-8630915.0,26613.04428283243,44103250.0,185337740.0,2975525.0,212629407.6182768,28,12,40,36,-3666684.6666666665,5250691.944444444,-621012.3611111111,61808486.41937126,-1506533.8360655739,-87223.77049180328,-354872.5737704918,22513760.290533446,18443151.66823152,98925501.58066991,2779832.271033387,79039704.71949969,9672494.986620592,59163826.90854703,2218827.7218273655,55551460.68500555,-80634214.0,-212399681.0,-6108653.0,-188855123.00299805,70860370.0,359188760.0,9162979.0,212564042.0429485,4,12,52,4,87266.4857142857,34906.57142857143,87266.45714285714,27707.76347728116,1852.95,23385.95,-11626.8,26007.27883375914,24481337.2104896,111070968.22778167,2926948.790638678,60356188.76736569,9912224.531390553,55018508.12622496,2137322.119471067,30665065.233546965,756000000000,537000000000,52,324,34,60,36,61,Bot,Stan-S8-Vibrate-Desk
