,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,85497856.0,-72473330.0,-669133200.0,151247305.0130863,244640350.0,284363180.0,1687948200.0,1714416485.1270306,68,40,40,16,131495370.89090909,36314867.8,329199737.96363634,490485851.634856,134884851.0338983,11690912.79661017,151415387.44067797,227216575.2116287,33484573.745581277,71190530.69830734,496420996.7945445,370034348.3329286,32797328.504318543,56311405.82389192,294577722.428443,283678913.5500753,-146050930.0,-276893779.0,-1477566220.0,-1391670036.179654,148763656.0,318573348.0,1876183480.0,1481267702.648279,8,8,8,8,1288431.5740740742,-572980.2777777778,-284186.1111111111,882927.0924325662,-140198.27586206896,956592.7586206896,5177645.793103448,-1100643.9200612959,33380549.645284433,73100206.95387614,479118142.36927307,357500907.80134743,34555486.38179171,59252553.49383456,314568562.5709833,268760484.09862345,-63409040.0,-106655850.0,-9241780.0,284855.3005106277,58153150.0,85766700.0,7251581.0,111799552.03746352,4,84,88,108,-2933375.1454545455,2866734.8727272726,132224.47272727272,41007330.20217902,1422011.3559322034,1064313.6101694915,535086.8474576271,7129582.95345285,31987414.28029864,44911356.8906253,4074501.417614915,36894938.94810632,5597761.082118913,7383917.628860261,2453258.766861854,6608239.335296446,-106901420.0,-183870450.0,-13439035.0,-58553230.67028789,121562190.0,176540065.0,10995574.0,68547300.61794895,4,4,4,4,11312.314814814816,-67873.9074074074,-22624.62962962963,14155.785617455935,-454662.7931034483,584871.8965517242,-61676.3275862069,-743340.2577868355,37505204.148099504,57191459.129139304,4655125.873638659,20023388.57829427,4185801.449450473,7713959.83179038,3215313.330692239,4059703.9995679785,1612000000000,440000000000,125,404,55,59,55,59,Bot,Stan-S8-Vibrate-Stand
1,18877030.0,-64704165.0,-652766700.0,101001906.01983954,189337250.0,143520600.0,1058375800.0,1080248680.7664125,56,16,84,40,138918512.0,37425109.57446808,182538184.17021278,386715981.7727762,149249219.8,6458730.116666666,73589253.33333333,172083991.8976375,32139537.070231665,58387638.13341636,402189744.6875145,261900450.8062459,29434618.92973156,25544974.044990707,40162980.12895287,34923598.20863418,-169993400.0,-208224765.0,-1118717220.0,-778109282.3975759,107894420.0,150932408.0,1063058370.0,627712571.0055821,4,16,44,68,99316.82608695653,100547.36956521739,-1265090.4347826086,-576055.2053098737,-416101.18644067796,1490732.8813559322,1920902.1694915255,-331713.76540408144,39661070.319004655,60401730.38087912,376496341.7632929,261076563.65716228,32589298.41530334,24888127.257415127,32879561.614962943,36507662.40256643,-59743844.0,-101158070.0,-7409184.0,42291.185098079244,57542287.0,82712380.0,6029851.0,114627002.55501387,16,48,24,12,6031371.816326531,-3005706.285714286,-83264.61224489796,35801628.33527302,227801.83333333334,465408.11666666664,119200.13333333333,4232321.781464564,28340031.932965785,42239037.25720191,2912441.1849508923,36519597.60692232,1655344.441852574,4313527.26870053,2126182.262385453,2817566.7293804353,-105068825.0,-153327177.0,-10995574.0,-93445391.91610137,82466812.0,145385940.0,9773844.0,114584711.36991578,4,36,16,12,-38179.083333333336,63631.791666666664,50905.4375,4376.748529488842,-93182.83050847458,144951.06779661018,82829.18644067796,-100265.28594040097,34017190.95764075,51681404.82564064,4243643.899193504,28473936.115768846,1599497.7987258858,4562919.909248704,2127770.057011565,3056994.3353576316,360000000000,906000000000,97,376,47,60,49,60,Bot,Stan-S8-Vibrate-Stand
2,-29641628.0,-130773920.0,-978513240.0,74748511.2301737,212180140.0,97001270.0,896436200.0,994377221.2318391,8,16,16,24,105571322.95555556,-12589262.311111111,42217976.57777778,281670041.6932852,102660235.66666667,4511.683333333333,112153690.43333334,186944202.26021215,47634599.07460354,53383568.259702906,346456353.1757067,239568945.9097864,44725913.32187603,43197153.93909726,137740002.01148382,103959757.29825391,-156649115.0,-99188837.0,-782231830.0,-822249874.4068822,241821768.0,132676456.0,1123760700.0,737141397.166693,8,28,24,8,-2399704.75,1335074.9545454546,-895153.3863636364,-1802779.9160014866,-221810.0,-1540756.2881355933,-8864548.644067796,-8299365.203658052,50690641.8914936,42310573.33325962,307070445.4532954,228183744.284111,48970322.58092031,33228556.508292574,117636095.93718614,80871395.4852042,-53024326.0,-113986240.0,-4354858.0,31741.71706130593,63650936.0,114477370.0,10916773.0,124310627.02186073,4,16,28,48,5539176.377777778,-8731409.533333333,189381.8,33024177.300754644,613248.606557377,723194.2950819673,-171322.60655737706,9663317.534341931,23947643.12494903,46991706.16037683,2970488.1553959553,42243791.98229223,8534104.332452763,17660904.12068592,3016128.728676509,17315986.215774056,-116675262.0,-176540056.0,-14660766.0,-111019162.22138034,102625363.0,149051120.0,10908832.0,111122504.22545713,4,8,4,8,0.0,-319315.9318181818,0.0,162140.30130523493,173078.48333333334,-1914044.45,0.0,-1844627.0683192497,35017457.76515693,64601647.67306427,4291373.7530198665,33083038.198123652,13829072.887646865,23645691.47344255,4978736.822870958,8157053.136913459,436000000000,791000000000,93,372,45,60,45,61,Bot,Stan-S8-Vibrate-Stand
3,46995163.0,-173698050.0,-541474340.0,100938332.7616518,191407680.0,210565540.0,815861200.0,831403234.696911,8,8,24,60,125326936.0,16108551.07317073,193454077.65853658,308476634.2767023,119479584.25,-3518627.5833333335,95245624.28333333,189737604.2095552,29547800.117556013,69771376.76524097,304000557.80230635,235257844.7975687,37473485.73750864,45882345.87763373,131748956.42389713,89510387.314929,-144412517.0,-384263590.0,-1232507700.0,-270834994.9026083,92413907.0,240808040.0,798213480.0,549821207.7858909,8,8,8,32,1670718.25,-1294998.825,-774526.5,1181697.166661892,1482454.3559322034,2848159.406779661,10768154.915254237,-6890198.919759978,34499804.15072424,77255957.19961953,267269720.97260475,114617342.98412217,35395376.702812776,42635499.65453968,113807716.10258311,59547011.35999268,-49969997.0,-74890850.0,-4965724.0,36232.204818365666,59374880.0,109590450.0,4197255.0,117157121.43959321,16,16,20,56,-8045944.804878049,7882515.87804878,-76656.19512195123,24510892.541475076,336166.0983606557,-288919.1639344262,216056.0655737705,5296344.021305899,21404193.845551036,32323521.794938985,2645159.7605793797,32003001.196954004,2189073.4774826975,4988896.488705474,3190617.018039687,3404350.405545566,-108734015.0,-172874860.0,-9162979.0,-102276571.3716422,105679687.0,100181892.0,8552114.0,66027801.54946998,4,4,4,36,45814.875,122173.05,-45814.9,137865.55841716455,10181.083333333334,132354.15,-61086.51666666667,-26670.88268055326,29119412.96546743,43678157.51137238,3430714.6687400048,26074819.51729841,3100229.1415347145,8073808.450491332,4814604.753708535,3467031.3086990705,1076000000000,473000000000,68,352,41,60,41,61,Bot,Stan-S8-Vibrate-Stand
4,80253124.0,-101901230.0,-370613100.0,121778782.36880606,203454020.0,107891050.0,816938900.0,830558023.0713831,44,4,52,32,122640335.775,-7201634.45,85816456.75,256511072.65736932,116923927.15789473,-614795.1228070175,107784053.75438596,164069826.46228102,28903370.674486075,47139987.91144099,248800745.48333257,143203132.55599514,32521626.46759015,27161789.560643036,30406974.66040507,32572601.122259904,-92765810.0,-209792280.0,-958988210.0,-632543401.7917587,93376640.0,186194044.0,672066700.0,370590273.02153695,8,16,40,16,-529692.717948718,237625.38461538462,1397866.5128205128,772018.8659779475,-1372380.0,293959.85714285716,-768116.6071428572,-1571632.3060112472,26500128.571632884,51981746.26594502,242085855.56902122,141572627.94384426,29322390.71161862,23607067.26473305,28869942.907872148,32285957.95632198,-41417886.0,-21134716.0,-7409184.0,50277.00044752073,22112101.0,98594874.0,4197255.0,104741428.8021631,16,52,88,92,-7994943.325,18580199.525,-665262.775,27905613.90716088,296385.4482758621,1520549.0,-633909.5,6001404.809084002,18364148.363524,34541412.48793733,2400442.400802407,34022204.43187962,1540023.272812234,6460627.202883827,2396317.898531362,4006980.0393677563,-57421334.0,-98746979.0,-6719518.0,-104574550.09905812,63529987.0,85521136.0,10384709.0,78577980.04686669,8,16,12,16,15663.23076923077,-109642.48717948717,-15663.205128205129,62241.62196906202,32150.80701754386,503695.91228070174,53584.666666666664,-241469.7966855511,17144608.63128132,28441649.686157994,3162263.4423165233,24563864.873976182,2301287.9485390424,9832474.17249838,3187013.234423891,3358225.9821048076,306000000000,830000000000,61,340,40,57,40,58,Bot,Stan-S8-Vibrate-Stand
5,60737133.0,-116200104.0,-885822800.0,80054843.76369281,208832740.0,51589772.0,545915100.0,897835693.7335143,68,24,24,56,106916265.80851063,-14925943.723404255,-25114934.574468084,273787041.33311063,113118406.78688525,13128825.803278688,100841045.09836066,161140951.84013548,31084526.963074706,40001561.13829975,324170963.0836494,208844391.58516377,35208143.243605725,25056049.0156616,50184669.32333886,38851179.941976905,-59856890.0,-105080746.0,-874412564.0,-633061845.1498466,49988750.0,129290837.0,885881400.0,807736089.0598423,24,24,24,56,129450.86956521739,190732.28260869565,-1593320.2608695652,-663231.0198505161,-407242.8333333333,925840.2333333333,4764064.166666667,-617454.9371240025,21352036.388551272,43654927.61412477,284114173.63599354,202317640.57314733,29416283.933024637,27113080.11833686,59323548.62096385,34814979.85556755,-62187307.0,-117040560.0,-6798319.0,30254.764153765933,63040070.0,108979580.0,9084177.0,117465275.96050775,28,4,96,4,2471222.8085106383,5361707.234042553,-284884.1489361702,44348391.8034714,-140242.83870967742,-1423532.7419354839,-419230.8387096774,5760961.38983597,31883941.803984605,50224810.1901828,3368405.4370866385,39706712.32187086,2511062.400112966,5982053.909777734,2475560.116832772,4091984.914295377,-111177470.0,-152716316.0,-13439035.0,-65922710.476863846,113010067.0,226020140.0,9162979.0,117435021.19635399,12,16,104,12,79678.06521739131,-265593.5652173913,-13279.673913043478,262104.8038343343,180255.31147540984,130184.39344262295,-40056.72131147541,-176831.2571199634,46326995.50934576,69207032.14869098,3635211.3418999873,26026050.415671688,3670531.3967363224,10152479.514973707,3381335.706218545,2552657.54214885,1656000000000,755000000000,86,380,47,61,47,62,Bot,Stan-S8-Vibrate-Stand
6,50421238.0,-45184493.0,-488344200.0,99639932.99910086,146012300.0,52599013.0,617750170.0,626193269.4692614,20,8,52,48,99882426.60526316,1340876.605263158,59755563.2631579,235030599.65982553,91636492.96721311,8011939.75409836,139027274.5737705,171319483.65963763,23521542.517690245,26481138.749918513,256254496.0279104,155253842.54130986,30423634.477920968,25938332.435088154,42729953.52263128,42870659.29782995,-81624032.0,-71322411.0,-689237600.0,-523245789.0451317,83620065.0,97783506.0,797109610.0,417209979.3477318,20,12,52,12,-941946.7567567568,298595.7027027027,2325650.5405405406,1503289.1706019016,-202838.5,-220231.96666666667,-1197187.0,-1196044.5960167085,24123213.556690067,28856041.769058287,210633504.38747492,136995975.54437894,29499274.462354943,24091878.36079116,35243766.862895414,38475619.222863145,-65241630.0,-84664700.0,-7409184.0,40029.74596471978,59985746.0,107757850.0,7251581.0,110218270.78555523,28,28,4,64,-3777590.6923076925,5941917.179487179,575106.1282051282,39126352.51425791,793443.9180327869,1153634.0819672132,609583.475409836,6508247.2031220505,30984035.734404925,47101900.064245515,2976860.728176953,40835331.2272976,2810659.9979031575,7809876.278322026,3059052.083549677,6128574.402945935,-120340454.0,-146607660.0,-11606439.0,-57788508.439285226,120340454.0,157603230.0,14660765.0,93573302.65045124,4,16,4,44,0.0,-160754.02631578947,-112527.81578947368,155601.8693660634,-40.733333333333334,193.45,-91.61666666666666,-211.25814911189178,43385571.1203481,52327091.38132141,4782580.591678475,23617786.376945466,4458059.619838557,12637085.850029323,4748082.492566288,5337228.209090715,1759000000000,510000000000,60,344,38,61,39,61,Bot,Stan-S8-Vibrate-Stand
7,-500202.0,-246929380.0,-693698900.0,80196048.46171378,159959320.0,124527365.0,444754600.0,738102030.9030536,48,8,8,16,93538920.48484848,-9802245.454545455,49494424.72727273,213891025.95216838,105587982.70491803,-1314137.5573770492,102234684.14754099,151595365.27581108,32543424.875030342,71858406.60790709,238808859.56999055,166498131.87616867,19157928.0370691,19099406.094700992,34564819.6904232,22910418.610554755,-86751465.0,-264886337.0,-826032660.0,-381663203.97028416,79011442.0,371456745.0,1138453500.0,548442794.4138021,44,8,8,16,271290.4375,443489.78125,-1917913.59375,-1076941.517378481,-157459.66666666666,920492.65,952545.8,299687.1270064468,31513501.96963382,86705898.0129575,289702713.48692125,134339843.84244937,22400927.180278912,18643909.29887626,22938619.945430595,17353363.81267412,-42028750.0,-83442970.0,-4965724.0,38928.45839485556,37994597.0,14295468.0,2975525.0,83808372.0936443,4,76,4,8,-1608574.7878787878,-6424007.03030303,-367203.8787878788,16596453.901711438,-99177.0,1645296.7096774194,-115335.29032258065,5262708.090051143,14530750.610043978,23280523.643003237,2282337.840907237,22795824.598959215,1289944.1536025542,5608447.3605998885,1540267.2163292004,3180538.627424136,-80023347.0,-91629786.0,-6719518.0,-83769443.63524945,49480084.0,83423422.0,7941249.0,54798523.997977905,8,8,60,20,-57268.625,-267253.53125,57268.625,179363.6498589497,40056.72131147541,150212.77049180327,-10014.196721311475,-74139.14515041128,21491818.08211151,28507791.61457129,2853380.6945320223,22084033.56235654,1591802.144645425,8148791.553402587,2085560.9236900934,3333610.28740657,900000000000,533000000000,37,324,33,61,33,62,Bot,Stan-S8-Vibrate-Stand
8,68730354.0,-124525010.0,-603513240.0,79733183.06729469,147354130.0,138386070.0,771572600.0,776598144.2874367,8,8,40,60,103152801.875,-1009304.9375,62233120.958333336,294906852.16288096,89197437.01666667,-2236603.9,123046413.05,189594756.84033096,21560253.08995777,55069149.56982812,329126428.23948014,194485173.58666134,30361289.34597374,47010192.25342434,139824495.43298104,98083557.11568074,-76708320.0,-262911080.0,-852292070.0,-544904802.5051665,78623776.0,208207220.0,1062642100.0,455724249.77574265,8,8,44,12,629719.2765957447,-1024429.1489361703,1178041.4893617022,1462839.6197871007,982979.6610169491,741367.1694915254,8471723.38983051,-3001446.6539920177,22429874.487467434,62684496.7707422,306354472.75448483,164201793.83250695,27988859.289305657,53938206.20508363,141448215.43735996,93978313.58580565,-62187307.0,-85886426.0,-9241780.0,55950.03769435728,66094400.0,121807754.0,6029851.0,122825204.56275426,52,8,64,12,-1876513.1914893617,-3249.0,-46685.65957446808,38232038.5410373,-24594.83606557377,1442262.950819672,463786.91803278687,6775826.202760472,28719795.554214556,45650874.24369883,3778469.488893734,37858173.26854273,3041924.6566321584,7945342.876771324,2733066.207875526,5958901.038920925,-125227380.0,-177761776.0,-13439035.0,-122765308.79858015,127670837.0,139277268.0,13439035.0,70318807.5282951,52,4,100,20,-79678.06521739131,-172635.84782608695,-106237.43478260869,104598.60087003883,-17715.083333333332,3369.95,-21950.416666666668,27692.62592825305,48703233.65380797,62739061.07059231,5108207.680674699,28712919.98070472,4250411.618333398,7737103.369902645,3878580.199320306,4577019.190540695,1490000000000,710000000000,90,380,48,60,47,61,Bot,Stan-S8-Vibrate-Stand
9,66734790.0,-105466600.0,-492395880.0,88581369.40500863,190989970.0,85592285.0,519969000.0,538027224.9493937,28,36,36,60,107668399.27027027,-9075616.945945946,160946909.54054055,301309636.49463034,113422870.41935484,-1241642.5806451612,103719518.9516129,163740107.40889186,31675056.040514868,53529847.94662664,273332602.2793514,154572657.43495682,34881469.84274897,34281164.37582048,45460645.42881947,34922026.85553744,-59856416.0,-174229550.0,-620732305.0,-354683139.7708134,86194040.0,76616797.0,945738320.0,350856626.70973915,20,40,16,4,732898.8888888889,-974168.3611111111,-1546806.7777777778,-410534.1063418057,522379.01639344264,1192717.0163934426,3360990.573770492,213534.9713148499,24011408.524305597,39882683.71230165,219783993.11441332,108466283.2866261,29475423.50147123,23234353.851779852,34987631.56105651,29811319.9414337,-38974427.0,-36406346.0,-3133128.0,33020.86019473145,59374880.0,64386420.0,7862447.0,69647717.93706754,12,8,16,48,4318800.783783784,3387776.1621621624,-134803.0810810811,22945122.05184585,920524.7258064516,-3290.8225806451615,125503.30645161291,5214124.114500584,20685368.027375706,25251913.661474403,2530530.644411501,23702928.296058614,1893215.2102391038,5934801.029687028,1829544.2552311213,3924010.232458817,-49480084.0,-77579887.0,-10995575.0,-43036610.54904086,98349307.0,100792766.0,10995575.0,47548251.92950639,8,16,4,36,50905.444444444445,118779.36111111111,-152716.30555555556,116175.72108665675,-40056.737704918036,-290411.31147540984,-30042.55737704918,-285848.6089054271,21635375.180035304,23434954.941543236,3488630.4693864454,14701536.07557386,2213118.2575022583,7491616.106095585,2426961.0874273493,3227098.5221990817,310000000000,832000000000,47,340,37,62,37,62,Bot,Stan-S8-Vibrate-Stand
