,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-45286180.0,-32316506.0,-40936230.0,26614831.966338113,30809402.0,49548210.0,35560846.0,66475291.25795094,56,124,124,36,-9374575.636363637,-7928793.840909091,-6645549.295454546,39790170.298220046,-15885634.098039215,-13421883.705882354,7607974.117647059,48334985.56893605,29190678.339127075,18468979.36120303,18340232.414802972,10436954.782701368,28652624.581594784,19378686.360503018,33134732.89313876,20288171.257446684,-57204246.0,-57851495.0,-62240600.0,-31441838.473619305,42888641.0,38715184.0,62232493.0,24319594.409838982,48,120,120,124,336536.1395348837,-782022.6744186047,124127.32558139534,-637164.5304445714,1250267.02,593285.56,-1053476.32,-295362.47482761415,16865680.869342584,15308164.833386313,19640790.320004236,8706781.633730263,19431130.56627476,18182684.86253749,32035631.77139146,18075424.99020302,-1685651.0,-2462727.0,-2301410.0,1239217.2985885083,2575417.0,4993672.0,3025148.0,5092710.973906629,4,8,52,36,-305365.79545454547,2016476.2727272727,47004.545454545456,3657052.3423254355,733611.8431372549,664100.5882352941,225860.66666666666,3104348.9750581267,1249512.2931992786,2574220.672135128,1758395.545171599,1361326.0260110712,1480640.057146535,2432654.0086258724,1460232.9958566015,1209748.8352451134,-3195764.0,-6391819.0,-3195776.0,-3853493.6753181205,4261068.0,5326140.0,4261168.0,2945089.727465937,4,8,64,92,24793.906976744187,-45.674418604651166,24795.25581395349,26185.755609781936,40179.28,85751.72,-85229.22,21862.972158601257,1289180.2611879364,1794332.2307754534,1329497.6473019596,955190.6385016233,1537618.1579737412,1880328.022993797,1606293.8617086264,1023492.4053841992,359000000000,889000000000,79,324,44,51,44,51,Bot,Stan-Stand-Landscape
1,-26711464.0,-54078758.0,-44694662.0,21625677.456734877,30514717.0,42295040.0,45704603.0,73117333.57836911,16,200,16,40,3386772.576923077,-8886117.115384616,-8377464.788461538,38490740.639902934,-3012457.1774193547,-3501016.3387096776,-7171085.016129033,47000018.38268185,17562160.083998304,21688014.67986183,27749916.708097782,14213901.742816592,27972474.654337697,24890764.370471906,31285644.170143735,14475336.001639208,-38124084.0,-43232144.0,-52501917.0,-24578751.3151104,57226181.0,86618782.0,90399265.0,22549448.122295976,52,96,72,112,-547184.6666666666,1889682.3137254901,843337.9411764706,-591399.9894803746,-763439.7213114754,-303635.8524590164,67077.70491803279,336725.0563296121,13693826.618653199,18131316.39101584,21719410.126689266,7512515.370909257,23064831.081158053,22333979.458718296,24544213.593842797,11190252.418190492,-2872001.0,-3538368.0,-3329874.0,804773.5462333488,4584647.0,3919968.0,3063043.0,5164581.883176507,20,68,124,28,927157.5094339623,59309.018867924526,207914.01886792452,2812969.0534390514,514942.1451612903,-518459.22580645164,74287.25806451614,2761890.9537279853,1638517.9113270515,1905742.4191838494,1382368.4703116561,1042291.0588861447,1814730.4077042555,1695021.7716382057,1516718.3922398991,1123395.0396617127,-5326268.0,-5326483.0,-3195765.0,-2986334.019174341,5326367.0,4260999.0,4261107.0,3875998.4247866366,4,36,188,4,20525.53846153846,20396.653846153848,41013.980769230766,-10048.238915578882,-17423.852459016394,34838.0,-52347.91803278688,-42614.59680134436,2404705.8957982743,2554335.104341372,1832766.4780104177,1556096.1542847357,2577012.7354045813,2522098.8527108287,1942598.9666459244,1462493.2022164192,516000000000,588000000000,111,400,52,62,53,62,Bot,Stan-Stand-Landscape
2,-38565636.0,-14296532.0,-48972607.0,20531177.59401406,61506270.0,48465670.0,27337551.0,83833319.08697058,12,72,12,72,-6608039.375,16787195.625,-9170763.3125,40597665.75033978,968742.4,-3841701.1666666665,5825082.383333334,39801116.586067885,27943436.12464364,18093458.61738426,23387488.834777813,19407150.62011074,20275852.82096145,20330986.936221827,33473509.459873304,19606795.46834135,-100071906.0,-53153575.0,-57453871.0,-29412606.23448413,42923926.0,38644552.0,76310158.0,51037462.822767325,12,12,12,48,-910666.6774193548,-167346.7741935484,909751.4516129033,491143.1497017799,-149225.7966101695,405270.16949152545,-251010.3220338983,411224.5172755495,22142308.828811698,17016992.238395665,21590207.27894099,12347211.543886134,14312106.590876104,16012431.545741776,25426188.74927715,18257795.05688055,-2868947.0,-7821549.0,-3311418.0,501390.1731875087,2457028.0,4962991.0,3080875.0,7945339.220008735,48,84,92,120,-39552.71875,-630017.4375,-115238.21875,2760767.374668984,-256553.85483870967,-108202.7741935484,-11092.016129032258,2915531.86014434,1314694.1587471291,2435230.3835967625,1506531.7180306888,1576626.9048722482,1586861.4773697979,2238454.3032943285,1644676.4266559905,1293451.0608991783,-3195773.0,-7456885.0,-4261016.0,-4532356.797961103,3195827.0,5326277.0,4261093.0,6220531.408629159,24,32,48,28,68755.7741935484,-206245.38709677418,31.0,204300.10690922302,28.983606557377048,-17528.409836065573,-52359.13114754098,-1880.046419517202,1504944.5654875243,3101845.817789608,2042813.1765402306,2270500.5147927864,2385903.983849291,2877160.5139010674,2177388.658657478,1974068.871310826,163000000000,971000000000,27,320,32,60,32,62,Bot,Stan-Stand-Landscape
3,-39042473.0,-32612443.0,-49227238.0,23040485.191012405,42004585.0,39838254.0,98693130.0,108870649.83495441,8,16,20,68,-1347575.8214285714,15800661.17857143,11733122.857142856,54083560.70650502,11164713.1,1984644.3,937266.9666666667,47324485.08572236,28961156.704370186,19758628.22486402,44199647.17323914,23514899.277403165,29396416.46273865,27785334.4205917,31730415.78517183,22295505.012401924,-80948829.0,-43404639.0,-90705632.0,-60035226.68919807,81047058.0,62505782.0,147920368.0,55364534.51614484,12,12,44,8,1770620.0,-21495.222222222223,-524900.5555555555,-808753.0744232988,1437316.5084745763,77601.20338983051,-1366639.5254237289,-376361.3835096748,29892913.415986996,18021686.33302132,38816760.776248984,18555836.384764012,19454604.893492818,22261651.06404775,23767690.945936922,13756478.352452999,-1864223.0,-5606349.0,-2237921.0,401619.8383421815,3462479.0,2916923.0,3088413.0,5743345.415519512,64,88,4,12,266603.76666666666,182205.76666666666,353893.5333333333,2759220.0782344583,-109341.73770491804,200620.96721311475,239724.80327868852,2748355.865871409,1557522.8448559989,2284502.400371607,1241120.1063100563,1243710.7403700782,1651244.854199975,1967969.0772672384,1539809.4792482588,1184345.5438809325,-4260980.0,-6391614.0,-3195759.0,-4192552.149926183,3195835.0,8522042.0,5326334.0,3505646.0741255437,8,4,4,44,-36709.24137931035,-73520.31034482758,36758.793103448275,-74599.21541769255,-54729.333333333336,34987.46666666667,17633.716666666667,2303.3854516116594,1779948.6486830062,3101729.8298908127,1865814.982376415,1747323.184042539,2329270.9493487277,2714844.9499511356,2080817.0375001745,1684082.649895035,755000000000,230000000000,20,304,28,60,30,61,Bot,Stan-Stand-Landscape
4,-34258842.0,-33719778.0,-26315212.0,12395531.677252494,23070335.0,43428540.0,30870438.0,50315243.36424568,52,36,12,40,-418836.42424242425,2949389.606060606,-1096277.5757575757,35354463.064498015,6452841.75409836,8017363.229508197,-250722.50819672132,40599401.784997985,21018759.489182763,25779540.169286568,17641480.54996251,11789282.506620243,23255304.172336277,18681014.69856951,28297460.998770088,11067925.561380107,-42826653.0,-52984476.0,-57185650.0,-34095134.55938934,57192802.0,76982915.0,33150673.0,21436617.961109214,8,8,12,24,897258.5,1189107.09375,-1495487.96875,333863.19907863066,-405216.2166666667,-1130970.3166666667,157296.66666666666,-426484.64666813804,16568992.968466416,23787029.891147472,14007000.764188189,10118577.180192385,22967665.589943457,17969495.393761307,21118648.56692831,11087506.976393297,-3015194.0,-3511359.0,-3308489.0,380440.3914583729,3376468.0,5011112.0,3082920.0,5250779.807567634,32,64,64,4,485076.8,597721.4571428571,-143179.51428571428,2448276.5280615436,431466.1451612903,388839.12903225806,28456.387096774193,2693225.1223534974,1254388.4886187233,1657235.9984948777,1602768.7218252225,1161696.062106481,1576007.185898362,1829311.3411890552,1620340.313678847,1194580.6866372228,-4261048.0,-5326346.0,-4261041.0,-4870339.416109261,3195803.0,4261026.0,5326331.0,3789913.8676488562,32,64,32,60,31340.235294117647,-20.147058823529413,-93984.29411764706,31907.514345150877,17301.70491803279,69848.7868852459,-17377.344262295082,19152.223516004946,1560600.568015254,2017888.9070046933,2228047.568925479,1729511.39652678,2177953.4869614304,2415876.6895743716,1773073.4121874725,1673355.981987963,589000000000,548000000000,40,324,33,61,35,62,Bot,Stan-Stand-Landscape
5,-33117294.0,-53619087.0,-50475597.0,13328976.584115714,43107986.0,52365124.0,45465470.0,68867621.37521122,100,148,124,40,3452175.0754716983,-4854052.754716981,-875909.2264150943,36654362.750424914,1040490.0327868853,-1419417.1147540985,2541682.7540983604,45561739.64721549,17275146.037015732,24888418.583420277,26465962.056334488,16907842.679719627,16550135.819351926,23234721.23994739,42356941.07720154,22519248.28712089,-57168006.0,-67208053.0,-47671556.0,-38636333.04236695,23836136.0,57811619.0,66784143.0,47821074.297585,40,12,72,188,-547005.5769230769,-555608.1346153846,-931762.75,213986.7840939521,-318654.38333333336,712509.95,475251.68333333335,332618.72661175503,12279409.661973534,19808656.857436534,18505415.938095436,12779943.173605118,14719653.3705377,17320550.05488191,33289984.368206747,17548904.503533486,-4047113.0,-3621042.0,-4455153.0,971182.1701390528,3409734.0,4901114.0,4066947.0,6407086.727973721,4,48,20,24,-192823.43636363637,-618821.7454545455,135203.9818181818,3067414.0675871144,-275145.9016393443,-162994.31147540984,399602.4918032787,3054533.0761273513,1745487.8843695056,2091609.9756256896,1773926.826179762,1196505.8205960263,1809624.295421223,2188830.3637739005,1678987.3151459545,1290489.110747431,-7456847.0,-7456839.0,-6391586.0,-2836737.8103403877,5326315.0,5326320.0,5326315.0,3583794.9169322047,40,88,28,56,39452.31481481482,39458.444444444445,19725.09259259259,-13355.23634072823,-17756.3,35513.083333333336,-35510.816666666666,14244.14204392458,2535527.283166143,2810679.309185505,2523296.3744818247,1634244.9187885802,2369994.990778604,3236757.921775478,2475194.224230525,1853601.3876309472,81000000000,353000000000,118,400,53,61,55,61,Bot,Stan-Stand-Landscape
6,-57029724.0,-20282150.0,-94849350.0,15045256.283143368,33583640.0,27918160.0,52683590.0,97109283.50124723,36,12,48,24,6953532.820512821,8295866.0,283644.4358974359,41607701.05239434,7739497.741935484,387994.51612903224,2767874.290322581,37309723.018367045,26726214.6098091,14114511.277430108,34687196.8678157,21454416.40464307,20288730.916187022,24044302.422430243,24528832.93697488,15665595.65449243,-52444458.0,-48200310.0,-142649653.0,-60655095.95968531,52447319.0,33806682.0,90629580.0,50697701.17241618,24,12,12,24,249586.6052631579,-379019.6842105263,378596.15789473685,-8879.2920198468,-706813.3606557377,-230866.39344262294,637468.737704918,29679.980212705363,17224112.662837975,13869794.278879581,32923934.95418326,16378921.156327631,18034176.06001012,17962702.205144078,26917947.90725144,11537041.881444238,-4044497.0,-2552232.0,-3471505.0,867027.0709839457,3412313.0,3839282.0,4065565.0,5085978.59654649,48,40,64,40,-733175.4871794871,334882.9743589744,-268053.58974358975,2724042.6011519567,-467970.5396825397,487040.6031746032,-89805.53968253969,2480361.209410983,1917756.7314900812,1407696.4475954755,1485022.418684802,994757.9781126091,1502047.5673594302,1636999.2303026305,1399943.917104848,1056453.4792082862,-5326322.0,-5326310.0,-4261058.0,-3480561.0274087903,4261051.0,4261058.0,4261051.0,2835206.737303964,88,4,4,40,-110566.36842105263,3444.0,-58178.81578947369,42829.206003753934,51542.12903225807,-17175.225806451614,-17184.725806451614,-42509.40074083988,2235650.7845208766,2104151.7948003984,1925814.3566888764,1279999.0023892098,1661654.5391210618,2323594.7588668647,1840043.6319198466,1592558.8883065104,453000000000,812000000000,55,352,39,62,39,63,Bot,Stan-Stand-Landscape
7,-43951035.0,-19319892.0,-34255505.0,11401325.789865186,41840553.0,48370600.0,36910534.0,56727861.805062056,72,72,72,60,-5948962.636363637,7856240.878787879,643014.9696969697,40818367.2233301,-9596665.716666667,2566916.75,3643921.95,42514352.65445384,27899187.94192609,19882260.932061944,23954015.810891397,11394283.053720564,22285265.536162984,26772146.686428536,27886659.700518806,16334084.651353512,-76226233.0,-38567842.0,-62176943.0,-30597889.337377526,61922074.0,48113704.0,38052798.0,43207520.29018237,72,72,24,12,448226.9375,1059053.46875,-21599.21875,326518.0609503626,76568.71186440678,-150132.98305084746,1215352.8644067796,692965.5566486382,25560237.710513033,13547198.515018694,18812315.199232113,10403516.743656402,14161478.150576435,20296998.359150708,22449449.74294616,14013329.077574415,-3979721.0,-3475378.0,-3476204.0,485762.5711281181,4542246.0,3981434.0,2915488.0,6036730.765795424,48,4,32,20,281202.3939393939,-602184.4242424242,-312699.0909090909,2877516.016399298,-138335.73770491802,-51415.11475409836,-298327.11475409835,2771198.2227827534,1806257.0761144082,1835212.1000889624,1586431.2142469604,1079268.7166392028,1607049.147634767,2068566.7058819022,1487469.7604629605,1174408.4603804324,-6391596.0,-7456812.0,-5326334.0,-2502668.5908676786,6391566.0,6391598.0,4261046.0,2736265.14195692,4,4,64,76,-66591.0,66606.0,33276.65625,-34854.7675851245,17742.316666666666,88799.11666666667,-71030.45,5034.428283241213,2635552.63055258,3000486.433893709,2404000.816420028,1306892.1200268366,2016433.2364830193,2530544.8183957813,2075366.3393190242,1273755.1117425666,152000000000,546000000000,33,324,33,60,33,61,Bot,Stan-Stand-Landscape
8,-37431717.0,-62569140.0,-77069760.0,34576699.83868031,32653810.0,48102975.0,46793222.0,82934968.51016021,120,12,60,24,-12549912.268292682,483546.3658536585,-4897856.365853659,50935430.655933164,-7951376.950819672,-9215272.06557377,264636.7868852459,45071766.33315579,24323568.3944444,27243264.53261146,37532669.461471975,16417075.258392556,22627091.754812572,19558477.40380792,36084881.08897195,16792916.230296277,-66788675.0,-86587487.0,-76262475.0,-35924931.52450562,66671371.0,110672115.0,119283200.0,32574594.29304684,88,12,16,40,-274086.0,-1680527.625,359219.3,338452.51645425893,786622.3833333333,-722643.7333333333,-625852.75,267991.2062467406,22186206.26122086,25462258.65198688,31397379.437865134,10466746.12318133,20450638.710652757,17266912.18582111,25093669.569217455,16112597.129712457,-3788415.0,-5645205.0,-4413712.0,690073.9666919771,4733704.0,3942184.0,4108373.0,6800274.688065916,44,32,92,52,-244529.3488372093,551853.5348837209,-228987.3023255814,2979583.336524677,-262684.8360655738,785042.475409836,-28350.72131147541,2387101.9380836515,1912160.436193722,2135617.8465510514,1531226.087832986,1378141.4574381937,1367822.3960188956,1747524.255714425,1217185.2593411042,1144825.8604153856,-5322663.0,-7456848.0,-4261054.0,-4137440.070816707,7456846.0,8522106.0,3195696.0,4921779.072399752,12,4,84,40,25447.0,-75833.80952380953,25224.214285714286,-32441.043102740437,37585.416666666664,-14201.933333333332,-17405.866666666665,-13470.872138393896,2259416.7204205077,2831560.579309228,1822577.238746492,1765466.4063146352,1466454.5083998037,1798520.9945505583,1512420.8549427798,1343692.5649366982,337000000000,196000000000,73,356,41,61,43,61,Bot,Stan-Stand-Landscape
9,-48897743.0,-47793627.0,-85358860.0,20045580.332055792,41720390.0,19742131.0,52485466.0,98473566.54098387,36,64,52,64,388310.3653846154,-3280583.5384615385,7093507.615384615,41090467.673100226,-3231501.918032787,-6565943.262295082,15128194.360655738,35099675.88840215,24125693.142116353,20180733.59722092,34055238.47623851,22135240.64291912,22945839.00275296,20603290.374465905,17644275.333669852,17231674.529865254,-52440643.0,-62617243.0,-104647635.0,-56918691.08961527,90502739.0,48473060.0,119372610.0,54890322.71298369,12,12,24,12,372269.56862745096,-279600.7254901961,97938.62745098039,-240161.77419611198,236336.4,251236.56666666668,-866933.6666666666,288896.84655806026,20647690.69933888,15973510.184551327,26667216.4616817,14965668.565075008,19271305.16152604,19355125.717195235,15479279.361699952,14163006.640077522,-4719391.0,-4358068.0,-3334937.0,488734.1942610523,2737419.0,6294631.0,3056653.0,7012515.357084788,60,48,12,16,-122996.53703703704,-550657.3888888889,-119454.64814814815,2886008.7420251463,65714.22222222222,-198150.0,-88567.71428571429,2382443.063570187,1460665.069197095,2337533.146548974,1455776.746881419,1252832.1134749253,1564602.2622468981,1740112.9194472576,1055405.568491478,935160.7866861373,-5326320.0,-8522101.0,-3195794.0,-3773592.958606245,4261053.0,7456852.0,4261051.0,4240266.354825297,60,48,48,28,40196.77358490566,-40194.49056603773,-20101.283018867925,9946.268421996463,34360.967741935485,17186.983870967742,-2.5161290322580645,10711.233790445882,2209096.4496166846,2821931.780346728,1648878.66267392,1573038.531116911,1912961.7361791916,1640198.0965854495,1469610.1169529213,1270862.8470372437,86000000000,1032000000000,113,404,52,61,54,63,Bot,Stan-Stand-Landscape
