,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-38997860.0,-31455994.0,-52487610.0,4473691.606400357,22899568.0,79185486.0,67155360.0,103971952.27692801,92,44,104,112,-4092647.4054054054,5118060.6486486485,11250586.162162162,45742764.519122414,-4419852.9,45314677.71666667,48558512.61666667,80821313.69839269,15229750.688409507,35496157.14844589,34265303.4001476,26262894.712716777,15136476.497154377,42280859.05733926,31845325.60654776,29901415.930792514,-33516408.0,-57769776.0,-57227850.0,-29244202.931331962,33419222.0,81794739.0,81197976.0,84284995.8177039,92,44,4,4,159.77777777777777,1602199.3333333333,1857413.1666666667,2271561.429692017,-647501.9322033898,-328015.4745762712,-241182.61016949153,-202835.01761661982,10363601.322202621,22831621.41370661,23007739.501401886,19381329.36505515,13415739.196972784,23045435.829876862,25663448.426507976,15710598.297964342,-3891253.0,-5389910.0,-3396508.0,1471370.777243452,3566156.0,2067188.0,1930091.0,5945107.782047185,64,36,20,52,449872.125,-2114071.5,305150.225,3600474.8435161496,875484.9672131147,-1860076.1147540985,25183.213114754097,3081960.381406428,1890132.4710756175,2440587.8618302243,1051184.2778593784,1491716.4768581062,1144215.3824634294,2008482.4063442617,804595.2165837619,794516.9732640064,-4261186.0,-5326190.0,-5326378.0,-3599072.82730738,5326223.0,7457098.0,3195731.0,2733558.0631120186,64,36,4,4,27275.82051282051,-54542.1282051282,-27355.615384615383,53694.290262249946,-30.45,17822.783333333333,-17786.85,-18659.441345309824,1891617.054641886,2003096.3317949208,1477003.716441857,1158907.811446796,1198917.8320088277,1537462.9069711901,714386.976684505,710446.1987708797,221000000000,1169000000000,62,340,37,60,40,61,Bot,Stan-Stand
1,-36058962.0,-16580582.0,-53232193.0,14779850.132661495,49379945.0,50781250.0,37630320.0,69817788.74500379,24,12,48,16,6311059.107142857,8599621.785714285,-2770364.214285714,43845610.28662447,-2615611.5967741935,8076513.951612903,12276392.048387097,41037621.825358,29906995.987559214,24506151.623423234,27265552.395912483,19253768.76869992,17732575.428405076,30202702.49099513,28516538.54390822,23549512.023618612,-71536152.0,-57728767.0,-80934048.0,-55037938.6123423,61689168.0,67361832.0,61861754.0,35057214.352608114,24,12,16,16,-1423733.037037037,183458.7037037037,516264.55555555556,-916258.7226946795,1543.360655737705,473288.2295081967,-621787.8360655737,74614.57954224102,21688745.991135053,23336257.66358384,25812272.519017998,14811221.623904046,19151543.962356254,20579666.608189974,24135569.749539893,17291388.162894476,-2809836.0,-2214945.0,-4451602.0,1110748.641033605,4647096.0,4176538.0,3005545.0,6509622.552497879,20,12,64,60,81786.35714285714,676688.9642857143,-76300.39285714286,2988404.934030647,-130506.06451612903,519392.51612903224,666930.7096774194,2800390.9684058414,1686985.424415578,1783782.765604113,2097609.027386275,1286188.3048175077,1352941.2627785369,1898547.5153681603,1676774.8916378806,1009627.2027661526,-4261033.0,-5326367.0,-3195767.0,-5282346.168573704,5326329.0,4261029.0,4261077.0,2587902.1343759904,4,60,8,60,39469.555555555555,118328.07407407407,197287.40740740742,21328.287804161053,-19193.67213114754,-20660.885245901638,-38345.60655737705,-9579.453828399592,2451243.0558378203,2343463.9288705834,1716147.8066031158,1920882.6624486956,1643463.9205695472,2180425.418047138,1506257.8608581903,1296725.1651272858,305000000000,1046000000000,19,308,28,62,28,62,Bot,Stan-Stand
2,-44213682.0,-54718018.0,-76498270.0,5469677.592475081,36694825.0,36789894.0,61820745.0,95700824.02567942,28,36,16,76,-1614687.5272727273,196768.9818181818,-6361614.654545454,44584055.252147675,6630784.161290322,10394403.935483871,-6338238.838709678,43988149.68084086,22036867.89825048,26864788.1696724,36453618.49254474,23570601.74631101,21582868.335712068,26969879.979049075,33834469.81323823,23803840.430838093,-57215333.0,-91482163.0,-138319015.0,-58780650.83356452,76345862.0,91485024.0,71554422.0,32769451.916723274,188,16,12,64,-785738.7962962963,-267435.0,445401.22222222225,22629.83419786711,-379836.45901639346,-865123.3114754099,-944708.2131147541,157046.97069308173,19432263.46119369,26422960.497067552,30803178.198318463,14734008.166618777,20436454.6013853,24399963.381562836,29002487.675682344,18797371.422839593,-5028059.0,-3482298.0,-3587780.0,789435.2703515342,5624991.0,3974080.0,2804859.0,6677874.267591597,44,24,108,20,85613.41818181818,218436.67272727273,-4628.654545454546,2774701.9687160044,265990.1612903226,-65570.35483870968,-80929.16129032258,2771231.4734993232,1815280.2329329178,1943010.445921884,1469392.7629409218,1201743.6717505697,1590261.9330964256,2042709.509079892,1652311.6166163245,1307304.596421514,-6391535.0,-5326525.0,-5326268.0,-2994168.665818024,6391627.0,4260951.0,6391630.0,4204572.206067165,44,148,4,4,-19689.90740740741,39370.68518518518,59220.92592592593,56088.06380926805,17501.180327868853,-35011.65573770492,-17423.016393442624,-25174.368300788363,2341884.0421118382,2543806.89933694,1981465.453172445,1576758.0838768778,2186476.184478867,3055737.194000636,2443614.8389642234,1932276.830523995,1029000000000,1790000000000,123,412,55,62,55,62,Bot,Stan-Stand
3,-26759565.0,-40400505.0,-42164564.0,10362450.839294197,54483770.0,26942253.0,38759947.0,64036079.33246101,48,52,52,52,1587038.75,-1631478.3958333333,4120354.625,36155193.55310077,6260857.435483871,10154847.290322581,-3938274.9838709678,42058374.496103756,19963214.6333341,22317913.063429933,24376203.776669353,13358028.485962963,19540199.275683578,29580656.29389354,25401357.80089698,16265758.156900505,-47713815.0,-57765007.0,-66793919.0,-26116097.430672213,38002729.0,33667564.0,61971902.0,36814750.40211898,24,88,12,12,624619.8936170213,-206521.21276595743,106060.76595744681,93858.17394998447,-136331.95081967214,866546.0327868853,-699355.9344262296,95235.41137314515,12614774.618993249,16283617.70655996,20852341.324994955,9898074.706898587,16962434.97032598,24587365.847466517,20461943.861938424,13641176.207306145,-4020265.0,-5680856.0,-2522485.0,928506.8459031414,4501613.0,3977764.0,2957929.0,5799698.05640854,76,152,152,8,-88674.77551020408,-376118.8775510204,-2494.816326530612,2777907.9126832206,17715.564516129034,-166304.74193548388,174821.6935483871,2750705.998580944,1768075.8010943264,2066194.31043808,1241609.9470323916,1100796.873965522,1556760.38355973,1865325.6141447679,1771553.190934539,1187608.5150477856,-5326303.0,-6391598.0,-5326302.0,-3073884.7983768703,5326325.0,8522075.0,3349421.0,3291723.6503993804,4,152,112,124,20938.666666666668,-45876.229166666664,25406.125,8443.964610389065,11.885245901639344,-26.704918032786885,-52377.34426229508,20294.460114910224,2504535.5639993027,3158760.650398304,1831320.3185776994,1656822.945332358,2199270.9639009554,2679697.948895454,2443121.00274704,1730420.4643924816,261000000000,1234000000000,95,388,48,62,49,62,Bot,Stan-Stand
4,-19509286.0,-36024094.0,-44909000.0,15254064.074016996,37754178.0,45822144.0,45593260.0,56470250.59719109,48,40,136,12,13159269.659090908,7296367.113636363,-6096471.545454546,37498780.12713383,6002796.406779661,9389764.254237289,-3600573.13559322,43118985.483968556,15416384.493861066,22095434.74694694,24678363.06991006,12873800.45468574,25453485.244507745,28183243.133909654,26895211.803695936,20340966.463645358,-42979688.0,-52938462.0,-71616410.0,-26778604.796425678,33410669.0,48129082.0,33403873.0,41216186.52317409,12,36,48,64,-649423.7906976744,-785029.2093023256,-1213184.5813953488,-747160.6581382494,-563942.1551724138,-168356.39655172414,-481761.724137931,-459570.738342744,13030288.717533456,19417554.854258005,20627642.402149636,9765886.515771464,19049173.651342947,21538371.36087115,22331854.11096641,17675553.91658421,-4000057.0,-4629049.0,-2355645.0,502841.75382022525,3456334.0,4958613.0,2971710.0,5568787.813628205,52,16,112,32,-249233.8260869565,-89515.82608695653,76579.02173913043,2725866.5427698754,-262217.8032786885,153250.19672131148,126329.88524590163,2694849.858905053,1764580.5949357334,1988778.0819459003,1322256.7498136659,1139983.4609010408,1713613.756517425,1830962.7217538848,1329501.4760153033,884999.7182706096,-5326275.0,-6391678.0,-4261008.0,-4348026.114340011,4261097.0,6391484.0,3195837.0,4174989.6794312187,12,48,104,4,-70982.97777777778,-23750.2,-23635.68888888889,51601.64741373575,35543.38333333333,17676.7,53300.03333333333,-9413.40867443396,2494728.9373258124,2836161.226672525,1563821.5564547826,1533883.1986424786,2397566.587661846,2691357.5720537105,1722357.9853771783,1097916.33784168,1010000000000,758000000000,85,368,44,59,46,61,Bot,Stan-Stand
5,-40980816.0,-26185990.0,-50050260.0,3772970.504694411,35120310.0,46113014.0,64514400.0,71001101.79677941,12,48,100,60,789258.5306122449,2076888.551020408,-2785575.551020408,37338731.16692998,12754234.147540983,11271961.44262295,5143544.622950819,42143088.09056033,20126054.104730494,20924920.596700475,29695824.03125276,17733763.387428783,19015672.034085445,23974171.822325163,35592573.98096412,26814191.46672286,-76101126.0,-43306351.0,-62108041.0,-65727890.107093565,47644676.0,38480758.0,95427753.0,37911713.111479215,12,120,12,60,206799.54166666666,602523.4791666666,1686637.625,-344170.6021288138,13519.333333333334,1700.7166666666667,237222.51666666666,66386.00161153873,16857818.430566948,12761698.41941808,23907235.62689529,15590936.596816843,14517219.88607687,19080153.648419786,25178154.809851784,23629990.095573433,-3947242.0,-3490833.0,-2499004.0,819003.4911634993,4574961.0,6097196.0,2827899.0,6754140.844192768,28,84,160,4,9380.632653061224,96649.14285714286,-107332.42857142857,2641786.2245244635,78126.16129032258,-82222.45161290323,-176998.16129032258,2673885.0567717077,1684320.0200638052,2001058.328620414,1349747.3508330488,1248975.9867507147,1461260.163460844,2012065.409332082,1573393.4723083198,1198876.0080155518,-6391564.0,-7456883.0,-5326299.0,-5935137.353029269,4261072.0,6391564.0,4261072.0,4940238.744513461,28,84,100,4,13.770833333333334,110934.02083333333,-44371.3125,-1381.416967324447,-87191.81967213115,70013.45901639345,-17407.39344262295,-76376.99557990591,2382001.1900086873,2752557.1660756012,1932193.2479954953,1799444.6047432926,1969939.5626293411,2800805.6625121078,2278146.9571636813,1553130.115975929,647000000000,405000000000,93,388,49,61,49,62,Bot,Stan-Stand
6,-49026877.0,-25887490.0,-40202618.0,14325840.119593162,65494806.0,46153070.0,83425520.0,109176687.70734957,76,24,28,12,-1824928.1186440678,5696813.813559322,21119254.813559324,45823550.86042064,7494944.661016949,729641.7118644068,9329452.338983051,41860564.99129891,23826556.625618685,18522117.153684482,34151078.34143264,20764935.42675024,16523296.170489807,24788315.312971547,33314546.354782425,19001142.64342159,-62326998.0,-43246271.0,-95094679.0,-94850847.58775641,66592306.0,48124313.0,71658373.0,31462740.314836457,12,124,28,24,580850.3620689656,-84992.10344827586,661175.775862069,623592.1385481878,-319422.8275862069,-1078095.9137931035,-249805.12068965516,-44265.60729041201,18234343.42746269,14741676.1873931,23465120.68525792,15249370.604996052,16714658.300766304,19665100.88852352,24913264.307845835,15059614.01998773,-2959816.0,-3504324.0,-3312435.0,396380.6059912619,4497120.0,2898528.0,4144640.0,4835868.668070505,28,180,40,96,-359688.0677966102,-102583.10169491525,227081.57627118644,2412558.964896728,-141407.14516129033,-332541.77419354836,-29124.967741935485,2786929.7375632464,1443814.367405286,1538127.9130551203,1575642.131959431,1098662.0524836117,1758391.9217555497,1985652.6690800523,1367982.8431847987,1070240.0245031728,-5326310.0,-4261091.0,-4261037.0,-2701608.5411180397,7456861.0,4261035.0,6391608.0,4024249.1272652093,4,24,144,176,55103.65517241379,186.58620689655172,18392.672413793105,-31260.944957960914,87330.0,-69883.24590163934,14.19672131147541,-23102.4775311384,1942395.4039680734,2074470.1432494884,2079325.1012878441,1390108.7071036508,2380400.2070754445,2807634.0876637567,2077476.2143827209,1596069.093897717,379000000000,1656000000000,136,432,59,59,59,62,Bot,Stan-Stand
7,-47275037.0,-54859160.0,-87559220.0,29272320.766767196,48009098.0,60656548.0,107637880.0,117199295.02129707,60,52,56,76,14693535.780487806,10978024.268292682,34105202.19512195,66061530.17765536,8494955.901639344,7242452.950819672,13666012.262295082,46828545.334497266,26302121.814778894,35627353.474766895,41124197.84032232,26761017.076301854,20744434.56363821,23595157.899645198,35289611.16849988,17875273.67195626,-76204390.0,-91457368.0,-85585353.0,-79904366.47266024,42784423.0,77023507.0,104799983.0,62232235.955618106,24,12,4,76,-479673.6,-1083302.5,1194208.9,274160.64936249855,-390408.93333333335,-1202487.95,-400551.1666666667,-347310.3020977526,18603914.67944483,29289297.428440653,33367770.33504944,24001398.365951084,15417706.478058456,20758194.12258596,33696466.21310429,16124030.225099783,-4934335.0,-4354321.0,-3475514.0,490764.4173103832,3588107.0,3101510.0,3981189.0,5178911.096655937,112,152,44,140,-140500.97619047618,-68418.0,-254241.7857142857,2520957.6504084314,220778.2258064516,-43279.032258064515,-4203.806451612903,2682498.312372649,1748840.97433655,1688202.9411270726,1440498.454747616,1250803.4765954555,1557406.2241753475,1894136.8941105308,1647336.2968212196,1210243.0932081735,-5326302.0,-4261087.0,-4261038.0,-3952334.987491685,5326333.0,4261038.0,2130543.0,4559648.732307577,92,72,20,108,11.902439024390244,103901.39024390244,-155879.53658536586,-62227.701752583016,52402.147540983606,-34953.934426229505,69866.27868852459,73424.60715530711,2433729.20978483,2048464.4025316646,1656340.968097084,1771001.3941003429,2142945.5636317222,2522106.0337328017,2198161.756631381,1757042.663649187,168000000000,1003000000000,64,356,41,61,42,62,Bot,Stan-Stand
8,-49568236.0,-45121193.0,-74634790.0,11238674.512434551,17076612.0,55982590.0,30446291.0,81498097.78822908,80,40,76,12,-17002372.536585364,14023129.56097561,-23211607.17073171,47704729.91326613,-12130003.774193548,5113863.306451613,5884101.322580645,47719438.03538972,15514725.681775272,23893049.38728296,28266002.09128449,18111787.302292977,20661105.30299818,23610820.841887973,37309775.64126697,16529249.888820566,-61824292.0,-53017616.0,-61978579.0,-70259423.27579452,42899877.0,81861496.0,71162701.0,57279944.958943315,80,12,24,12,-244838.725,-242090.225,1792573.925,-1339990.7501623486,472545.131147541,-76903.67213114754,1006990.1803278689,-179925.0709563546,14786593.005967159,17822936.800974365,21300755.473084807,16032303.622284805,19271942.39843579,21470765.92934393,31893849.377144255,14684373.327908505,-3871805.0,-2213296.0,-3478840.0,877800.1642293079,2519633.0,4178380.0,2912770.0,4593835.316650566,68,20,12,112,-651378.5348837209,784232.976744186,14194.139534883721,2463204.5271847877,95864.45161290323,384521.32258064515,117197.46774193548,2589859.7260930007,1423302.3550773165,1340541.2786979082,1439101.0458706599,863875.9615515348,1798955.0024445537,1761560.6953917153,1183294.4426235848,1046791.3691805562,-3195796.0,-3195778.0,-3195802.0,-2672340.8636892773,3195785.0,4261066.0,5326266.0,2940498.6958071273,52,4,116,4,-7.738095238095238,-25346.02380952381,50718.57142857143,54209.28264670248,106050.98360655738,-37383.86885245902,-924.5737704918033,47454.30448784314,1770358.9006953079,1584956.0929866629,1971830.1809235518,1234493.915214553,1697061.1439115591,2298373.9194281017,1417454.5682035675,1207650.4824821632,352000000000,87000000000,70,360,41,62,43,62,Bot,Stan-Stand
9,-48208058.0,-48843384.0,-29913902.0,10438505.660646355,23301125.0,23369790.0,41601180.0,57569357.43842361,36,100,24,64,-8677921.2,6443132.885714286,8812297.914285714,38010055.43008617,-5685618.79032258,9776161.85483871,9370295.91935484,39029787.041980855,18940365.133028775,22560334.367133535,24679872.834387314,13774673.850007476,17197738.136197273,21022054.735338017,29178952.53590801,16125805.223802762,-38053692.0,-72183609.0,-33459186.0,-41285870.600709915,57133019.0,72201729.0,57248354.0,24770799.61952462,36,12,12,12,-693428.1764705882,869.5588235294117,1959919.9117647058,429325.1516751082,-313393.39344262297,-473663.45901639346,1096033.6393442622,130135.0327968518,15510801.227238256,22151206.531721283,17129083.21562709,12891712.441234939,16530646.70511925,19054468.511553675,20818903.444478884,16657932.699680641,-3790281.0,-3437908.0,-3530774.0,902033.1602956734,2601428.0,6149698.0,2860863.0,6210751.26999818,68,56,28,76,75161.91428571429,427451.9142857143,547624.6285714286,3119041.5497490806,247740.90322580645,-294296.98387096776,730530.4838709678,2867016.9929507156,1463490.7282868219,2147507.442569194,1958928.90241695,1038779.7020805064,1649570.809755237,1461756.9267413258,1850058.2815841124,786658.5081659133,-4261050.0,-6391593.0,-4261049.0,-3544118.2536460985,4261063.0,7456824.0,5326332.0,4238109.4135343665,68,48,20,4,6.294117647058823,31317.20588235294,125331.82352941176,27553.850964622256,7.60655737704918,-17480.409836065573,17471.45901639344,18032.05186811266,2017889.8230643366,3007311.571493077,2434181.50980331,1667849.0740209494,2165171.8580750595,1904545.7140323936,2036708.4126164876,945456.8271000333,406000000000,325000000000,38,336,35,62,35,62,Bot,Stan-Stand
