,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-670383930.0,747773600.0,-1194068400.0,2041935963.2483327,645011800.0,5640614500.0,4343022000.0,6122710421.374781,24,148,12,112,-473861.06382978725,2593868441.7021275,2410262575.319149,4005236376.039703,23435858.333333332,3102361862.6666665,964613668.4666667,4052127698.6699185,442508655.0144984,1636655802.6917872,1452054844.8337193,1184203437.9742303,341616643.92771965,1750068423.7700644,2070964870.2518432,1226737567.0065882,-977442580.0,-1667264300.0,-3186078030.0,-2169708328.3501825,1102260520.0,736556500.0,5537090400.0,1455916814.9923012,24,48,52,72,-2579578.4782608696,-92494176.08695652,63180789.13043478,-42608217.99670448,9084993.728813559,58854035.59322034,-74810025.42372881,58917265.22056615,375893856.26491296,405605929.9423298,1270267505.8771641,666063408.4386809,310951332.3099652,427403123.8845754,644740448.2917203,522133495.8304295,-2962178700.0,-42816400.0,-282788870.0,157731836.7707395,11679122000.0,298380730.0,74503236.0,11679721803.665194,188,100,96,152,4998185692.708333,47042591.708333336,-59384602.0625,5568387913.128453,-7632222692.622951,-30529911.327868853,50763315.59016393,7728444498.1344185,4516282065.718864,76063069.32711238,98520087.6190318,3776887626.9126477,4465404901.117078,50618793.354412556,56003123.19448305,4294932133.6532903,-712454200.0,-121646315.0,-178540814.0,-697931207.9970572,0.0,164652510.0,116965700.0,711534426.9669521,168,12,12,40,-311517036.17021275,-1853479.3829787234,1075580.0,-185475623.3969982,-214851395.0,-1219585.0166666666,1719546.1333333333,174769134.44405815,204317905.08595842,46047088.30699619,49000384.794326626,311680148.1305639,224729667.35004053,44251442.26630442,29755934.935690854,245831541.40471464,277000000000,649000000000,90,376,47,60,48,61,Bot,Stan-Swing
1,-869126800.0,2707092500.0,-4942700400.0,2919058413.759512,638889100.0,5779704000.0,2765680300.0,6196386639.102026,24,104,144,84,-56694862.511627905,4246168046.5116277,-1433859612.0930233,5082519910.167844,-91364511.15254237,1347779051.440678,-3222682479.661017,3700697253.2246075,478872894.39693964,921414494.9107746,2364447640.9195986,888427284.7262828,435602109.2925791,1492407386.8451695,513715994.51614505,1081995493.9238114,-906302340.0,-1555301000.0,-3060174940.0,-1687956168.8142414,1290208160.0,1468302100.0,2578179830.0,1658608168.1373672,52,28,16,40,-19954311.42857143,4513621.428571428,-144329364.2857143,13772029.605839366,3780351.620689655,-54825632.75862069,12268427.586206896,-40963024.87398656,415100997.77164036,565503575.9734868,939329970.261334,602352824.8485333,318519096.6132476,254677225.79626504,257490713.77853262,244524061.75676423,-12115581500.0,-212704880.0,-19717209.0,8324059574.168012,-8321778000.0,90498980.0,174281220.0,12116245414.304924,92,16,20,92,-10794301081.39535,-40768402.41860465,72077285.55813953,10795037406.571648,-3096461560.819672,-14777175.180327868,6323878.967213115,5481603958.438905,1112716666.6940267,74779930.53807911,53198206.0648071,1112342421.9841602,5685302488.366485,52354112.697555326,53820531.286241665,3395240555.103995,-568164000.0,-147776120.0,-107712961.0,-490441780.286047,491155000.0,193793260.0,71892343.0,566756446.2116871,140,24,64,140,-16456761.904761905,1256628.0238095238,-2560198.4523809524,16410004.489141623,306202633.3333333,-1259175.3333333333,-1267179.9166666667,-78518187.10309452,217011859.31413755,73486342.209808,39216364.47143988,216881034.6192292,213913397.20235714,47806036.81646661,27909815.02561939,354936037.66960645,482000000000,283000000000,68,360,43,59,43,61,Bot,Stan-Swing
2,-699307200.0,-378041030.0,-3534867300.0,2424097777.794019,449893200.0,3186598800.0,-2317407600.0,4480728618.5954,24,124,100,136,-19320801.25,953931738.2777778,-2869247569.4444447,3219158198.1836123,18454774.677419353,3370644950.0,-27439049.677419353,4078240415.5406575,338303363.3188805,1107840123.143729,454616999.28986055,541791871.6303302,493449060.83986646,1139240927.3782296,2073310710.4550247,695619543.9257894,-585095015.0,-458791013.0,-1158508300.0,-630600598.0389676,1092326400.0,1016228400.0,991766900.0,1137931479.727079,12,64,100,12,22965053.714285713,100256777.14285715,-21181445.714285713,58760881.16575373,-8785867.704918033,275757.37704918033,88974562.29508197,-11708989.974965315,254272013.60101372,289060374.5541327,404425979.70234823,380809995.45770043,487935933.7155891,420996116.4507194,530130673.0567919,411699587.39171165,-1293695200.0,-104831980.0,-186799260.0,66403683.26194189,10010144000.0,34360256.0,48920350.0,10010882837.933672,140,24,128,128,4912055329.459459,-6062688.756756756,-45650544.10810811,5028118907.233988,9222911309.67742,22028081.451612905,-79473053.25806452,9223800375.301199,3448089927.6917315,34825393.75766139,58995707.49709451,3272683592.669428,2204766381.9717846,83069426.13412742,54633383.78658803,2204795599.9882436,0.0,-44194845.0,-49966991.0,-709830270.4757938,709552800.0,23941935.0,35251150.0,692054620.8491538,16,4,20,20,313995533.3333333,-1735457.5277777778,-4319643.888888889,242118254.30891937,-52287598.36065574,-7807.6557377049185,-860244.5737704918,-52279605.37526117,204314771.82988667,13530277.000724949,19692382.237367652,282576577.2125936,261873017.9532292,78760083.24434981,35849075.54555899,261927245.89120963,208000000000,1794000000000,53,336,36,62,37,62,Bot,Stan-Swing
3,-552325000.0,974462500.0,383799550.0,2326820520.559903,649568860.0,4335287000.0,3846431700.0,5253850649.379628,40,140,100,124,90207622.4262295,2154619709.836066,2390703055.7377048,3415530161.6689944,-39517186.62295082,3232703627.8688526,-877388931.3114754,4020690902.230576,293830538.7597192,1043977003.9374158,809997481.8543185,714698715.6924733,487406973.395345,1080699455.2421596,2096332293.8664324,879473036.3985041,-615851990.0,-1853587300.0,-1478847500.0,-1858191053.093031,767041600.0,607894600.0,1912560950.0,1098437403.629919,40,148,132,60,-2814581.2666666666,-16918288.333333332,26066414.166666668,-7749123.840616321,4137961.3333333335,-19430723.333333332,-74687783.33333333,-9647381.269219048,228091298.2520925,326228383.7413793,559409257.5400617,440988650.76783127,484301169.7727855,376670700.98903465,487392247.7817882,372955415.8202051,-8393779000.0,-38892020.0,-186696570.0,90818268.57449256,10170973000.0,168502730.0,81762450.0,10171471555.253895,240,200,184,136,1236621754.590164,20048612.04918033,-28474143.393442623,5053775391.734734,-9143211372.131147,-22537373.524590164,48432621.37704918,9143734803.907509,5722727646.816062,44947846.75919998,67667287.14178553,2888916972.51952,1935231517.2190866,60463153.23914596,57711559.6295783,1935271855.2196348,-654127320.0,-77965554.0,-50214426.0,-644534267.0867345,0.0,136297542.0,68813194.0,646660330.7395077,132,24,24,60,-309412533.3333333,-115403.45,1873644.0666666667,-29627984.76551218,-17619490.0,-851751.6,-1680838.5,17629117.464981843,192420101.52537447,28020175.28924738,22919215.206137624,358651185.70804733,270755094.71615714,53175498.51334744,39007399.23564066,270764458.33406925,368000000000,1696000000000,143,436,61,61,61,61,Bot,Stan-Swing
4,-538019900.0,121267796.0,-3483952500.0,3033290380.256693,745106700.0,5129554700.0,24485350.0,5264748184.772194,40,164,112,140,-7745251.666666667,2747667431.0833335,-2525569834.375,4128333446.2808414,26041956.229508195,1091667796.7540984,-2519358526.2295084,3117789625.4002843,390540445.2514945,1650205179.0259438,936170568.6716795,755607127.4020172,414575115.3808801,1266556654.7955332,749283935.56424,346534605.5882569,-1009086700.0,-929166500.0,-1223765800.0,-609776803.8501663,788530770.0,679487200.0,318191100.0,810863165.1766319,40,48,100,48,-13796968.085106382,-84288231.4893617,-64464503.19148936,-29227252.033462554,2842848.0,54001346.666666664,38061690.0,20653121.381457176,298464145.8463584,299155329.9766146,260178938.1441746,219748469.53240994,343383082.28945565,243952319.88373002,302522297.0390001,164289213.7234146,-11306979000.0,-138149710.0,-76726240.0,2687246678.0757723,-2686971700.0,52734364.0,126127080.0,11307539379.782896,152,88,44,152,-8463062136.0,-31723960.2,39199366.0,8463502534.245047,3537887006.344262,-3847651.1639344264,-32738315.80327869,5431913735.077603,2809348144.7350917,46776017.48423804,52237377.69174136,2809331250.5083365,5353457422.8091135,41067543.75905257,52708765.34709277,3375334470.1084104,-230751000.0,-136093017.0,-71765488.0,-643917737.9412012,644242500.0,133814570.0,62162006.0,230873513.0043888,164,48,88,164,158655618.36734694,-1848868.7346938776,-857156.3469387755,-158653937.1852685,281164000.0,3083987.3333333335,633036.1666666666,85315862.4729404,202349822.46402368,41730472.81084673,27044923.937695947,202366840.54762664,185796018.7441405,34708342.15136719,23588193.642607138,324704684.72414243,620000000000,628000000000,100,384,48,61,50,61,Bot,Stan-Swing
5,-740740900.0,90162280.0,-2854029700.0,2679651572.4276576,802310200.0,4540376000.0,2813355400.0,4946243084.428665,40,148,192,160,24436365.60714286,2748839856.071429,-959239327.6785715,3569533268.7955256,54407351.86440678,2160562022.0338984,2285766371.355932,3372570033.733846,417596997.280417,1403700085.1910589,1629086648.9343665,675599238.1739492,303854646.7719968,1094905080.7539108,752119229.9516702,593990075.3296727,-1334282370.0,-1373955000.0,-1542482630.0,-1639845335.67338,1238602160.0,1535075400.0,1687676900.0,1837679332.3770733,12,8,28,8,1827401.4545454546,59539015.45454545,102419176.36363636,31307798.045293167,-10000175.0,-33925682.75862069,29188234.48275862,-19094515.964995213,388152228.2119504,388605323.67477584,530709985.3170237,430721588.93943083,269088523.1409014,218377173.54795858,461262413.52785283,335100778.6847277,3737510000.0,-157026810.0,-142009650.0,3737595219.9289317,11130666000.0,164739330.0,16819004.0,11131601118.67731,140,16,108,140,8894949173.214285,7344368.142857143,-73716124.01785715,8895601019.650822,2407220451.147541,20589275.081967212,-31086535.278688524,5112169062.998986,2163806803.799721,70951873.99210745,43746184.035902195,2163975049.2723217,5482266746.859613,40156611.529708706,53598179.593941264,3063101782.899508,-541110000.0,-185241030.0,-62786882.0,-542300589.4398546,632612000.0,167953440.0,50610360.0,632730581.603982,204,12,48,204,78803836.36363636,388909.4909090909,-2627915.709090909,78822477.47745931,-293659928.3333333,-821780.6666666666,1521057.7,-57339773.01321289,237706690.7829757,62389704.10202625,26201323.320983607,237737868.65629172,186038436.45877093,32342652.249244377,19917824.75625919,340415142.0476888,116000000000,1520000000000,120,412,56,59,56,61,Bot,Stan-Swing
6,-353928030.0,889056440.0,49746037.0,2407018618.688408,504264950.0,4115364600.0,3095815700.0,4126351610.887289,40,124,124,24,46620192.69387755,1998725238.367347,1963381338.122449,3112339620.639462,-58267660.38709678,2653825533.709677,-1756946439.064516,3703659341.3206463,271223400.883134,1027970253.4130905,988670779.7184944,484578197.33119196,432081379.3898656,1459489938.601161,1378582143.3271163,757952781.5087949,-751424760.0,-659033400.0,-1011404563.0,-741478125.5622616,808574830.0,1426600900.0,544548100.0,1439320374.904961,8,16,60,16,10613116.104166666,51200833.333333336,-46636868.541666664,25696815.730300505,4133109.180327869,-44964037.704918034,-66064662.295081966,-5298828.859529675,257815085.9629418,287778064.8953161,296755518.37821823,298076467.2394804,435787302.6886608,351348680.4934448,341234675.8577821,278177473.2606464,-10539652000.0,-116367330.0,-54641113.0,46050034.939814694,2937560000.0,50687750.0,112320820.0,10539860726.534704,192,16,116,156,-4512180200.32653,-8820461.734693877,23969129.285714287,5136616156.535882,-8044139453.225806,-20166900.258064516,37439097.338709675,8044565652.202142,4226315488.0046673,34370693.60731321,43487267.43743102,3422704140.6492157,2897874329.986589,55905156.78622594,46687348.64455059,2897904305.48912,-682638616.0,-60339275.0,-63288866.0,-670578013.9024305,0.0,130065580.0,51871205.0,658094152.7686117,24,12,16,44,-280775250.0,-184716.375,1420326.3333333333,158381234.77963397,116827180.32786885,175423.2786885246,-1876997.950819672,-116823055.68274535,189879465.04028973,27448512.414447315,23064533.432068434,295572734.0231674,234036022.88947013,48866250.45336411,30048180.378910024,234057602.35962954,934000000000,498000000000,95,388,49,62,49,62,Bot,Stan-Swing
7,-501665100.0,-217624430.0,-3322957000.0,2620753645.6405535,614696500.0,3041087200.0,-2061711300.0,4232070635.5786138,24,128,92,72,25824814.301886793,847970428.1132076,-2735809026.4150944,3040062933.6670947,39041324.03278688,2743621393.114754,-814716657.1967213,3651820789.3519425,276893714.4181225,1019155492.8297566,291893244.6749497,378133330.449048,265103915.66449863,1468548239.152401,1882632108.9480906,736512670.8339984,-696042340.0,-1540050000.0,-669782600.0,-974036697.9018459,667299090.0,571115000.0,895332300.0,610693890.4481802,24,160,52,12,1352581.8461538462,-34574344.23076923,5491569.230769231,-24829412.565946624,3064587.2333333334,33632450.333333336,80218148.33333333,5724599.830627417,248842815.32121664,263203866.0691027,241160748.03626835,241840506.48450837,243105454.3346166,299724577.7261187,467259327.73743606,349687587.2469035,-9583006000.0,-116673190.0,-77321870.0,65238702.580241315,6622431300.0,28990757.0,96953120.0,9583537914.837282,216,184,188,132,-1906055481.8181818,-7917239.509090909,6434347.527272727,4534587050.772886,8473319800.0,17468716.229508195,-62292006.524590164,8473730531.099774,4982327404.353148,29810775.651225045,45405027.78805264,2753852292.4583554,2173856478.229531,47205555.482157275,30658955.098899882,2173936254.7227917,0.0,-42296828.0,-45526385.0,-641080126.2516689,665033270.0,90411737.0,42691599.0,664262202.3749478,140,48,20,68,300100690.7407407,1278434.4444444445,-1154704.4444444445,-54825620.886655346,60839008.333333336,-210767.58333333334,189268.3,60835876.55465586,176757098.10624453,17927369.7303014,20118980.01585895,342093529.65871423,239085861.48336354,43139772.62353165,17510212.025434654,239100413.81628892,743000000000,1361000000000,120,404,53,61,55,61,Bot,Stan-Swing
8,-460705940.0,1695208500.0,-1047691100.0,2895750491.32518,453569100.0,4848519300.0,2690043000.0,4917682298.07397,60,100,84,108,3778129.052631579,3419760357.894737,1351785636.3157895,3884449949.584456,56288528.6779661,1896230723.7288136,2189004919.661017,3074502623.4379673,283717250.83861583,910074249.0656828,1050105118.751312,634233558.2918578,279473249.5379943,741568705.9289379,765771067.9926604,366279335.62374175,-745351800.0,-806986800.0,-1080385680.0,-803934855.4277463,562407810.0,1361038000.0,1374675360.0,1458144284.8192382,60,36,8,100,19803162.43243243,-45920732.432432435,69693389.72972973,-7925445.867297753,601428.275862069,10075774.137931034,-49490690.68965517,-6669254.074462134,219025287.31367645,347891151.2704847,395059962.72194606,364909031.3517561,238293828.26958326,232299011.23170123,215527997.93551067,220742657.3606982,4148370700.0,-37235785.0,-118973050.0,4148582927.501508,10795311000.0,129380510.0,-15634272.0,10795608729.380075,128,20,28,128,8608055135.897436,38056656.87179487,-65265818.56410257,8608554142.37765,-1810541189.3442624,-109873.29508196721,1673202.9016393442,4916975164.360601,2143349478.8658905,39698460.589470334,25665024.806842852,2143180466.2887654,5423888878.388616,38081223.408590525,59320057.36224983,2859483755.446128,-602252000.0,-118970714.0,-46253018.0,-602770839.827591,106303000.0,69832241.0,37936036.0,106563813.869833,116,12,20,116,-166804744.7368421,-2763599.9736842103,302199.4736842105,-166822776.0057274,-289612583.3333333,-445895.65,1371042.6666666667,43434882.54244159,175407123.95111984,38363020.74571398,17870707.429565553,175380209.22574028,182056440.8811392,23304577.588079534,19679429.94086848,333619905.98288155,632000000000,1216000000000,58,344,38,59,39,61,Bot,Stan-Swing
9,-477747350.0,1459477400.0,-2920019600.0,2543977563.7847066,625508550.0,4613376600.0,2660171500.0,4822909030.460596,16,112,204,136,-22876649.23214286,3028516328.571429,-649455546.4285715,3691663092.5519204,-10466300.245901639,901022474.5245901,-2642166226.2295084,2969476900.140059,275759529.66873884,857364883.6109773,1929798644.1061459,654020725.4551023,202927854.8914346,1063287492.491573,305385946.3929727,472377960.60210425,-1051387550.0,-1270672900.0,-2002578550.0,-1131528711.0138025,1103255900.0,881816400.0,866644400.0,626087054.262217,16,12,68,100,3429701.6,4329300.0,-92434467.27272727,-975286.6447746797,1147908.0,-24337578.333333332,2601258.3333333335,-21167299.106155507,289147928.3256905,308669344.4949307,467991599.83534825,290590898.5824461,170651259.61633822,247404650.0635956,277925020.08338046,223614871.16908634,-10730556500.0,-116731554.0,-12759965.0,4723790955.300807,-4723529000.0,47574930.0,119004600.0,10731386954.7797,124,96,80,124,-8749820751.785715,-29403211.5,50953160.83928572,8750171759.9612,-810569166.1311475,-9159404.803278688,-1681056.0983606558,4786199102.381444,1703426248.734394,42291880.77393245,34122245.36192787,1703491499.089622,5465748223.537993,28785786.374340326,45803289.97965207,2693676713.9924755,-596646700.0,-80068503.0,-53362964.0,-535083510.95777035,535059300.0,101172250.0,56187417.0,596544600.8011799,204,56,32,204,-37115400.0,721104.9818181818,426856.2909090909,37116814.94912227,293692650.0,1134916.75,-1535791.1166666667,-18333962.29659257,233628667.32006544,35073132.63364037,24863649.468897052,233621187.54333428,175486167.47327372,15446330.078626929,14401503.883315375,339538243.3394221,952000000000,1335000000000,121,416,56,61,56,61,Bot,Stan-Swing
