,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-123866350.0,-319722530.0,-306420330.0,38997073.97046944,187541200.0,190370740.0,299331670.0,371108246.1581006,40,12,100,64,13815498.232558139,-60627412.55813953,-27845072.441860463,247825493.9629643,10887851.573770491,-84929174.5409836,-85757803.85245901,297644171.0148328,100604496.47796333,160294512.54145452,180497773.0524887,101329491.51651117,97864971.15098575,205956536.78833824,201753411.29332703,132522360.18258247,-281735490.0,-429045560.0,-462507250.0,-240996293.6452533,251325290.0,510093270.0,510148050.0,246474359.35325232,12,12,12,24,737730.9523809524,-2489213.4285714286,-4322914.833333333,-2363613.8241451583,1820740.3666666667,-1335904.0,7146231.25,3433697.9944542814,102643336.26356061,173717526.23759878,159685090.99257463,79170872.35256484,84269959.78334986,236077873.20765713,167338056.46186388,107596048.36870177,-6051049.0,-117691.0,579176.0,7332595.459275999,2471527.0,14796214.0,13362645.0,15544770.347851815,108,24,68,24,-3102733.11627907,6224641.558139535,7813257.813953488,11359256.40436492,-2391786.129032258,2701959.435483871,7365395.677419355,9625805.052567303,2010997.6953786162,3455321.031815308,2945524.6238690433,2140072.6382853794,2073966.0535041129,4304536.378854799,3342218.93297139,2863353.087541014,-6391602.0,-12783115.0,-6391604.0,-6941349.1548437495,5326296.0,10652683.0,6391558.0,5699279.579631073,132,16,64,8,76073.26190476191,-50688.666666666664,126798.97619047618,57794.07805924794,34909.737704918036,-244448.6393442623,122225.31147540984,103716.05699895576,2603057.7936585518,4434755.1377482945,2969686.687066447,2955670.208818176,2558721.836619623,4227716.071885623,3499209.4807805484,3160929.885436093,892000000000,754000000000,71,368,43,61,43,62,Bot,Stan-Train-Desk
1,-141407860.0,-453743520.0,-185535430.0,82237736.03637129,36461987.0,60778140.0,510402700.0,511589862.2825224,136,148,64,88,-38095649.051724136,-159099654.94827586,118494347.81034483,281928710.5246235,-27450620.344262294,-209336341.4262295,12226512.819672132,281693660.8430937,48896172.04924086,151284593.99322653,173988833.00671294,127249723.03664678,59103575.37339166,157430508.00976104,146739172.80203697,120856451.718134,-85193865.0,-427443140.0,-300346380.0,-381074637.0353837,176848774.0,395255570.0,486333868.0,292783583.5118653,88,148,28,148,-159858.0701754386,-4420277.368421053,-1912234.0350877193,2316065.627458088,-89439.5,-1674716.6666666667,1917982.1166666667,1016820.2562137708,36950364.56476185,156424197.44825864,108242271.17434362,107025919.71639055,54932763.649994135,170245873.33986044,125316154.63232127,114617651.24194258,-3924999.0,-9695702.0,3770185.0,4024393.9571851064,3531909.0,956836.0,10162676.0,13599245.426642355,16,8,196,24,-320399.35,-3960483.2,6700079.95,8256309.428547359,-1441408.3870967743,562142.3548387097,6877257.838709678,7853889.240985809,1429083.4924238329,2550568.609684414,1793527.6043470292,2037160.6163528669,1706806.2807225697,2792489.5072985496,2159788.836308622,1784943.6998808836,-4261075.0,-8522060.0,-4261078.0,-5451146.0508517455,5326296.0,6391605.0,5326296.0,6692005.155776862,148,32,124,108,36093.64406779661,72259.40677966102,18037.22033898305,-14487.36232471496,2976.55737704918,172203.68852459016,-38595.39344262295,-13014.425940093111,2084587.4408205585,3087825.357045465,2398029.438990407,2470853.2849131394,2418319.956594257,2979793.5980551806,2379586.978391847,2074161.4721648924,344000000000,1213000000000,139,428,58,61,60,62,Bot,Stan-Train-Desk
2,-126089830.0,-615660370.0,-431081770.0,106689656.99591894,250231680.0,323007820.0,289018630.0,733619691.753777,116,12,112,60,69502989.51666667,-161034307.86666667,-90987872.35,406348310.84779686,86841528.93333334,-151066999.85,-14676015.183333334,413062722.14966416,118195850.16124181,300497387.9609632,231157891.96396115,171722338.14779454,84609689.07245688,312296659.57493126,245749890.6828219,150547895.04146826,-276393510.0,-874668070.0,-662639630.0,-500837584.3803648,370801910.0,938668190.0,591238970.0,547264431.921111,12,12,36,36,882384.9152542372,-2140247.2372881356,-4034123.1016949154,-1755972.2316882813,-362049.406779661,4527282.711864407,3326044.2372881356,-3331295.7239715024,115082436.69503486,321927909.9709721,225728909.53113663,165849563.3899487,79206561.84193695,353729218.36757725,242624585.9377344,158811983.4454012,-4811409.0,-4509665.0,2478188.0,4324998.642155394,2645510.0,8272393.0,12065610.0,12609649.711158276,20,132,12,8,-1398935.4745762711,1321908.3050847459,7497565.796610169,8457982.91878066,88486.69354838709,-4251696.048387097,6773646.741935484,8798427.286015691,1687527.3308575128,2834447.394280666,2238489.8805238046,2018123.0793517055,1814599.316721089,3622671.8667773306,2536854.4719180656,3030916.5157301123,-4261073.0,-6391540.0,-5326339.0,-5499521.653459339,5326299.0,6391623.0,5326308.0,5363891.305168912,96,116,16,60,55084.98275862069,-73433.06896551725,55084.0,34655.43595262452,35029.44262295082,-122243.14754098361,8.98360655737705,29369.177360996422,2125214.8909972855,3170355.753722758,2544223.005342692,2311074.38728081,2241046.378051641,3583306.050607281,2982001.695615693,3365874.048112848,619000000000,1734000000000,138,432,60,60,59,62,Bot,Stan-Train-Desk
3,-151193770.0,-718430640.0,-380228040.0,218276152.04719937,82102190.0,431348380.0,435122500.0,769860165.5664128,96,12,40,112,-32649296.79310345,-279011373.9310345,128502685.1724138,561796862.3055593,29354226.3,-160043953.93333334,60988538.55,289626499.9350827,88339808.01707375,410983019.94123876,270309994.19837606,147394359.87373972,86143034.00396661,168066460.45423856,206637771.81305543,154168697.72651878,-167167535.0,-1149779020.0,-362311360.0,-317908562.18548745,218585985.0,1131480340.0,600746160.0,265153720.61395633,12,12,12,80,2636582.1428571427,16819802.14285714,10221685.714285715,-19699429.054257624,1696384.3050847459,6714851.016949153,-5332833.72881356,-6379072.064397695,72047963.66429253,424699822.1002644,193858869.35495508,107649970.47916056,59072639.910097435,126453371.33056565,101616292.15808874,85840660.91379976,-3742434.0,-1309067.0,2476204.0,6885085.139604085,3714674.0,13605252.0,14194061.0,16763549.38636308,84,96,12,84,-803632.448275862,7544017.310344827,7031064.8965517245,11287691.877350705,-1539421.5333333334,8386374.383333334,7642283.033333333,11934156.22356645,1770115.7828726224,3579940.7943152008,3244821.137536721,2308861.3144283863,1838864.7940270887,2798985.124243659,2494953.1084148823,2435198.681822161,-5326334.0,-6391546.0,-5326351.0,-7164295.9259043,5326302.0,7456882.0,8522057.0,5919865.649976058,4,44,4,4,-38057.96428571428,380480.10714285716,-76103.96428571429,130606.70394064955,-17942.677966101695,-108284.10169491525,126376.38983050847,22573.019569533655,2303852.7854916747,3500975.193169411,3611680.3694643057,2882109.4939346155,2453642.2338150754,3766015.8346936055,3205320.702260207,3477811.5089264107,445000000000,121000000000,14,300,29,60,29,60,Bot,Stan-Train-Desk
4,-289310070.0,-327774050.0,-173598290.0,73605579.59193988,76251250.0,258856700.0,255407330.0,365095390.06154567,76,152,64,88,-24286206.586206898,-67682590.12068966,43127305.948275864,226376589.1311708,-16026886.016129032,-47630342.35483871,-37397277.11290322,242884747.10640305,82092144.18675378,171060641.9213532,140511474.93413654,103696587.00570272,67831906.95753722,172496816.9613157,171507490.5941211,88314415.23914404,-199281546.0,-466405140.0,-305099490.0,-250746668.2179734,252856957.0,495873740.0,414809230.0,273496131.35154563,12,12,12,64,-1606163.7368421052,7216090.701754386,-2250972.49122807,-3559981.396891321,-1620151.7540983607,-11332513.93442623,-5466070.327868853,4830973.058258983,55055206.148198545,173268127.97180453,104548077.5623413,82941771.50738572,60324253.7191191,196072556.73558217,121247162.98771977,65720640.24537896,-3739183.0,-6626322.0,341542.0,3586937.290587891,2653224.0,4028394.0,10993908.0,11082571.267024996,204,228,60,192,-308216.83050847455,-1425336.4745762711,6444391.779661017,7217094.344728718,59870.51612903226,106695.43548387097,7164361.741935484,7698077.003141056,1570980.7847315192,2299314.486621231,1956545.7279153292,1734322.8809087025,1710576.0987786287,2111552.633065774,2253192.8507240564,2101063.69742435,-5326337.0,-4261032.0,-6391603.0,-4438148.076050327,4261044.0,6391627.0,7456822.0,7108729.638562055,108,4,60,8,-18382.758620689656,128602.55172413793,-36750.43103448276,-69616.17259064422,34985.03278688525,-17594.409836065573,62.19672131147541,-4181.534539250565,2276940.9117112956,2755788.5192323634,2586499.2310215835,2210852.4489343525,2522134.8194330516,2731270.2495815014,2679557.3271152535,2449386.535316586,339000000000,1642000000000,132,424,58,62,59,62,Bot,Stan-Train-Desk
5,-181612860.0,-182500900.0,-296737670.0,142725663.0627702,147234380.0,116755100.0,342240330.0,348877320.6805901,12,16,40,40,1339605.6896551724,-38218030.93103448,-84811539.48275863,231460566.20032063,30310472.098360654,-40134908.09836066,71839284.68852459,220393522.78657535,100072819.37906983,98502572.12453246,183429439.17530072,82709527.02469401,73724290.99220006,116904045.02127373,166097168.99799848,71594891.14021558,-328847240.0,-299256000.0,-281322478.0,-185684051.99958205,271311500.0,174670161.0,448135380.0,177624818.36610126,12,12,28,36,623879.6785714285,6112769.321428572,18053633.57142857,3547046.527979445,-2753150.2333333334,-1699857.8333333333,-3651682.466666667,2772006.567039734,100605042.57598653,77926030.13465369,123377734.56824571,70463276.64869787,59515915.02545583,112282655.52875341,107399586.78259893,58715784.09910986,-3735442.0,-6632644.0,2475723.0,3226677.356179728,2656140.0,6150518.0,10997832.0,12179951.425748667,40,8,36,36,26270.09375,358147.5,6803356.375,7538682.3840959,19175.655737704918,-2004860.2295081967,7243214.213114754,8213188.913664708,1753214.6338377758,2731858.423874972,2294927.0984409004,2247298.837846163,1891720.9793401605,2777085.9005435556,1931298.321460032,1966053.1591218933,-6391582.0,-6391581.0,-5326318.0,-5604946.363953706,5326318.0,7456844.0,6391581.0,6266736.579955017,4,4,92,12,-34363.32258064516,-34363.354838709674,-137453.35483870967,-107927.22333402846,0.0,-106526.35,0.0,17382.982447698698,2671514.9890717664,3821598.79761923,2688698.1637546057,2611006.5811856245,2602093.9535454838,3642204.271463811,2191786.8811011715,2105491.7321515363,443000000000,1644000000000,25,308,29,61,32,61,Bot,Stan-Train-Desk
6,-360413250.0,-539553100.0,-467477800.0,210227057.29213187,249052610.0,504754400.0,433605200.0,650931043.3425053,36,76,136,48,580642.3076923077,-34433850.23076923,2696012.9487179485,436234526.2359632,60656894.27868853,-44475321.13114754,138502356.67213115,369766419.507152,152210755.88962302,330664209.69515544,273804300.056904,115723615.99395855,115902036.76143703,270351506.05096036,210966267.1716668,131446614.64906459,-320562700.0,-1004243860.0,-472208960.0,-226917479.79886836,571600180.0,839930750.0,529292110.0,236961394.9600077,36,12,36,52,12026250.657894736,1909941.3157894737,19069922.63157895,-8159624.841666582,-4216080.0,-8472447.683333334,-7549937.5,-5616464.596079952,131626309.13900979,354228940.4579283,171971353.81249458,82079939.58745334,113701578.89816569,288208152.4792034,167065984.2376025,77282930.82924394,-3735442.0,-5567381.0,-2850594.0,3562207.4856161876,4786666.0,13607362.0,15258886.0,16663678.268874673,92,12,40,36,-487687.2195121951,2123302.073170732,7905969.146341464,10075739.75121005,-608614.0161290322,2388262.5161290322,7423792.4677419355,8732703.552876115,2103068.9807978184,4491271.365262738,4480474.138695299,3089075.0924679255,1680117.1564657155,3173695.9830571837,3044309.010003326,2615845.477199388,-6391581.0,-14913689.0,-9587372.0,-8658552.670043822,4261054.0,10652635.0,10652635.0,9574001.405472632,84,20,8,36,-53263.175,133157.925,-159789.55,-150100.64078576732,52381.311475409835,-17443.77049180328,-69862.6393442623,-71141.52078715966,2641230.702128961,5031537.862372296,4382818.40258025,3776034.9876259984,2228060.88789155,4161658.3871876355,3561241.405663034,3585459.4232541407,641000000000,1667000000000,64,352,39,61,41,62,Bot,Stan-Train-Desk
7,-59104577.0,-223870050.0,-295563700.0,52018712.33178824,188233150.0,228864520.0,505392100.0,519662541.8830854,72,12,36,12,29035226.515151516,-14561362.545454545,172237456.66666666,265858875.90533668,31059015.419354837,21470458.387096774,148864703.88709676,537826042.3508583,66520155.043641545,119567128.86000709,214919444.7226593,153956878.5530532,158280258.8886354,474619651.42113113,319623555.22352266,287140919.9952981,-171088327.0,-452734570.0,-348011020.0,-222112290.51946855,151582543.0,230520724.0,476728465.0,467643829.5512972,12,12,36,24,4596644.46875,6004653.75,9236842.375,8856312.651283707,889556.0819672131,-429816.91803278687,5000005.032786885,-4443526.087184381,52486825.609768584,109994075.91571327,147612248.01217923,108722378.27614482,160044205.78861797,530333257.63666874,297452626.53701603,141611897.94504446,-2671075.0,-5565454.0,4605308.0,5329220.606504482,2655291.0,4022030.0,13127403.0,14506434.775436383,104,104,28,28,-540529.5757575758,-723300.8787878788,8091631.0,8873756.253109314,-281969.4193548387,18804.951612903227,7835467.774193549,9391689.214117397,1529867.7926211678,3240877.171089495,2168024.9280602005,2168227.8892035624,2019886.7123533662,4363232.023008198,4018237.369364617,3477983.588112471,-4261056.0,-8522103.0,-7456848.0,-8504343.380440634,3195788.0,9587377.0,5326314.0,4934445.63469294,28,84,76,68,-66580.875,66583.21875,66576.96875,57397.94376179547,34958.639344262294,-17458.147540983606,52390.57377049181,57003.00411100504,2027107.8941365695,4604550.840537257,2511536.5623976276,2711361.6807088186,2558706.768231222,5368037.715925744,3950341.096536674,3876453.229231352,642000000000,1255000000000,33,328,33,62,33,62,Bot,Stan-Train-Desk
8,-205312300.0,-632454800.0,-429425240.0,159954611.29422623,232153370.0,628256700.0,528883000.0,782635900.89367,20,12,40,76,3857302.0322580645,-35213585.29032258,-19229055.48387097,421176042.809901,-2646384.86440678,-59069623.050847456,-52086103.37288135,612811453.9124061,145147781.53542125,325558121.0891527,307736378.4185884,200335217.31478515,161198689.24830064,602833508.3563175,367929804.276717,386094766.67583025,-437465670.0,-439603070.0,-715128920.0,-162043157.08339864,280205323.0,1260711500.0,700773260.0,400375504.06098616,20,100,20,20,-1144339.2,14231021.0,-638739.3333333334,11686748.965271916,1196897.5862068965,16564545.689655172,-2139502.9310344825,9690721.032376448,107950163.96977837,266849937.4744396,232678554.17357588,112884615.76406622,160942176.72598958,671619269.1932203,372784649.7640892,151733966.42370823,-3734813.0,-5564160.0,1409108.0,2661591.821931755,3722065.0,5088505.0,14192278.0,15253561.74363614,56,24,12,44,-632997.5294117647,44161.5,7456042.794117647,8318195.003987475,-246405.0,-460568.3870967742,8504913.58064516,10317191.908851663,1897790.6045243726,2888421.0513308947,3436578.6812689225,3187096.898414377,2448843.14606661,4407543.060528699,5400679.333652378,4494199.419949713,-4261056.0,-10652628.0,-6391584.0,-7066167.421733539,6391578.0,5326325.0,6391579.0,6242741.794281032,56,36,16,8,-2.393939393939394,5.363636363636363,96839.60606060606,93683.18389916528,34955.75409836065,52418.81967213115,174623.39344262294,177225.9842790165,2178409.6045961846,3275497.6147926887,3051167.656033709,3030005.435787919,2788404.126016485,5108604.504758272,4756895.237939927,4406173.636985486,815000000000,110000000000,35,320,31,59,34,62,Bot,Stan-Train-Desk
9,-194156400.0,-671672400.0,-448826800.0,435761875.26217645,295650480.0,512925600.0,676350600.0,898861508.5651128,12,12,36,24,-3229793.34375,70804487.8125,38509129.3125,557123039.8510872,26041871.580645163,124663816.93548387,10159307.338709677,518763766.7352585,130008342.080235,483694414.9574501,291031366.3877861,147917980.2398462,97285371.21317339,473463605.81856513,206609015.52690372,139219154.7943383,-366340190.0,-1184598000.0,-786699300.0,-214524103.76150715,489806880.0,1101927850.0,915385250.0,234212787.76092362,12,12,12,12,4557867.193548387,25608409.677419353,16608976.774193548,-5215186.0888938345,-2211237.0163934426,22314131.147540983,1482650.8196721312,7816719.174703498,132476480.54490404,466651282.6732629,243987169.5438133,82269089.84468432,57600259.584082924,495551132.285914,164324291.13707128,77971420.68404828,-2668660.0,-9821450.0,3538059.0,3891488.92078225,2657671.0,8288001.0,15255975.0,15861017.836386856,8,8,12,12,-602692.5151515151,217891.30303030304,9380874.090909092,10322661.642405242,-383780.67741935485,-148299.03225806452,8537979.290322581,9507421.077187836,1247423.7353818,3785330.9305378976,3720037.77093619,3318220.95094803,1690957.8129666173,3263823.7368737743,3884480.737564003,3315475.549076653,-3195797.0,-9587357.0,-6391587.0,-6163468.602509184,3195785.0,8522123.0,6391578.0,10085230.076621683,8,12,32,4,-33293.25,33297.9375,99864.46875,99881.191349331,-31.885245901639344,-139840.4262295082,69908.72131147541,94546.40282021863,1517869.5964913084,4016732.1702276287,3265594.727065835,3261751.110089976,2068531.7248381928,4156966.128161394,3508537.174030796,3042024.8252343973,289000000000,431000000000,29,320,32,62,33,62,Bot,Stan-Train-Desk
