,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-62865620.0,-67410470.0,-95981120.0,27590873.584148746,46379358.0,19084454.0,70085050.0,107917074.05632521,32,100,84,36,-3294496.0454545454,-30406063.113636363,-18982746.15909091,59237670.02059619,-1051958810.6557378,-72245724.50819673,737168186.0,1357824882.4428325,29984832.891621556,25111991.547674917,36409834.698676094,24300823.860832743,2564753454.75113,147157584.47511443,1895844251.7214122,3162635893.3636417,-85241762.0,-62364579.0,-118875026.0,-70971545.61614528,52031573.0,52773476.0,95599173.0,48341567.6232672,32,40,16,76,-1422588.1860465116,-120894.88372093023,-543039.9069767442,389490.5559620646,-19615472.416666668,4884266.766666667,34396961.61666667,38758343.27123553,21341242.7307155,17179704.95375611,32005613.713836312,20883530.8151757,1103546746.3425097,91999072.87207916,800788844.8893471,1310140957.327014,-3940814.0,-5048712.0,-3090512.0,597817.1817035706,2977549.0,4684554.0,4052325.0,5991008.002359369,104,32,36,56,-171383.26666666666,-544202.3777777777,429227.5333333333,3177751.7539452906,263307.75,636258.0666666667,860497.3833333333,13948122.54862413,1966710.9659280062,2399984.443469045,1405951.0843197699,1341013.597905215,1480688.865274637,34376686.07857304,4928789.218365714,31806124.62648897,-4754379.0,-3767763.0,-2780773.0,-3438607.766771728,3723265.0,5079407.0,4047984.0,4105582.6394922626,112,20,52,8,-43074.568181818184,-34134.63636363636,-29812.43181818182,3386.519259791181,-45546.61016949153,-2374740.1525423727,119452.59322033898,2349018.7230901425,1836297.5795026002,2082553.5630700758,1658389.7431401012,1676573.6184619304,1662942.9972217577,50987482.51347492,7300488.633810947,22116168.13999674,361000000000,830000000000,82,364,44,61,45,60,Bot,Stan-Vibrate-Stand
1,97298585.0,-21432400.0,-235334870.0,168898421.1198942,186838150.0,60537340.0,-101933480.0,287028621.73092467,96,48,24,12,139042321.16666666,14648209.125,-189485013.75,238568412.79180178,561632363.7966101,45820600.18644068,-289289985.4237288,671806222.6054362,27861174.801884633,26373109.046244103,34256686.95133914,33929327.5487931,1649856476.008125,168857474.69378093,823859913.7105389,1838019602.699816,-57322215.0,-43388367.0,-114262580.0,-65029668.78737667,52177100.0,33404352.0,85814000.0,118130200.61103046,28,24,12,24,673325.7446808511,-929173.0,1531093.6170212766,-868903.8172618278,177430677.3275862,13279931.379310345,-102342662.7586207,204936034.1620879,17265724.954902843,14993962.314830385,27227291.696209807,25802874.587022323,890868616.3122324,65445435.23018318,654941852.2828988,1064260097.7451671,-2873583.0,-6605302.0,-3109803.0,853996.330337549,2853992.0,8433433.0,2447570.0,8546473.545762252,16,60,188,64,56217.958333333336,839589.7708333334,50533.875,3164750.590445479,39879.80327868852,1027856.655737705,854332.2786885246,10008231.843040653,1469786.8914101908,2875110.4177405545,1223384.1819578796,1555699.8160957508,1192718.731252886,25214905.97732671,4268404.321458267,23567286.293417934,-3542065.0,-6792127.0,-2711375.0,-4979153.04748599,3029395.0,11170615.0,3069211.0,5949041.301280257,12,4,36,64,45319.89361702128,8994.936170212766,-118241.97872340426,12192.429019583582,-16464.333333333332,897325.2166666667,260438.76666666666,893442.8223469699,1588492.5335284343,3911061.2720153374,1447655.7583113099,2086981.4972717343,1566578.354226717,38256165.13280086,6337722.4800071735,18510838.509935662,954000000000,843000000000,93,380,48,59,48,61,Bot,Stan-Vibrate-Stand
2,-105265890.0,-74364185.0,88016030.0,117643452.70550078,-24047032.0,3334522.0,196884160.0,223533505.92578247,40,136,124,16,-70761542.73170732,-38408092.951219514,131519678.17073171,158119821.24761465,-174917349.4262295,-29695893.918032788,175777626.90163934,261312486.81600103,23934452.831325457,21258847.069456063,33741765.609276004,30177423.703518484,498894666.4655329,45433292.5809531,481309973.73149383,690371183.8146656,-66705868.0,-38444042.0,-90552335.0,-92957644.35523558,52277345.0,24131770.0,85813050.0,105890053.22028169,84,52,12,12,-636632.35,-1217854.05,257706.5,708282.7574924693,-51467045.083333336,966811.1833333333,57448248.5,76772518.5858844,21648944.065947767,12781036.949864188,26741945.156497948,26339246.445524916,283144391.79575473,41579737.22242164,348913720.8403446,426042174.72168124,-3893709.0,-6852735.0,-2356918.0,1383816.1440339538,2923822.0,6419697.0,2628929.0,7213229.058352369,100,76,56,4,-72134.14634146342,-248977.0243902439,32986.19512195122,3420033.2568978807,-185248.65573770492,3046657.393442623,433340.0655737705,6259082.763967977,1594817.5944643256,2978705.0909403274,1409105.6211249605,1217641.438203211,1619905.2710538239,19107409.40536061,2202455.7699720925,18504096.087318014,-4377598.0,-8817929.0,-4191503.0,-3466423.16296302,3657725.0,9777043.0,4790359.0,5829412.914318415,32,76,4,80,131979.1,-17295.95,-29650.375,-71276.27654913157,-43391.75,2224552.5833333335,150532.06666666668,2226319.9975966644,1897574.8805904181,4345223.545958769,1865877.7882337135,1746407.8830487868,2002970.287145307,13406284.555123804,3323727.447366896,12121438.361803537,317000000000,1814000000000,65,356,41,61,41,61,Bot,Stan-Vibrate-Stand
3,115920566.0,-58254242.0,-281585700.0,144413313.25365746,223280100.0,52520275.0,-85101604.0,343811779.2213077,148,40,164,164,187694906.79166666,4950304.854166667,-195734015.08333334,273683380.81246454,461489334.8965517,37005185.948275864,-157774483.6724138,536901942.03166,23464147.440109987,26338529.898619123,44909024.0220314,43540272.289681524,1439466451.3909688,161843823.71529993,691626986.3586859,1589564625.4892561,-57490254.0,-81811905.0,-104825030.0,-89438352.57602167,33128440.0,76839924.0,81135280.0,66305109.74663758,148,8,16,164,-2201575.6170212766,188015.87234042553,3167020.5531914895,-3752049.3047962873,169343933.33333334,13846799.368421054,-87817654.21052632,190923972.75206146,14094837.592762558,19370809.60060049,29894086.34165801,22652603.536993347,933145617.1111333,66874556.03373099,663178627.3192585,1077645938.001022,-2812080.0,-5895927.0,-3411037.0,309544.69090100704,3518886.0,7220152.0,1647216.0,7342215.89929859,56,48,88,84,133195.33333333334,319605.9375,-642628.0625,3413686.358865838,-119228.5,-1357004.55,656973.8833333333,10686381.29488715,1300146.1160270842,3544131.738049036,1113972.669148468,2033515.6466521292,1399504.70184903,31193399.355118476,4495202.56004629,29688135.084266253,-3664268.0,-11276156.0,-3034239.0,-5668300.6216910565,4142444.0,8852761.0,2549833.0,5742997.177186445,164,4,20,40,76622.55319148937,-91109.25531914894,-15672.191489361701,65997.14714287898,-35882.254237288136,-119984.66101694915,323079.9322033898,310940.0763453816,1629666.278645688,4845744.833419933,1420798.2541591793,2428253.7795175547,2008436.6385046397,55349294.84824286,5372759.553374635,27503525.113184866,710000000000,1091000000000,90,380,48,58,48,60,Bot,Stan-Vibrate-Stand
4,-68744585.0,-41059494.0,44068813.0,60786395.00866198,35885043.0,35972120.0,145082000.0,157631589.1824243,24,8,124,124,-24479754.513513513,-4378473.297297297,103508755.45945945,115312914.92663579,-46143641.47457627,-22467564.830508474,77783334.37288135,101078657.7772679,33850911.71484346,25856123.03487934,30255239.923704553,26658109.714398667,19710236.205594152,29019497.958947744,32328819.8960326,26771849.728018645,-47815077.0,-53044796.0,-76232430.0,-49549422.90355319,75956657.0,77031614.0,76294897.0,66039395.71817773,36,92,40,128,-1373452.638888889,112480.58333333333,1353356.5833333333,1313771.4241724764,38616.74137931035,234349.0172413793,-2363591.379310345,-1770048.7164102725,19621465.546121635,20164992.313752893,24665547.572777078,19942563.373898726,18217271.54488855,19581164.634135474,21688825.045695744,17155598.60023806,-2875989.0,-6904842.0,-2287880.0,1019601.6983518613,3515382.0,3737321.0,3913216.0,6962325.909848662,40,32,152,56,-124834.41025641025,17954.897435897437,295679.74358974356,2918347.666676525,273082.88524590165,300470.868852459,390143.5573770492,2932009.256782111,1464857.8033915407,2408222.3004828882,1604872.319183133,1373365.1387100657,1444347.511202978,2573323.762207899,1326651.8771126375,1431969.7455036254,-4025513.0,-8235591.0,-3707720.0,-4996274.863249479,5024895.0,8944359.0,4288531.0,4548890.83348427,92,4,12,28,-71889.81578947368,132275.23684210525,163186.73684210525,-33793.22658947073,-75362.36666666667,-54194.51666666667,-18264.1,33420.68131765299,1775015.6410185867,3184300.4512520847,1575366.8884726116,1719427.9284842757,1553152.8265810478,3611980.609189191,1444663.055907694,1844127.8387590712,660000000000,369000000000,55,340,37,59,39,61,Bot,Stan-Vibrate-Stand
5,-3110468.0,-46959400.0,-34460068.0,30398248.70688662,91252916.0,20017624.0,78807830.0,98655316.91514333,76,52,76,100,43846605.24390244,-11652469.707317073,-376747.756097561,58593735.105529845,-44287016.016949154,-9420459.593220338,115515402.08474576,163931212.39579326,24944878.552189194,19412933.934287593,27878499.160500154,19161711.74466156,207133417.04005128,45543887.669861674,343015024.5887459,388536140.6023878,-85842930.0,-43488979.0,-85512637.0,-43561714.40114998,66883308.0,43307781.0,81195355.0,57680361.321890354,72,92,72,8,-2079118.975,-875103.475,1234674.45,-843676.6665282132,-4119148.4482758623,4466837.862068965,37014336.89655172,36615797.90423859,24888229.474676095,17099827.506314527,25603322.280504465,15811107.493369522,151810165.45297858,45665187.11403549,194301900.70764092,198252444.7548276,-4471805.0,-4866464.0,-1913433.0,353637.6610218431,2447372.0,5427981.0,2987053.0,6809231.286843692,60,68,24,108,76972.3488372093,408470.5581395349,299271.16279069765,2906719.2117243456,-111710.5081967213,-2620149.9836065574,704152.606557377,8188364.7449086765,1370309.1378725264,2826638.729941206,1168851.806835216,1688859.6210521464,1249796.956714418,22783135.31791291,2924176.9891962153,21645175.91207286,-4129218.0,-7675165.0,-2658587.0,-4275876.131064825,5665099.0,8579842.0,3323242.0,4427955.140147716,4,52,48,84,71145.0,32907.78571428572,-67406.54761904762,-47605.71380038839,-37123.683333333334,1361362.2166666666,-48115.95,1357423.136137489,1676167.3544706232,4123224.3807223053,1243978.6321115617,2181268.679891169,1630605.693769256,30508850.720715586,3033063.78098957,13929106.680812681,194000000000,926000000000,72,356,41,59,43,61,Bot,Stan-Vibrate-Stand
6,26033029.0,-76104640.0,-136163710.0,46744689.53467367,148180040.0,25706291.0,36198140.0,203781864.45262542,220,136,172,220,90726779.7586207,-22541514.637931034,-59734434.655172415,119307211.04958583,1513142730.918033,86266330.47540984,-553556200.9836066,2754822574.0913577,33500199.505393624,22115655.60469759,43310459.40534254,39074583.402949154,4643281525.669515,280235818.0867498,2694724784.2999735,4881748043.265316,-71659240.0,-43395040.0,-95212460.0,-59861202.301928475,33205613.0,28875828.0,109679220.0,45094782.77885413,36,24,12,36,-2142930.01754386,-14388.771929824561,2027210.403508772,-2755038.156455294,130612362.38333334,4715299.566666666,-79864080.66666667,152536288.36912143,13111624.638021717,12159323.682783473,26955169.492243312,16198885.69121888,1583715496.6637278,98468012.03010345,1031435357.5262057,1623374568.7539513,-2436005.0,-6090345.0,-3392940.0,506798.31332986895,3278389.0,5266297.0,2947444.0,7104877.776036756,152,208,76,4,65658.12068965517,-218996.06896551725,-112547.12068965517,2903866.2128582904,-198539.0806451613,14371416.064516129,267852.12903225806,33237767.219879027,1239211.9584218662,2509285.043134754,1519919.8473072152,1275936.483060675,1427961.544251625,67083558.36894919,5276398.111830383,60143660.42744808,-4675932.0,-7752228.0,-5797251.0,-4431070.2926531825,5094363.0,9459437.0,5146945.0,6598079.462706887,152,92,12,4,-48573.10526315789,16408.105263157893,-54089.333333333336,-6756.066429065385,-15687.786885245901,2884364.1475409837,-42143.65573770492,2876134.7942683375,1600374.3488152213,3786597.018194062,2047998.304460564,1847018.3786699323,1971837.4407929247,107264616.24243778,6059164.861972609,59987579.476672105,937000000000,1793000000000,128,424,58,61,58,62,Bot,Stan-Vibrate-Stand
7,-27996726.0,-47246933.0,-59745790.0,22696655.747825075,89354420.0,5777359.0,69717884.0,91302754.27039048,124,12,60,148,23775992.25,-17097733.386363637,-3159306.477272727,51992175.84779737,-209542838.3448276,-26657466.224137932,99745173.05172414,281169151.0099608,28722927.92452769,17786519.37378246,34643434.91494021,21523750.09680755,1066718574.0513171,102889860.37780142,587970684.8321525,1212133069.6206295,-81454085.0,-53024292.0,-80853462.0,-58008779.3423488,51916540.0,43169975.0,90641022.0,52334296.72224263,12,124,84,12,-865300.9302325582,-484455.4651162791,-616018.1627906977,-414769.9065340972,-129909861.49122807,-10813830.228070175,78548195.40350877,151072837.86236572,20614236.35905208,16270733.380836887,24720492.462431367,18699180.63434728,712379691.9659001,61018040.23369721,533127566.20442724,857906524.7567531,-3658157.0,-3316297.0,-3238455.0,529377.9847575832,3070351.0,3455500.0,2313010.0,3987125.8310946245,64,92,68,44,-96269.66666666667,-37280.48888888889,84159.28888888888,2413642.9126274385,-44599.44262295082,-405196.8524590164,228487.8524590164,7229859.003762834,1624881.3930952284,1641561.7613555423,1169433.5639186532,873275.0608053933,1169923.7584754336,22043793.686666902,2995003.150524586,21055820.651496537,-6098650.0,-5356297.0,-3715816.0,-3044690.5402919855,5564670.0,4537233.0,3445396.0,2008290.5413321382,28,92,80,8,-57552.84090909091,-25806.090909090908,-36890.36363636364,-14838.903219209593,-40527.066666666666,37847.5,151426.58333333334,157033.32766141594,2012661.0894805747,2329268.6402657186,1476787.3442051976,1152287.0955700427,1481710.344233367,34178254.592502296,4427992.182687564,20237525.8375288,596000000000,1858000000000,78,368,44,58,45,61,Bot,Stan-Vibrate-Stand
8,129058440.0,-59250355.0,-235441680.0,219299024.8168097,227427930.0,37932873.0,-157443520.0,297866534.1717917,136,96,172,72,170160661.56862745,3909531.568627451,-191641526.8627451,258170273.4198225,-908202381.1166667,-101946607.5,321252151.3,1421869048.1191707,23585028.711437717,21539400.652711384,19653638.830090217,20781607.26945668,3108419198.7468486,252292193.2383357,1765929090.8633928,3426774300.2979074,-62493030.0,-72299957.0,-47627450.0,-40159254.949673325,61699870.0,57824612.0,62125200.0,60152157.41781658,16,36,100,100,-82783.6,1224060.06,609970.2,-452613.06633607927,-204026417.45762712,-10804919.86440678,126161721.3559322,231550104.8737727,18085963.01534367,19678474.90767053,17262872.849443395,15351484.795945289,1000296507.4912876,81219053.15935996,743361000.8186165,1120684453.7274342,-2455589.0,-6066285.0,-2803086.0,323696.198043783,3023773.0,7973397.0,3306391.0,8066678.096733562,132,48,16,28,164093.3725490196,-146646.29411764705,-209952.6274509804,2820452.991263763,260278.7868852459,1189181.5573770492,64450.2131147541,18464314.508489426,1083711.0093534521,2870188.6334275613,1216140.6486270735,1694614.5157050593,1702420.2968446629,41422486.42993167,4214611.802352071,37301223.79526066,-3261943.0,-10153034.0,-5146917.0,-4862587.483314834,3601619.0,8023831.0,3105423.0,6581802.649833722,8,48,8,4,-24400.04,23244.74,-9308.94,-25535.233133161626,-33337.46666666667,-687714.3666666667,-109582.35,677846.3459735875,1328557.3613350228,4246452.329994443,1494993.683000372,2170831.0046812044,2155187.1263749036,76735239.43006286,5952919.092653401,20519280.64007286,288000000000,1540000000000,107,392,51,60,51,61,Bot,Stan-Vibrate-Stand
9,18969417.0,-14456749.0,-193915840.0,126326934.99108662,142812760.0,82393170.0,-92282770.0,231626089.31170693,200,52,128,124,101665809.49152543,23730318.322033897,-148045158.47457626,184763495.15783313,481790144.72131145,33537610.508196723,-187402017.45901638,4057571452.4145784,28454839.016575143,22675512.72342822,30885008.13117843,30558914.392972626,6185914712.218243,394407076.39952236,3357778175.584839,5764575149.168633,-100307479.0,-77208996.0,-80739020.0,-70308859.44952947,56778766.0,67340375.0,81041330.0,81489425.80818799,188,12,16,116,1222834.396551724,-539516.5862068966,-355588.9655172414,858019.0451821474,230242451.83333334,12187266.333333334,-122866908.0,260587717.9029616,20097020.233531937,18574766.59819981,24933010.93484705,22780895.580975123,1949594720.4465039,119581995.24131851,1191878167.9736946,1862878098.4782104,-3295876.0,-6391319.0,-3023185.0,653280.0422123731,2431804.0,5203592.0,2152805.0,6537351.819741156,72,84,108,128,26093.916666666668,540417.1833333333,-64209.78333333333,2565917.968745679,-216005.31147540984,-15900137.327868853,-1857533.4918032787,38573332.343048565,1208188.3417131351,2100449.743008262,1335275.8884825197,1122910.8167276373,1548351.5698599434,66614735.19552239,7430577.396825916,56947491.58334664,-2905472.0,-7708725.0,-3664148.0,-3973403.0197030194,4953273.0,8424064.0,2781450.0,4871640.529914195,40,84,52,4,-5894.593220338983,-34819.0,15871.915254237289,-7345.872238692615,-30637.516666666666,-2974271.9166666665,-299755.43333333335,2976638.2121917773,1704490.4159513393,2998304.2462542905,1260500.8887554707,1556101.5409819407,2037228.482021408,97911917.33844,11716667.893372057,46512467.3447268,719000000000,861000000000,137,424,59,61,60,61,Bot,Stan-Vibrate-Stand
