,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,823900000.0,315900000.0,-1418999900.0,1314717225.0989952,2303599800.0,1381500000.0,494299980.0,2491841581.800103,24,76,24,32,1277574020.7407408,1025588866.6666666,-575014785.1851852,1893826645.1022587,1405075402.1052632,1078352609.4736843,-806047349.8245614,2009383305.0958526,470381712.059198,354641888.2366451,592001992.0913025,321854327.9098497,297027761.48727804,343339114.01292217,379507430.65122664,307938892.4161836,-835500000.0,-305100000.0,-1642499880.0,-440328664.7816901,983999800.0,501799900.0,735999930.0,781141394.7421839,24,16,20,24,4038457.6923076925,-5846157.692307692,14903842.307692308,-6299063.639784226,-21423210.714285713,3974998.214285714,-12382142.32142857,-17254685.894099522,321776354.99677426,151135765.37545046,390628201.89457965,254399464.1935857,181501644.03637686,136568872.1817083,280636226.5357895,183614996.1464738,-117478112.0,-503771795.0,-105697136.0,34628819.086311534,50823988.0,49549895.0,71575954.0,506942936.141335,28,40,28,28,-34832246.0,-255027508.92592594,-13110008.074074075,284972324.1732689,-117168164.79310344,-285487413.7241379,-117323438.13793103,387237741.74146587,47104090.94480854,196693097.395582,56258238.982094705,169464646.8932549,134811259.47524312,227863245.9396022,78523995.19727828,185974122.1031256,-52255155.0,-211464110.0,-51539574.0,-58199500.99008879,31276300.0,94195418.0,64908800.0,204413435.6620986,28,48,28,52,394041.6538461539,-4671440.769230769,2259530.076923077,3717652.9483821495,-5372552.228070175,644241.052631579,-1212544.5614035088,789503.5631369995,20552666.96198075,59912303.439495884,25713702.92627043,54501441.89532741,26935518.865011703,61181740.58469356,19295354.31662718,54181316.71082084,138000000000,604000000000,31,288,27,57,27,58,Bot,Tony-Handheld
1,-505300000.0,451300000.0,-2090000000.0,1417108651.4420884,1486000000.0,1934500000.0,-600400000.0,2892355154.5410185,148,156,148,164,718578160.0,1058269070.5454545,-1310389067.090909,1919346476.1690786,739793322.0,1043353314.8333334,-1417821640.3333333,1975560879.2615182,413843066.9838393,296771714.39282256,452029933.6199375,356464783.56530327,405887063.52375567,291238643.06108916,327848494.14361477,309766107.7099797,-1021000000.0,-537100040.0,-548300030.0,-740239383.8791103,898500000.0,682800100.0,773700000.0,411691368.4426265,180,164,132,16,7427778.148148148,-3468518.5185185187,8377775.925925926,-5722583.394291564,4847457.627118644,-1210169.4915254237,-3938981.3559322036,4319448.984010939,252216234.2062664,181155746.49667853,179573803.0366742,179545373.0623027,300485220.86454004,185819377.565746,154685028.81283703,168905708.52327818,-213401412.0,-172752685.0,-64193206.0,26667962.85394282,143850038.0,335661735.0,167883214.0,367936045.0863987,160,48,156,72,-3246624.464285714,119271126.17857143,18369279.10714286,201912532.68288445,-51782230.06451613,-9280930.306451613,31831427.35483871,170758239.7651092,82334997.26775643,149721061.84690765,76751657.25926095,91732721.44349599,75344505.08629112,160454679.9990363,57873216.013557896,94753258.4814776,-50649453.0,-156451320.0,-82239915.0,-173925127.5608944,52900932.0,130096836.0,47054085.0,88404265.9954178,168,48,36,16,4176096.981818182,4528336.036363636,2091221.6363636365,1494285.806396383,-5046004.262295082,-4854590.491803279,167379.88524590165,2276784.2423676313,17354917.749741416,48496702.73885489,20069380.753774937,41979989.849881925,15730449.024013054,29879643.937575255,15063207.17825398,25107449.875786703,818000000000,2101000000000,131,416,55,60,56,62,Bot,Tony-Handheld
2,-64399995.0,760300000.0,-3108300000.0,1127014591.742272,903499960.0,1603799900.0,-604500000.0,3480265261.3328214,132,48,48,48,334175465.4339623,1104209410.5660377,-1768167892.45283,2143829853.0814602,657009992.75,925829978.5,-1321364967.75,1794493207.5864997,237116424.08467293,254806659.95426378,733646407.8421351,719780874.7202903,225945479.4416077,279400791.7045323,731742631.5008521,688790943.9869868,-282099960.0,-376100100.0,-639700000.0,-774834919.0426843,220100004.0,235900040.0,736100100.0,595183852.6645448,132,60,48,48,-7136537.692307692,-1021153.8461538461,3282690.3846153845,-5482185.123055737,16100000.0,16638459.743589744,-27815384.615384616,35454987.6333202,69316506.88536897,99567794.0345178,264426186.09779456,256963667.23877475,77578292.59396878,129557228.7348893,315623148.4775072,291073400.5444361,-49706976.0,-369276765.0,-286530706.0,62533127.22658931,213052348.0,263719255.0,44121924.0,474748399.16026,208,52,164,176,101930191.35849057,-62475214.03773585,-105492311.20754717,271933669.29190683,20963897.64285714,26135474.80952381,10171944.738095239,202934193.8147279,84142764.63004431,197997537.58591303,119590080.67437223,105476258.40091345,87076132.984921,191044377.86989933,41181214.6410099,69608088.58045849,-34924039.0,-115924790.0,-12618728.0,-114419775.15828171,21415189.0,147864296.0,42184605.0,108195316.73475274,36,48,68,24,-5053063.923076923,2700225.9615384615,6002589.807692308,-5491556.802686075,-902888.6097560975,-7136693.658536585,-2605223.3170731706,-2372379.6249888428,10497516.470382446,57608910.164974086,10493367.897102157,39430258.74229754,20181679.975366015,49146081.42715157,7814195.970621178,33207241.981331483,1007000000000,1372000000000,116,324,53,40,53,42,Bot,Tony-Handheld
3,-1192700000.0,659999970.0,-2406600000.0,1031824277.6752251,1504599900.0,1879200000.0,1362100000.0,2913646483.2851706,116,188,60,176,-421209082.1818182,1267659991.090909,-1310514516.3636363,2226291259.7835464,-802419660.1147541,1484749157.3770492,-1635111445.081967,2452324750.1418986,745612268.963957,307028413.12680435,1069315994.1143271,558712123.6682334,618262100.6403637,307839480.38430756,475274850.8824456,450278046.4173171,-696800040.0,-404400000.0,-1370300000.0,-690810712.066308,975099900.0,360600030.0,750399800.0,699734591.4655628,16,196,28,36,-5770369.814814814,14637037.592592593,-68370370.37037037,23502400.399712965,-7661666.666666667,796666.6666666666,5645000.0,700709.1588511546,243773595.50892586,101828836.29675254,291569528.21667814,204173022.70228037,181133016.86257035,165867277.88673955,227742890.0544104,216450982.68931952,-200398702.0,-310930395.0,-686193646.0,181025515.9957343,175353228.0,150639365.0,-172159276.0,749709630.7991779,44,52,80,72,-39801922.5,-34921543.625,-405010505.8214286,446074644.34983337,-246358087.55737704,-53872590.68852459,-262201099.3442623,484593435.3451241,98286949.86850208,164738791.0048103,168484718.3598878,180156769.34009814,277431519.2847794,233201925.47051507,140221997.81742233,216376207.6309089,-62343162.0,-92467544.0,-92572250.0,-89794108.02227402,103585290.0,130986960.0,53232500.0,89369298.93627405,60,104,64,72,34589.09090909091,-2855358.727272727,-1939536.9090909092,1178019.3257724806,-15499105.533333333,-14083061.666666666,7752752.166666667,15116689.301423091,27599622.69663728,37669665.666113324,28892156.794976912,34043077.04095614,31874207.273520537,48276500.98368559,24260771.307136938,30408595.864235155,477000000000,253000000000,122,408,55,61,56,61,Bot,Tony-Handheld
4,-2000000000.0,-1746400000.0,-3490599900.0,1541358842.061121,328500000.0,2686400000.0,1776899900.0,4837461381.952315,44,88,120,108,-646845446.0909091,574696346.5454545,-1329156336.7272727,2583098805.707904,-1148916359.7868853,1632842592.7868853,-1529727825.2459016,3203551740.0029254,608695581.5485752,1436168395.1646795,1595204610.591079,862396205.0870316,1699561078.1183307,828101222.7239432,1660034783.3493702,1525737187.408051,-798099900.0,-842300000.0,-1454300000.0,-802650192.8353038,732800000.0,1537699960.0,1607700000.0,966948512.1894436,180,52,68,176,-2287037.037037037,62175925.18518519,-27214812.962962963,37021110.65745128,-12584999.916666666,9310003.333333334,-21005000.0,21559678.51587184,210747090.8767609,410566648.8491508,505496117.0477917,313887831.0477657,1001486905.904525,373403461.6745485,689818138.4537551,905033849.2231752,-669403542.0,-13683381.0,-681865246.0,54073228.968418844,1165216758.0,1084250805.0,854792454.0,1427992413.470574,80,188,80,116,238250778.23636365,596892131.9818182,-13699883.236363636,972959773.7090659,-512665285.21311474,399371961.2295082,-263007957.96721312,1282816192.1052158,602035481.711301,303819646.82543945,478112186.22063583,374228327.37106586,610570725.0100023,815657202.9301741,511703071.06894773,355777226.4586956,-347617220.0,-197222200.0,-261694670.0,-127418773.24070573,369329100.0,205879060.0,233420350.0,298746886.5951048,116,132,48,108,-8300979.722222222,19505023.814814813,-9734411.75925926,21636889.973368745,-28128308.333333332,-19051432.166666668,20696113.5,-1007031.8642288714,111030146.57189472,68974314.25298741,76657598.62723826,83119829.74979407,114031364.85584714,215935623.64181453,97560055.41160548,179201015.09292325,333000000000,1745000000000,120,408,55,61,55,61,Bot,Tony-Handheld
5,-1296199900.0,196599990.0,-3017799900.0,731618587.6321077,158200000.0,1504400000.0,180500000.0,3070369576.328558,80,128,88,96,-632041365.3448275,853306882.4137931,-1078684442.5517242,1681222794.907302,-330632775.24590164,1240586843.7704918,-2484654059.47541,3172302508.3529983,432838169.0790823,312653274.7778454,718941514.1277443,507193126.07593364,455531249.97115237,524235075.31039864,2239987208.219731,1794683752.7277482,-472299975.0,-268000040.0,-788399900.0,-563890243.4774358,395700020.0,310599900.0,626099930.0,650183028.0129099,88,88,160,200,11245614.385964911,-6985965.263157895,-14470177.192982456,9255448.14756647,8278333.833333333,16561665.666666666,-45128333.333333336,39499716.72447823,135845170.5065085,102421660.63742831,273854360.51405,201206436.7817282,163545989.46568808,82223072.92348516,516792978.4991163,434278289.60557246,295012988.0,-1608512895.0,362906304.0,591311155.5308781,2009467258.0,-29845130.0,1171744254.0,2789001749.96473,188,200,200,216,1000846710.7586207,-489550112.9137931,818849804.6896552,1417154590.7761936,938450373.5573771,-1225457470.5737705,307970219.8852459,1804205772.574153,584072354.6284677,456011939.6495176,229684013.77692452,709712063.5560579,705533435.7059907,365518078.2794301,687377872.383246,559488076.6894337,-54838200.0,-289986400.0,-68556600.0,-63743134.07974005,170937500.0,51277770.0,69411740.0,265595949.31192398,28,180,208,28,26430408.771929823,-25468334.56140351,11546118.421052631,37406500.19304495,-14446672.333333334,2860886.0,-31951743.333333332,-14549140.466062836,44614575.47692808,60488949.52314482,27683025.070138153,54540533.47343255,101871068.87811306,109661752.83554536,39695220.30114102,113423279.04303147,405000000000,1403000000000,138,420,58,61,58,61,Bot,Tony-Handheld
6,-580000000.0,1634300000.0,-1887600000.0,1888985136.3576164,89300000.0,1827699900.0,-946199950.0,2599596977.8833046,108,116,76,156,-230139023.5609756,1741804865.8536584,-1547631678.0487804,2357371403.95357,-288613114.59016395,1810213059.0163934,-1498939315.081967,2418445834.8401995,218358243.4875101,46748344.96784678,240226606.4155189,174662214.50335422,342599376.0771335,138189293.56487352,409468735.19814175,241270351.8705386,-154800010.0,-55899900.0,-307699900.0,-99159566.38280296,142000000.0,111400000.0,155200000.0,256995020.28739572,84,120,48,32,-8925000.0,3342500.0,-22917498.75,17765296.038142204,10768333.333333334,-294998.3333333333,7968333.333333333,-4759340.776933265,52226213.52319164,27285746.778318163,102790818.23195499,71719414.01564144,117385843.35581373,91477965.45062366,203485352.8182233,142912134.39016843,-366798392.0,50038591.0,-220103476.0,137946970.54918307,-31887166.0,549220205.0,-105225906.0,670955286.3854369,96,168,60,164,-220782525.37209302,291571456.3023256,-174119322.1860465,417627614.0505498,-516628902.1639344,724504182.3770492,-207730518.13114753,917172805.4359221,111131700.74264455,168995382.51753944,31933450.21959806,177050516.91769922,163629975.18763292,208922104.0814847,80837699.2851245,265728538.88316697,-54838236.0,-4782200.0,-30700340.0,-13576580.345125318,22479842.0,65380030.0,26738440.0,66832646.69496426,44,64,96,96,-6700401.904761905,11885276.523809524,-913804.2857142857,12659845.087750152,-7479027.0,14265157.0,-4044509.6666666665,16501888.904306445,15550939.390680078,13299767.100504884,9255394.623607693,15113600.586948656,22051660.995716646,32054828.308495082,12723273.941175278,32852687.441994634,631000000000,1940000000000,79,356,41,61,43,61,Bot,Tony-Handheld
7,-571200000.0,1658999900.0,-1432699900.0,1892316305.8569279,541200000.0,2185500000.0,-227800000.0,2378865211.284576,40,76,64,32,-103015093.7735849,1873130139.6226416,-746901864.1509434,2074529537.3759012,-233206556.03278688,1863962245.9016395,-546885232.7868853,1983444655.697371,338498866.81407404,142759347.3751791,343553920.1051467,148498791.17869222,145336027.3276454,116337084.21025312,293358064.4997317,112768175.25659616,-412499980.0,-297600000.0,-489699940.0,-280512045.6799431,373600000.0,219500000.0,479699900.0,254095400.1819663,48,64,24,40,-10280769.038461538,1546153.8461538462,-898076.9230769231,1519982.7798058712,4831666.666666667,4300001.666666667,1551666.3333333333,3257449.680025057,130999347.30891769,90536943.07286829,154300170.84688923,85463632.25828539,74332516.87892431,49716827.40282038,111300991.7029359,56607305.16383588,-171129532.0,-254154835.0,-235148206.0,92534558.4834021,164043498.0,75555305.0,-29688049.0,368372241.9738437,208,60,76,128,-11668021.188679244,-78952767.0,-142225892.35849056,222264782.6270419,-113973147.29508197,23110734.213114753,11096288.770491803,153319804.43933555,122028702.34432602,103094962.44286847,66695500.69981161,82009662.17860784,65137290.70043924,76549207.55978483,61469242.158342,62104220.78715311,-35779250.0,-62046470.0,-31084310.0,-59764926.920939505,15603245.0,68399450.0,51923540.0,43952450.522588074,108,56,36,16,-6445635.192307692,508159.32692307694,1889654.6153846155,-1076189.489487739,-1213585.6666666667,2919063.216666667,3027855.3333333335,1624976.996583978,12462387.663594062,26569498.85208593,16068898.680840047,21827325.48114564,12453674.0133187,20386266.313498765,7837054.594973311,14109563.004417429,377000000000,1841000000000,123,400,53,61,53,61,Bot,Tony-Handheld
8,-1967400000.0,1296400000.0,-4966799700.0,1829303859.3956993,-116799995.0,2372500000.0,-562700000.0,5527236580.780679,60,56,68,68,-817224319.4594594,1796859451.3513513,-2911935062.1621623,3641030836.0962853,113808189.40983607,1873391775.409836,-364365564.26229507,2280224826.975059,678147005.133369,288180815.2515098,1422469094.8419242,1288678537.132474,852497146.0873113,271472827.9046829,948306166.6291558,360394623.40344507,-497600000.0,-373700000.0,-1218999900.0,-1376950570.783082,1134500000.0,300000000.0,1556500000.0,1042168545.0671253,44,28,28,28,42097222.222222224,-41666.666666666664,85516666.66666667,-70761628.48677248,26483333.333333332,2585000.0,6863335.0,-10366476.456600133,288245739.9954663,136027169.81463054,476204651.13285583,402281474.9740692,284285218.53039825,126016412.01315404,346093106.00200003,216952929.4296115,-422753642.0,-962374545.0,90058984.0,253847839.95133978,1057390258.0,911271305.0,432492584.0,1446147184.3411283,92,120,60,152,211395624.33333334,193415151.41025642,240671951.69230768,792381469.203752,-107633021.68852459,389680803.1639344,255228365.0,596357889.7076641,476173999.7478109,590404996.4784766,105795825.52323548,292961634.07428163,235794310.05797422,329932396.1764819,166318057.46253216,250864638.18855026,-259408287.0,-141005160.0,-75572760.0,-254636938.06907237,65205500.0,267279720.0,76986460.0,189556898.6549499,36,64,72,60,-29231968.07894737,28404774.210526317,47766.84210526316,-31376298.536573384,10429796.666666666,-207985.5,-769690.1666666666,-943077.4886285226,74709123.03877118,101147486.42535925,30156510.914032105,87103286.20147562,45897787.97143637,79992352.02246459,37186229.0674745,70568044.23354857,170000000000,327000000000,62,336,37,61,39,61,Bot,Tony-Handheld
9,-961699960.0,1390999900.0,-1077700000.0,1540573612.5482612,719300000.0,2384199900.0,1815400000.0,2445638595.54105,24,40,28,128,11781582.631578946,1824863092.1052632,24915789.94736842,2015157874.587002,491401635.6721311,2091170427.8688524,-781034401.4754099,2869262719.63287,451046346.8835738,309123205.65602124,734677357.1502305,298404657.32708305,1019147680.895509,625831076.0545453,2080688878.445723,1643554635.4972842,-1399899960.0,-509400000.0,-1696200000.0,-778102280.9762278,1382399940.0,536199900.0,1145000040.0,707746830.5085342,12,48,12,12,3572973.7837837837,13721621.621621622,-8637838.378378378,15951912.335345197,13269999.333333334,-3263331.6666666665,-72166666.66666667,7476063.514539957,387605336.5740831,158815003.92074767,434130413.54238755,226060588.99674973,479918977.3078307,245629083.81087968,953579042.6218965,697444216.5876769,182142558.0,-170902645.0,-3700098.0,358267319.750423,1048052758.0,355593375.0,455775284.0,1134449784.7687337,152,60,52,140,629863817.7435898,135998292.94871795,242877778.94871795,717715080.3878351,919746449.5245901,-852849409.9508197,160638957.72131148,1454988323.236878,256893485.8242961,156845582.67991385,170905080.16421318,278972468.68127954,653310610.1831187,693938072.0927433,255913865.79370868,668823246.0493104,-19704760.0,-115418620.0,-75625117.0,-31666203.640776098,139888130.0,82362090.0,105417890.0,123258263.0723871,24,48,48,88,22787110.52631579,-12287577.631578946,5791277.894736842,19564098.079660743,-12868894.666666666,-18018778.833333332,-9191485.5,-4391269.620822563,33319414.47178348,46475337.52507161,33819358.168444574,33952234.01945257,88879604.07613797,121597403.88537534,25748900.223392285,137419053.1453464,741000000000,1253000000000,66,344,38,61,39,61,Bot,Tony-Handheld
