,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-11500000.0,-16800000.0,-48200000.0,30909383.68845293,11700000.0,32199997.0,-18700000.0,49764344.66563385,32,192,152,8,-1861224.4897959183,7063265.244897959,-40532653.06122449,43003938.964875214,-6460000.0,11633333.133333333,-36346666.53333333,39982819.79875563,6081660.146378982,10329744.396977494,6751956.128754529,5744635.6291454835,4011376.678541029,8474639.520076279,5496604.9594272515,3235202.2160638566,-9600000.0,-9800000.0,-19700000.0,-12281791.473253284,13300000.0,29100000.0,19600000.0,18854960.97718092,16,8,152,16,281250.0,1020833.2708333334,408333.3333333333,-126772.27439935396,857142.8571428572,-878571.4285714285,700000.0,-873135.6297203302,3372292.5096784434,5685616.089439494,4463595.025935436,3606563.3045529486,5463477.9981926065,9771106.595572587,7835268.069076277,3447333.4336789744,-2042035.0,-2199115.0,1326450.0,1361020.9064907858,191986.0,1797689.0,3543018.0,3977627.548330914,36,64,4,4,-1401250.0204081633,-727695.5306122449,1843993.6326530613,2671636.345819439,-1530071.8,72140.33333333333,1447459.2666666666,2416386.803101138,660175.1734450704,1099720.2326141314,441933.2145402315,755190.2753522804,1039788.2700770795,698345.6500583224,403666.9805623843,484264.01122741593,-1745329.0,-1815143.0,-2216568.0,-2616606.641840128,1797689.0,3996804.0,1518436.0,1450238.974576176,36,64,4,68,-3272.5,14544.416666666666,-22907.458333333332,-13956.517903907792,160819.64285714287,18699.928571428572,-24933.285714285714,-94449.16817791942,420370.98195329204,735513.0457359576,430890.12078322424,513049.6774233177,586039.311846131,709522.5265227378,330015.1071051637,564135.959261226,978000000000,224000000000,127,204,49,15,49,15,Bot,Tony
1,-26999999.0,-49700000.0,-18600000.0,27472531.077423517,-4600000.0,-18099999.0,49999997.0,68433979.07764836,68,28,32,48,-15456409.76923077,-36382050.51282051,16292307.025641026,45744552.74658873,-14965573.524590164,-31793442.18032787,15585245.50819672,44379741.72734535,6378821.594231915,9047734.986143664,17672076.590298068,12779676.986865962,9323105.21668725,11996719.740617383,20449464.465768334,12204675.06126344,-9399999.0,-29000001.0,-39099999.0,-32001380.995167136,19499999.0,20400001.0,49000000.0,37097895.30648695,8,32,68,32,418421.0263157895,13157.894736842105,771052.6052631579,128946.93730501516,-260000.01666666666,-75000.03333333334,-816666.6166666667,-177048.45789454505,5200448.02498079,8299688.42511675,16428231.33770585,11726204.8572655,6461403.231342261,8490457.497979768,19131597.962721843,11586864.707209593,-2635447.0,-3071779.0,-1867502.0,580699.078860127,1815142.0,4782202.0,785398.0,5112533.767178952,28,24,84,56,-369137.1,1552034.0,-264853.75,2732992.8910591975,-587218.8064516129,622406.8548387097,-560757.4516129033,2781202.4023339506,1263706.2598876248,2092415.3868161,744623.7014051426,1245442.4476077652,1414608.6128650084,2422760.267518109,864301.194430633,1349012.0369225673,-2635447.0,-4031711.0,-1535890.0,-3918417.2875380414,2862340.0,7609635.0,1466077.0,1653174.058244596,28,28,12,32,61757.794871794875,-116802.82051282052,23718.5641025641,-45921.63811309283,6580.754098360656,-9155.83606557377,-14878.213114754099,3447.5916307700845,1158481.485648439,1906070.34526732,726450.2426165404,964100.7175326098,1056692.5726460526,2024945.9124234244,934746.4285770822,1479257.7492464464,881000000000,1334000000000,67,348,39,61,40,62,Bot,Tony
2,-19299999.0,-29099999.0,-38200000.0,8704596.486914255,10300000.0,600000.0,900000.0,40613913.871972494,108,96,52,20,-1500000.0,-9907142.547619049,-16495238.095238095,23102619.18202118,-1781967.1639344261,-4018032.8360655736,-17813114.75409836,23697296.21056364,8839379.497591399,7515979.308387678,11354959.21271476,9919194.137558185,8776816.107247388,9379774.332951937,12790132.595218811,9995821.64993385,-19199999.0,-21100000.0,-29500000.0,-22682821.374388065,19400000.0,19599999.0,19700000.0,21364911.88803942,60,8,20,28,-248780.48780487804,253658.53658536586,-717073.1707317074,636286.1324130549,201666.66666666666,193333.33333333334,0.0,23391.915616550607,6213208.512917077,7386345.07297496,9031486.992036747,7997862.360857268,7169739.389653963,5977760.393231647,9945635.558709493,8187110.163196682,-2600541.0,-4747296.0,-3263766.0,601062.4658261403,2076942.0,3193953.0,191986.0,5651041.3380750455,76,36,44,24,-679431.6904761905,595905.2619047619,-1139035.1904761905,2335626.278347354,-353929.8032786885,1079529.049180328,-1166509.4262295081,2492777.2605987694,961693.3475384864,1723984.8653834872,822941.2877319166,1073174.5316230236,884884.3965778396,1703259.6770990463,945350.9987461175,977692.0418528724,-2478368.0,-4450590.0,-1448624.0,-4104675.819635437,3228859.0,4415683.0,2338742.0,4398532.132019457,8,4,4,4,-11919.317073170732,28946.926829268294,-4682.585365853659,31463.27885684637,9890.2,23271.05,-18616.85,2692.151205715677,1033977.6557375686,1750729.8712431742,839149.6561454767,1519504.0670176428,953474.7178469704,1623768.1189635159,929453.351534973,1156762.6805624433,103000000000,1688000000000,70,360,42,61,42,61,Bot,Tony
3,-17400000.0,-32600000.0,-106699996.0,54364142.59417691,21300000.0,-2600000.0,-47900000.0,107474411.47268505,80,60,156,156,-3302272.659090909,-17190908.454545453,-70840906.86363636,74396671.64236456,-2041935.4838709678,-16572580.290322581,-76351611.24193548,78968072.41951877,11068570.199612157,7469311.4161124015,15666203.497630788,14451705.134190744,6449413.453749789,8571457.959548106,16807217.149502423,16367287.209067283,-19700000.0,-19100001.0,-29400003.0,-39866354.81521246,19400000.0,19600000.0,39200001.0,29429221.469636604,140,28,80,80,-430232.5581395349,274418.6046511628,-455813.83720930235,307998.0014719928,8196.72131147541,50819.67213114754,-160655.73770491802,141973.9702722621,7265929.701671892,6116165.956775278,12495456.567656234,11523723.178810915,5543635.993359818,6376638.300341622,14578124.85511506,14428066.826345095,-2303835.0,-1151917.0,-2565634.0,404072.55555531115,2094395.0,4171337.0,-69813.0,4456130.203382078,16,132,16,60,-469299.44444444444,1192253.822222222,-1411001.711111111,2447779.195808534,-174532.9193548387,692220.1290322581,-1806134.2580645161,2575941.4189502564,1161369.8238292015,1057956.9029639862,715594.1697789143,753344.7789403428,879862.285225854,1470171.7075740271,709770.9539881236,727095.7528969776,-1902409.0,-2775074.0,-2426008.0,-1475124.3800020749,2844887.0,4363323.0,1361356.0,2385284.4552508947,108,136,24,80,15469.977272727272,54343.204545454544,6346.681818181818,32740.573290758904,22603.44262295082,26895.245901639344,-15736.573770491803,13536.644606358204,951267.9347348246,1263867.6171725742,657912.4242288418,776012.4348597769,897747.804358519,1737459.2346130935,761707.6464930077,867944.6884217138,196000000000,971000000000,88,368,44,62,45,62,Bot,Tony
4,-36300000.0,-43399997.0,-145900000.0,70958297.43729764,2700000.0,-12399999.0,-67400000.0,149098825.8759941,12,48,24,24,-12903448.034482758,-23758620.24137931,-103906893.37931034,108585794.05823596,-11749999.5,-22433332.833333332,-106599993.0,110848957.21198304,10978143.327638224,7996897.162899546,27096293.668243255,25416840.252316255,3894997.029523938,11297019.142529067,32206083.094968423,28998040.5396505,-39000000.0,-21400001.0,-68599990.0,-55667066.5123699,19699999.0,19400000.0,58799994.0,61039538.76292145,12,12,20,20,-75000.0,-410714.1785714286,1400000.0,-1115750.1191232551,-1900000.2,-5799999.4,11759998.8,-9282502.003014311,10583194.937190356,7697881.605115675,23692416.970113505,22507845.421420816,3850194.696375777,7750095.72069929,23519997.6,23467615.528103735,-2740167.0,-2984513.0,-3543019.0,1334806.400893403,2338741.0,3979351.0,-506145.0,4552968.384078897,20,20,28,4,-722205.1724137932,996041.448275862,-1692367.6206896552,2924143.580167267,-1181006.0,1908226.6666666667,-1346812.1666666667,2776882.307256685,1233582.2871901535,1666792.252851986,826165.5988704001,812781.052877168,550668.9455264388,491757.89908599,739032.4050000559,240726.4657837694,-2216568.0,-4764749.0,-2321288.0,-3218161.9831854934,2426008.0,3647738.0,1640610.0,2262012.4659646433,20,16,8,4,50489.892857142855,-55476.53571428572,-41763.25,-35876.24322524732,205948.8,-233874.2,-317650.0,-78436.46502953311,1081514.2230077018,2070972.5360570075,898673.0504453944,1089230.115663241,514134.7774128492,249673.7540082257,338863.48092351295,269314.1127551241,981000000000,114000000000,41,112,29,6,29,6,Bot,Tony
5,-19500000.0,-25799999.0,-106599994.0,72715953.87808649,700000.0,-16500000.0,-67400000.0,109609756.50369832,52,12,32,8,-5827586.206896552,-22234482.51724138,-99841374.55172414,102927084.84886321,-7781666.583333333,-18103333.05,-102189995.96666667,105285133.79141098,8117700.965514635,4297779.969788984,12858834.07435252,12202007.9453187,9646716.928264653,12504073.224792024,10739150.199596751,10322702.471574798,-9700000.0,-9299999.0,-39199994.0,-36813990.52434638,10100000.0,300000.0,39199994.0,36893802.62561183,12,12,8,8,721428.5714285715,-300000.03571428574,-1049999.9285714286,1006057.086537713,-283050.83050847455,715254.2372881356,0.0,-8978.745971460716,3653409.0873023896,1734111.338903703,12099068.309171796,11377043.029711302,8223347.122997708,9066417.93708739,12758511.375362698,12331622.306388887,-2042035.0,-715585.0,-3560472.0,2074740.6015097406,506145.0,2740167.0,-174533.0,4264929.058555254,48,32,32,4,-1270479.3793103448,1573805.3793103448,-896738.2413793104,2520270.8455310334,-662061.5666666667,1202240.95,-1458804.3166666667,2681537.748583661,678603.5805352895,637549.9656594663,915346.4920587118,442904.64785869286,965237.9485377348,1344474.2316326676,1060120.3760872982,794006.4367883462,-1762783.0,-3036873.0,-2321288.0,-1574176.5659863069,1745329.0,1378810.0,2094395.0,2190188.457045513,44,8,4,4,13713.285714285714,-13713.285714285714,38023.25,-28456.708660957138,14199.28813559322,-3845.64406779661,-37273.13559322034,9516.335916305743,557342.307921318,721842.0299314039,785966.5251106266,590163.9183275967,538919.6173256347,953869.5140445497,842848.168040626,819680.9492160889,305000000000,206000000000,24,300,29,60,29,60,Bot,Tony
6,-31999998.0,-45399997.0,-155600000.0,67964843.85327461,-2200000.0,-9200000.0,-67300000.0,156360353.0310673,68,140,12,12,-16768888.51111111,-27039999.6,-102224441.33333333,108475676.11855327,-18213114.491803277,-25703278.327868853,-108786882.98360656,114274368.3446856,9429494.609500894,10933297.496680027,26331099.74585712,24291432.330342993,9915937.814293722,8987175.185606247,31195375.150861137,30277320.248719625,-19499999.0,-21100000.0,-88300000.0,-51392239.172066286,19399999.0,19800000.0,58899990.0,88395509.1777927,8,72,112,112,-275000.0,152272.70454545456,-1336363.5,1297385.3685958737,-390000.0,-384999.95,-161666.66666666666,311235.84968707315,6017365.704585982,8270250.23589733,21080376.690300673,20040473.11737352,7920873.181242933,8282528.255822649,26475208.5241187,25844435.292899825,-3822271.0,-3263765.0,-4049164.0,1352151.6862937382,2286381.0,5393067.0,-69813.0,6347074.267011613,108,72,72,148,-416939.77777777775,1287665.1333333333,-2106030.6,3962653.022177155,-519879.24590163934,839188.6721311476,-2262919.5573770492,3552069.5655004852,1851699.4452882994,2642734.3879557997,911946.9457179713,1262818.2354600716,1621216.124379408,2079832.2634072658,1041972.2514720587,1187085.0437795862,-2862340.0,-6300639.0,-2007129.0,-3762073.7922773426,3403392.0,4171337.0,1989676.0,2508135.444653103,20,36,44,144,-53549.88636363636,-76953.13636363637,5156.659090909091,-79548.68316003097,-37233.683333333334,40142.566666666666,29670.6,-35808.413171072585,1309570.0585044594,2073610.1732375917,820647.219011061,1265036.4413363454,1275824.4175355202,1539215.800931147,1057422.2657526683,1197930.2899043178,918000000000,1345000000000,82,368,45,61,45,61,Bot,Tony
7,-61199997.0,-79799995.0,-155299990.0,111671121.5382026,-28800000.0,-42200000.0,-76799996.0,180839670.98123163,92,60,32,32,-43249999.36666667,-59929998.766666666,-125166662.33333333,147372625.2947944,-50204917.04918033,-61101638.27868853,-124137702.21311475,149278493.78128365,9975443.598294767,14151620.470657099,27489524.35584076,21101722.371445436,10356308.871070229,13372926.345094211,33876540.000697635,28344663.718316842,-19800000.0,-19400000.0,-68600004.0,-51789507.024152145,20000000.0,27099997.0,68699994.0,44953208.599775136,12,52,20,20,-424137.9310344828,589655.1724137932,1693103.2758620689,-1505495.0655958345,-418333.26666666666,-751666.6666666666,-325000.0,730502.0483751904,8366957.015851932,8197532.390176473,20451505.269633207,15298382.238615716,9574749.314803766,6951941.911597446,27322594.180763196,22412121.38189255,-3700098.0,-2740167.0,-3246312.0,1659899.152290283,3490659.0,4084070.0,-453785.0,5431003.666378987,28,32,16,16,-389208.4,1197295.8333333333,-2032726.7333333334,3610222.644513592,-801106.1166666667,1274672.1,-1904735.9666666666,3943903.741431004,1954689.0444933479,2157756.080395719,644978.147530807,1150516.0980179582,1957030.3061748042,2663701.1189811155,1104373.8387974899,1523610.7824021922,-2705260.0,-3857177.0,-1937315.0,-3422246.8953215918,2373648.0,2967060.0,1588250.0,2734572.641405809,96,56,40,64,12036.758620689656,-102312.37931034483,32499.241379310344,-66068.00225413451,-8874.559322033898,-45260.23728813559,-37273.13559322034,342.40244726630687,1222350.3089017698,1795023.9232001302,834463.0599976232,1306118.6067628807,1369182.5912500168,1953469.2048045984,1062937.4219320444,1494399.0160505543,66000000000,1755000000000,20,308,30,61,30,60,Bot,Tony
8,-53299997.0,-65299995.0,-165100000.0,116202323.55680329,-21599999.0,-34300000.0,-106300000.0,178989913.96612275,152,36,60,104,-33481631.93877551,-47636733.653061226,-131899997.55102041,144856621.572099,-41831146.45901639,-45527868.016393445,-133114749.09836066,148375096.43567887,9950641.800806638,9266868.874852482,17070049.51662469,16632777.989540827,14744462.167417152,10238084.257641116,24872525.31519897,21447038.511989787,-29399998.0,-29599995.0,-39200000.0,-41106598.08430068,29499998.0,20099997.0,49000000.0,44126798.17829883,112,36,36,36,-243749.9375,-216666.625,-612500.0,691855.9760590829,-701666.6666666666,-208333.33333333334,-490000.0,691660.9887552027,9069589.40413713,8269907.669443068,13917816.342732254,12892215.18405026,7142466.166683885,10226587.25735147,22609514.4003586,19627317.551126283,-3525565.0,-3735004.0,-4398230.0,1129620.3099050582,1762782.0,3385939.0,-663225.0,5508829.501587519,152,152,160,12,-854142.8163265307,661444.1632653062,-2487984.5714285714,3348105.6033079075,-819446.344262295,811435.0,-2425149.3114754097,3605494.708151375,1212545.4503816664,1616940.413840743,773470.562718372,866071.4963006696,1673507.1918598071,1843763.976443921,1036273.0680163335,1178625.4249647078,-1780236.0,-4398229.0,-2094395.0,-1855975.4177656476,2181662.0,4869468.0,1605703.0,3365766.7368353996,20,4,12,8,19634.958333333332,12362.75,-8363.041666666666,2107.291325525206,-13380.866666666667,-581.7833333333333,13962.616666666667,-12489.858313498762,889580.4031358445,1767133.1432143904,851753.7456132043,854116.8017963256,1125312.7400022103,1484788.6129600636,927062.8034263931,1178576.499446808,779000000000,2157000000000,98,388,49,61,49,61,Bot,Tony
9,-60700000.0,-58799997.0,-224100000.0,172261719.48520657,-13100000.0,-29199999.0,-165300000.0,231389584.26817748,48,16,112,16,-30933332.871794872,-39728204.692307696,-196948712.82051283,203904056.85112026,-27183870.629032258,-33319353.870967742,-203077413.87096775,208440365.5351468,12085296.19333769,9129764.084284103,17056557.79071621,16149648.346465718,12765260.11735665,12857845.565726364,16820054.10204719,15732666.072259717,-28800000.0,-19499998.0,-39300000.0,-49513133.89452198,19900002.0,29599998.0,48999990.0,39687722.355261564,16,8,112,112,76315.78947368421,-139473.68421052632,1031578.6842105263,-985496.8655432878,393442.62295081967,413114.75409836066,-642622.7868852459,509009.2818139699,7416958.987082715,7575845.506875454,15062011.966232726,14663497.773287019,6837477.983959765,7054552.028622192,15147714.965469608,15036987.87138663,-3368485.0,-2530728.0,-3385939.0,552197.6261140571,1919862.0,4799656.0,802852.0,5058023.77043337,24,20,80,128,-671515.4,1057233.15,-1459095.275,2856281.5714932266,-429294.6451612903,1027492.0967741936,-1674671.5,2593159.238780095,1302149.7754767276,1796747.8167535344,867717.1829024734,1049639.0536879734,1027107.4012737493,1313163.777889194,790120.4515882113,824493.5971332204,-3246313.0,-4764749.0,-2024583.0,-2862097.5366582004,2321288.0,5445428.0,2268928.0,3185797.096561587,24,8,76,8,19690.897435897437,-10292.97435897436,20138.4358974359,-14569.668600471052,38626.13114754098,-6866.868852459016,24034.049180327867,-18142.266584899025,1032544.467882154,1879946.4171626791,910686.0078306085,1173146.853142759,875128.090908523,1150304.7197258885,877584.5223295817,820025.6156447675,670000000000,706000000000,60,348,39,62,40,62,Bot,Tony
