,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-787750500.0,-435447450.0,-1261231900.0,219473129.93895835,320822360.0,-94495535.0,151320460.0,1269359888.6212957,80.0,48.0,48.0,80.0,-336415735.95555556,-185327895.1111111,-438773850.4,735891550.679483,-544998916.9574468,-52668697.212765954,-306036423.40425533,817165935.4930536,354447386.8945137,114633345.50846909,439906989.6134303,355275450.20348513,372413872.47592103,98400568.46176372,434511766.80568045,238554072.39303228,-423130434.0,-156514150.0,-497389800.0,-279294138.99128306,401248160.0,165149200.0,381155010.0,417234012.7566991,76.0,40.0,36.0,36.0,-10728723.636363637,-27629.43181818182,-11620044.772727273,14269425.938615791,12120590.217391305,3863096.217391304,6303787.173913044,-13196475.032568885,118835038.17100129,43736171.263293676,135402986.42252952,85684630.76476076,123878652.58987835,31353158.10885364,150512508.89819053,132580743.978715,-304665640.0,-134223322.0,-144875962.0,87416614.53616415,361124650.0,111852768.0,77764304.0,406592059.13359255,72.0,48.0,76.0,52.0,-18665287.826086957,-11671592.869565217,-23458975.47826087,236804051.65744403,-208066550.68085107,-2425176.4680851065,48095556.17021277,284683098.97189754,237685278.0170956,69361708.3964352,76144176.35253994,104110129.80958685,190720127.45073062,29012105.512559563,56681408.60991439,64997230.12230346,-92678000.0,-92678013.0,-31957932.0,-104770280.08093554,104395906.0,106526446.0,45806374.0,124472893.65812156,32.0,32.0,32.0,32.0,-7243798.444444444,307743.0444444445,3574553.9111111113,5020029.395086746,8962116.304347826,1065264.4347826086,-2362108.1086956523,-4250337.307025185,38123041.61588937,25996355.064126894,13579335.1683771,33249460.944222067,38602507.303160265,19908218.947548784,15481690.817889199,32907365.842190262,97765018500.0,2457923950166.0,84.0,316.0,45.0,47.0,46.0,47.0,Human,Alex
1,-507128900.0,-231276750.0,-446623800.0,183160174.76435536,379511000.0,206141950.0,767480850.0,773711028.842933,12.0,20.0,16.0,48.0,-69844182.84375,-60149780.34375,1116989.21875,365560619.09859234,-7444604.929824562,46042877.94736842,75408783.50877193,319033650.8071527,224915816.84388524,156723271.55778596,278026669.7358653,152559312.82036173,221574583.73208103,119425927.18681395,217573187.14771876,122874607.49434564,-454951470.0,-160185578.0,-968657490.0,-246466903.95381355,803863600.0,191300632.0,749277115.0,519796021.66827875,4.0,20.0,4.0,28.0,243871.4516129032,9985077.741935484,5184973.387096774,-1175688.025447057,10610695.357142856,4398371.428571428,-1921415.25,-185470.294850789,185839346.22706857,77886488.14307016,243162077.55610487,147198792.39021266,108132343.75454794,49240701.94700103,96776974.26744941,93844290.30804579,-200269710.0,-217313942.0,-64981132.0,101160871.89952044,320644590.0,276968748.0,100134858.0,342162200.56949407,48.0,44.0,88.0,24.0,-52530853.78125,99003017.5,-7290403.625,235414559.2690387,175804145.41666666,308163255.05,85043612.66666667,432035879.9770002,159380091.29290456,148561786.90937373,43147651.07572226,71747680.5254156,163690862.61292362,294359117.0178577,49723066.31379199,247902870.2251414,-140614912.0,-338754110.0,-71372716.0,-123109843.86223544,291882460.0,121440143.0,75633771.0,73946270.75291592,28.0,24.0,108.0,68.0,7937938.387096774,-8865749.677419355,1443261.4516129033,-2906898.3266092157,6752693.220338983,9695711.186440678,2094418.2033898304,9504908.796856383,78420250.48525839,77831068.46599694,21984392.733532533,42593790.892258875,33340905.886823975,37147403.29363268,18141824.53855339,33019829.492442586,1048219674571.0,2455446428571.0,59.0,312.0,32.0,57.0,32.0,60.0,Human,Alex
2,-1098671100.0,-1100593800.0,-1309768700.0,110777277.91271627,930447800.0,963942050.0,1092791600.0,1741288353.3684878,88.0,52.0,148.0,32.0,-170199753.5818182,113968967.89090909,-46378175.89090909,1040548236.8905498,276604577.6571429,115966715.71428572,59114896.885714285,617394212.6409796,630155517.151354,602842748.4679419,707856203.0873561,451341336.51487726,316139593.05294836,169941875.71594787,554738614.3214432,374665598.7618815,-881762590.0,-809380031.0,-908768650.0,-535810854.6874914,812549597.0,715859180.0,671587980.0,832350488.458009,20.0,40.0,32.0,176.0,5981682.592592592,10851533.333333334,3815280.0,2568702.1499696462,1763715.5882352942,-12410023.529411765,-13128224.705882354,-15409044.7574917,271362700.37582076,226377607.2136375,287117434.00449437,201447873.51883116,206705552.12939933,61248589.40360604,276111722.073132,187125516.10369512,-549676470.0,-1265534182.0,-407996292.0,275054914.5433273,575242830.0,52197958.0,352602548.0,1295088671.8754246,68.0,136.0,96.0,144.0,87751163.17857143,-622970462.3571428,-67682336.78571428,806658773.2920791,-113618062.2,-626892921.7142857,47876029.22857143,744074946.0313025,315399767.62912166,440781317.4462887,245972724.73734438,315263994.84016025,282302048.25006115,360020953.78289706,162616635.59388348,293298659.0758758,-302535100.0,-361124670.0,-165115980.0,-247184281.3060403,107591680.0,260989800.0,235423436.0,235825435.1517545,32.0,48.0,104.0,48.0,-1026527.6363636364,-15359176.909090908,-193684.34545454546,10141719.626876522,-6422917.647058823,15759648.235294119,-7989483.235294118,-10500555.872236466,72473568.70623356,104112453.95110701,57950632.639066115,91338801.85798652,62782850.92395419,70113396.4483984,40288519.39037654,73095957.43105373,953055618500.0,1765564758375.0,120.0,304.0,55.0,35.0,56.0,35.0,Human,Alex
3,-158756020.0,-192619800.0,-2831853000.0,548793387.3524328,960764400.0,520887850.0,1588791800.0,2837037406.363196,60.0,124.0,56.0,44.0,352969957.5744681,222650266.74468085,-302361434.4680851,1234689616.057616,102259914.70967741,-42862177.27419355,-35746464.38709678,439080497.3391028,261451744.08251613,218929229.14383534,1229777851.4186106,585148406.341915,241997258.2148862,187164396.1355005,421752109.83258367,298848427.7582378,-344985100.0,-358172900.0,-1565572300.0,-888539403.3707266,450701470.0,339584357.0,1577877490.0,1558661505.3791466,20.0,28.0,36.0,36.0,16530975.0,3329919.717391304,10855519.130434783,-580055.7904849985,993736.393442623,-4534315.081967213,14519566.55737705,-5552613.10986285,130038730.15132362,99859699.52795574,477711701.5544566,389804233.01158756,87393216.17520495,52822734.921928905,109728013.49548274,74537835.6484502,-278034035.0,-430366860.0,-147006492.0,134940040.38068682,205596045.0,287621400.0,119309618.0,458578734.1686977,52.0,76.0,136.0,132.0,-20308019.893617023,7275528.659574468,-12624517.361702127,277639942.0409604,-85530428.12903225,234444090.33870968,-107248076.17741935,300569602.3206232,153068435.5070659,233540263.19087708,91791902.4643828,90969154.71947987,103565311.15555821,135616526.23093173,36707634.96962672,116761008.77070197,-142745450.0,-246076082.0,-56459017.0,-79512750.86637229,88416945.0,192812890.0,31957930.0,140075434.0271588,48.0,40.0,28.0,32.0,-8869484.347826088,4538952.782608695,-5372638.043478261,2052179.9982696013,-1135117.8196721312,3492670.1639344264,-2671892.7868852457,3269500.7460099934,50960192.752538,76620018.18519318,15097757.995089987,38046762.00177832,27491841.914635263,41865419.624353394,13276627.136081332,36436253.0713077,163328747555.0,1000714463888.0,127.0,384.0,47.0,62.0,47.0,62.0,Human,Alex
4,-320899000.0,-281948100.0,-3554921900.0,168230145.39019313,677156900.0,390683650.0,1926106900.0,3560036334.762256,80.0,68.0,72.0,20.0,90397863.09803921,-10744039.137254901,-203415592.19607842,1324924504.2852826,154876259.03225806,-3772705.419354839,-196157731.77419356,531366032.99119043,302825890.3231356,196088990.76164722,1518372425.1445973,834106831.3426119,213960372.98706335,215281954.49528262,634340633.4731677,520612945.97874194,-402876855.0,-133131980.0,-2776873400.0,-1576682702.7278073,384082440.0,186586860.0,1576691900.0,2753987323.826996,80.0,160.0,12.0,12.0,4336655.2,5731325.14,-7170019.4,8798542.65750982,3057139.819672131,-3982192.1967213117,21456351.098360654,-19239572.503877334,127251540.27328008,56648291.207460284,623006148.4369316,560990235.5403546,78215843.67454271,53396707.56232554,114308026.94098009,103072242.48475315,-567785975.0,-368581510.0,-22370553.0,36437648.55721316,634897585.0,295078240.0,120374878.0,722712625.890203,72.0,76.0,32.0,108.0,30495801.70588235,-18025945.82352941,37597568.62745098,340143584.9716115,-19896390.01612903,11511728.274193548,-28968320.177419353,169088528.1323718,366619518.50226635,185277249.97949064,35307880.1810218,233868427.69348845,187651158.64386693,105620587.04309092,43885044.90057548,143613709.08821887,-136353860.0,-85221156.0,-30892670.0,-116812962.17613488,118244350.0,94808543.0,22370555.0,130495890.47143967,76.0,20.0,28.0,132.0,-5773733.58,1747033.68,-298273.98,3614700.110728303,-8487188.606557377,6775780.655737705,-1746335.0819672132,-9407828.994514715,70636944.08021739,44010127.21973134,11889114.57674981,70052485.33655496,37077849.46022482,20487169.641092405,6849686.368857125,36590303.13959242,444937500100.0,560750000000.0,108.0,400.0,51.0,62.0,51.0,62.0,Human,Alex
5,-1172519700.0,-203165050.0,-2043679500.0,209774050.72781938,556542900.0,65073970.0,985303900.0,2356151526.0172453,48.0,108.0,48.0,28.0,-187443333.98039216,-51299787.039215684,-320255214.3137255,815441441.8658125,-44769366.43333333,-82371045.3,-18053422.133333333,578303354.900249,425654100.5775353,82882882.86912772,840726358.6915088,599803993.9617592,281115223.56335986,118023113.83737953,562544978.9328036,280318796.81545645,-659251300.0,-115993504.0,-1145563345.0,-923423415.4778489,520351600.0,130385400.0,783766260.0,1085395739.8934062,28.0,160.0,48.0,40.0,7178040.38,193977.2,424499.4,-3016054.645217483,10557169.491525425,3963486.627118644,24931111.525423728,-12021097.228756484,188020356.0268896,36859876.42373933,358835483.2717707,330512468.2398003,85111739.72418466,42194845.04538151,160894094.94562438,132793873.25408646,-271642440.0,-353667800.0,-123570682.0,52121811.02063918,251402420.0,295078240.0,115048558.0,396262627.2367468,52.0,128.0,40.0,88.0,-12908498.176470589,-15665654.156862745,-14746601.274509804,266062379.16417933,-120546699.41935484,-154532073.27419356,65049858.53225806,235717196.10067564,175068121.8509774,209727093.27659538,73354383.17436805,91936322.82895747,105066316.36266999,93654100.90656692,62103936.49734097,102643471.21703225,-79894836.0,-119309614.0,-29827405.0,-82297193.01829866,61785340.0,52197950.0,50067428.0,72291459.64132237,44.0,124.0,56.0,92.0,-8053399.4,-6412892.1,3323625.0,-172157.76409067423,1100191.1803278688,2444869.5081967213,838240.8360655737,-1930189.811851567,33581461.25518403,42304541.48861384,18376524.912283737,32277961.01134608,27575688.49184043,21169817.271402687,13638106.365517993,25958897.540302575,754453125300.0,1453750000000.0,103.0,396.0,51.0,60.0,51.0,62.0,Human,Alex
6,-339222670.0,189633370.0,-1964027900.0,259158642.06190428,646964100.0,599488260.0,1406383500.0,2007005837.5281198,68.0,116.0,28.0,32.0,109938958.15789473,428558300.5263158,-138907457.36842105,874791744.8499784,-103699829.27868852,112700468.81967214,-19753498.8852459,667957676.5258195,354117983.8721646,139920225.15560988,805766457.4003971,478695685.43130326,261737558.96784577,223591765.89537203,621887536.2946877,275468737.35191673,-674391090.0,-212019460.0,-1755035420.0,-1563258606.8672588,535657750.0,156445030.0,1897150535.0,1675614691.7834883,64.0,96.0,8.0,8.0,647003.5135135135,3918248.108108108,-23743564.45945946,19820883.39015657,-11229431.666666666,-8168013.883333334,-1231408.1666666667,-6038823.944466883,154525189.08695003,49738552.461324595,496716482.82213455,417823177.08524406,120161274.0274756,53024237.673603415,178669005.3527555,136372114.1739982,-185356010.0,-61785337.0,-132092792.0,32555981.986883454,241815030.0,145941226.0,100134858.0,275592786.82316136,48.0,36.0,64.0,36.0,48922277.125,21971078.75,7376957.25,171260437.26934275,-19295025.532258064,7663033.0,-27834327.467741936,303889943.78774154,140847586.19542485,65159631.765058175,89628872.31713846,70997476.69226082,266257017.86027312,189270418.10972327,124642505.4607291,172088244.5579135,-170442310.0,-62850602.0,-28762142.0,-147347601.84461704,72437985.0,58589544.0,102265385.0,142306440.09301278,64.0,72.0,64.0,16.0,-6418900.974358974,1830069.6923076923,-573604.1025641026,924166.0406946227,-6234416.393442623,2829063.0,1257361.31147541,-712145.7885535435,48628721.59175752,25394998.33829441,23266159.34413186,39607945.73564303,61890280.71421602,46734461.89681485,26136646.424854986,70896395.56180625,219759442200.0,179318615600.0,56.0,344.0,38.0,61.0,40.0,62.0,Human,Alex
7,-280430200.0,-187879560.0,-2264196400.0,100789354.45200956,416607500.0,195861340.0,502082350.0,2268501367.1110015,72.0,108.0,36.0,12.0,2761883.9811320757,-55191354.320754714,-17409177.62264151,485618088.350049,45879544.338709675,-44014084.03225806,-63797765.69354839,274881928.1602308,190123256.07162508,93609743.23500095,547849762.1113881,328801342.2258752,118788226.27194385,83680810.48668088,272170535.77604985,163206841.68696198,-239773270.0,-216738701.0,-2270914082.0,-1554819279.0097747,348151203.0,178741930.0,1699636940.0,2167712012.658992,32.0,12.0,4.0,4.0,3191079.0384615385,290100.3846153846,2388348.846153846,1432813.9186932652,3935577.4590163934,4133974.918032787,6289169.180327869,-6379652.14613846,87400675.77598296,51970582.04163147,444584542.59815717,388802571.58450204,65219746.54771975,29711552.634986743,104894046.62464875,87151855.49228406,-110787500.0,-98004330.0,-57524282.0,17308499.418190707,103330653.0,95873800.0,34088464.0,147949085.68250543,80.0,56.0,36.0,144.0,12521881.849056603,9285890.301886793,502483.6037735849,72298557.96020748,34552368.03225806,30205402.19354839,23556089.903225806,69913815.96989767,60961795.913926706,41510828.89494429,26374380.920637686,32487710.859638244,41554323.40994845,34997584.15120986,18051470.05606536,31845300.82849086,-150202285.0,-75633777.0,-30892670.0,-48410631.2617674,73503246.0,58589546.0,18109500.0,91239383.72595015,144.0,8.0,40.0,144.0,-717004.8846153846,-614575.5961538461,-266316.1153846154,-763855.18710257,995411.1475409836,488973.868852459,-454047.1639344262,-661873.1852335026,27858495.285091322,17917289.901724786,7852765.760959086,18712851.43518832,12395830.678433904,7254714.819551298,6375438.832934364,9523497.34705471,301582279375.0,209696300500.0,115.0,404.0,53.0,62.0,53.0,62.0,Human,Alex
8,-106272460.0,-87686060.0,-1475999800.0,35334650.2057613,503794300.0,166996960.0,605570800.0,1488417771.0709717,60.0,48.0,28.0,20.0,102526881.6,-1696548.24,-38670318.44,371581306.9003303,41785511.65,-23993794.383333333,86525266.68333334,311205345.85673946,160635622.86357304,61292572.317109354,435993430.60088414,301687774.15408605,148069844.7642132,65696383.968327425,271254847.80271244,106321261.41405456,-156658290.0,-115881924.0,-1259307830.0,-940563659.9418305,324043870.0,163330559.0,1825828040.0,1270691025.736619,28.0,8.0,8.0,8.0,1262764.551020408,367164.5714285714,9424706.040816326,3571554.868837264,-998214.2372881356,-1817226.4576271186,3727210.0,-3942077.1677558906,64919087.961113766,37250682.671093374,344080536.00629026,252442810.34460646,41713731.81122456,26998267.454846136,101987379.65462261,80572700.14304593,-59654810.0,-96939060.0,-37284252.0,24846020.27467838,89482214.0,43675840.0,75633773.0,124781529.91441771,40.0,112.0,108.0,72.0,16584705.450980391,-3989519.8039215687,10945070.31372549,73649755.18337898,-23240519.333333332,14700648.916666666,-14913702.05,66243847.831002474,51707482.35691263,37817243.34335533,39901272.67581868,24127278.60055217,40624467.734301664,34674621.21528025,27314377.933562808,11461419.214293497,-68176924.0,-78829572.0,-29827405.0,-75123749.30342434,56459010.0,52197953.0,8522116.0,30181267.629878134,16.0,16.0,36.0,20.0,-1938781.3,1001348.52,-1619201.98,-81474.87063979625,-126387.35593220338,144442.62711864407,-415272.6101694915,385669.84471757914,19743566.622898806,15941154.637698371,6781777.979116519,13954149.382783707,10812293.449721498,9035786.030742072,5046391.764096365,5874512.731976171,220801744375.0,199647689750.0,102.0,388.0,50.0,60.0,51.0,60.0,Human,Alex
9,-161639930.0,-191778180.0,-1227770800.0,93760110.52728254,526861670.0,113605976.0,660048960.0,1234718162.062603,84.0,108.0,28.0,48.0,50067651.20408163,-33839206.3877551,-83899159.02040817,358646954.70230466,-21751409.816666666,-47724978.15,-13660773.416666666,144980314.4488783,198817590.91328108,86059723.35186796,369312858.1534369,250864455.92773795,89338631.88473406,74122136.05769955,102692336.56016263,75052303.16526952,-284887420.0,-118597028.0,-949145300.0,-707457845.6567451,390669240.0,110826492.0,1493181220.0,953291738.0060723,28.0,88.0,8.0,8.0,-1741369.4791666667,-867625.0,2055187.9166666667,222299.8523645103,1893880.0,1386432.2881355933,4216428.559322034,-4545460.378109692,77946188.09193963,33979652.21812744,274021529.87541676,193311621.9336602,30686170.967036825,24230317.96915211,50314371.359105475,29660771.73382033,-72437980.0,-109722240.0,-41545315.0,29425214.803447552,66046397.0,104395920.0,46871638.0,122231846.5114285,160.0,44.0,104.0,136.0,-14609341.224489795,17000751.0,-6065485.040816327,74820692.09864306,-14226434.774193548,15394789.629032258,-3934605.7580645164,28992163.292205874,40092739.674367204,55210338.54395229,32633019.65045369,23584788.900565837,21741850.673882052,11324207.652934993,10936295.166321235,18126013.650558498,-31957940.0,-46871637.0,-25566347.0,-46810886.32763657,42610570.0,100134860.0,11717908.0,49692107.877420425,24.0,28.0,100.0,16.0,-1975177.7708333333,266316.1041666667,-821141.3333333334,-963928.1886413395,715997.5409836066,-209560.18032786885,506437.1967213115,-882540.2430146403,10789341.195585165,20770949.970931917,5967856.699004462,13598325.929961493,4264205.318443845,4992136.650730326,2819128.041048542,4642545.426178759,193095753571.0,969255859428.0,95.0,392.0,49.0,60.0,49.0,62.0,Human,Alex
