,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-253600270.0,-136465550.0,-1397464300.0,77752967.61261678,521194700.0,278192520.0,648552900.0,1464956323.6978343,72.0,80.0,80.0,36.0,87312394.8888889,11421742.296296297,-68664738.27777778,358597563.87791324,-63531052.62295082,27280627.80327869,1857507.4262295081,239136017.54268125,166260565.80078152,91681257.53157733,437471453.4714571,330325349.74295,153218943.3216252,47910627.272133045,183203790.39305124,77843272.49958669,-311291076.0,-187336920.0,-1288540890.0,-556706483.8815753,214111984.0,255197048.0,659210200.0,1214560481.4154017,12.0,8.0,12.0,12.0,574434.716981132,1541110.7547169812,-5392632.377358491,4355380.614274656,-3766626.75,-2224787.05,8724117.333333334,-5106047.948271474,101816286.97025783,57809140.30804003,227293249.22886768,213144472.1015774,32600087.89306414,21459933.911285415,55619512.196556516,42401643.64937459,-185334642.0,-231389083.0,-70466055.0,17024833.414944123,120395983.0,217086857.0,44049781.0,265310008.40220505,140.0,168.0,208.0,80.0,-40418603.62264151,-17894188.490566038,-4238814.981132075,136331813.64670387,-177285031.01612905,221167515.37096775,-27881278.403225806,289021959.16458946,92824320.75700675,117913234.06368613,28596222.243847147,80022425.97888371,40077632.919010185,56969359.44982395,31131901.22680752,58052697.04382595,-69774755.0,-51132650.0,-25033691.0,-128751606.74620327,13848410.0,130494794.0,20772639.0,33139401.278393954,136.0,12.0,108.0,104.0,-4629799.230769231,7313443.846153846,-2202227.6153846155,1270164.4554302022,1301018.4426229508,3108473.8360655736,-200828.37704918033,964581.5993562917,15369319.762990983,22862424.769858822,8601142.678231306,22370148.24208312,6665505.597604205,10572518.779163875,5908482.004888951,8845592.954539528,306000000000.0,874000000000.0,115.0,412.0,54.0,61.0,53.0,62.0,Human,Inigo
1,-609038600.0,-2360568500.0,-4469114300.0,548217555.0999633,1359808900.0,1773975400.0,2285556800.0,4888783434.1477585,36.0,108.0,112.0,48.0,479247549.4222222,54053418.222222224,-1005553581.2444445,2415717584.2383604,-64934052.29032258,-1238169445.3225806,1320257614.1935484,1882508385.215475,683152913.4941578,1298755726.3793023,2106744614.1040952,1376779275.7463195,358847733.02354074,535851343.45204955,450097207.440075,592198363.8561738,-489216442.0,-896759980.0,-1085814900.0,-560379066.1001616,533981400.0,590120270.0,580176900.0,1089311290.7089455,80.0,80.0,52.0,44.0,-10656971.590909092,-49078269.09090909,65934810.0,54804396.41664567,-9053214.590163935,-2009774.7540983607,8579903.278688524,358927.0697153709,204845173.74717748,255780894.14554366,360637620.6046558,345416656.1437117,108912532.80695316,131570823.90164606,105919947.82872255,131429221.15835258,-1350732952.0,-3500682883.0,-2251060505.0,232579989.54448256,38903328.0,1794209517.0,114889795.0,4131479915.067091,92.0,104.0,132.0,136.0,-703751047.0,-934770735.8888888,-1138357204.2,2350312302.5308633,-202336584.85714287,-990448509.9523809,-174844946.42857143,1501301603.3538308,460416901.7751091,1865812790.9514008,796333932.0434412,1184635602.4607148,237107492.99510714,1344727569.3946848,935546532.7758201,1232466863.98803,-270576950.0,-429833840.0,-263652700.0,-466264420.8936119,134223250.0,430899000.0,297741200.0,433003357.5806775,80.0,44.0,128.0,140.0,-7275265.454545454,-61083175.68181818,-25166850.0,55952302.852144,17825981.774193548,62584227.41935484,44483338.06451613,-44558222.35879501,77929550.52048568,217012964.80657944,106769210.8231751,164088284.8560883,27954978.200632475,100445300.70791757,64972820.665152036,111958217.3105083,772272727272.0,1686727272727.0,79.0,376.0,45.0,62.0,45.0,63.0,Human,Inigo
2,-148074870.0,-168355940.0,-906112200.0,43897451.04703081,284214850.0,272610200.0,461800580.0,915700144.5401701,20.0,16.0,68.0,112.0,35920142.9,-6845578.44,59485845.16,274080353.73994064,-49560793.32786885,18653251.81967213,-47777856.68852459,215972020.35749283,92247424.66427502,78032004.16567029,297859500.48559165,177879028.710626,109431081.5391068,45999506.1348443,209277156.02136946,125053804.51057206,-142574310.0,-207286840.0,-519950870.0,-302983640.8401264,131378170.0,185101986.0,343722330.0,515792631.7403434,12.0,12.0,8.0,4.0,-2339535.836734694,357501.36734693876,-1035622.1836734693,435572.89734683215,-3368663.7333333334,2080901.5,350419.6666666667,647629.8533606295,55574336.95326962,63444136.56551557,129438580.80908783,110506241.77819046,41597627.46143698,26041741.09140845,80436470.60714053,61616986.85171384,-96343148.0,-139795561.0,-14991780.0,27085525.982246403,100730601.0,131314019.0,14835598.0,142373892.92905438,76.0,144.0,44.0,36.0,-3803706.9,19013939.68,901951.48,94732978.54729755,-13374838.032786885,39561650.44262295,-5290897.0,95122515.18092781,59725157.74472321,78991090.83580214,8357023.986963227,33219593.959331557,62421957.36151135,72184272.57665147,10201492.409550432,42586149.275230505,-16511586.0,-47404225.0,-13315795.0,-19711624.250950694,30892641.0,30892640.0,9587372.0,42865155.17068437,76.0,32.0,20.0,20.0,608722.0,2880559.4285714286,-293490.97959183675,1959662.3631007283,-2840702.65,-3213544.8333333335,-790070.4,587031.6801226345,11175168.65659845,13267190.03889578,4320507.790395262,9946087.023136197,10188298.978799812,15751848.150618425,4399176.845954552,15788856.532051861,376000000000.0,1380000000000.0,100.0,388.0,50.0,61.0,50.0,61.0,Human,Inigo
3,-319619660.0,-174142840.0,-1245811000.0,125290440.37694985,474198580.0,211275580.0,367593770.0,1337839160.2011204,100.0,12.0,88.0,100.0,187404226.2,24900329.225,-30862869.125,375112061.77076006,56900736.93442623,10208403.672131147,-1436609.0655737706,273335626.378134,196882994.87669334,97182021.76104553,343335035.6403344,243727209.38155514,197703255.15297776,92766872.66164522,217890574.51825666,150368558.99916026,-183033586.0,-234768393.0,-791564480.0,-827472976.6435835,167894850.0,204840186.0,1058574690.0,808563503.547184,92.0,8.0,8.0,8.0,-10330536.41025641,555894.282051282,-6286804.358974359,4587634.89259806,-3917068.3,2231065.4,-6689779.0,-1797725.0780498083,71393149.31968948,77705336.40088171,248833802.69023594,204506034.9808799,83529331.26402538,37594067.87653407,73157118.86113007,82275226.21997671,-215652668.0,-260170311.0,-95419178.0,42385703.18333427,110850602.0,533451039.0,47326134.0,546124002.4307753,152.0,136.0,112.0,56.0,-33319497.575,148890866.55,-19958571.825,248361247.7041793,-204115172.9032258,383635435.4516129,-20773412.532258064,440917369.3421393,81803851.60237724,244063934.43163198,37049827.96486546,169265939.04797733,58719681.086571924,67328439.92989497,37511408.38821056,64548930.37910234,-49534754.0,-55926350.0,-20772641.0,-56574247.249920756,14913689.0,101200038.0,22903166.0,81426883.74138701,16.0,24.0,28.0,56.0,-8371878.717948718,18368967.17948718,1119892.3846153845,5743862.410331095,-2331355.573770492,2095600.6557377048,-1493115.1311475409,3045843.503072039,12240698.564504223,38143672.05067878,9971775.41612771,35427364.46676731,11442863.75804623,23841263.203305278,8789056.234841406,22368488.847547337,478000000000.0,922000000000.0,56.0,352.0,40.0,61.0,40.0,62.0,Human,Inigo
4,-154422580.0,-136471750.0,-214844700.0,22314234.799159884,82563140.0,112770080.0,363055230.0,410332211.978801,4.0,4.0,4.0,104.0,18210082.863636363,-25916340.522727273,45026064.31818182,102905520.43198217,4674801.5,-10618236.741935484,1630644.5322580645,50129706.54774667,40778804.43980014,35748824.16776708,101433110.01383126,74127188.52710712,18347295.65870179,15781733.314201588,46435664.97455629,18090971.034051973,-236985720.0,-141079068.0,-577899930.0,-189070756.29864183,199110250.0,249241830.0,373547550.0,247427242.7933535,4.0,4.0,4.0,4.0,-1704930.6744186047,3321650.465116279,-1403986.0232558139,-3103029.8244024,-426640.8032786885,-43679.45901639344,1910412.9016393442,-958804.2857764718,50941344.33851073,46616540.22574333,135272191.1694423,57576466.25356819,15542073.335421778,19143814.270424828,46912615.801068835,23302446.758461382,-2995221.0,-35433330.0,-226368.0,2324622.506102227,11918469.0,51385650.0,3502054.0,51550979.00837602,20.0,8.0,8.0,152.0,2343202.1818181816,337736.6590909091,2001000.6590909092,11380877.99759566,2758948.5901639345,567340.0983606557,2026401.9672131147,4372854.510412669,3155252.812484023,15959098.393812869,861701.3271641529,11945146.108958775,1800525.4543302662,2318380.5142190508,1088939.7041176641,1613275.8437521697,-6924213.0,-86818980.0,-3195790.0,-30242400.501353502,6391581.0,39947384.0,2663159.0,10590083.538278095,4.0,4.0,8.0,72.0,0.0,-1151971.046511628,-61933.93023255814,-1119243.0156462213,-62140.36666666667,79894.75,-17754.4,-87956.73637919295,2482368.5680006375,15888658.694537349,1109015.0497716723,6066386.282935488,2069947.9789552037,2387602.8066454343,1142229.8838854812,1606070.0559812104,1025000000000.0,139000000000.0,105.0,364.0,44.0,62.0,44.0,61.0,Human,Inigo
5,-172252830.0,-141168600.0,-521838200.0,46667593.24499071,211005990.0,180105210.0,294243800.0,543753601.8926467,72.0,128.0,16.0,8.0,26692994.6,8861290.4,10304242.145454545,203675294.44615415,-1159791.5322580645,42285203.77419355,47114726.27419355,163741947.3163009,100378099.53401116,74369187.35267259,194387749.03584138,109795837.60446316,114897805.19666198,53862760.89393506,106250513.81328575,64929367.37422316,-110314844.0,-123274809.0,-498216634.0,-251088305.31351316,207851856.0,94569203.0,319825180.0,424322760.62127143,76.0,116.0,12.0,12.0,1819815.3333333333,364065.1666666667,6068194.259259259,-2882350.9168425314,-2605438.1967213117,-2416399.606557377,-1225690.4262295081,4547.8854184443835,52840663.54438104,37273392.55829654,107223784.6073359,81199352.18840583,49043837.45085273,26363606.91132263,55360713.05246207,48038871.65112784,-162964112.0,-92904823.0,-21463923.0,19850471.53565668,41033855.0,155301577.0,20613984.0,186192460.01646042,84.0,204.0,160.0,104.0,-60738263.277777776,9952293.074074075,-4922749.277777778,102730029.14346716,-99065477.9516129,99237792.11290322,-3328672.5483870967,144653905.8294562,60581269.07935988,75945714.03350583,12635931.107685149,52242495.0386262,28559271.72901222,35647656.58331711,24436899.54642534,37569507.99657688,-35686325.0,-17044220.0,-5326319.0,-28110298.08950654,22370534.0,33555801.0,9054741.0,36609726.904070765,92.0,56.0,120.0,56.0,-1467249.8113207547,4663040.377358491,512532.4716981132,1626443.607215479,331803.2786885246,1335945.0819672132,462778.39344262297,471323.70114159584,10958235.983627545,7897431.560875258,3064040.9238117426,9314728.695671925,5679720.644446683,8050436.727037648,6408639.792219833,6148336.314395034,406000000000.0,1079000000000.0,115.0,412.0,55.0,62.0,54.0,62.0,Human,Inigo
6,-219594000.0,-169122700.0,-606508730.0,25748197.776585337,380508070.0,420283800.0,236238480.0,827409962.5652629,32.0,32.0,44.0,28.0,83844090.94117647,81662151.1764706,-46822113.941176474,283554144.4968381,41162758.86885246,39869410.80327869,79540753.24590164,177695694.42539468,168264936.0554331,134920752.453341,240083701.4197092,194138779.24511492,79174071.66072808,82261039.97949599,113018421.91760708,58969530.24324474,-158543046.0,-170901300.0,-251729960.0,-186507289.03652173,353957895.0,276558880.0,183048260.0,468578212.2049091,20.0,16.0,24.0,20.0,8542828.484848484,8236928.484848484,-3943818.878787879,-5499462.2615053365,-1858309.9666666666,-2500414.8333333335,-1666816.0,-1405507.22541875,85708854.73479134,82145523.41297998,90337412.19824158,109618995.05007628,30958729.386487227,27771336.409918502,54484049.55273422,44922183.58761031,-150684038.0,43482726.0,-83606536.0,65945276.0166601,15497088.0,135628019.0,86835624.0,180097301.38722956,44.0,80.0,36.0,40.0,-71384552.73529412,78182115.70588236,-10150355.647058824,125014382.45891355,-81590333.04918033,152497598.62295082,-42401799.72131147,185268857.67545483,48590352.124755345,27828803.636265397,48770586.798603505,32647157.652350165,49566065.50209658,55116510.56285031,18458088.146500986,56370379.47855237,-35153698.0,-28762116.0,-51665280.0,-41956619.86072309,22370540.0,14381056.0,15978950.0,39504808.47445528,40.0,80.0,24.0,16.0,-3195790.606060606,-887719.696969697,-2808422.0303030303,-419051.52603956766,2166035.7333333334,1997368.8,-461614.18333333335,2084672.2816511265,13968339.484805327,9310480.547938757,14904043.610667413,15882227.9520929,11108008.467070907,8387682.554446681,3373521.4787615207,8529641.27225855,28000000000.0,332000000000.0,40.0,328.0,34.0,61.0,34.0,61.0,Human,Inigo
7,-596847360.0,-124727250.0,-1453355800.0,104032229.04054348,219316620.0,237008570.0,560009000.0,1462137309.7806132,28.0,44.0,64.0,148.0,-19282808.58490566,-11348427.547169812,-85009575.03773585,434996059.7183206,-67602285.81666666,-11466932.466666667,55019840.0,327459017.23427546,180864419.15697902,89968407.0491935,466769832.2098163,271469560.8146138,170689497.87496674,71673258.56919764,309795519.22334594,170464385.9107373,-253613300.0,-149361610.0,-899391200.0,-451283214.5395663,203823610.0,183745385.0,462902060.0,880717806.174504,8.0,8.0,12.0,12.0,3056511.1923076925,39586.653846153844,3598433.269230769,4465753.844315585,993816.6101694915,-729027.4406779661,12645074.915254237,-7679177.789091597,90053156.93705817,59297321.38948631,186680301.34802923,176857613.22215316,71956773.64266504,35521263.91297019,75155924.97434294,79349875.05812927,-503286238.0,-130687861.0,-49518110.0,21942034.90374849,57042366.0,193152239.0,74052459.0,527252327.6956379,176.0,152.0,88.0,148.0,-140905706.18867925,40688919.20754717,-11198772.0,195513177.39808443,-148438091.16666666,161540548.5,-4421953.583333333,260700847.9080786,192936564.44911703,92992795.88049938,30798265.942400653,172949961.43926474,179714360.176783,34583171.415392265,54528508.3170795,127728522.05374238,-59654740.0,-64448442.0,-26098956.0,-38604450.59225237,46871600.0,34621063.0,26631590.0,72495603.37589404,60.0,44.0,20.0,160.0,-7590002.634615385,3564535.423076923,-174129.59615384616,6322362.492012531,6770743.06779661,-848599.8305084746,234719.01694915254,-5865769.249146814,24644459.435666163,16321337.741405979,10029417.897102732,25631239.335493166,23340618.037576996,9369803.657968124,10414011.82158434,17574177.802614138,307000000000.0,1065000000000.0,109.0,400.0,53.0,60.0,53.0,60.0,Human,Inigo
8,-245396140.0,-719757100.0,-1972700100.0,202915912.02753508,1015122900.0,372725000.0,1018552800.0,1993329563.831636,40.0,20.0,72.0,28.0,62171286.833333336,-82939520.30555555,-76775219.3888889,928786334.2026964,34507285.90322581,35148066.741935484,-77622744.74193548,321388667.6415668,313398193.1953252,272467670.00456244,1006533856.879203,561596379.8758407,112144694.48019163,87765874.16314086,385727952.24004453,269576235.52776176,-561112270.0,-394145010.0,-706987400.0,-624444504.8344482,153652310.0,239796160.0,614130000.0,703205529.3611945,32.0,16.0,32.0,32.0,-26634383.42857143,-13720689.142857144,-14810753.142857144,-29320978.58864947,1138220.0,-5775928.393442623,25949235.770491805,-23641457.361951455,132189733.67016174,129567270.38369466,268625116.30876803,242862612.75399378,40117058.405785926,37772822.58929505,132994104.52993424,117667116.20097335,-163467188.0,-208452101.0,-274288706.0,50682982.13806589,285008762.0,471186019.0,178980904.0,539712460.2165687,76.0,44.0,76.0,80.0,92950617.6111111,113020762.72222222,30051156.583333332,284404401.64753836,-44114716.27419355,-15630810.41935484,26923138.56451613,112351236.24885388,162603092.48073596,209570841.0423931,125095248.61876541,160517396.99638695,87459956.7146908,54775551.860443085,29989678.71581991,41016239.32040165,-85221078.0,-100667450.0,-55926340.0,-100289561.07086575,45806330.0,231162200.0,84155812.0,98130521.14797068,68.0,44.0,64.0,44.0,-4489324.742857143,8674288.57142857,8963431.42857143,-8226853.520206172,1292286.8852459015,462778.39344262297,-1903503.5409836066,-1669556.0523854364,31724287.879782658,60976927.53424099,26210209.69076242,38380960.76361116,20647771.804701436,12247103.608002195,3884757.984494203,17326315.05050441,15000000000.0,1016000000000.0,41.0,336.0,36.0,62.0,36.0,62.0,Human,Inigo
9,-882813930.0,-740414860.0,-630433560.0,120991782.15189444,298208700.0,330908300.0,796026230.0,1085531436.1453424,156.0,48.0,124.0,32.0,-139465313.8846154,-36024932.365384616,112221945.51923077,474214699.05514586,108634758.88333334,-10985779.3,33375580.233333334,377395645.84186393,263028371.2173695,223858407.05094033,339580895.21608204,198289214.16237524,201459175.73011866,119409792.25582023,346285107.5580533,207782227.50892976,-270653610.0,-447401030.0,-271831510.0,-444755457.545053,332546330.0,274330140.0,314622400.0,305183497.8277769,8.0,20.0,132.0,92.0,12578110.784313725,-2312043.1764705884,-870012.7450980392,-946633.2675486207,9135542.033898305,1534203.3898305085,-7569345.169491526,-4505350.632061042,90268993.98988599,117797791.61517687,105039825.10414076,115994035.2805601,52393292.39606381,58000778.89756926,87066317.38331889,68858157.94578795,-285439858.0,-753867021.0,-393598206.0,115912616.52356896,320162442.0,252274369.0,59138769.0,788955399.4104004,56.0,92.0,160.0,72.0,-63813835.557692304,-331131528.7307692,-126247806.15384616,484066700.96340436,61090361.71666667,5541592.183333334,-38359470.233333334,320723095.877502,199134850.6632552,300197674.046807,148070361.63645813,212094802.46498644,137162975.40488255,279316090.74711525,190334190.66092363,183778181.59780777,-43143170.0,-137418986.0,-79894760.0,-68878395.03341913,85753716.0,87884230.0,28229500.0,99962422.13719869,120.0,96.0,48.0,48.0,2516946.0,-10976391.176470589,-6088711.274509804,3557612.625659828,2076361.0169491526,13893563.38983051,8404748.644067796,-215493.1588827619,32001926.339660637,57613520.08953973,24027480.956039686,47890600.58400261,31881483.54193192,35714721.70310192,12398617.3597981,40524260.833009236,789142857142.0,1719000000000.0,106.0,392.0,52.0,60.0,52.0,60.0,Human,Inigo
