,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-125727180.0,-121324540.0,-742544000.0,75491236.15171221,220557690.0,143419270.0,1007471300.0,1012837467.378312,56.0,16.0,24.0,56.0,-26622196.444444444,17941289.666666668,109775227.94444445,393097046.4651008,-46757168.56451613,22582116.080645163,-82670596.17741935,184308615.1835734,92352019.16404729,57560534.58736151,482502875.6388193,314906050.7360517,76822742.71287926,50973609.34262548,160058024.85331774,96327152.80876607,-140219214.0,-99688530.0,-460142080.0,-359658533.55234146,76295140.0,156944280.0,526349100.0,471758700.5411532,8.0,12.0,16.0,12.0,-2141789.1428571427,217546.77142857143,767636.2857142857,781516.8455427919,-1034123.0,278332.1967213115,-7135658.5245901635,-6093424.638968984,40728733.26598382,41447619.25647332,183327702.40776572,143857866.88788626,29495052.015269946,26041923.80944673,74386608.71339622,50667445.68964522,-95357475.0,-293505855.0,-45551204.0,21025378.198933616,261998380.0,187855535.0,16756995.0,391312291.77539,44.0,40.0,84.0,80.0,96674633.69444445,-71168071.25,-16942374.166666668,187213383.6228415,47653835.53225806,-41691658.70967742,-3667561.4032258065,108456185.40753573,118369500.14095578,141774655.0477237,21125424.409421455,116727426.31574403,89218280.69585593,63891282.255601816,26423711.005565096,69807669.07936375,-52534360.0,-99570950.0,-13439024.0,-96118263.87805636,59864742.0,78801540.0,8552106.0,87487619.52871415,48.0,52.0,56.0,12.0,4747291.428571428,-2635444.7714285715,-1186822.8857142858,4473018.159476558,-4436279.836065574,4856875.163934426,771091.5081967213,-4890003.900612167,24981767.56944444,40181121.60236384,4057126.832907584,42012682.15855485,20313433.515722096,22100021.608804908,6093508.677377972,22751167.638810646,937611780000.0,825291504200.0,50.0,340.0,36.0,62.0,36.0,62.0,Human,Matteo
1,-156504400.0,-72149280.0,-152003940.0,16563468.670692531,40730476.0,113333700.0,328942780.0,334204302.83730924,16.0,20.0,92.0,136.0,-30387682.875,13173614.05357143,68741649.125,144503656.81108332,-10147022.048387097,-5121185.048387097,-49123213.161290325,133681578.7813544,41260666.579481326,39978548.66532296,140378624.23697495,87602220.95429936,56576585.70397526,35140058.16065801,129945177.25447686,75774074.29046689,-61603786.0,-120744705.0,-118541242.0,-114794377.71903457,67112206.0,65150261.0,136203230.0,93286733.82825053,28.0,24.0,32.0,4.0,-2448008.418181818,349356.9090909091,-1660090.1818181819,2926989.1193377506,1389136.0819672132,-1928892.262295082,-866497.1475409836,-1206825.8206987304,22682699.078545503,26297832.921614647,55726184.41911662,42289391.87523638,24494102.378572423,22977148.4028238,52188741.800262034,39848468.2725209,-70312023.0,-85200995.0,-32112181.0,9047291.45458844,83015020.0,77899885.0,18589590.0,106082596.18428265,156.0,88.0,100.0,56.0,-1895173.7894736843,11133445.0,2278430.701754386,53257187.97097304,4597726.983870967,-3788490.4677419355,2155359.0483870967,44302096.56750682,39776294.142186224,41562690.09270344,14555823.86047183,27741896.62629974,30210603.47406854,39570965.36858776,6138326.76630468,23710028.684944075,-15882481.0,-29321507.0,-9162970.0,-27462976.112796955,36041021.0,28099778.0,7941242.0,33705191.762330435,24.0,32.0,32.0,32.0,1178096.25,-654497.9285714285,-130899.60714285714,972458.4862759805,-220311.88524590165,-310439.40983606555,80113.39344262295,-51207.52099433682,9074446.0806317,10943845.290950695,3097034.62288976,10260903.777771648,9147290.901129559,9751041.107346473,2022913.1314544855,7445373.198295646,866654297000.0,1114769531400.0,125.0,416.0,56.0,62.0,57.0,62.0,Human,Matteo
2,-116623640.0,-164767270.0,-466930450.0,30649379.903576028,145315410.0,170936580.0,356669720.0,472819228.6582164,72.0,16.0,80.0,144.0,-734347.1132075472,2837018.830188679,-7481942.490566038,160057170.31187007,-14488447.14516129,-20703.983870967742,-20652266.548387095,76319792.13346341,69590747.33159044,59133226.32837207,167681996.39773172,102037807.85186288,33634382.22294047,24282189.932004437,66570993.20750463,29652331.59646161,-150889636.0,-172718046.0,-282405240.0,-225498545.87404144,109250550.0,143478393.0,262223484.0,256530413.18904823,12.0,16.0,16.0,16.0,-1043154.5769230769,-458075.46153846156,-884560.3846153846,1092144.2216865942,1433501.475409836,-617042.9180327869,91293.80327868853,-1447200.547600408,40898427.49891562,48167549.77068714,80203650.65833746,66093411.44801344,14613208.000716977,14342168.736309836,29472466.53301211,22590446.676852234,-42212246.0,-83979265.0,-16229699.0,14192978.424115496,42697950.0,156701435.0,21643913.0,158977671.34761745,44.0,44.0,72.0,36.0,1274406.8490566039,9978645.226415094,1370120.7547169812,53295885.28468877,7129859.580645162,-14518033.838709677,2431233.5967741935,33094418.158679724,25898529.211036652,55141269.448486544,10240698.9974197,32033525.942494713,15158204.367375245,33217583.0231558,6932953.89388612,23236914.930349924,-19547669.0,-64140795.0,-11606431.0,-45989896.7217384,23212860.0,75747220.0,10995566.0,73452619.21481858,40.0,20.0,12.0,12.0,446401.0961538461,-1656383.173076923,-234947.98076923078,1214190.3300913535,-190269.31147540984,-1381956.2295081967,-190269.31147540984,-288970.5637620645,8067751.901345379,20128374.12533911,4277988.958685734,17219351.301505294,4174770.331975383,7491259.422770558,2292437.1338275974,5906476.4647506885,869043666428.0,1115536063071.0,116.0,404.0,53.0,62.0,53.0,62.0,Human,Matteo
3,-221700670.0,-246651650.0,-479897920.0,48344862.90846345,290880920.0,156857490.0,463887130.0,523520953.40685517,64.0,76.0,60.0,20.0,31780908.84090909,-15106829.545454545,-12996609.590909092,252738107.39501077,2380343.8360655736,-45992522.67213115,23256928.770491805,125425828.12036288,122294197.48528579,100916784.83488679,246369955.58239803,148040703.6776772,83625116.30619402,57113603.11751312,111951106.45510794,97470861.99853882,-332854988.0,-230629920.0,-189735870.0,-281699413.99478114,126380203.0,138586045.0,680656500.0,194839070.57209286,64.0,84.0,12.0,100.0,418136.27906976745,-3358286.511627907,3934767.3255813955,-1065534.4931910564,-5250076.483333333,-2628866.816666667,3897634.1166666667,-5595189.109296253,67563280.37408797,59566191.96890357,133503568.18202966,78657217.43705311,59683795.54531525,41063422.64796251,126403132.87392797,101813643.73936,-77463416.0,-308301834.0,-37378679.0,5094223.279962609,119235024.0,182833396.0,46309792.0,309138143.076842,72.0,100.0,56.0,80.0,2351613.6136363638,-31413521.818181816,-1323777.0681818181,156293289.55892092,-37648830.161290325,103145107.11290322,-11485897.096774194,129673586.6704689,72631568.50327538,156599211.84268442,27075719.262426358,80952373.66514085,48431920.54412321,84879296.42445569,13151153.508616785,70853942.13972133,-43982260.0,-76358080.0,-8552108.0,-60417450.11799547,50701771.0,103236140.0,25656319.0,112040038.88202055,108.0,108.0,68.0,88.0,-298329.27906976745,7145696.7441860465,198886.18604651163,1306973.8990224097,60085.04918032787,-220311.88524590165,160226.81967213115,-245716.92183944728,15577606.1179374,27738136.63446015,6665337.112134712,26554961.68045007,28192517.645731796,23140283.25471557,6529657.591320371,26102642.804021027,129048549142.0,2053172293571.0,79.0,368.0,44.0,61.0,44.0,62.0,Human,Matteo
4,-391889450.0,-219723700.0,-1447311600.0,36797840.12771756,379743800.0,152839660.0,924596000.0,1448247112.4858124,28.0,40.0,44.0,32.0,-472914.6842105263,9149249.894736841,-4231535.631578947,454256752.0817874,-5820880.145161291,27253765.887096774,-161405192.1451613,212169530.0069475,174057369.40061784,98013434.22733633,554959481.6025467,368864495.34182614,53660631.61207711,68524522.52139613,168020369.51747146,131605992.94499294,-364967345.0,-135553360.0,-917901800.0,-887672892.6119472,329254850.0,117187500.0,1036170200.0,918580470.1222293,16.0,64.0,8.0,8.0,1524106.8648648649,531866.7297297297,-8440472.054054054,6504414.628776714,2531981.8360655736,-1889994.8524590165,-9311446.360655738,7071993.809042674,105457562.76305644,47298304.90922097,287722351.1419049,235022645.88404858,29422073.89868572,29731369.02333885,54905712.60716195,46102017.735356756,-239342566.0,-142146644.0,-42265597.0,45674782.55203352,186430144.0,66158231.0,33481630.0,246130142.34465393,56.0,44.0,40.0,48.0,6694945.179487179,-55231551.15384615,1137124.7435897435,156359082.7708839,25102740.451612905,-131397387.43548387,16318300.677419355,150586384.58877248,135601938.01187828,83831843.28643589,18839559.181700043,62106257.04532155,68539654.39275657,77174325.43630345,16447370.61566724,79595957.24717982,-78190690.0,-133779376.0,-33597558.0,-79619307.22916761,114842580.0,14049887.0,24434589.0,75422261.9938876,24.0,28.0,20.0,24.0,1848669.5263157894,-4452882.184210527,-144678.52631578947,2509993.89210147,-5107229.508196721,-4095798.098360656,-190269.31147540984,2772240.2517593433,32561074.560141757,22504859.66716285,8368053.685463961,22666000.922282413,11659821.389493555,14642109.51200852,3662752.3290718147,14289906.72660795,661904296666.0,775952148666.0,55.0,348.0,38.0,62.0,39.0,62.0,Human,Matteo
5,-147757050.0,-90184210.0,-276218120.0,49868774.97360232,271236900.0,66007614.0,187928740.0,315610900.9232731,68.0,92.0,88.0,60.0,37509556.09259259,-4434673.888888889,-44775133.37037037,163506493.8470745,-8891813.403225806,3391065.7741935486,14939284.193548387,106025741.9968733,107697608.68307333,40805135.1296585,124650081.66860886,71125741.573098,70883923.79356147,26732620.49893339,86445101.08378814,45880979.17881731,-74097634.0,-67741394.0,-120642960.0,-74075947.77634752,78274260.0,35324100.0,90021440.0,124610468.27242392,76.0,92.0,8.0,100.0,3350694.3396226414,1487983.8490566039,3260567.433962264,2033746.2006647591,634248.131147541,-95555.03278688525,-897448.0819672131,-834313.6435071063,36922071.20859103,19365982.140102666,37878900.71654695,33997566.26224195,23756678.20928046,13393293.44409236,17095099.788818996,19017092.830911595,-98232816.0,-92666594.0,-46541650.0,27592599.800498575,58759414.0,72877746.0,59748812.0,105620270.42458639,116.0,148.0,52.0,60.0,-25551227.092592593,4178088.407407407,7870559.851851852,71694739.89050075,-1765454.4193548388,4855002.580645162,711692.1290322581,34714111.23296918,40799746.59975629,49459578.22692639,31386540.303073842,24595698.774862416,18063120.073264007,27806331.073416308,16377815.592050932,13058201.868898002,-23823723.0,-20769398.0,-20769399.0,-17392819.694850028,23212860.0,22601995.0,13439026.0,16509041.661890715,52.0,24.0,60.0,20.0,-1636656.3962264152,1383089.9056603773,-1210203.716981132,-1078251.1491525827,-530751.3278688524,-1452055.4918032787,370524.4918032787,-645774.1187155271,7179737.075018733,10179031.344351036,6914700.367648662,7071868.915065561,3032162.7620637645,4899624.140478043,4532695.216551635,4211266.845929882,137179687600.0,1490948242133.0,115.0,412.0,54.0,62.0,54.0,62.0,Human,Matteo
6,-289129260.0,-59118270.0,-172137890.0,35089289.86563457,129227640.0,98649025.0,164119330.0,293599176.5946402,28.0,72.0,144.0,68.0,-63835721.44067796,24757256.101694915,-15429533.288135594,135700422.25423858,-2268427.9344262294,-8539418.639344262,15746792.278688524,131902335.90795192,95674686.72958635,34769812.385879405,82199122.38485906,58293275.08583669,105482819.72407693,49912891.13231597,85329010.4808808,59516619.955649436,-108286620.0,-52776336.0,-62854734.0,-56024203.09637664,102845906.0,68126679.0,129050549.0,99056325.41840145,36.0,16.0,172.0,12.0,368644.4482758621,607112.3793103448,5237436.8965517245,512092.99669088,3283909.95,-964498.5333333333,1728448.2666666666,-887505.2767974975,34670532.183037825,21174121.929920644,32655973.659419414,28042149.013009418,27522450.982498642,19497788.031574667,31656812.128358964,26852555.829355195,-63413528.0,-57847306.0,-57537215.0,21202928.972229876,42266074.0,67990826.0,26762119.0,78879318.0952468,64.0,64.0,60.0,148.0,-15155214.61016949,-3987673.6440677964,-15905230.79661017,55125795.24029981,-4681840.645161291,-13362560.08064516,9273651.14516129,41311653.60730307,28784049.104138058,40407953.111572616,20269238.64706604,16972717.58798021,21209152.46546586,29519354.487520665,17126098.489783496,13079283.769041065,-16493348.0,-21991130.0,-11606429.0,-19974595.186122112,11606433.0,23212860.0,14660753.0,12936345.614138372,152.0,56.0,28.0,16.0,242239.5172413793,568736.1206896552,1421840.3448275863,-745155.6314383303,871233.344262295,-520737.11475409835,290411.11475409835,-415344.41192512825,6627869.886459167,10103247.637169313,5343953.310744363,6839474.814926775,5617711.751383201,10413722.166012911,4719578.056066968,6910308.1448457595,164677734444.0,1486082356833.0,138.0,432.0,59.0,61.0,59.0,62.0,Human,Matteo
7,-236296180.0,-148292540.0,-234453920.0,65167906.20664727,285487170.0,144979480.0,183154370.0,354518130.72745454,136.0,92.0,132.0,84.0,64956454.03773585,-22503259.16981132,-63535498.13207547,221912131.11938316,-60412195.96721312,26718796.01639344,47778035.75409836,181751117.27040255,170743650.14539406,74351741.27044678,112951295.24519461,78603843.52949378,129911040.28370059,58914922.09405835,117230522.04165341,85228250.07367855,-75657840.0,-44850349.0,-127225553.0,-103670013.15426812,78696254.0,62437057.0,126204790.0,94926788.21787784,108.0,4.0,8.0,16.0,-5149676.307692308,2832541.153846154,2922179.519230769,1374089.6577405569,739041.9666666667,-251817.7,666106.2666666667,53887.86453772833,32814253.167832974,23324893.114390522,47929780.82574015,38080495.16550465,25828082.172452476,14934267.588834109,24825971.629621517,22556411.539905664,-84793793.0,-93277458.0,-98465154.0,61466979.339456216,55094224.0,38669322.0,81129082.0,114176812.6465513,108.0,184.0,124.0,40.0,-25483353.62962963,-11806205.166666666,-15104741.111111112,85556052.66337764,-4249777.918032787,-8958099.344262294,-24780845.80327869,64542055.105387844,35375517.12849329,37656472.82381783,62274148.04163335,11211018.399215259,38891640.83815625,33158752.746369492,36396665.64998866,20638479.568301216,-15882484.0,-15882485.0,-13439026.0,-15337315.660706282,14660754.0,40927937.0,13439026.0,15712600.70120655,132.0,40.0,132.0,32.0,-2120737.830188679,1325461.2075471699,-1267832.4528301887,371754.14039253024,641407.9666666667,-865391.7,1130099.8166666667,-472353.1249512649,6985726.070009124,10288137.820000341,6589745.979310894,4877914.007837686,5797773.413033677,6559609.805164983,6635525.3869840875,4032527.4053784776,136986328133.0,1483613281266.0,116.0,404.0,53.0,61.0,54.0,61.0,Human,Matteo
8,-94121456.0,-107251170.0,-268095000.0,21616027.911899194,119094850.0,125607490.0,257299570.0,285043203.3943005,56.0,20.0,44.0,80.0,15005411.387096774,-5534433.887096774,-5442392.806451613,128843262.58388294,1080559.0967741935,-2147997.7258064514,11375375.306451613,161245058.48416212,52343835.32455092,49961952.88460058,125457147.32648377,66279208.11893832,70881738.28632236,43593605.27569325,160006465.53329763,78980321.05680501,-119140150.0,-71683884.0,-118269530.0,-87927425.72171757,59296131.0,123351097.0,140537290.0,102069061.03750727,20.0,16.0,76.0,12.0,776736.4590163934,927127.7868852459,-475515.6393442623,-626750.6335014591,-539384.9180327869,1889244.4918032787,3577804.426229508,670785.922692668,27154474.704360846,27398993.611216776,47930026.570641585,37916419.31107258,19534084.21764187,15629058.879584165,46817630.97707494,33581912.87195889,-81739471.0,-52349524.0,-44098191.0,10814912.830444636,33103104.0,94258016.0,32870764.0,99895266.26344761,144.0,236.0,152.0,72.0,-7095741.548387097,3593862.580645161,4810397.677419355,53022874.67360811,-10219033.306451613,1377014.9838709678,-15505780.790322581,77784470.39286558,33141890.8108599,39515951.80782488,22154883.778081704,19520293.924591027,48774113.87128451,61517805.319228776,19196154.25856684,27104876.420943405,-16493347.0,-25656318.0,-10995565.0,-16925486.672432713,31764962.0,27488912.0,14049889.0,20219853.41654466,48.0,12.0,32.0,12.0,360510.3278688525,2303260.5409836066,-170240.9836065574,857292.8162351877,220311.8524590164,200283.50819672132,380538.65573770495,-386442.8316055622,8124675.360554371,11861308.436241813,4543280.308948535,7832117.2452292545,10637591.186180469,14693563.952274026,5077434.01152139,11126403.623002594,146990131789.0,1463008069421.0,149.0,440.0,62.0,62.0,62.0,62.0,Human,Matteo
9,-127962590.0,-41625977.0,-143661830.0,25897561.410435617,94490050.0,85739136.0,153578280.0,177947512.15271997,144.0,148.0,152.0,100.0,-13909582.654545454,8830469.345454546,-13903161.963636363,104846911.29922436,23249977.786885247,-11342720.721311476,9298253.459016394,120180648.03286932,61421474.27018597,31613371.01867669,85727495.52171682,37391412.84334831,68754313.61304937,40727629.51368626,100534834.50875531,50767194.142337605,-45856000.0,-33626557.0,-61887505.0,-49813424.204193294,46477080.0,42370797.0,83652463.0,79304966.9041042,40.0,20.0,48.0,28.0,741040.2592592592,1201205.851851852,1861113.648148148,344903.42525005894,1697850.2333333334,-744660.7,109470.83333333333,281400.1256143073,21019769.56722506,15043332.892523149,27587563.5121705,24102165.183325317,17500714.959789623,14583808.551332846,23522893.979241814,17029536.586258963,-65856987.0,-57847306.0,-24550520.0,10847058.428159267,18442344.0,51497478.0,12712227.0,74284980.098003,120.0,156.0,40.0,84.0,-14598891.982142856,2541035.6428571427,-4882857.410714285,39129497.14599339,-2189118.5483870967,-1430992.6935483871,-96225.48387096774,34304465.61076956,24278675.281042676,30164917.5582453,10995206.717620136,17583162.268791877,24721419.025935613,23174113.371368337,14272129.623061936,12757554.263540782,-14049889.0,-25656317.0,-7941240.0,-22957509.63590656,28099780.0,18325941.0,7330376.0,14331656.578916185,52.0,16.0,40.0,140.0,-599758.0545454546,455371.87272727274,0.0,-266374.705079372,250354.40983606558,-310439.45901639346,-180255.16393442624,13967.940590202625,6063488.711833706,7339827.898694755,3527470.117139668,6723938.793154785,5835541.283619972,5387775.342489254,3994765.1169169955,4741928.749848321,154775390750.0,1419613037250.0,122.0,412.0,55.0,61.0,56.0,62.0,Human,Matteo
