,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-44750832.0,-37520230.0,-1309468300.0,16963072.200743355,25574327.0,25114626.0,168574330.0,1310470206.490647,36,20,16,28,-8955048.35135135,6986134.459459459,-128053952.1891892,198759441.9433597,-31259584.39215686,4526575.470588235,-36432322.01960784,55510256.10703053,27825196.33692344,16544513.622145135,422009575.6742073,394364362.73136574,15458385.118604966,13852778.442683786,20579348.302176226,9100511.813284917,-60913324.0,-62466100.0,-1335017235.0,-1136933216.3154213,61780646.0,38662270.0,1478042630.0,1278464267.9426105,16,12,16,16,-1080748.5277777778,4480.694444444444,-2781179.1944444445,137694.80078097846,198373.34,-463795.36,1429920.18,-413784.0095445447,16908161.44853938,14481875.570491925,333795139.175027,286892190.9392199,10878762.605900733,11298457.563456148,19847882.22238706,7614746.012896772,-3182180.0,-39236348.0,-4872874.0,996283.1873287836,3209794.0,23614133.0,4714642.0,39367786.608815335,64,4,24,16,301713.8378378378,-52359.24324324324,-36084.16216216216,5853255.683597727,118726.50980392157,-2016308.9215686275,412102.39215686277,2696733.758988293,1733214.8554801522,9361583.982180262,1476837.3308148414,7596694.489502058,884897.4229824692,1655204.7952492505,851027.3785233722,1078697.4041949261,-6391566.0,-30892677.0,-5326285.0,-22757773.397608187,6391612.0,62850481.0,3195806.0,30407222.93966695,4,4,4,12,29609.083333333332,29549.25,19.666666666666668,-32984.58363799673,-127807.48,63861.6,-21279.56,-12173.78856325876,2529440.7769658887,12613082.807608787,1646472.7701779983,7103614.436873642,1013723.4863559637,1073919.3057114114,1032594.3243326715,880139.493125829,99000000000,1966000000000,52,300,37,51,37,51,Human,Stan-Desk
1,-25420867.0,-20231694.0,-55684090.0,35791555.39635618,58381222.0,51957726.0,654716500.0,657344852.6963212,36,12,12,108,1270557.1607142857,16346952.92857143,49210361.39285714,115452910.08137663,-5250290.983606557,10110912.0,12693420.868852459,57062110.492096655,18118575.269027304,21860945.747311234,197750743.75062984,170526328.2966492,32562304.016119476,36241282.32348214,30603407.52691612,17196449.989653572,-54605014.0,-72189420.0,-710400590.0,-599930454.3451467,31430378.0,67364409.0,500624650.0,496429820.93013257,12,12,24,24,104740.4,1130508.5636363637,-1213802.018181818,-691261.8332977035,-288445.25,-228541.85,952879.5666666667,-163273.35648974974,11223856.020297358,14691325.317649126,120888042.1725559,106300274.27687207,13414178.104729492,21205307.915143747,21122454.503298055,15433628.429506797,-12805217.0,-82965745.0,-2733497.0,1117881.228815924,6369663.0,23560307.0,2591378.0,83988116.21748042,8,8,120,16,-820439.7678571428,-1873816.982142857,-337497.73214285716,6645031.743253252,496700.5,-398057.2580645161,-136986.25806451612,2339832.2814832837,2719868.4819310857,16911685.47143324,891151.3577880837,15925263.421023065,1490963.2912146314,1610018.0618970862,1274309.2924818285,1142498.7998620397,-14913656.0,-47936940.0,-3195719.0,-59577602.313470885,19174880.0,106526052.0,3196151.0,48890708.145966835,8,8,12,8,58149.58181818182,19268.927272727273,-19321.21818181818,-49069.66908272478,-87261.2131147541,52265.40983606558,34985.7868852459,46388.56407841281,3692530.564912704,17093139.88394227,1103135.0139850548,11609347.615402263,2071158.970105497,2026956.8372641166,1624935.3890042007,1422758.7438230237,390000000000,713000000000,122,416,56,61,56,62,Human,Stan-Desk
2,-28373010.0,-1253560.0,-84595680.0,10064829.10116461,53040512.0,64885095.0,72752950.0,105601845.07512957,92,80,32,100,8790410.85,34085523.6,-12477135.575,65578485.49827801,8774359.85483871,18020598.919354837,-25297164.79032258,46837165.643476315,26369933.809680585,17943756.006099977,49528543.459563226,22139489.946578242,17570108.62061732,17008336.08123104,29536627.98949681,17305389.51528722,-66769563.0,-38712322.0,-123963353.0,-22256605.883326665,67049720.0,48103467.0,90593338.0,31908198.366355628,12,12,40,8,862071.717948718,705033.1538461539,-1222194.7692307692,1343399.9983886483,-227633.68852459016,-644579.2786885246,-1719678.0,-795627.3885543343,20819774.537246834,13146160.726208016,34731635.272071645,9475777.182262225,10309264.080112394,15861945.780490452,20899930.45779455,9452526.442088995,-4778716.0,-13818888.0,-3788864.0,1263633.5859555965,2678978.0,5354283.0,1538733.0,13913842.694210755,44,32,60,8,-11485.075,427602.175,-299083.825,3054150.435843683,-171179.32258064515,4944.064516129032,-795363.2419354839,2360232.418372427,1772862.471400786,3215140.7783234795,1298787.5174344662,2424752.029499684,1906531.2368151986,1166806.5851989642,1017870.8120935212,1021332.8433129386,-4261003.0,-8522446.0,-4260948.0,-11698594.703042723,6391680.0,11717562.0,4261161.0,5396172.911649155,4,8,8,8,61.56410256410256,-138.23076923076923,65.58974358974359,-115.04437967970108,-52309.65573770492,-180.45901639344262,35012.29508196721,-10892.190514393658,2089147.5916590497,3013015.3760018228,1506510.2896754255,2733478.1933272285,1536151.9896317136,1173412.6402778865,1188527.1106226787,985191.5868984467,67000000000,1997000000000,64,356,40,62,40,62,Human,Stan-Desk
3,-32734722.0,-16207397.0,-1171706200.0,10324347.534321189,38828887.0,12438774.0,34579277.0,1171944499.5517168,60,16,16,28,6991922.516129033,-8128098.451612903,-115996606.96774194,142198331.3654866,-6835451.225806451,-10403559.564516129,-13276961.661290323,53962830.659895614,18918203.898989946,9471780.039568743,352023667.6356626,342777482.71974176,25304617.32482111,24117822.020854276,49587837.06518194,32525178.495865047,-42784259.0,-28646171.0,-1206285477.0,-1154038093.1310833,38050450.0,19212097.0,1177676201.0,1136886615.3527827,64,16,12,12,1593128.8333333333,-156526.26666666666,-318114.0,-182669.19293583743,-604044.7213114754,241294.50819672132,-469426.62295081967,610696.3203212819,12070321.61109258,6694816.23243866,308023953.4776725,295904481.2187632,18019730.95133436,25149453.217173602,38393535.14642698,24732465.686462507,-4853905.0,-37302096.0,-2723209.0,758095.479478014,4733502.0,36200850.0,2602621.0,37513528.24843898,4,12,32,20,472659.1612903226,-121673.16129032258,-111820.16129032258,6695101.764102448,268448.70967741933,423717.0,-6631.209677419355,2490893.7824999224,2251412.4718414005,12239968.38901365,1128487.5514671868,10492840.725904655,1553036.31717167,1825348.6339622098,1168462.568239686,1028896.7460940571,-8522038.0,-39414989.0,-3195753.0,-33357773.05954758,9587407.0,53263020.0,3195866.0,34481843.124889866,4,8,32,16,49.266666666666666,-106637.06666666667,52.53333333333333,-22799.603959358257,-34869.524590163935,-17591.688524590165,-17402.44262295082,-28197.172772746537,3183920.227737978,14290307.354627118,1506511.7878674285,10285543.798977895,1829565.4097744813,2374126.680889431,1596348.740877218,1223736.832308816,424000000000,948000000000,29,320,31,62,31,62,Human,Stan-Desk
4,-65793805.0,-34613997.0,-533001900.0,28185612.863175604,39670065.0,32726586.0,53456306.0,538043566.6479095,24,24,16,36,-10338091.567567568,-15341413.0,-52606634.05405405,90880375.66402018,-4452143.016393443,-12001633.426229509,446365.98360655736,47625457.134960115,28457231.172087174,23693865.102591857,150490749.53448087,136843290.86593053,20807762.60688619,24710089.720894013,38490876.1505451,19644495.09309743,-56384705.0,-62501684.0,-586458206.0,-463769086.48011607,95965333.0,43319777.0,472011566.0,482741455.3903986,12,12,12,12,1209778.9166666667,-1459805.0833333333,661691.0555555555,-562776.4005164272,722619.2666666667,791434.95,873994.8166666667,599565.0814995358,21848735.008690283,15966677.164301684,127560970.41089492,112995583.01440361,15642341.092667125,17809166.420789875,25386225.93946952,16492836.468066324,-5974489.0,-25677729.0,-3767239.0,1691273.110622291,4677848.0,8409698.0,2623985.0,25685844.81440552,20,28,20,24,1137039.945945946,-601830.1891891892,-485365.1891891892,4335062.930091104,900362.1129032258,312647.06451612903,753390.5,3175748.9458911624,1962077.146778481,5228090.474983862,1514089.764046076,4012917.7752123163,1666223.1051292107,1286012.8685775318,2247429.078444996,854718.9910639364,-5326243.0,-21305353.0,-5326238.0,-20431269.371283498,7456882.0,30892474.0,4261094.0,18766094.97031549,4,4,12,4,118403.0,88681.25,-88728.91666666667,-27946.525809095565,-34866.770491803276,-17597.852459016394,17527.147540983606,-27036.139677826326,2606668.607098628,7072285.621212157,1868431.8790577268,5029413.764324834,1377065.4031476297,1943285.7728473307,1423895.0652874766,854548.4388393892,108000000000,1962000000000,53,340,37,61,37,62,Human,Stan-Desk
5,-55547774.0,-21411449.0,-623603800.0,13232439.689699931,34648865.0,41632786.0,39143562.0,626171756.7136327,36,84,48,24,-12032936.0,4374465.666666667,-49860200.96969697,89467517.8813147,-4713136.426229509,-9752280.770491803,8170878.377049181,44408609.73946013,22822084.62691602,18223215.828558564,185581831.95150617,172544929.51216885,25439178.822799917,22004543.869775306,34082291.97550646,21797086.668165926,-65994159.0,-52759975.0,-624602297.0,-592654997.1329777,47510966.0,52904918.0,605524996.0,583236773.0062988,36,12,12,12,759390.59375,-615117.15625,893920.65625,154606.49384534732,-1567092.2833333334,-222902.75,1270834.6,676071.8750275213,18089467.649783615,15213948.47053696,154146318.59055835,147130837.9474074,23273093.595261354,17244950.794740822,28098212.506385673,17694892.926547952,-7065550.0,-21430719.0,-2703324.0,640801.8348577039,2521777.0,6265416.0,4753059.0,21584189.047837168,8,36,48,16,-172503.0,30734.79411764706,1181590.1764705882,3539721.3216837556,324064.37096774194,180359.25806451612,253176.9193548387,2929010.7251076363,1663433.1084923751,4565954.19993093,1480825.6278670514,3790590.278038064,1600780.9515077139,1998889.3006258802,1761452.390760127,1070504.152417819,-7456822.0,-21305373.0,-4261030.0,-11850991.184607837,8522177.0,14913638.0,4261127.0,20943217.34317853,4,8,4,4,32312.484848484848,-32352.090909090908,-32246.848484848484,-47948.49925161915,52426.639344262294,-35008.95081967213,-17424.29508196721,-51414.675017077054,2424715.237163352,5596967.366685989,1647895.7598534124,4791082.593302217,1834236.2725743407,2207419.1638745097,1962267.0087067732,1470324.4476463397,653000000000,723000000000,38,328,33,61,34,62,Human,Stan-Desk
6,-22987656.0,-56924790.0,-71105000.0,21344925.401494708,48785650.0,24654850.0,24266243.0,86776642.73265117,48,24,44,28,14934026.0,-915646.4210526316,-14515951.710526315,41421273.10907251,5280485.413793104,5940460.810344827,2803638.206896552,39763116.90495873,19720413.494298477,20187785.09960289,31125284.342267983,21200322.562505115,20060309.862882603,16098812.862156065,35573081.630464405,19760237.004708644,-37916996.0,-53195834.0,-66740033.0,-44187849.39338003,52526630.0,43221936.0,66751480.0,63779806.59938473,24,12,36,12,-666981.027027027,362861.4054054054,1160312.3513513512,-223346.51976253797,-751885.5438596491,173848.98245614034,1170827.6315789474,659080.5777930307,13752666.644304091,15778130.278105263,20956708.927111685,16112911.792269988,20099583.908890698,12871404.795804711,30304159.987263214,18852838.805884678,-5017807.0,-22828117.0,-2718537.0,1598993.3598201713,4571611.0,10194918.0,3655933.0,22837804.50413522,44,4,60,28,-1410350.5384615385,546082.9743589744,-181917.5641025641,4922003.5272551095,-1338792.7,496956.8,-479683.13333333336,2946601.7043770542,2194191.0972149055,5596374.671871168,1326116.920607757,3925592.196768223,2484783.5624007354,848168.2039474745,934477.5854602992,1115821.573352777,-5326258.0,-14913757.0,-4244675.0,-11654619.343539247,4261114.0,33023035.0,3195822.0,12406676.458362797,44,8,4,8,-84021.52631578948,25546.92105263158,-111662.6052631579,7565.507121514725,-54117.83050847457,17947.271186440677,18106.57627118644,-12026.661794292235,2079168.547776677,6674613.611565267,1705997.7373065846,3706173.978754584,1574259.6098499836,1009469.4021816329,909248.3274033017,865289.7176000486,68000000000,1977000000000,53,340,38,58,39,60,Human,Stan-Desk
7,-15235588.0,-33477440.0,-95023155.0,34477696.118337564,42297065.0,72460010.0,114771840.0,120719642.17359038,12,32,48,100,20381709.83870968,-2750568.64516129,-9506256.35483871,62438927.451259695,4293982.483333333,3947020.55,-9131479.35,50089482.13060225,17622231.858684994,32504977.39618606,55820188.78722048,31383063.7813583,24891314.46650122,32161211.30776986,35663339.114405416,22219471.773958314,-33510974.0,-67356675.0,-109661100.0,-83778630.7585444,57532653.0,86324989.0,181180950.0,61312536.5194694,36,32,8,20,1143633.3,791821.8666666667,-1589679.6666666667,-365657.3811255224,-390594.77966101695,1137441.5254237289,888695.1525423729,435897.2423141235,16152224.344286893,26842173.45828055,49078320.55029539,25000203.649291996,13685621.367597288,26840578.624446005,22457063.151321437,15622519.209132297,-1805808.0,-4751519.0,-1638405.0,1015332.5910976166,2455754.0,2705192.0,2623509.0,5475329.938375403,44,4,68,48,187687.1935483871,-1658824.7419354839,-125873.29032258065,2991092.2588842427,-34053.3064516129,-528475.5161290322,-158509.1935483871,2493066.1336617507,1125465.7037907883,2082810.1057382068,1341051.5189389307,1026904.0498506387,1307490.4730201836,1612464.812072649,1473448.7858183826,688429.9213162782,-4260965.0,-4261389.0,-4261022.0,-2839798.4305769354,3195820.0,7456711.0,3195854.0,2787787.218099038,44,52,4,12,35565.53333333333,70890.06666666667,-70957.1,-92901.41990157617,-52342.016393442624,17355.54098360656,51.14754098360656,5012.262917722541,1567630.2789027505,2534805.7717731604,1671540.76416954,1312375.0171106025,1751215.741791666,1783470.6821339205,1889925.3136556796,917825.5141287694,912000000000,738000000000,53,316,31,60,31,62,Human,Stan-Desk
8,-60526730.0,-44918686.0,-57129860.0,12910562.733305817,48296810.0,8505017.0,371991160.0,375698231.52840716,24,36,24,48,-2356863.03125,-6627919.84375,44041336.1875,80539077.37850669,-11959031.91935484,7823264.580645162,-27151722.758064516,45590559.63095801,25120785.266306806,17941514.993340224,130654071.03391749,115676015.11481261,25792042.170400266,11062957.965177204,38284743.91739756,33130629.069135625,-71069391.0,-24133518.0,-286078460.0,-148805172.77891213,66447118.0,29062674.0,352821353.0,348761984.43715423,12,60,24,24,-285175.8064516129,14109.967741935483,922264.5806451613,-688116.3419912227,548291.524590164,-297742.5573770492,-1407357.5081967213,1335928.3590332635,20206444.38022134,9647184.434475102,86320232.30143227,73321192.24940212,17263878.555132315,10875664.65496229,23789672.98745828,18039933.78325593,-3861446.0,-26811470.0,-1637910.0,1128244.316086281,5726014.0,24320980.0,1557849.0,27137570.338161815,8,8,4,28,1282517.0,549994.9714285714,-54735.114285714284,5329067.652599077,934106.5806451613,1087367.8064516129,134009.75806451612,2518574.8551235,2184555.8284847126,7907513.032635535,979525.6499865208,6405778.219531895,1346194.1677059296,1554341.2959032385,1106781.828870646,1054911.968391325,-6391552.0,-30892839.0,-3195759.0,-23015630.431808252,9587430.0,47936728.0,2130651.0,22676992.704404727,4,8,4,12,31.0,93924.14705882352,-31298.235294117647,338.84031916297425,-69806.26229508196,-17569.06557377049,-52339.83606557377,1480.928663882152,2697403.3643339076,11020284.798591165,1016703.7579874328,6004118.600553209,1402522.9061032564,1844991.372036389,1148067.8562932634,916375.661106531,66000000000,1988000000000,37,320,32,62,35,62,Human,Stan-Desk
9,-18627629.0,-15715390.0,-52452087.0,40524852.5181325,33935160.0,46977848.0,123951910.0,127829358.5762614,16,24,28,24,5732059.931034483,17662040.275862068,-10038244.24137931,53944820.52473601,-2425712.1967213117,16605085.590163935,-6809297.409836066,52592089.326857045,21016888.464381848,19258821.174370095,47015778.33837,21693436.1628896,23717133.20320291,28572444.640671927,38611787.99119154,19778177.811545104,-52562789.0,-38584396.0,-157339094.0,-76860693.65631607,23771070.0,33537104.0,95357894.0,78134838.3906082,52,76,20,8,-13154.82142857143,-25.035714285714285,1362221.5714285714,-127941.23515129116,863054.65,-968658.9333333333,-79409.28333333334,448941.9985607412,11685765.205788992,12062436.301605403,39395910.9287434,21079013.72273851,17727628.564574677,21879036.875503637,28759070.03295956,13265063.330951666,-3930993.0,-8734929.0,-1644462.0,624365.999411403,5656527.0,5113298.0,3681761.0,10730462.484848032,8,12,8,24,-401920.84375,-745988.40625,453218.96875,3047630.1054989006,-269214.9516129032,-10984.41935483871,-302041.62903225806,2794548.7513383063,2050586.6093783851,2964072.8231775393,1163236.1300820054,2389418.9216453205,1876527.5822725566,1974444.7841906652,1293159.5970935256,1149362.6631790043,-5326259.0,-8522374.0,-4260991.0,-7308501.052497719,6391699.0,11717766.0,3195916.0,9770746.46131086,8,8,16,8,103133.93548387097,-34461.967741935485,-34316.51612903226,-75149.61775247293,17510.90163934426,-106.80327868852459,50.68852459016394,-7950.900852221736,2031221.629539355,2945235.9480041717,1721605.8757164518,2705628.217409032,2286293.6015958567,2249447.6978025315,1417438.1597214078,1400724.4620069172,675000000000,948000000000,29,312,29,61,32,62,Human,Stan-Desk
