,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-630049350.0,-379117970.0,-1481976000.0,187112853.34634697,109789370.0,504826550.0,2127341300.0,2161324110.163667,76,8,84,60,-180570270.39534885,-94756825.79069768,252250280.25581396,1313035095.04684,-193265191.6,-50090189.68888889,-1124299207.5555556,1227699857.604197,249596960.7310097,213419294.12305364,1354682144.1039338,534434006.53678507,149958595.81952003,163020689.82087958,590704475.684884,435931209.62572193,-184188720.0,-650424010.0,-1441860200.0,-1373534775.9697065,292049115.0,883944520.0,1442009500.0,1339805082.8757396,72,16,12,8,9108549.761904761,-3817921.6904761903,-50966659.52380952,15705480.822231455,-15976568.409090908,14070749.090909092,25335160.454545453,-9138654.422369458,67436125.69363157,182434965.2560324,468444413.6258966,431878826.40782785,83282358.75207087,49460379.61398143,287298984.9930855,186848675.921681,-784389474.0,-670161269.0,-182281822.0,243603111.54902813,574886226.0,840385231.0,286432868.0,998169004.2141272,52,120,108,36,-97365816.66666667,-96859269.13333334,-58616865.48888889,692979990.9961913,-324999892.0,-453653568.3333333,-171415470.66666666,588273316.045094,434015872.3770683,546424560.0917253,156769030.40760127,207834653.01990208,38711575.991167955,126133376.50135997,23856228.26825567,112259275.0195314,-175768430.0,-346210770.0,-57524175.0,-162552880.10538316,213052770.0,74568250.0,11717950.0,179359390.11261427,24,80,56,36,-17867341.363636363,-30989557.727272727,-10386284.090909092,-7855047.400681352,3002148.409090909,7553592.045454546,-3583114.3181818184,-5453829.703935421,77524703.32458599,63496747.844321065,16104544.159047043,66526225.06855121,16101600.01021397,38123993.78223256,23905459.318081167,41079297.31504444,80000000000,1973000000000,79,296,43,45,45,45,Human,Stan-Handheld
1,93287230.0,-1317327500.0,-1423029900.0,728105423.0745009,1062300700.0,-125150680.0,3644914200.0,3938026588.4526453,84,92,20,52,537149425.2,-422321294.75,826193840.5,1526292746.43868,-3342669.524590164,-6287746.7049180325,443575431.3278689,618010368.2780801,343704663.3819913,274149695.2962832,1240598837.6629896,722515911.7306291,215029572.61871508,182713739.19751784,726453458.6255072,647413517.985765,-675791020.0,-871506700.0,-2798088300.0,-2035686349.9432745,364230400.0,542969700.0,3040680940.0,2938724418.098094,40,8,20,8,-12975582.82051282,5028602.307692308,27023798.974358976,15264031.559899263,-15110104.333333334,12575157.666666666,-23292286.666666668,-7756180.24101809,133624028.9191842,190087902.4782335,853840524.043614,599442447.1765141,91073610.48269151,52191077.59011007,193845360.19071195,190223187.42619935,-1036866393.0,-1414849376.0,-106600930.0,264376610.86216947,551439007.0,790251684.0,107516329.0,1756906350.1179879,148,148,36,100,-244338178.0,-466229532.9,17609048.225,923728876.0512226,-1137328435.419355,-1844565288.467742,54532125.70967742,2173197119.2909408,485984064.8850912,688043049.5901896,70232370.86356269,351931799.4107127,299179819.2650298,504241805.7139615,124420542.25578617,578776769.9236491,-626374780.0,-458063510.0,-103330115.0,-109393556.50775832,134223230.0,41545129.0,45806419.0,586646745.6430614,28,8,60,116,-40725779.48717949,-56541052.820512824,-4670703.461538462,20248902.90659345,-14232989.836065574,-17114072.31147541,4418373.508196721,22034881.039430346,134064476.15586282,103006297.79889059,26233174.735513084,131474676.34656776,65974471.848720305,65038763.8400019,17418690.437938467,86391441.70955428,125000000000,654000000000,60,352,40,61,40,62,Human,Stan-Handheld
2,-456507100.0,-650209400.0,-82714080.0,203384818.2507114,365199800.0,15540600.0,1435253600.0,1587193843.7877514,48,36,64,12,-33536034.07894737,-255956622.60526314,501578311.31578946,724754445.5344883,-245964794.7118644,-28595817.169491526,90948251.83050847,402432288.8425908,232126435.61093256,193429455.62417305,584987405.7637779,469959803.11015004,158302555.92802876,223645990.62477565,191577133.04971758,133502007.47713983,-327073220.0,-592278454.0,-810760980.0,-560515941.58054,383700265.0,625854465.0,1313446500.0,1383809025.53704,76,12,64,52,6750661.3513513515,-8970917.837837838,-9837898.108108109,-4041965.911840619,2908281.4482758623,10092924.310344828,-6403207.75862069,2453198.31797691,110983294.8476971,152380704.33528465,276435109.8458418,271917219.4212235,57314809.769322835,56761153.54646941,174223872.17648008,123266211.4294954,-473385156.0,-578682228.0,-122519245.0,183481462.5677251,584420954.0,271400932.0,120359430.0,734049737.8298138,44,100,108,28,-72257604.5263158,-270147319.18421054,-31776116.07894737,507622941.66010815,-597024129.7704918,-1011129635.5409836,-400639066.3770492,1247813621.1260788,346202937.42752355,309352843.0721841,75927630.35023826,195003941.02292788,247692511.82705417,353252005.919741,218951646.17887157,464840897.1182769,-183225274.0,-399473940.0,-31957872.0,-123860992.780749,235423310.0,263119940.0,35153761.0,338745143.53278315,32,8,12,24,-15892544.054054054,-22773687.56756757,-6564288.513513514,8378082.153636934,-9036935.0,-8468957.333333334,-6977422.6,13659252.486626131,73612784.99769677,86738304.1323831,12402024.051928721,84650787.26673307,33864850.20853778,64793367.26315264,31414906.66518488,74464325.17227013,114000000000,1959000000000,53,344,38,59,38,61,Human,Stan-Handheld
3,-189503910.0,-1060656500.0,-1250073900.0,618033578.5028042,1060341600.0,-87106705.0,4734365500.0,4792648748.8171835,40,40,48,40,373711983.44186044,-361267987.9302326,1141682500.9302325,1590193893.3115783,-85389093.06666666,154362381.53333333,330434480.76666665,1228989598.3912818,334290273.0311577,268030439.3306231,1496862658.930248,1202640888.9586725,681174830.3113837,519686253.1447951,951258635.4057848,495615076.2278496,-255913020.0,-485570930.0,-1774730000.0,-1596053349.515108,692157750.0,741219520.0,3955766240.0,3995214839.3644657,20,36,24,24,14715427.38095238,-2206836.5714285714,14928522.857142856,17426012.13501977,-21310712.372881357,23371478.305084746,-47860362.711864404,4358420.706732532,146407728.95941848,163530746.56347877,815837379.4982557,736975112.674731,128536861.78350268,77379688.26073486,100130393.91465731,136880818.1368344,-1100854866.0,-1168918843.0,-93693388.0,156118157.24639037,671742984.0,766666487.0,38398966.0,1606010834.6475596,168,168,76,116,-170783284.1818182,-227079870.95454547,-28494399.318181816,734116507.0631722,-1318116746.8064516,-1601519627.3548386,80203001.75806452,2078315601.3836136,478806050.39620113,566333999.1607744,41973854.455010116,289363971.0293022,474245562.4188429,609291369.6179857,79983247.66440508,769220999.4207201,-376037980.0,-266316000.0,-27696790.0,-249810875.9156475,92677930.0,14913620.0,28762140.0,431711150.2482637,68,84,116,120,-41223205.81395349,-45013612.325581394,-1635039.534883721,13627125.914525446,-4086404.918032787,419085.24590163934,2497273.6885245903,2656383.315127773,96858366.14779416,69845372.42449851,12417365.02747756,113889829.98594746,72950799.75200114,86143679.61917254,11638864.231658177,110061381.48517017,421000000000,709000000000,76,368,43,60,44,62,Human,Stan-Handheld
4,-277351380.0,-513236050.0,-867013450.0,428416899.50813013,291589860.0,300283430.0,3408098500.0,3420643345.3097243,48,36,12,48,-94369296.41025642,-80775946.02564102,811252686.4102564,1065714829.0215893,-361998889.3548387,283335821.9677419,261519058.87096775,1165580038.1486483,201025728.57617807,277789343.2256178,1029392151.4548411,838377477.1279502,750550334.1650013,230522343.11852652,1063562383.4537853,806897025.0664376,-313695190.0,-538551335.0,-2165812050.0,-1470216655.0231576,425235990.0,481086255.0,4275111950.0,2432058099.79995,36,12,12,12,-7215217.552631579,13313757.631578946,-9504519.210526315,-2696249.8776418725,42279563.114754096,5433027.868852459,-58015729.50819672,51224278.45116392,96818961.77229062,152946668.50182188,840663241.3729781,500379933.7955246,236923998.47127768,99793330.94962054,374899368.0393946,281460026.078474,-816434929.0,-994223317.0,-332304866.0,234912288.33821672,515144421.0,670783673.0,202457364.0,1308777883.7895064,64,104,116,48,-240864871.07692307,-373475103.4102564,-117749893.48717949,860774877.9792086,-933957516.5806452,-1515979170.7096775,-744029196.3225807,1947317006.078598,572280111.1333609,574968733.3731122,184749180.7754926,385643610.3059822,563492043.3636022,916879549.9875644,496322074.3630288,1155602760.40551,-224770609.0,-327035907.0,-52197913.0,-173830647.65610194,171507400.0,236488510.0,3195790.0,282225648.989622,20,4,64,4,-34004330.78947368,-42358244.7368421,-13988590.52631579,11143632.11972394,-8225231.147540984,-14756520.49180328,-9465126.721311476,18772210.911007512,70176607.05705808,87168665.68002595,13565572.409970308,89921154.02601638,105354772.90160066,141024169.69517303,70159357.96848077,180394511.2506918,97000000000,1931000000000,53,348,39,62,39,62,Human,Stan-Handheld
5,-285980940.0,-839202400.0,-1962714700.0,201879047.26718915,1171775600.0,224521640.0,4536072300.0,4623424076.046481,60,60,28,32,366158187.2631579,-306136345.2631579,465702388.2105263,1420875132.7884057,-107640352.12903225,60873821.93548387,317754725.1451613,1360246592.4945192,444276034.23229456,322891714.81911385,1442522843.0178473,875071354.6477958,729783824.2959473,439356773.08075655,1148366367.384879,530968035.107807,-327478200.0,-520070070.0,-2785355600.0,-2401141058.755655,512058520.0,477221960.0,5155474700.0,3976030980.0277767,28,28,4,4,21212107.2972973,-12334643.243243244,26665223.513513513,23199822.568504676,-21547857.37704918,12036104.754098361,-19854928.852459017,1275203.0268238413,168510063.00209832,139477771.51669335,1139204780.0873644,828029234.4652438,123749938.84895334,72655649.77816774,249907954.99177948,240424677.4860615,-484072281.0,-679989088.0,7525236.0,88548238.65791532,482120969.0,649461962.0,147075298.0,839829248.4152648,116,148,76,92,209525912.21052632,29954079.44736842,72226279.28947368,481497898.6289164,-595580818.3225807,-939639632.483871,190202114.32258064,1168799127.529021,227813449.67322424,422818808.6821791,43912163.76718681,214157790.37962386,498269792.3362994,617522590.7826734,84203930.30447367,736823669.7154855,-479368412.0,-327036300.0,-26631555.0,-222571394.05160677,105461120.0,38349420.0,71372743.0,473757736.65729386,76,64,12,104,-25220808.108108107,-35931109.45945946,863754.7297297297,1294035.1566878944,-4365808.393442623,5570746.213114754,-384165.9016393443,-3302810.987632996,113935685.58453172,71814435.59520364,16536114.721884267,100702342.31177291,79680756.15015554,86882580.7109726,11150965.054345524,105999830.77172329,656000000000,719000000000,54,348,38,62,38,62,Human,Stan-Handheld
6,-80256460.0,-727330200.0,-1850954000.0,183073203.5645054,573384760.0,196439270.0,2891820700.0,2949681795.786592,24,60,12,36,233720979.82857144,-140387684.2857143,425996009.3142857,1027155279.9609615,-199852012.79661018,147444152.45762712,312273946.7118644,649662963.720564,216958147.21757528,310024298.4373271,1208606173.3372018,883836252.5627389,421671357.7633905,142880980.38202795,334012868.34131026,205882934.8721479,-509744290.0,-491566180.0,-2079268880.0,-820940705.7698562,421034690.0,823380460.0,4742774700.0,1643804885.5273094,24,12,12,24,11085496.11764706,6780189.705882353,20784209.70588235,-3800261.8706856966,-1662254.3103448276,12011585.689655172,7652405.810344827,-1068266.0896217227,130559751.60258031,220787433.98019794,942057289.2005564,408522860.89445263,108646065.62495378,98143976.51141338,134959482.4722133,67898440.97782458,-601087042.0,-516903393.0,-123356713.0,181795625.17110643,655923838.0,440769506.0,134436597.0,748346022.0348929,32,88,100,52,-135422927.13513514,-143398682.83783785,-16283488.216216216,593585577.1207563,-460610151.0967742,-695267829.0967742,-419155145.41935486,964259916.7034631,453610359.07879716,368558585.91503465,85010420.58593124,164161779.125558,276733984.2982932,457165106.7929174,345389592.55800366,587680805.9950594,-298273750.0,-259924330.0,-68176832.0,-240739867.42104274,162985300.0,256728430.0,35153718.0,178111592.06243283,20,4,16,16,-22133793.611111112,-26039806.666666668,-6302795.0,6293759.350994651,-10076470.295081967,-20292472.540983606,-15123149.213114753,26108738.410469852,86923701.3480768,78474591.36250198,19483570.33796585,71974360.40751714,46975737.26688194,42903309.00843144,28399021.24262252,60188436.95530862,95000000000,1977000000000,45,332,35,59,37,62,Human,Stan-Handheld
7,-153254510.0,-513091560.0,-1315842600.0,252579151.67394733,808308360.0,187409880.0,3508289800.0,3515577288.510321,40,28,36,16,430910116.7419355,-279157129.67741936,416859976.12903225,1175096772.5950742,20274326.06557377,40851685.96721312,13434628.196721312,878339122.3995312,284662386.8519355,168771598.35872218,1250480154.6389773,835643619.4685202,545710337.6344001,357366152.2242134,688074956.7370987,341932667.3732948,-299914600.0,-290132520.0,-2818671700.0,-2548909090.097374,403865937.0,294252390.0,2996617800.0,2997105791.3327417,24,12,12,12,25663991.666666668,-17217461.333333332,21011639.333333332,21400970.655113205,-12332852.166666666,5110891.666666667,-9196456.333333334,3162118.6682394147,142900476.31058916,107868630.56348392,860366003.9305667,750557967.12575,113304411.6895241,72295543.26579763,166626994.09492972,147027762.16597593,-306009040.0,-394419619.0,-62623595.0,169715404.02597946,332082700.0,476967661.0,83317740.0,502888330.1112107,108,92,24,24,-90070230.51612903,-99581214.90322581,227437.96774193548,311610991.3069925,-341168020.516129,-555530442.6612903,13218217.048387097,681399434.6739402,157040602.84421605,260312408.0410951,41557108.34075453,111549349.9490622,263308941.27025673,362751877.32147217,33272419.18640384,402821890.3520988,-206661035.0,-210922240.0,-31957862.0,-164067463.53080514,83090596.0,292947290.0,53263222.0,235508002.32406852,32,8,32,8,-21269724.666666668,-20559671.0,1349373.9,3187655.5140188336,3160686.4426229508,5291432.2950819675,-750880.262295082,-491843.24307681696,67485051.51489373,74893487.64488167,17391177.866908852,69896823.79170896,39938229.577301085,44921101.20410014,10413042.213049216,54408376.44701682,927000000000,714000000000,52,316,31,61,31,62,Human,Stan-Handheld
8,-296474700.0,-644218900.0,193781850.0,269555501.71324646,611559150.0,81043240.0,2984625300.0,2988032389.4691496,108,12,48,48,210344400.8108108,-273910377.8648649,933341759.7297298,1137980845.152727,-359448385.4237288,73417042.79661018,131380074.38983051,978322970.7381759,340485801.7540781,237873918.77180117,845495022.3988647,757834645.5369881,755496886.8726455,369258990.5810556,392423270.8613713,204885427.87731206,-80492260.0,-364955420.0,-1282986700.0,-999679860.3880317,373258240.0,725262140.0,2420400600.0,2109097516.6124501,12,12,12,12,25223162.5,-11435230.611111112,5452619.444444444,12583867.37660273,-7670360.862068965,16715641.379310345,-127241.55172413793,-6164057.109581234,76684138.03406976,164356379.87648344,576344170.1348282,503775594.4520503,158035769.91369492,95287255.46968317,160115143.4487871,123972750.8650126,-483922328.0,-1037870495.0,-375783848.0,351727916.24495465,741130292.0,382127875.0,84408902.0,1182154264.8711126,48,104,108,44,-6482923.837837838,-402713553.0,-208854589.1081081,808094040.6334136,-509418828.0,-1136650050.483871,-576292968.8064516,1381685854.1971326,455578002.24480814,558200649.9149764,173022874.80852914,299130657.1562728,172161732.91346547,330477278.94393843,327200009.47148645,469079958.2670846,-226901080.0,-412257130.0,-89482062.0,-115633864.05730903,288686480.0,230096754.0,30.0,276149587.61391014,20,8,24,20,-24737758.055555556,-39385219.44444445,-12783131.944444444,15942297.886472365,-6304227.7049180325,-5361326.229508197,-10879618.032786885,11880640.558707219,82472963.57160494,86546980.41438363,18686851.212197542,72894285.06441985,34849020.07670914,92049447.00349194,54210016.46772292,109285585.98364066,80000000000,1980000000000,51,344,37,59,37,62,Human,Stan-Handheld
9,132605550.0,-1228333500.0,-425691130.0,210742946.9086266,1003342200.0,-74755190.0,3147558200.0,3164443349.7331414,84,36,40,20,515379930.6060606,-433303705.75757575,998547148.4848485,1424124328.4274397,35700552.04918033,6821484.459016394,332864020.6557377,910325659.8543744,328451295.5758049,291326935.05098957,1089103985.3928287,884975689.9762634,520844275.1492387,323448253.6394003,785223811.6579533,513768225.2853049,-453847200.0,-950295480.0,-1591074000.0,-1139708742.6561022,481709050.0,893292450.0,3293297760.0,2953700402.824515,32,12,16,16,4221528.75,-10296121.25,66463620.625,57150537.838903315,-23538515.833333332,15781490.0,-7993308.666666667,7049275.844101003,151305103.10111654,237556235.16517812,733343689.8452362,601035447.272922,109934585.95472129,60226136.77228852,201994574.4854475,171140381.2575599,-639454160.0,-1058117112.0,-29568013.0,177751771.11039034,501442440.0,808226088.0,166440217.0,1236611869.1236804,116,120,40,76,33360158.54054054,-31259887.837837838,57351801.64864865,583074631.9528029,-1048194919.6935484,-1633101104.387097,-49135508.14516129,1947096304.856442,333598860.03492785,582911025.1834723,63546391.39091197,333497431.4900005,461894820.7589159,599194045.1032101,78218907.23494358,745038885.1815488,-358993700.0,-381364500.0,-75633601.0,-319045965.14561766,44741095.0,36218900.0,15979010.0,502391944.9578446,52,120,120,92,-30064082.777777776,-50422519.44444445,-4231440.583333333,9736408.524467701,-16083858.803278688,-17917396.262295082,331863.0,22991167.637730367,76194304.04651618,90700125.70166376,19055150.053280234,117063023.26231554,64700518.56019765,78907583.6814559,16066062.118751632,99669276.35314363,150000000000,938000000000,44,324,33,61,37,62,Human,Stan-Handheld
