,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-629025000.0,-543860300.0,-531927100.0,18132466.042308614,820009700.0,601023600.0,439173700.0,1063623297.1024375,40,52,88,148,5214178.392857143,-24676250.660714287,-24812561.875,369083840.68352085,23032076.816666666,14343223.416666666,-4662068.566666666,159438272.87435016,304182231.2551689,277151413.21225846,247668079.99912277,305375310.13987875,124943143.22835861,151878379.16936055,98063996.14633542,152360574.03542808,-971206180.0,-803593140.0,-748488430.0,-426591550.34057164,1215000140.0,894462140.0,542619696.0,575162687.4743168,12,24,100,52,3522118.727272727,591140.7090909091,3154615.909090909,3102483.8297528313,2272872.6101694917,-9951262.915254237,3392154.881355932,-9828044.48882691,284411159.5125137,192394802.9128744,169972287.1608897,153420014.91353843,129989728.50913058,120631241.21948217,82100630.65793487,60137985.19469457,-169948069.0,-31117439.0,-200830300.0,739765.1987286236,111281081.0,32798251.0,124074830.0,255685615.67539874,96,12,52,144,10567183.631578946,-4522781.754385965,12558566.54385965,87022376.83012432,-64094.29508196721,-592945.5573770492,906810.524590164,9165142.145883588,75168675.30975513,14996094.127437593,83073166.26350354,73234236.70464624,8481160.11717084,2332947.7674568677,8923522.671632165,8532278.857214399,-62850504.0,-23435846.0,-57524195.0,-71551820.69293396,70307420.0,35153623.0,69242184.0,65156423.11232802,44,128,92,32,-38027.517857142855,-57107.21428571428,57086.44642857143,24516.060822752836,-17736.85,35469.416666666664,53281.85,34223.140271508935,23165293.40210529,10717908.823556166,24604573.219549946,28276538.871633675,8465308.314757092,2884527.074134212,6816646.460434657,7021390.40428082,1845469517285,592834254571,130,416,56,60,57,61,Human,Stan-LittleStand
1,-391078950.0,-528494660.0,-614349370.0,19800901.474476106,267787700.0,754386070.0,1045729600.0,1068026240.3692547,24,28,12,28,78986612.8888889,130909210.69444445,15609578.027777778,431053216.0449206,34915526.051724136,34778099.0862069,23360942.896551725,161653974.0562442,158201582.30956683,324553119.42754495,393693849.4538206,344290993.1695678,86659228.2803589,165672768.3864491,63355332.07078637,124125935.2198146,-603219990.0,-665296810.0,-1660078970.0,-591731332.4653522,612176660.0,904151190.0,1096492730.0,1008157362.6278551,8,16,12,36,4175594.9142857143,9695036.17142857,-524466.4285714285,8672878.445852913,1342639.596491228,9856468.56140351,-5267628.385964912,-10241614.358268546,165673296.5879628,260381553.22226778,355050585.9087221,217919673.51343092,80177951.34275967,148087883.3298509,54051178.00693224,44111010.307720274,-149716153.0,-18355262.0,-81510811.0,748623.7058763234,111273627.0,12537171.0,44190533.0,152731285.23472694,28,12,32,36,-549512.5833333334,1470026.9722222222,-2385298.861111111,36487156.11167763,1227495.559322034,654137.7627118644,-1217588.0169491526,9296317.736994915,50545026.41224754,6795919.844814542,23409014.23345033,42284768.313932285,8577472.240393583,2986220.9664741782,6048544.639210412,5885572.779467432,-90547356.0,-17044300.0,-55393635.0,-53061027.98534392,93743238.0,27696727.0,39414796.0,90760667.75024201,8,12,8,8,456564.9142857143,182564.0,-30411.14285714286,431700.9555161544,348995.5172413793,-67.10344827586206,-73434.60344827586,-231271.5320685211,31754642.30989896,6662235.806881304,14768373.640549023,26101345.696936376,6359009.660724216,3460357.197314361,5069856.76887704,3455474.510461141,437000000000,724000000000,44,328,36,58,36,59,Human,Stan-LittleStand
2,-154230600.0,-378737450.0,-271548270.0,40823565.148504585,174270390.0,165666330.0,81745150.0,467641020.9554784,12,36,24,48,41543747.216216214,-961003.972972973,-61490367.81081081,180037754.10236803,18615138.0,1678330.0833333333,19666799.016666666,105226813.82013409,100877747.33923002,133165904.98919907,107332457.75213894,108520193.5022223,79921624.53207242,53638021.94389044,58960534.86684335,47213271.54886226,-214317804.0,-389876236.0,-353293420.0,-189888214.90304518,328500990.0,435677383.0,276594160.0,383401203.8275735,12,12,24,12,522626.77777777775,1334958.0833333333,-920560.5833333334,1494931.0013067292,3634735.7627118644,1732384.6949152541,-1207917.4915254237,-1263831.5907459261,80847884.55225138,118963780.88743918,86108727.19938372,78042016.45983866,50528245.332038395,40338554.877410665,37254065.10908572,21184698.268165927,-24838324.0,-17208989.0,-28150968.0,1538884.8386224357,64643644.0,7291618.0,18720920.0,67515656.37985593,20,24,36,28,5075524.594594595,-942717.1351351351,380962.0,19180279.93820516,1090006.6451612904,-219363.83870967742,1626173.0322580645,6553575.373289929,21831891.67679212,5668110.51666241,11881276.917501666,17302043.090737473,3633901.4730997444,1741122.331425988,6730145.697256661,4671451.7472869,-75633596.0,-9587455.0,-25566148.0,-49477652.464186266,25566343.0,17043968.0,18109518.0,26228512.494656853,16,16,84,16,147981.83333333334,-29654.777777777777,-236694.80555555556,250697.05290464213,52419.50819672131,-69919.55737704918,279444.8032786885,-137042.4133112281,15591847.034897374,4466797.630349206,9672823.46224072,12194660.997233087,2668744.9148353115,2289367.384520367,5434874.304189902,3342126.0459073,1465000000000,595000000000,59,344,37,60,37,62,Human,Stan-LittleStand
3,-129922870.0,-112922475.0,-1719826700.0,37957567.34706575,369794130.0,135797780.0,53801537.0,1722067960.5288317,12,12,72,52,28665742.636363637,-561974.3409090909,-259177232.4090909,309362722.58167785,7341830.016666667,1007621.95,6571309.0,78179752.1097993,112676511.65274031,63965200.22024203,492841236.7350306,480962767.5442522,38468708.05362597,33948492.353945605,69229679.82070498,36182657.08499638,-499717000.0,-196890395.0,-1693183900.0,-734691375.8333558,433942556.0,248720255.0,695853270.0,1681202599.930997,12,12,24,24,-518183.3953488372,1552443.3488372094,-2782244.976744186,1881826.2056493682,-335406.4576271186,153770.64406779662,812077.9152542372,862600.6677163224,116365210.11471857,62142933.23687203,299053916.2070459,294952750.73214793,31822005.379009012,35638042.54428582,43297345.79916778,26710011.19209056,-15620991.0,-36444390.0,-15433642.0,1051321.5206039492,24858686.0,27471336.0,12263316.0,37249903.27159152,40,4,12,32,430405.95454545453,137037.20454545456,12289.568181818182,10325987.596297966,-369194.4032258064,133997.06451612903,-451753.96774193546,5618780.785197066,8055312.672890788,8428429.615078365,6076180.561853759,7996855.095046407,3054184.5913480604,2031109.6023891487,5160776.346716966,2891890.0605221745,-29827339.0,-24501107.0,-11717857.0,-19039721.096444573,29827419.0,63915726.0,14913732.0,18067387.849468283,8,4,16,28,148673.23255813954,74249.23255813954,24807.488372093023,53872.28727841191,-157619.50819672132,-34838.262295081964,69777.32786885246,-38820.6245765037,8517714.06598835,12347131.978143416,5554255.014552199,6752954.048231274,3272323.182515617,2828210.856639941,4506574.088570468,2927196.3187974235,1060666666666,705666666666,75,368,44,60,44,62,Human,Stan-LittleStand
4,-642116550.0,-541393400.0,-1114238700.0,56459108.73438071,855037900.0,380545080.0,245535850.0,1149181651.720662,12,12,76,36,40646433.86486486,-2329584.243243243,-286875980.6756757,569902620.8939639,6161824.229508197,-13342942.55737705,-24823861.393442623,218805383.12456745,361771562.50208676,226052049.63566053,459392017.9822652,381439099.74709713,266397526.4607763,88472202.24419454,138577348.62570807,223988895.57447764,-1497154450.0,-691710770.0,-1187864265.0,-486427233.3022013,1233503080.0,921938480.0,915802940.0,1066787228.403933,12,12,40,100,2247406.388888889,-820704.5833333334,-4763735.611111111,4695828.120513254,2612527.25,-3364919.7666666666,8591795.266666668,-8118459.314387613,378771726.50847113,244085036.2605855,316359868.68149835,225015476.5162771,281052798.20242196,92605426.45386039,127382341.0089448,93710458.0346624,-53992642.0,-38581811.0,-40999029.0,1050896.3014079933,70642941.0,21072522.0,32503769.0,76994724.89701788,44,32,64,16,499615.0512820513,313495.5641025641,27034.02564102564,25321643.543600395,342786.12903225806,710231.5806451613,-295873.7419354839,11211828.329300262,23557198.85086298,12081368.339859908,18170170.872949824,19322397.631479487,5935422.262435214,3891904.745182183,12729372.078915773,9239499.064299084,-93743147.0,-39414815.0,-39414723.0,-37073338.79265875,46871623.0,31957806.0,38349533.0,42784729.550777964,8,12,60,12,252322.55263157896,84047.5,-448507.2368421053,460929.56912316754,-349474.7213114754,-52446.016393442624,-227016.1475409836,-363795.32771592686,23259844.19363349,10484168.373285716,16549308.830550352,14615142.160962826,5705068.765803935,3917231.6285611307,10135564.456519302,6423067.340555536,1329000000000,912000000000,52,340,37,61,39,62,Human,Stan-LittleStand
5,-293834920.0,-206828390.0,-427138330.0,19099716.473205015,256912000.0,243910430.0,254334450.0,554926325.3459631,24,24,12,36,14763452.324324325,-18760705.513513513,-55717366.432432435,215177372.51133665,356471.5254237288,-10833001.983050847,-21154226.237288136,107890661.82456943,144919668.14330047,132194301.44539736,160142548.06765345,142518925.3993763,80952688.25901622,64074674.33065037,67293594.02440207,62617580.729180165,-365967996.0,-429450060.0,-328964235.0,-225323950.1908943,338145490.0,284210218.0,681472780.0,442306825.77664846,24,12,12,36,4111554.8055555555,-877755.8055555555,-3045850.4166666665,4643952.424142341,-283672.8965517241,-3061104.2413793104,3122543.4482758623,-2777050.1851823153,112829272.85594107,112067355.75282559,143387278.5467329,93601726.25051889,61831625.60058211,60080354.24365085,36022014.47288614,28495159.62937258,-61339025.0,-27042970.0,-36672396.0,757570.2076461297,118690323.0,10241045.0,54940069.0,125038022.86876203,28,16,28,16,4736117.108108108,-440651.7297297297,4354607.378378378,30709595.91530588,422632.03225806454,28315.75806451613,2091570.2258064516,8537278.148608452,38732595.35701605,6597677.8733362965,21300267.81046221,32724785.29397882,3219592.5221126257,1903924.3777277903,9850842.056453869,6448145.457705064,-46871566.0,-19174812.0,-23435766.0,-41252752.00057355,79894800.0,17044182.0,27696902.0,82998306.84500188,12,8,68,16,118385.72222222222,-59233.166666666664,473475.05555555556,487194.2219264337,-139966.70491803277,52151.03278688525,-139630.4262295082,-189518.79065030866,20220963.02117922,6366604.349222417,11474460.06197402,19763510.109678246,3522217.352790093,2473319.769438784,7027789.1752432855,4681757.768758759,1921000000000,665000000000,51,344,37,59,37,62,Human,Stan-LittleStand
6,-376952400.0,-765391500.0,-450363160.0,34125452.57474264,364444020.0,468307080.0,473848340.0,975935197.3664879,12,12,12,36,20815337.515151516,9317205.696969697,710314.1212121212,372562330.6642175,5571963.573770491,6717382.163934426,6089476.573770491,143084526.57186314,226623319.8111941,345097903.4154142,228693860.84100604,283104506.1288458,113132049.74808395,137316064.58233675,87278942.39006996,136282478.2288446,-741396420.0,-1233698580.0,-533815385.0,-721148172.3177315,556987290.0,1006113860.0,924211500.0,653935387.7022525,48,12,12,24,5234293.625,5719560.8125,-300496.71875,5432121.2998047955,-4882764.816666666,-6620810.166666667,2453454.3333333335,-7901411.855173422,234796647.6249459,354269389.8827194,231656637.1789396,184898634.03588894,125589129.64112549,155182542.4169306,80312746.72087291,29475967.734088738,-101829763.0,-24938369.0,-62228677.0,1630240.6388794263,105896397.0,13410549.0,57080627.0,120361393.05671024,20,20,16,36,-1542812.5714285714,505575.65714285715,-2360836.4285714286,34638725.50299532,-1152283.507936508,-35773.87301587302,-2014164.7936507936,10288071.339206852,43315195.80468089,6636219.55155522,25336509.315755494,36544553.99868506,8157686.246853108,2563512.4760761326,10947502.64342996,9533542.972253324,-80959973.0,-12783289.0,-52197855.0,-70430317.67284164,68176922.0,28761988.0,38349546.0,65367027.0591645,24,8,8,12,-250607.26470588235,-62759.14705882353,-563917.2352941176,395188.1080567266,-395133.06451612903,68624.82258064517,-429493.4193548387,-522514.0361877916,28974911.942114636,6898572.321457727,19164706.24008221,26528486.413170107,7760507.377943045,3240563.028804689,9156672.395231823,8036584.948545909,1934000000000,636000000000,37,328,33,61,35,63,Human,Stan-LittleStand
7,-206839560.0,-252083780.0,-165512080.0,51191410.337307565,74080706.0,56761876.0,125073430.0,349245184.0928474,52,12,12,24,1531504.2162162163,-25787267.837837838,-32531815.35135135,109548168.12174244,8010532.213114754,-2788571.0327868853,-5494570.721311475,70411872.81592491,75250994.87367207,80507114.34745452,69168471.80176486,79798563.96849509,33037893.49961616,42029737.69187851,53593606.55070679,28171809.839594495,-247087716.0,-294652724.0,-190618510.0,-262557984.5899185,272244210.0,308845656.0,290585510.0,173671046.81573626,12,12,12,12,2252148.277777778,-1317806.5555555555,798119.4444444445,69344.82124294134,721887.75,950761.9166666666,875616.0833333334,-1458241.2419663058,69009006.44682264,79732985.47767986,65643643.077376865,57960673.80707198,29604953.645369362,32245274.292087574,31269215.867269557,19035491.306142546,-38990427.0,-14295198.0,-20680564.0,876937.5910308555,54752613.0,4879112.0,20864590.0,57700745.552170314,20,24,16,16,-24128.105263157893,85340.15789473684,-328342.5,10782313.678191956,-192998.53225806452,-37486.22580645161,-267446.6935483871,3899013.541701198,15312695.161535218,3050777.022965669,7760283.991263724,13591404.535676254,2327067.341053976,1760977.7638643172,3063392.8880139603,1600351.2046754805,-25566290.0,-12783248.0,-20239965.0,-25986120.403363258,31957944.0,13848338.0,12783203.0,34851736.82872172,20,4,16,28,57611.97297297297,-57649.54054054054,-143922.4054054054,68795.77815693564,17494.55737704918,-34996.7868852459,139739.96721311475,29928.955859197715,11039876.783151401,3804322.3741011666,6222167.756993723,10714265.32878166,2669203.0855665114,2529480.865002314,2203292.178324883,1799260.9025696763,1933000000000,616000000000,52,340,37,61,38,62,Human,Stan-LittleStand
8,-203958750.0,-140454560.0,-318468100.0,28218885.498439163,91035366.0,209003000.0,372603420.0,447392404.631608,72,48,12,52,16356022.684210526,-6337213.52631579,-25035156.10526316,154698301.67632574,16694251.7,1155583.6833333333,-12435801.616666667,79573550.75445792,74494901.0822321,97314896.10122354,140144846.6862405,105078959.15474781,42811017.387793675,63805830.710416615,47937866.106378876,46955139.8686752,-280362130.0,-332067300.0,-286559110.0,-310726086.09753096,120452404.0,192552470.0,691071520.0,274084718.35385966,8,72,8,20,2330109.891891892,-759306.2702702703,-1032184.9189189189,2388603.75974067,-1208802.406779661,-3515154.033898305,568179.7457627119,-3060445.9175887695,57068476.80610486,86792126.39594275,142283584.0939665,72820750.797819,31525386.200162068,53720060.473704524,33102718.44348813,23514352.896359377,-63499850.0,-14306504.0,-34525003.0,757108.1210593372,105876881.0,11259366.0,43239144.0,113366521.81183897,24,28,12,16,2294220.552631579,-654751.8157894737,993189.3684210526,21148798.311086763,468549.46774193546,-374882.62903225806,715743.2580645161,5022789.962915626,32776025.978580672,4762981.846260164,15599732.436398411,29796048.53946364,2590772.762538069,1872920.3413666121,4594140.1425760565,2563342.1856380147,-72437865.0,-9587448.0,-47936824.0,-58680252.33536785,64981113.0,15978839.0,25566361.0,65659912.04713065,12,24,12,12,86396.8918918919,-57636.08108108108,201562.0810810811,194192.56955342754,-69826.24590163934,-17524.196721311477,87345.55737704918,-8231.461366605365,20779653.797770806,4121624.1045209114,11166641.12701024,20095345.107608113,3215339.5602425835,2605722.5362699954,3177074.5366735407,2428048.880751708,1934000000000,616000000000,51,344,38,60,38,62,Human,Stan-LittleStand
9,-113256216.0,-191710680.0,-108407974.0,53664949.81955918,110633850.0,119866330.0,334877970.0,387421280.33352256,24,12,48,28,16740473.933333334,18027128.1,10413837.466666667,162767975.13652387,9663144.229508197,959117.606557377,-6777716.491803279,112955387.1229338,73036125.89233822,110482658.37546225,135880086.75685886,96619821.1500701,54574339.70762081,95964563.4381077,70432918.85535277,65721798.841819525,-128271338.0,-291793390.0,-262343410.0,-222867311.04728284,219518420.0,311577010.0,438505175.0,281894640.9326216,12,12,12,12,2304192.3448275863,4459771.24137931,-5590142.8965517245,4257442.902575023,1049240.4833333334,-2154708.033333333,-640424.0666666667,-255956.88973397537,66042406.99421605,97837398.18787098,108218983.37758096,74813950.97193566,57908732.12544946,105620826.46759804,72097441.60774812,27671887.775043797,-34741431.0,-8985863.0,-23870390.0,1700427.0012505683,40892222.0,6992952.0,17675037.0,43650951.01872918,20,20,44,24,3707925.90625,-830073.53125,1895686.28125,17988268.73755618,962516.2096774194,-602321.4516129033,390606.79032258067,8040289.078368475,18717550.561956584,3139319.653101803,11213278.01872211,13058975.636585547,8162462.388884082,2099559.2816077853,6176690.580655181,6704093.024372509,-36218945.0,-7456863.0,-26631571.0,-22014890.477702014,42610556.0,6391563.0,19174761.0,23076481.908885166,20,20,40,4,515460.5483870968,-137476.7741935484,309281.1935483871,591384.5332469622,122255.59016393442,-52417.49180327869,52403.04918032787,-105541.59941774364,14139752.35188885,3105655.105672603,9216296.48827337,10943729.039470624,6844425.483571579,2488388.3947284105,6002615.422674987,5388679.5018977355,1922000000000,628000000000,29,316,30,61,32,62,Human,Stan-LittleStand
