,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-390193500.0,-69589615.0,-210838320.0,56472224.36822602,193284660.0,279287820.0,483212950.0,624970748.92014,108.0,48.0,32.0,64.0,-65885403.526315786,67463248.10526316,173618112.68421054,326333569.9310039,-85665496.45762712,65640634.59322034,223449540.3220339,345722931.6919306,175466996.66525045,100413897.55116774,225491819.72247767,149789222.08389416,183503359.27902237,87607690.09309553,203424271.9213006,154219174.1459639,-187700066.0,-141598225.0,-173530106.0,-117030355.64993215,118699350.0,158997060.0,362751960.0,231796579.21671283,28.0,56.0,32.0,12.0,-11137490.54054054,-5958750.324324325,6048073.243243244,5229553.528232753,3966442.2413793104,-930810.8620689656,2011192.4137931035,331511.7123781468,55962460.91245475,51256935.12244456,87233817.37420808,69499453.95271513,57386682.13036103,47053035.72912167,53135809.511487536,55926459.77837818,-90821003.0,-17675383.0,-65737039.0,37441403.819591835,-1634676.0,155810342.0,30779671.0,176750593.194982,76.0,48.0,76.0,40.0,-32001109.42105263,47269235.473684214,-20613389.10526316,81613392.34325846,-25366791.283333335,34675766.733333334,12107554.8,57610278.75714586,27563097.663642198,56893418.066780105,33834100.327837,45645148.1577543,21966063.226297602,38377505.05353329,18218436.716374572,30631704.353886537,-23823747.0,-33597589.0,-23212880.0,-37347934.90132902,20158552.0,36041049.0,23212880.0,26098639.800990045,80.0,44.0,100.0,36.0,511806.0,-297177.64864864864,495296.2162162162,-146916.27642854364,1594461.93220339,-248487.45762711865,755816.3389830509,-757112.7652642013,8727805.901062718,17075677.125905257,8877123.282153731,13311928.826367058,7229619.767617004,9672446.190588301,6768135.108286538,9723478.94217637,748300781333.0,2023618164333.0,63.0,336.0,38.0,59.0,38.0,60.0,Human,Stan-S8
1,-263367030.0,-111693860.0,-160209660.0,41516226.76650497,133617040.0,346526150.0,341070180.0,395926223.3208238,36.0,24.0,24.0,108.0,-62170336.9375,135334750.35416666,114001612.4375,272335720.90027297,28344958.573770493,115783768.72131148,91488619.21311475,209965794.13175073,119186841.13642682,124093363.70560761,145212120.40647426,104268525.33578406,66155277.11503914,83353079.05855262,130684396.61895834,80858411.37223372,-185370090.0,-293545723.0,-227612490.0,-157434221.34307683,149375107.0,125957480.0,361166480.0,150013757.89605066,36.0,32.0,100.0,92.0,1759040.2127659575,2287803.829787234,2464893.0212765955,2351347.3925123163,3802248.8333333335,-2777457.1666666665,793083.5,-3193917.498460788,60787923.88995693,63912058.0943864,88469850.0213058,46162154.26523416,41776942.55765383,48036667.614780225,71984446.17790277,30266883.105305165,-45006109.0,-53716433.0,-52908869.0,7657211.755763517,21578200.0,146036507.0,33833994.0,146435332.47132942,84.0,44.0,28.0,92.0,-10074589.979591837,8317554.448979592,-14848226.265306123,60021734.39097146,17292131.967213117,-24244689.62295082,-1005353.4426229508,44065432.94398028,16035296.61596787,56068182.22746108,28841478.374442313,30890735.81897737,19968065.791644026,26013023.78530668,13905278.508711858,14045052.70571286,-13439036.0,-59864791.0,-23212880.0,-45558977.22204535,15882497.0,48258355.0,42760569.0,45900928.53012085,40.0,28.0,32.0,28.0,547233.375,-865392.4166666666,979929.7083333334,64899.71150686988,81448.68333333333,-40724.21666666667,-671951.75,75802.37654906177,5929431.929760277,19738776.199072357,10616980.081257667,15393359.423319723,3998666.6242960766,9560165.800708579,3804567.4290617523,7951661.58932878,610092773666.0,1945981669333.0,95.0,380.0,48.0,61.0,49.0,61.0,Human,Stan-S8
2,-221571450.0,48412323.0,-34176826.0,108763595.42883721,56331962.0,235889430.0,264674660.0,387246832.5674453,128.0,136.0,36.0,136.0,-69742079.725,177337325.15,75322913.2,233065046.325636,-11450748.901639344,124770570.83606558,96325600.86885247,186600084.4188324,81154672.55091071,42756187.549263306,95574116.8080857,69993257.24134596,85146401.97294421,51191201.9860399,77313160.69659986,76430247.30206442,-100028155.0,-76061720.0,-86280826.0,-129845948.57781598,130901280.0,117375847.0,116949555.0,128140842.99267963,28.0,140.0,36.0,28.0,-1298811.9743589743,1320582.2307692308,3039335.3846153845,3552961.0314547047,148004.8,240945.66666666666,191005.05,180393.92313474318,40630520.20538666,30616496.536893602,43129330.46727146,37962572.06880424,39205329.33895746,26304380.946513455,38663455.434119925,37443551.64978248,-19349768.0,-18286250.0,-46800219.0,15818544.817976715,13636954.0,21419989.0,28336207.0,47833272.52909927,44.0,92.0,132.0,120.0,-583419.6511627907,3307125.581395349,-21030228.627906978,31985184.31021084,3950377.714285714,-4381793.634920635,-1382872.253968254,20178532.952960555,9761405.791400183,11399350.642304402,21686128.1216653,10604467.448093252,10765939.834760321,10651203.340289745,14433692.759213759,7826540.620343617,-6719519.0,-8552116.0,-5497787.0,-10266178.039497606,10995574.0,9162981.0,12217307.0,6516116.112946935,28.0,104.0,32.0,112.0,349065.8333333333,-43633.166666666664,1599885.1666666667,-170460.7190673432,246316.64516129033,-433517.3064516129,-39410.67741935484,-44523.78691795303,3817512.9926382075,4186593.0812562224,4071603.862466239,3390350.650179112,3169328.598560788,4465247.482682468,4227746.404642831,3611959.5878526256,594825256600.0,1892743628000.0,80.0,356.0,40.0,61.0,43.0,63.0,Human,Stan-S8
3,-221894980.0,-37274360.0,-224023340.0,59961612.02782156,142373740.0,313610550.0,426373000.0,453703961.6343044,88.0,120.0,92.0,68.0,-28719795.239130434,156601553.6956522,62862499.5,280189966.14845717,-7395468.163934426,128628856.67213115,91087872.18032786,208161432.36836994,120072918.49967197,107284984.68501942,187827131.1768758,104437979.39278586,98157911.81338017,72336230.23860316,93576428.04589315,69876411.5960169,-115899800.0,-102037910.0,-196920860.0,-120363396.04439062,103852332.0,148742196.0,109801770.0,190581519.289917,92.0,44.0,92.0,84.0,-1388173.0,3746594.222222222,-8325640.511111111,-5004304.057315726,1407257.7333333334,-2762325.5,4426638.233333333,-3714832.7181665557,38214553.154862314,44539569.18659649,53609929.94642824,55015453.803262174,32410462.05187932,23799511.92281505,32958141.099123042,32283362.08879768,-29123613.0,-62268547.0,-62682716.0,27745074.521410644,71669157.0,73343537.0,39331781.0,84924005.04380713,96.0,156.0,80.0,32.0,20200506.702127658,13309779.617021276,-11370034.212765958,59809741.6086658,-12039413.868852459,13999479.590163935,8397966.016393442,36040340.93495046,33678970.54206997,37143660.72727736,26777984.8887906,17493864.089351684,21081479.96256543,25381147.666176002,17155068.554103196,21924634.877833795,-14049900.0,-19547689.0,-23212878.0,-14324759.550728984,18936813.0,27488940.0,20158551.0,19344036.60636828,52.0,92.0,32.0,48.0,-146076.47826086957,2058350.3043478262,1168611.8043478262,1084976.24753827,244346.06666666668,-722857.2166666667,-305432.61666666664,-332099.05439492763,6419690.908821944,9598268.69874788,7616749.579102965,6852700.551900174,4030785.0011888663,7047040.966938137,3962784.7374489107,5278462.888734223,594572896333.0,1882960693166.0,91.0,372.0,46.0,61.0,47.0,61.0,Human,Stan-S8
4,-223511340.0,-70431710.0,-271646980.0,120243496.22667335,172731610.0,367193220.0,501293660.0,527030085.22378427,168.0,48.0,112.0,52.0,-22827259.666666668,142993184.93333334,73664283.02222222,300986356.104702,-3490115.4833333334,129747040.96666667,87833300.2,253709048.02268288,114575522.50924356,127206810.56610027,220666453.12895474,111110443.83247238,107884761.21943383,84313742.27502532,189183694.8920898,118560471.8179938,-137868137.0,-134428500.0,-246493820.0,-181280217.7809071,193009500.0,198688509.0,280260082.0,193507110.04125834,12.0,140.0,132.0,12.0,-9005521.590909092,-4624139.090909091,665664.5454545454,747706.1764957194,-1376409.1355932204,-2729690.6779661016,5454839.322033898,-3853593.6938219173,54077956.54579923,61247780.150254495,93318119.82230465,70856861.21443164,50028875.54319225,39065262.78637663,75352312.12931949,59852201.677880436,-54169083.0,-34779613.0,-40080699.0,15384092.117790865,47845407.0,73343537.0,24671011.0,81201117.14363392,112.0,20.0,160.0,68.0,-1392875.2291666667,5792020.770833333,-11039148.958333334,43772309.797599375,-2560826.2580645164,3389613.1129032257,1527104.7096774194,33893002.54672402,29225177.900077816,29857858.66287462,17241518.88416743,15709539.57738137,31370788.711957406,18699269.770517,11621506.497683706,17944207.402246978,-15271630.0,-37873648.0,-18325956.0,-27455896.526863925,21380285.0,37262780.0,23823745.0,28519244.512248367,28.0,24.0,24.0,16.0,233948.36170212767,-610865.1914893617,467896.7021276596,66311.652614597,430609.91803278687,-340482.262295082,230326.22950819673,-366894.82198770234,7873023.077308711,13494454.748341886,7342517.399250561,9569817.973048087,6376511.818105085,7109690.2729950445,4485057.867094687,6501921.137417745,584293579166.0,1889063029000.0,93.0,376.0,45.0,60.0,48.0,62.0,Human,Stan-S8
5,-329559740.0,-17941952.0,-273347380.0,155992570.26970303,351772430.0,293912900.0,432291980.0,505608395.25042176,116.0,20.0,12.0,128.0,-42936172.2,124108632.42222223,126512739.64444445,325049920.0743981,-2587557.868852459,126335972.39344262,112488300.49180327,268217008.40742585,171836465.6179981,91720597.48217675,205555237.63273212,78372859.76190943,123815034.24198045,110335287.67695656,173258098.51774028,116108340.62772042,-228215517.0,-189479840.0,-332928670.0,-127031456.74974254,193283735.0,140141014.0,455023284.0,205766381.53235936,32.0,56.0,116.0,20.0,-8583689.204545455,-1090483.2727272727,1577366.3636363635,4032278.9001132012,934370.8333333334,-916488.8333333334,152977.3,-1234299.6941801375,78352226.18508099,46884588.42848991,110779464.30030566,53294446.11086161,51575423.441863954,51721596.500321805,81995446.1067903,42484219.14573113,-48060433.0,-34168753.0,-60239253.0,10766227.866276378,23410797.0,78841327.0,24671011.0,91934530.97979659,112.0,120.0,36.0,24.0,-9105048.895833334,17143934.125,-8315708.208333333,43199052.22214403,7764766.645161291,345139.98387096776,6019919.774193549,38049266.2786347,18854358.28866261,30481854.673863657,23082885.83016879,19158349.827333998,21962855.671881594,30936639.960200503,18065986.88074374,19813555.27406552,-16493363.0,-25045476.0,-27488935.0,-18756248.711484954,14049901.0,33597590.0,12828169.0,26442412.143897966,112.0,36.0,40.0,24.0,870807.8723404255,-792825.1063829787,545879.5744680851,-397285.2659026194,240340.37704918033,-831177.3114754099,-330468.08196721313,136694.64453104482,7226475.886629606,12045124.256902639,7897873.147796466,9200323.01071308,6135909.143361749,9128553.956022302,4524992.930627893,8385196.716638161,559700500571.0,1879626360428.0,91.0,372.0,45.0,61.0,48.0,62.0,Human,Stan-S8
6,-262603460.0,-159910680.0,-262729640.0,136724867.69480124,216667300.0,303286080.0,357547760.0,451922300.8709785,32.0,20.0,52.0,72.0,-10145965.80952381,176111129.52380952,-37305411.64285714,272279711.5541228,-5133232.101694915,120108790.86440678,118930792.81355932,267117424.35545543,133480289.99669862,101142865.72568883,151480240.811802,91385849.6270344,133017629.02705467,76390423.64182635,174428402.40556076,102286805.5714444,-217269150.0,-101325030.0,-179922580.0,-140149091.94433513,200914090.0,306918620.0,273459910.0,247117165.62846482,60.0,60.0,140.0,20.0,-8098379.024390244,8275369.268292683,4326797.073170732,4439397.250668554,1276691.9310344828,-3972604.3448275863,8325354.827586207,-2129643.1310816915,74883040.0870682,65148765.521480314,75408556.30362523,71681104.25230536,59678219.48689378,37742167.64165963,59924289.448620334,52439649.408573136,-86544943.0,-151454873.0,-54130599.0,25119733.250077818,53343197.0,105719397.0,37499184.0,165576620.28706607,100.0,120.0,116.0,100.0,-3423638.3571428573,-1618355.238095238,-3399697.238095238,88656667.02581294,-22149567.233333334,416407.31666666665,10580390.466666667,48775185.82810478,46819192.64335453,79202043.25138715,28342307.6452408,35257691.371282525,28102117.955109872,41763738.65264605,16561236.739512155,31651372.17665496,-17715093.0,-20158550.0,-23823744.0,-34229832.89644022,15271630.0,39706240.0,24434609.0,30619315.9137671,84.0,40.0,24.0,108.0,-2294469.512195122,4514443.146341464,1802797.487804878,-2432053.8481873125,600511.5762711865,-3033618.9830508474,-828291.8305084746,-716751.8749675705,7237645.853636237,15008557.314716801,10198510.045304162,11994945.07905023,5581125.492360058,5879650.519933676,4566815.813912923,5753552.0628584875,669011047428.0,2021481445142.0,72.0,356.0,42.0,59.0,42.0,60.0,Human,Stan-S8
7,-208975140.0,-76089380.0,-345218660.0,142892388.87858614,316371800.0,271359440.0,415455820.0,442060975.4534098,108.0,48.0,116.0,128.0,66694116.395833336,100986689.60416667,97696125.35416667,282321916.85331684,-766166.3,117846115.91666667,113675213.03333333,233202263.03307253,148448557.70329705,106537361.49898173,177153585.91551772,89859319.72628383,122709739.95514268,75165186.94922195,116338387.00722589,78751637.64093815,-117286831.0,-211398126.0,-330811502.0,-132514909.71740729,191624520.0,131566528.0,229034900.0,259637692.04028592,60.0,68.0,108.0,24.0,-6218877.957446809,-1801125.5531914893,-1934579.1489361702,-352282.46393309627,839415.2033898305,-2339104.5762711866,-1114699.847457627,-2047506.8501692894,50893017.56698048,52844749.53784475,83119531.03795655,58472350.442262314,56354934.95421359,40824306.86800681,57101628.82853948,41014494.48161108,-60888603.0,-95866133.0,-59628391.0,14429111.522640124,47845407.0,96556414.0,76594561.0,125097222.41999419,68.0,44.0,40.0,124.0,-8074214.3125,7090109.479166667,-2601573.1458333335,70688967.47804266,-3687583.950819672,-26067272.639344264,-5792133.852459016,55459812.34734564,31923551.587748762,57195785.632504195,35128506.60075067,23368069.187165547,13072151.250285678,51421153.39967944,24812079.044044968,32285632.703759655,-17715093.0,-22602012.0,-31764993.0,-37814423.831367806,20158552.0,54977870.0,20158553.0,42290555.799629524,100.0,132.0,68.0,8.0,168962.78723404257,1169742.1276595744,-350922.59574468085,-1131751.3358434385,-274889.36666666664,-3084869.6,-1252273.75,946150.9770299095,7533046.586862006,16567006.170611558,10481540.89743258,12714965.13380308,4719139.998536909,7768182.98309967,6058996.10545314,8128842.28519611,709767692375.0,1955473434625.0,93.0,384.0,48.0,60.0,48.0,61.0,Human,Stan-S8
8,-402994600.0,15630722.0,-275386800.0,124337708.60990782,492892920.0,246165750.0,431295870.0,564226070.1933782,108.0,140.0,116.0,56.0,96458023.83333333,99951773.75,60181599.291666664,314070904.3963523,-9431814.118644068,128491951.08474576,190862597.37288135,316836645.2902434,230608004.03230557,80967156.03115872,191074523.3543231,137513095.70984647,151600632.19229296,64330768.5036602,206420009.15190983,146820018.85232255,-246396604.0,-123590470.0,-357968800.0,-143033823.15303376,202238530.0,104178900.0,309746260.0,232376835.01974815,104.0,116.0,116.0,80.0,-8147395.404255319,1519264.1063829786,4361903.404255319,6915936.854074691,-1955396.0344827587,-1370454.7241379311,6167765.344827586,-2471007.9640033646,81754909.80074659,43278882.228432134,97143625.83273678,61840263.179423936,61339328.271580495,36136849.698443934,75160430.86283614,54686486.75201243,-60888603.0,-187495923.0,-60850119.0,20155025.65168472,38071567.0,99610743.0,52159951.0,188206447.85985294,108.0,156.0,32.0,120.0,-2569674.163265306,-19819646.836734693,-10335303.387755102,91478518.4389353,2411054.3114754097,-63910873.68852459,-10699083.93442623,99997707.60506381,25887134.60735143,95449293.1275436,28741302.977475926,50802571.4210602,44145621.94311225,81316737.07898766,23507256.87253851,56767974.9920844,-17715091.0,-29321531.0,-29932397.0,-50789949.27177495,31764993.0,58643080.0,24434612.0,24317251.987605676,92.0,136.0,100.0,92.0,-139989.9375,3677917.8541666665,190895.39583333334,-3435107.518839304,2087123.0,-4571308.333333333,-458148.88333333336,2015214.885338506,8366697.7751569105,17011478.340330597,10853361.277150149,13213902.287659554,7118866.414254606,7191184.413347741,6015937.309484596,8843234.680584328,738413112142.0,1911797903857.0,95.0,384.0,48.0,59.0,49.0,61.0,Human,Stan-S8
9,-162370250.0,-52174570.0,-368683340.0,86154931.5670846,211668460.0,367911340.0,402860160.0,493410765.2308965,36.0,116.0,120.0,40.0,33870880.270833336,152407337.0625,28346061.25,264801225.8825706,40941509.475409836,136995120.40983605,92743866.26229508,234500685.00375444,99919722.74670403,120542134.08968101,193325735.0033568,126459674.21484947,109324013.20041732,81420187.03385274,118438241.42006546,78936089.04529805,-138874743.0,-207207200.0,-335994722.0,-167360266.0226754,209445670.0,145311840.0,252602590.0,329431488.83268446,108.0,120.0,116.0,32.0,231949.48936170212,-3910784.8936170214,2097190.638297872,162953.67054447532,-1528422.5,-423852.5,5738973.666666667,989421.3975752443,60996178.79819598,61372084.878989354,81125569.37046209,68798699.35470633,53323747.557760894,42998196.73177311,58968316.22952916,39816109.92514242,-34010534.0,-142902753.0,-38858970.0,17015651.717027504,52121457.0,55628445.0,49105628.0,153285649.52827576,44.0,120.0,28.0,84.0,8700166.102040816,-22362839.469387755,1358403.1224489796,71407166.20175456,-2353920.709677419,-59874349.40322581,-9488175.161290323,81109319.52014618,31089889.393388327,71772698.89167552,23464816.149865493,45309554.35202922,21284799.80654188,69649554.61936045,18627670.71556502,52013113.03988855,-21991152.0,-31154127.0,-15882497.0,-64502584.43643773,16493361.0,75747286.0,47036626.0,11642982.219115116,96.0,28.0,28.0,8.0,-241800.83333333334,1947132.5,827213.375,-1736030.6952566197,530751.7704918033,-3635148.8360655736,-821163.1147540984,2118440.8002037276,7234025.532098367,15517888.504337765,9129395.903156599,11697039.89143599,5144835.504681297,6894690.964305119,4418718.532068026,6640115.06310009,799609008666.0,1903074340833.0,95.0,384.0,48.0,61.0,49.0,62.0,Human,Stan-S8
