,uac_min_x,uac_min_y,uac_min_z,uac_min_amp,uac_max_x,uac_max_y,uac_max_z,uac_max_amp,uac_gap_x,uac_gap_y,uac_gap_z,uac_gap_amp,uac_mean1_x,uac_mean1_y,uac_mean1_z,uac_mean1_amp,uac_mean2_x,uac_mean2_y,uac_mean2_z,uac_mean2_amp,uac_std1_x,uac_std1_y,uac_std1_z,uac_std1_amp,uac_std2_x,uac_std2_y,uac_std2_z,uac_std2_amp,uac_dev_min_x,uac_dev_min_y,uac_dev_min_z,uac_dev_min_amp,uac_dev_max_x,uac_dev_max_y,uac_dev_max_z,uac_dev_max_amp,uac_dev_gap_x,uac_dev_gap_y,uac_dev_gap_z,uac_dev_gap_amp,uac_dev_mean1_x,uac_dev_mean1_y,uac_dev_mean1_z,uac_dev_mean1_amp,uac_dev_mean2_x,uac_dev_mean2_y,uac_dev_mean2_z,uac_dev_mean2_amp,uac_dev_std1_x,uac_dev_std1_y,uac_dev_std1_z,uac_dev_std1_amp,uac_dev_std2_x,uac_dev_std2_y,uac_dev_std2_z,uac_dev_std2_amp,gyr_min_x,gyr_min_y,gyr_min_z,gyr_min_amp,gyr_max_x,gyr_max_y,gyr_max_z,gyr_max_amp,gyr_gap_x,gyr_gap_y,gyr_gap_z,gyr_gap_amp,gyr_mean1_x,gyr_mean1_y,gyr_mean1_z,gyr_mean1_amp,gyr_mean2_x,gyr_mean2_y,gyr_mean2_z,gyr_mean2_amp,gyr_std1_x,gyr_std1_y,gyr_std1_z,gyr_std1_amp,gyr_std2_x,gyr_std2_y,gyr_std2_z,gyr_std2_amp,gyr_dev_min_x,gyr_dev_min_y,gyr_dev_min_z,gyr_dev_min_amp,gyr_dev_max_x,gyr_dev_max_y,gyr_dev_max_z,gyr_dev_max_amp,gyr_dev_gap_x,gyr_dev_gap_y,gyr_dev_gap_z,gyr_dev_gap_amp,gyr_dev_mean1_x,gyr_dev_mean1_y,gyr_dev_mean1_z,gyr_dev_mean1_amp,gyr_dev_mean2_x,gyr_dev_mean2_y,gyr_dev_mean2_z,gyr_dev_mean2_amp,gyr_dev_std1_x,gyr_dev_std1_y,gyr_dev_std1_z,gyr_dev_std1_amp,gyr_dev_std2_x,gyr_dev_std2_y,gyr_dev_std2_z,gyr_dev_std2_amp,touch_x,touch_y,touch_duration,click_duration,uac_num1,uac_num2,gyr_num1,gyr_num2,label,remark
0,-698399200.0,-782379150.0,-866549500.0,74387501.49676624,481156050.0,874182700.0,836807700.0,1163634576.3996294,40,24,56,100,-7794269.4,-105982401.45714286,-36409084.85714286,741442497.3640476,-25732816.66101695,-218865588.94915253,204763337.52542374,532228637.3952468,321743275.6027203,532172921.2566655,589636857.4665262,426007562.97830844,213240054.611528,312270035.4691233,366978253.52090985,285584057.4308102,-782824664.0,-911196230.0,-449729440.0,-680635091.187413,748475100.0,902160670.0,831867211.0,690913278.5542521,24,52,48,40,-10879563.235294119,-10014576.176470589,9866307.647058824,16256009.225976726,-7024311.0344827585,3947496.379310345,-4825493.431034483,-2137101.2714319024,212066802.36411983,317870015.7417521,222572248.87858838,255255718.93003455,105128325.12677176,159191989.79878485,179419328.36570364,174055287.57872656,-75481026.0,-91156499.0,-40319923.0,1594735.0907410923,72590900.0,44130945.0,29987674.0,106200208.87546325,28,40,16,28,7005023.216216216,1923544.2162162163,-1566991.1081081082,40146724.566546805,-4455948.967213115,-438980.0983606557,284394.98360655736,26736250.266232036,37556775.361033306,24420215.806481346,16164090.295142027,25852764.355940092,29027100.559791207,7285306.535298983,5060790.076516671,14662317.045254616,-57524042.0,-90547585.0,-36218902.0,-44334313.284251764,56459018.0,44740950.0,68176984.0,102873094.84053658,44,4,12,8,-1301945.388888889,295809.0833333333,-59135.083333333336,1198282.6635926773,-585851.3666666667,-106624.13333333333,-177497.51666666666,-599179.493553518,23351046.778754067,20818283.47653582,14704986.433834977,22071930.925925277,14563940.762086548,4522505.0423996635,3876010.050536705,6306164.316355653,114000000000,1969000000000,52,332,35,59,37,61,Human,Stan-StandPortrait
1,-288731700.0,-719221100.0,-242026800.0,30980703.575377304,427697240.0,720435140.0,1167481900.0,1213263785.4215858,40,52,100,112,85714155.34375,19185964.125,395395355.9375,666408830.1989819,22844928.48387097,-43669198.53225806,14294303.677419355,448210856.44484603,222082271.92129284,403264266.1617301,490511416.6401247,404304360.87518233,176629153.8432868,296756123.3361078,381621222.0505691,251767545.29866424,-492982540.0,-616322030.0,-1126192094.0,-688452097.3355635,339990900.0,521819594.0,1105238440.0,1090046546.9599612,40,40,24,92,-6923736.774193549,1815888.1935483871,-8441663.35483871,10108267.238708451,1366027.4098360655,-11985200.31147541,1761522.4098360655,-11619755.493284777,141931685.50082964,213551777.61591247,344554113.0152501,309640626.5209663,88032252.27078609,180132437.47784004,197306744.76683095,199051904.1898723,-42475960.0,-105026447.0,-15802877.0,1287114.9351328341,64049876.0,56892629.0,14025169.0,105404191.46029554,44,40,60,24,4653129.363636363,-502194.6666666667,-1276545.1515151516,31808803.956087824,2283069.693548387,-377031.1129032258,366716.87096774194,22744519.38698508,25420361.56117559,29667224.439740773,7813810.066778007,23837882.754555292,24171469.49951993,11915079.798834952,5145136.4661030155,15247518.259506788,-47936642.0,-104396008.0,-14913544.0,-75522787.94624057,35153778.0,83090492.0,22370650.0,103128847.63614193,32,4,36,4,-1398113.3125,-432864.59375,-66530.9375,1317259.821620884,-192051.60655737706,-925658.0655737704,87364.72131147541,-713076.2786873573,14075560.501636418,34156904.85504808,7125833.631085625,24746715.26572996,12446200.720777849,11844211.439293833,4458593.893850514,8730484.148028726,164000000000,679000000000,37,320,32,62,33,62,Human,Stan-StandPortrait
2,-654389300.0,-1191116800.0,-1084227100.0,71635488.35236049,517395600.0,950155260.0,1108242500.0,1546709645.5266368,40,20,36,128,-51791457.35555556,-62184624.733333334,-83864740.66666667,827997024.65991,-3867984.918032787,-53344796.885245904,17388587.672131147,697234880.6837351,334034393.45548946,643257889.1802528,700051299.309697,572854577.1253228,241009332.39371124,508087475.95761526,574273276.0672501,393706911.0545288,-851345370.0,-1324532080.0,-1126361370.0,-1133755868.2832499,686858270.0,1370338440.0,1094542500.0,1425182633.4039392,40,52,36,108,-152873.81818181818,15969927.136363637,-15054160.909090908,20387805.512788903,-6728128.666666667,16548769.5,-12022542.95,-19438407.619005606,235240741.6488037,417947740.4265809,359131693.1914903,373162434.0543442,160917744.9487729,251847395.84691814,266318506.6973769,277210405.73204184,-114989292.0,-65687890.0,-33855504.0,744509.8694416347,120434374.0,56817830.0,42843601.0,131260942.06146352,52,24,12,96,461759.0888888889,1306002.5777777778,1061135.2222222222,52348646.222946174,-2970563.573770492,-1579988.0655737706,880811.1147540984,33477891.977199666,56953895.9835228,24982963.431667175,16859902.60974842,36777751.11413912,35025369.24081178,11905763.227251966,11736006.64770626,19470666.334682014,-164050484.0,-35153788.0,-44741023.0,-58041064.203134984,57524272.0,33023079.0,37284288.0,72359617.6832853,12,16,16,64,-314703.54545454547,242030.29545454544,-532596.1590909091,612757.1906077316,70670.56666666667,568156.6333333333,-17695.816666666666,-244131.03557952508,37737026.63936916,14772713.69127817,14014117.071531484,25523541.543833204,15272914.730911773,7460421.322467468,10138644.242314512,12206359.984436065,571000000000,1665000000000,83,372,45,61,45,61,Human,Stan-StandPortrait
3,-920369270.0,-1057976200.0,-1433300000.0,64333402.98897664,575142900.0,863155360.0,210687160.0,1708545130.1617396,36,48,36,32,46976128.18918919,12702352.378378378,-223383602.3243243,746923464.0104651,228735075.6,-79513349.53333333,80945278.16666667,501953080.4695761,492004975.5234961,466490885.5077857,558818904.1259108,502284494.3878917,294384696.4986164,240165994.90279722,272210915.83785903,168857097.38246363,-900639585.0,-1065749599.0,-821915150.0,-523566694.51685894,782545048.0,1272477580.0,966786860.0,1005589472.3913208,24,12,48,60,18277676.388888888,1016418.0555555555,2623928.888888889,11464007.788330128,-8494717.79661017,6941876.27118644,-10292934.06779661,-2151928.0993632562,223557616.57850257,339686819.14092594,261181132.08113766,266617989.0657414,141734054.05514684,188208721.87518948,189548153.06994498,126476323.49659736,-91569937.0,-174352112.0,-70067012.0,898091.456816064,109764639.0,90897984.0,52438480.0,210338221.1020479,28,28,20,40,22385207.94736842,19020771.39473684,7304967.447368421,71951485.39624923,21856286.73015873,21416835.34920635,11993413.603174603,51944099.304166496,52178652.60459362,55469010.581423834,29202397.48414568,47710383.252174675,41408781.38498028,25902238.392126687,17162353.1229375,32188411.53739961,-93743175.0,-144875976.0,-43675763.0,-90963411.1089469,84155860.0,190682090.0,92677986.0,151540333.1696158,8,4,12,4,1727476.4864864864,1439495.4054054054,921332.5675675676,2403891.1820633234,-962142.2258064516,-996606.8870967742,-343600.1612903226,-1285685.1457456325,32528960.594891377,61244442.05398682,20634186.891448434,40878436.5725098,24377262.748189695,10609416.370128758,7399590.75287827,5770962.295221613,79000000000,1957000000000,53,344,37,60,38,63,Human,Stan-StandPortrait
4,-600117900.0,-2033419100.0,-1912102200.0,50800995.14539534,399956000.0,1503683100.0,1428414800.0,2438690866.036643,20,36,72,48,-28974250.114285715,56482742.91428571,-651685028.7714286,1256321448.1549635,-6048716.316666666,43083003.86666667,-228969020.5,947542541.8077868,262409921.05639693,1046752227.7118216,850067916.175368,838887294.8319137,92711884.34743966,661386345.6010547,789306046.3627609,459583723.25341433,-1000073900.0,-1994331804.0,-1710818740.0,-1455545543.0723262,429280144.0,1871544330.0,2253624900.0,2045399397.8324742,20,20,84,20,938788.7058823529,-38441476.47058824,39885814.823529415,54970353.5472054,936016.9322033898,-2648870.779661017,10679374.406779662,-10584096.285478963,202310095.36941698,611545678.6438692,513110204.46385664,577408354.0904162,58782385.739065476,418057081.9338867,469469899.310259,366097110.68162537,-127800024.0,-71028005.0,-11471597.0,424804.2751103148,152364506.0,52542058.0,22617034.0,158563383.3019667,40,40,36,84,49503751.88235294,4479946.235294118,6763244.205882353,96374081.84596874,24428703.573770493,6087942.918032787,4106547.5081967213,70743055.78007427,93106603.93112874,38102538.452922866,10280753.696993558,57005335.84325159,80745252.81363203,15271748.402225744,11208113.64336595,49519566.852107085,-234357770.0,-61785347.0,-8522080.0,-68391466.50520653,55393724.0,75633652.0,19174784.0,81411135.75178893,76,32,32,88,-2582435.6363636362,-516539.45454545453,290549.1818181818,2490358.4054295747,-3231277.8833333333,-514925.7166666667,-230784.13333333333,-1887902.484801732,47099199.00321227,28963038.909842867,5496444.875487142,29430963.40637787,38595742.57925745,9271475.7359271,7352354.697785423,23754081.649583858,427000000000,739000000000,36,328,35,60,34,61,Human,Stan-StandPortrait
5,-713673830.0,-1737613200.0,-1199895400.0,13388148.706096672,766623600.0,1390940200.0,1743365800.0,2578048814.4138856,24,52,52,48,16291207.43902439,-173722031.31707317,151321807.65853658,973059755.7043098,25976495.480769232,-132659380.61538461,113810235.0,858002097.5846784,381033609.60956097,815835983.8759252,881508139.466366,819751033.4323913,200342847.56866962,649371985.9237313,717278026.6549517,507488991.76965,-779370260.0,-1693380355.0,-1369427660.0,-2163899872.742869,767280697.0,1763431071.0,1746702706.0,2533685414.0154233,24,12,24,12,-7082447.775,-8301055.35,-2100980.275,10987180.31525601,-7305923.823529412,-7232488.31372549,12586827.25490196,4460200.938352325,258089606.60732576,519890877.0371578,515698119.17113125,651400894.2115366,121644476.37532702,345676076.22249794,352244817.23097205,357831821.1281954,-146167958.0,-76518266.0,-38053893.0,1194239.7498283165,147845152.0,57704394.0,34383572.0,163808196.02962357,52,32,60,48,-1904535.4,-4107152.85,-1861858.75,66401466.546325564,2065595.0188679246,-4846582.886792453,-2095432.6037735848,46903546.44111671,77106440.60843554,30833323.007866178,14577177.67033721,51097534.09145181,55274746.89722343,11047092.284623934,10943561.180226645,32978982.107902203,-160854752.0,-102265423.0,-36218923.0,-96593418.15500732,132092734.0,78829376.0,30892699.0,94202820.89982373,28,20,56,20,-3004559.8205128205,109191.2564102564,-109226.23076923077,2678692.5275355335,-3318675.9615384615,245763.5,614606.7115384615,-2118482.7434593947,52075900.51551228,35678105.34267833,12183654.135352543,40305362.7309539,27070185.731537245,8394692.944030918,8522994.147677459,22612243.627966173,732000000000,1677000000000,62,324,41,52,40,53,Human,Stan-StandPortrait
6,-288684600.0,-1345280200.0,-1411235800.0,338843587.8356078,301493880.0,755680100.0,1392457500.0,1943615522.6403375,28,48,48,52,50655129.473684214,-210871692.63157895,141604356.31578946,1163508807.3840594,9228641.819672132,-70729841.36065574,57019079.37704918,723204533.2506359,220766262.31980723,816112956.50522,1014506474.3067536,621169691.221244,141765793.66178304,576698708.3858501,620645893.7409075,463267122.7177468,-399588630.0,-1109891380.0,-1269304270.0,-1454783819.266966,347067960.0,1251997500.0,1144889330.0,1265125608.556466,36,24,24,24,7230523.888888889,731521.1111111111,33046377.777777776,8332673.085431311,-5140158.666666667,-5577953.666666667,6821997.5,-9369207.78303009,136304299.7990855,479617356.4112997,522050275.19327265,584202766.9197472,85564318.38616054,319796048.9016754,328766134.42297566,335811912.3963443,-82246482.0,-49899326.0,-26330194.0,23404781.453540128,124414892.0,65148804.0,32259125.0,135031221.65460262,16,4,8,32,18000803.94736842,6783046.2105263155,1647222.3157894737,73005146.42599328,229568.0,-1353026.8870967743,373903.9032258064,36325765.04192661,70663209.862948,31109534.578940354,18216523.233538892,32566022.601457108,43745573.78726896,8176181.101875193,8653677.446029048,26763301.259169847,-59654723.0,-42610667.0,-57524075.0,-47494188.65241413,88417018.0,115048130.0,30892681.0,52361728.316636294,52,8,44,20,532668.0,3077345.611111111,-1538674.9444444445,-1580896.7254479867,-1065998.0163934426,-384609.8032786885,-418941.6393442623,-1168739.88226622,39026177.16810458,32261959.86375269,19675253.095557712,25073789.34486494,20402137.842214283,7258378.133562025,8245258.899362016,16674886.469497688,256000000000,1677000000000,17,268,19,61,19,62,Human,Stan-StandPortrait
7,-982083800.0,-1446758700.0,-1353410700.0,41860714.59991695,565373300.0,1064612900.0,46389580.0,1772794138.1655512,40,52,40,60,53749577.853658535,42170542.73170732,-412318068.0487805,794332491.885702,202335417.75862068,-254938691.13793105,273646245.0,655239463.1681693,523922102.4565016,527845083.5721635,562517059.4827555,633910430.2698694,313850314.3903568,293711379.3446986,288127994.006024,122077643.57180668,-823884750.0,-1428494406.0,-770854945.0,-666166157.0182976,1066310130.0,1508280707.0,801279100.0,1647108706.3696587,40,12,52,64,12474289.0,1529777.05,914752.5,11915526.638343126,-7435516.49122807,4989222.52631579,-7559851.578947368,-1199266.5426665554,250242917.05388236,407011799.6035182,207635323.1921823,315997429.60553336,82050086.06470327,270010954.7389167,309171896.0626468,102232909.98834488,-119563373.0,-194826952.0,-74243761.0,1613442.2871891018,106272103.0,99185188.0,40803938.0,222405355.2321519,28,20,64,12,20310829.414634146,3961259.3902439023,2948706.8048780486,65715473.11722758,32223723.72881356,3346190.525423729,5795478.27118644,37593020.43231438,57591387.20300025,55503388.40025699,18435540.045159113,52522526.535823345,31547206.443734925,10695699.662230793,7452364.994572445,28799108.345083512,-169376840.0,-187486530.0,-59654692.0,-168995535.6999529,121440102.0,193877815.0,58589570.0,127700079.50083655,8,8,4,16,1730059.55,266272.0,266315.625,1673518.1778840278,-1120321.1379310344,-753125.9310344828,-679519.6551724138,-1496889.6863220783,46844643.58567536,66342798.63206714,18271255.758549653,49549757.00270422,19577057.317636237,6530894.6420795685,4399723.016039549,6184842.680794792,93000000000,1972000000000,61,344,41,58,41,59,Human,Stan-StandPortrait
8,-191831620.0,-731279850.0,-996408460.0,33564821.778746076,207111450.0,732633600.0,774857500.0,1236963763.9389935,16,12,12,48,43569699.74074074,127815107.22222222,-269341482.2592593,640632778.4509741,21183855.836065575,23619729.0,-101726201.95081967,553060502.1968119,131671154.06664866,461556499.4198204,561036060.4017353,461745788.0580784,113073287.00961103,398516871.72204906,463865726.1776201,295538392.481976,-328150990.0,-891878610.0,-1416029900.0,-416892583.73237175,214137276.0,1170991900.0,882208330.0,1031908685.5514973,48,52,52,60,-6300624.653846154,-25358769.03846154,26344060.730769232,35816661.133126095,-527744.55,-7381534.666666667,10387762.333333334,-12740763.282981398,94019215.34888995,332599946.13697195,385004715.53103614,265875507.78818834,67326097.93713698,207961260.6952853,227257423.1619826,210031152.91699454,-49369177.0,-20197476.0,-14557113.0,2178784.97220102,72071423.0,12825018.0,13140340.0,74024048.41036573,32,16,32,64,19614396.444444444,-3702859.5185185187,2880728.703703704,37785121.897407494,7504321.79032258,-580890.2419354839,1492882.0,28845923.979160458,41957792.56931544,8762236.817206562,8625093.097106034,29178343.940515105,34118660.582963645,5918118.241400901,5701633.765311687,21112410.628345586,-102264883.0,-26631757.0,-22369014.0,-40774456.27106295,38349674.0,23435375.0,23435998.0,29598537.1612282,56,12,8,12,-1272066.3076923077,327254.6538461539,-409515.92307692306,1175272.344106267,-488913.0655737705,226887.80327868852,157234.3606557377,-523582.63972292055,23591332.790361777,9462959.760461442,8134634.131950699,14214247.568559663,15678130.353164794,5118303.748429868,4054489.7176404297,9028925.513650926,648000000000,728000000000,16,300,27,61,27,62,Human,Stan-StandPortrait
9,-552630840.0,-1502901600.0,-1294168000.0,48224019.46340454,307571080.0,912452700.0,1500554600.0,2194488134.4365535,12,64,52,124,-67657252.57142857,-101308856.6904762,-173576315.95238096,846788693.9053247,11999368.693877552,-95816469.18367347,101138632.02040817,786915261.2510936,225192783.1751232,707666093.2403636,777482634.6019917,683746108.8579216,206446080.0480806,618545992.926925,657499930.961359,495328267.22135746,-860201920.0,-1193711760.0,-1013150250.0,-1676991493.853293,657733800.0,1364362290.0,1217521650.0,981538944.836396,12,96,36,12,-2980835.7317073173,3783202.6829268294,-5414381.341463415,5291426.80155227,1832166.1458333333,-4947175.625,5916784.375,7779309.687545806,201592381.45636058,427481348.07943046,356463802.4721632,418241063.3769414,198616874.66689792,346647484.6999228,334771569.7383869,396871492.69499075,-101622438.0,-73526363.0,-61399274.0,1401801.568799593,121017126.0,127810337.0,53649333.0,149773778.0441991,48,76,12,92,-1539243.2857142857,434232.1666666667,-1085509.142857143,58668775.612253234,556509.9591836735,-916930.387755102,-765099.4285714285,45150545.49436499,60381946.589867234,34818198.606545635,23016162.332413025,43195837.45333881,46383875.43697053,14778631.302382331,19911360.855284143,26211908.29765207,-70307313.0,-92677991.0,-53263117.0,-72494634.1275914,42610599.0,108656755.0,75633766.0,103023056.89998302,28,16,8,4,-1974591.0,-285900.85365853657,-545576.0487804879,1992446.6961769392,-2086096.8541666667,1420252.0,1242854.6666666667,-2351163.967225151,26177776.269778047,42311350.44595785,21460752.681874335,32871688.57311355,25355500.728984058,14499472.055902712,19705375.862435117,22862800.335664235,932000000000,1230000000000,69,312,42,49,42,49,Human,Stan-StandPortrait
